frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.93,1,1074.5,1078.6,1084.5,1090.4,1095.9,1108.7,1115.4,1122.4,1129.2,1134.3,220.3,216.6,215.8,217.1,219.8,219.7,217.1,216.1,217.3,221.1,1101.9,253.5
2,0,0.033,0.93,1,1075.3,1079.3,1085.0,1090.7,1095.9,1108.8,1115.6,1122.6,1129.4,1134.5,220.1,216.6,216.1,217.5,220.1,220.1,217.5,216.7,217.9,221.7,1101.5,254.0
3,0,0.067,0.98,1,1075.3,1079.3,1084.9,1090.6,1095.8,1108.8,1115.7,1122.7,1129.6,1134.8,220.1,216.6,216.2,217.5,220.1,220.1,217.5,216.7,218.0,221.9,1101.5,254.1
4,0,0.1,0.93,1,1075.3,1079.2,1084.8,1090.6,1095.8,1108.8,1115.7,1122.8,1129.8,1135.0,220.1,216.6,216.2,217.5,220.2,220.2,217.6,216.7,218.1,222.0,1101.4,254.2
5,0,0.133,0.93,1,1075.4,1079.3,1084.9,1090.7,1095.8,1108.8,1115.8,1122.9,1129.8,1135.0,220.1,216.6,216.1,217.5,220.1,220.1,217.5,216.7,218.1,221.9,1101.5,254.3
6,0,0.167,0.98,1,1075.5,1079.5,1085.2,1090.9,1096.1,1109.1,1116.0,1123.1,1130.0,1135.2,219.9,216.4,216.0,217.3,220.0,220.0,217.5,216.7,218.0,221.8,1101.6,253.9
7,0,0.2,0.98,1,1075.4,1079.3,1085.0,1090.7,1095.9,1108.8,1115.7,1122.7,1129.7,1135.0,219.6,216.1,215.7,217.0,219.8,219.8,217.2,216.3,217.5,221.3,1101.6,253.5
8,0,0.233,0.98,1,1075.7,1079.7,1085.3,1091.1,1096.2,1109.2,1116.1,1123.1,1130.1,1135.3,219.0,215.4,215.0,216.4,219.1,219.2,216.6,215.8,217.1,221.0,1101.7,252.9
9,0,0.267,0.98,1,1075.9,1079.9,1085.5,1091.2,1096.4,1109.6,1116.4,1123.5,1130.3,1135.5,218.3,214.8,214.3,215.7,218.4,218.5,216.0,215.2,216.5,220.3,1101.9,252.4
10,0,0.3,0.98,1,1076.5,1080.4,1085.9,1091.6,1096.7,1109.7,1116.6,1123.6,1130.5,1135.7,217.8,214.3,213.8,215.2,217.9,218.0,215.4,214.7,216.0,219.9,1102.1,251.8
11,0,0.333,0.98,1,1077.0,1081.0,1086.5,1092.1,1097.2,1110.3,1117.2,1124.2,1131.0,1136.2,217.0,213.5,213.1,214.4,217.1,217.3,214.8,214.1,215.4,219.3,1102.5,251.1
12,0,0.367,0.98,1,1077.7,1081.6,1087.2,1092.8,1097.9,1110.9,1117.8,1124.8,1131.7,1136.8,216.8,213.2,212.8,214.1,216.8,217.0,214.5,213.8,215.2,219.2,1103.0,250.6
13,0,0.4,0.98,1,1078.4,1082.4,1088.0,1093.6,1098.7,1111.6,1118.4,1125.4,1132.2,1137.4,216.5,212.9,212.5,213.7,216.4,216.6,214.2,213.6,215.1,219.0,1103.5,250.4
14,0,0.433,0.98,1,1078.9,1083.0,1088.6,1094.2,1099.3,1112.3,1119.1,1126.1,1132.9,1138.0,216.0,212.5,212.0,213.4,216.1,216.4,214.0,213.4,214.9,218.9,1104.1,250.2
15,0,0.467,0.98,1,1079.5,1083.6,1089.2,1094.9,1100.0,1112.8,1119.7,1126.6,1133.4,1138.6,215.9,212.3,211.9,213.3,216.1,216.4,214.1,213.5,215.0,219.1,1104.4,250.1
16,0,0.5,0.98,1,1079.7,1083.9,1089.6,1095.3,1100.3,1113.2,1120.0,1126.9,1133.7,1138.8,215.7,212.2,211.8,213.2,216.0,216.5,214.2,213.7,215.1,219.1,1104.6,250.0
17,0,0.533,0.98,1,1079.8,1084.0,1089.7,1095.4,1100.4,1113.2,1120.0,1126.9,1133.7,1138.8,215.5,212.0,211.7,213.1,215.9,216.4,214.2,213.7,215.2,219.3,1104.4,250.0
18,0,0.567,0.98,1,1079.4,1083.6,1089.3,1095.0,1100.1,1112.9,1119.7,1126.7,1133.4,1138.5,215.5,212.0,211.7,213.1,215.9,216.4,214.2,213.7,215.3,219.3,1104.0,249.9
19,0,0.6,0.98,1,1079.0,1083.2,1088.9,1094.6,1099.6,1112.3,1119.2,1126.1,1132.8,1137.9,215.4,211.9,211.6,213.0,215.8,216.4,214.2,213.8,215.4,219.6,1103.2,249.8
20,0,0.633,0.98,1,1077.9,1082.2,1087.9,1093.6,1098.6,1111.2,1118.0,1124.9,1131.6,1136.5,215.3,211.9,211.6,213.0,215.9,216.4,214.2,213.9,215.5,219.6,1102.0,249.8
21,0,0.667,0.98,1,1076.4,1080.6,1086.3,1092.0,1097.0,1109.7,1116.5,1123.4,1130.1,1135.1,215.4,211.9,211.6,213.0,215.9,216.4,214.2,213.8,215.5,219.7,1100.5,249.8
22,0,0.7,0.98,1,1075.0,1079.2,1084.9,1090.6,1095.5,1108.2,1115.0,1121.9,1128.5,1133.5,215.5,212.1,211.8,213.2,216.0,216.6,214.3,214.0,215.6,219.7,1099.1,249.8
23,0,0.733,0.98,1,1073.1,1077.3,1083.0,1088.8,1093.8,1106.4,1113.2,1120.2,1127.0,1132.0,215.9,212.3,212.0,213.4,216.2,216.7,214.4,213.9,215.6,219.8,1097.6,249.8
24,0,0.767,0.98,1,1071.4,1075.6,1081.4,1087.2,1092.3,1104.7,1111.6,1118.6,1125.3,1130.4,216.2,212.5,212.2,213.5,216.3,216.7,214.3,213.8,215.4,219.6,1096.2,249.9
25,0,0.8,0.98,1,1069.7,1073.9,1079.7,1085.5,1090.7,1103.1,1110.0,1117.0,1123.9,1129.0,216.5,212.8,212.3,213.6,216.4,216.7,214.2,213.7,215.3,219.4,1095.0,249.9
