frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,907.4,912.9,919.6,926.3,932.2,944.1,949.9,955.5,960.7,963.9,292.0,288.1,287.2,288.4,291.0,291.3,289.3,288.9,290.4,294.5,936.8,323.8
2,0,0.033,0.98,1,908.1,913.6,920.1,926.5,932.2,944.8,950.4,955.7,960.6,963.7,291.8,288.2,287.4,288.6,291.0,291.4,289.6,289.2,290.7,294.5,936.8,324.3
3,0,0.067,0.98,1,908.3,913.7,920.2,926.6,932.3,944.9,950.5,955.8,960.7,963.7,291.7,288.1,287.3,288.6,291.0,291.4,289.6,289.3,290.8,294.7,936.8,324.2
4,0,0.1,0.98,1,908.0,913.4,919.9,926.3,932.0,944.7,950.3,955.5,960.4,963.5,292.0,288.4,287.5,288.7,291.1,291.5,289.7,289.4,291.0,295.0,936.8,324.4
5,0,0.133,0.98,1,908.1,913.5,920.0,926.4,932.0,944.7,950.3,955.6,960.5,963.5,292.0,288.4,287.6,288.8,291.3,291.8,290.0,289.8,291.4,295.4,936.5,324.7
6,0,0.167,0.98,1,907.5,913.0,919.5,925.8,931.5,944.4,950.0,955.3,960.2,963.3,292.4,288.8,288.0,289.3,291.6,292.1,290.3,290.1,291.6,295.6,936.0,325.0
7,0,0.2,0.98,1,907.2,912.6,919.1,925.5,931.2,944.0,949.6,954.9,959.8,963.0,293.4,289.7,288.9,290.1,292.5,292.9,291.1,290.8,292.4,296.4,935.8,325.7
8,0,0.233,0.98,1,906.6,912.0,918.5,925.1,930.8,943.4,949.1,954.5,959.5,962.7,294.5,290.7,289.8,291.0,293.3,293.7,291.8,291.6,293.2,297.3,935.6,326.5
9,0,0.267,0.98,1,906.4,911.8,918.4,924.9,930.7,943.3,949.0,954.4,959.4,962.6,295.2,291.4,290.6,291.7,294.0,294.4,292.6,292.4,294.0,298.2,935.4,327.1
10,0,0.3,0.98,1,906.1,911.5,918.2,924.7,930.5,943.1,948.9,954.2,959.3,962.5,296.0,292.2,291.4,292.5,294.9,295.2,293.4,293.2,294.9,299.1,935.2,327.9
11,0,0.333,0.98,1,906.0,911.4,918.0,924.5,930.2,942.9,948.6,953.9,958.9,962.1,296.4,292.6,291.8,292.9,295.2,295.5,293.6,293.4,295.1,299.3,935.1,328.1
12,0,0.367,0.98,1,905.2,910.7,917.4,924.1,930.0,942.6,948.2,953.5,958.5,961.4,297.4,293.5,292.4,293.5,295.9,296.2,294.3,294.1,295.7,299.8,935.6,328.3
13,0,0.4,0.98,1,905.0,910.4,917.1,923.6,929.4,942.1,947.7,952.9,957.9,961.1,297.1,293.2,292.2,293.2,295.4,295.6,293.8,293.5,295.1,299.3,934.7,328.1
14,0,0.433,0.98,1,904.8,910.1,916.7,923.2,929.0,941.8,947.4,952.7,957.7,960.9,297.0,293.1,292.1,293.1,295.2,295.4,293.5,293.3,295.0,299.2,934.4,327.9
15,0,0.467,0.98,1,904.4,909.9,916.6,923.1,929.0,941.8,947.2,952.4,957.4,960.4,296.7,292.9,291.9,292.9,295.2,295.4,293.6,293.2,294.7,298.7,935.0,327.7
16,0,0.5,0.98,1,904.0,909.4,916.0,922.6,928.6,941.4,946.8,952.0,957.0,960.0,297.0,293.0,291.8,292.7,294.9,295.0,293.3,292.9,294.4,298.5,934.5,327.6
17,0,0.533,0.98,1,903.9,909.2,915.9,922.5,928.4,941.1,946.6,951.9,956.9,960.1,296.9,292.9,291.7,292.7,294.8,294.9,293.1,292.9,294.4,298.6,934.2,327.5
