frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,909.3,914.9,922.0,929.0,935.3,947.0,952.4,957.7,962.7,965.7,293.8,289.7,288.5,289.5,292.0,291.9,289.8,289.3,290.6,294.7,941.3,324.3
2,0,0.033,0.98,1,909.1,914.8,921.8,928.7,934.9,947.3,952.5,957.5,962.3,965.1,293.8,289.8,288.6,289.6,291.9,291.9,289.9,289.3,290.5,294.4,941.2,324.4
3,0,0.067,0.98,1,909.1,914.9,921.9,928.7,935.0,947.2,952.4,957.5,962.2,965.1,293.5,289.5,288.3,289.3,291.7,291.6,289.6,289.0,290.1,294.0,941.2,324.0
4,0,0.1,0.98,1,909.1,914.9,921.8,928.6,934.8,947.2,952.5,957.5,962.4,965.3,293.2,289.1,287.9,288.9,291.1,290.9,289.0,288.3,289.5,293.3,941.3,323.6
5,0,0.133,0.98,1,908.8,914.5,921.4,928.3,934.7,947.0,952.3,957.5,962.4,965.3,293.2,289.0,287.6,288.5,290.8,290.5,288.5,287.9,289.0,293.0,941.4,323.2
6,0,0.167,0.98,1,908.7,914.4,921.4,928.3,934.7,947.0,952.4,957.6,962.6,965.5,293.2,288.9,287.6,288.5,290.8,290.5,288.6,287.9,289.0,292.9,941.4,323.2
7,0,0.2,0.98,1,908.6,914.3,921.3,928.3,934.7,947.1,952.5,957.7,962.7,965.7,293.3,289.0,287.6,288.5,290.8,290.5,288.5,287.8,288.9,292.8,941.6,323.3
8,0,0.233,0.98,1,909.0,914.7,921.8,928.7,935.0,947.4,952.8,958.1,963.1,966.0,293.5,289.3,288.0,289.0,291.3,291.1,289.1,288.5,289.5,293.4,941.6,323.7
9,0,0.267,0.98,1,909.3,915.1,922.1,929.0,935.3,947.8,953.2,958.4,963.4,966.4,293.9,289.7,288.4,289.3,291.7,291.5,289.5,288.9,290.0,293.9,941.9,324.0
10,0,0.3,0.98,1,909.7,915.4,922.4,929.3,935.6,948.1,953.5,958.8,963.7,966.7,294.4,290.2,288.9,289.8,292.2,292.0,290.1,289.5,290.6,294.5,942.1,324.5
11,0,0.333,0.98,1,910.8,916.4,923.3,930.0,936.2,948.7,954.1,959.3,964.2,967.2,294.3,290.4,289.3,290.3,292.5,292.4,290.5,289.9,291.1,294.9,942.4,324.8
