frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1018.1,1021.6,1026.8,1032.0,1036.8,1048.1,1054.8,1061.9,1068.9,1074.4,275.0,271.2,270.4,271.4,273.9,273.7,271.3,270.6,272.0,276.0,1041.0,306.2
2,0,0.033,0.98,1,1019.6,1023.1,1028.2,1033.4,1038.1,1050.1,1057.0,1064.1,1071.1,1076.6,275.1,271.4,270.7,271.7,274.1,274.1,271.8,271.3,272.8,276.8,1042.3,306.7
3,0,0.067,0.98,1,1021.1,1024.6,1029.7,1034.9,1039.6,1051.9,1058.9,1065.9,1072.8,1078.3,275.4,271.7,271.0,272.0,274.4,274.4,272.2,271.8,273.4,277.4,1043.8,307.0
4,0,0.1,0.98,1,1022.6,1026.2,1031.4,1036.6,1041.3,1053.7,1060.6,1067.7,1074.6,1080.0,275.5,271.9,271.3,272.4,274.8,275.0,272.9,272.4,274.0,278.0,1045.4,307.4
5,0,0.133,0.98,1,1024.0,1027.7,1032.9,1038.2,1043.0,1055.0,1062.0,1069.2,1076.2,1081.7,275.7,272.1,271.5,272.7,275.3,275.6,273.3,272.9,274.6,278.7,1046.8,307.8
6,0,0.167,0.98,1,1025.1,1028.8,1034.1,1039.5,1044.4,1056.7,1063.8,1071.0,1078.1,1083.6,276.1,272.4,271.8,273.0,275.7,276.0,273.8,273.4,275.1,279.3,1048.5,308.2
7,0,0.2,0.98,1,1026.5,1030.3,1035.6,1041.0,1045.9,1058.3,1065.4,1072.6,1079.7,1085.0,276.3,272.6,272.1,273.3,276.1,276.5,274.3,274.0,275.8,280.0,1049.7,308.6
8,0,0.233,0.98,1,1027.6,1031.4,1036.7,1042.1,1047.0,1059.3,1066.3,1073.5,1080.5,1085.8,276.2,272.7,272.2,273.5,276.4,276.9,274.6,274.3,276.1,280.3,1050.8,309.2
9,0,0.267,0.98,1,1028.4,1032.2,1037.5,1043.0,1047.9,1060.2,1067.3,1074.5,1081.5,1086.7,276.6,273.1,272.6,274.0,276.8,277.4,275.2,274.9,276.8,281.0,1051.6,309.8
10,0,0.3,0.93,1,1029.0,1032.9,1038.2,1043.7,1048.6,1060.9,1068.0,1075.3,1082.4,1087.7,277.0,273.5,273.1,274.6,277.5,278.1,275.9,275.5,277.4,281.7,1052.3,310.6
