frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,936.3,942.4,949.6,956.6,962.8,974.0,979.1,984.0,988.6,991.0,299.1,295.4,294.6,295.9,298.8,299.4,297.8,297.6,299.1,303.2,967.2,330.8
2,0,0.033,0.98,1,937.1,943.3,950.3,957.0,963.1,974.9,979.9,984.6,988.9,991.3,298.7,295.3,294.6,296.0,298.8,299.5,298.0,297.8,299.1,303.0,967.1,331.0
3,0,0.067,0.98,1,937.1,943.4,950.5,957.3,963.4,975.2,980.2,985.0,989.3,991.6,298.7,295.3,294.6,296.1,298.9,299.7,298.2,297.9,299.3,303.2,967.3,331.2
4,0,0.1,0.98,1,937.3,943.6,950.6,957.4,963.5,975.3,980.3,985.1,989.4,991.7,298.8,295.4,294.7,296.2,299.0,299.8,298.3,298.0,299.4,303.3,967.4,331.3
5,0,0.133,0.98,1,937.5,943.8,950.9,957.7,963.8,975.6,980.6,985.4,989.7,992.0,299.0,295.6,295.0,296.5,299.3,300.1,298.5,298.2,299.6,303.4,967.7,331.6
6,0,0.167,0.98,1,937.7,944.0,951.1,957.9,964.0,975.9,980.9,985.7,990.0,992.3,299.0,295.7,295.1,296.6,299.5,300.3,298.7,298.4,299.7,303.6,967.8,331.7
7,0,0.2,0.98,1,938.0,944.3,951.5,958.3,964.4,976.4,981.4,986.2,990.5,992.7,299.2,295.9,295.3,296.9,299.8,300.5,299.0,298.7,300.0,303.8,968.3,332.0
8,0,0.233,0.98,1,938.3,944.7,951.8,958.6,964.7,976.8,981.9,986.6,991.0,993.3,299.2,295.9,295.3,296.9,299.8,300.6,299.1,298.8,300.2,304.0,968.5,332.1
9,0,0.267,0.98,1,938.8,945.2,952.3,959.1,965.2,977.3,982.3,987.0,991.3,993.5,299.2,295.9,295.4,297.0,299.9,300.8,299.3,299.1,300.4,304.3,968.8,332.2
10,0,0.3,0.98,1,939.4,945.8,952.9,959.7,965.7,977.6,982.7,987.4,991.6,993.8,299.0,295.8,295.3,296.9,299.9,300.8,299.3,299.1,300.5,304.3,969.2,332.2
11,0,0.333,0.98,1,939.9,946.3,953.4,960.1,966.1,978.0,983.0,987.7,991.9,994.0,298.5,295.3,294.8,296.5,299.4,300.5,299.0,298.8,300.2,304.1,969.3,331.7
12,0,0.367,0.98,1,940.4,946.8,953.9,960.5,966.4,978.4,983.3,987.9,992.1,994.1,297.8,294.7,294.3,295.9,298.9,299.9,298.5,298.3,299.7,303.5,969.7,331.3
13,0,0.4,0.98,1,940.5,946.9,953.9,960.6,966.6,978.5,983.5,988.1,992.3,994.4,297.6,294.4,293.9,295.6,298.5,299.5,298.1,297.9,299.3,303.1,969.8,330.8
14,0,0.433,0.98,1,940.7,947.0,954.1,960.8,966.8,978.6,983.6,988.2,992.4,994.5,297.0,293.8,293.3,294.9,297.9,299.0,297.6,297.4,298.9,302.8,970.0,330.2
15,0,0.467,0.98,1,940.9,947.3,954.4,961.1,967.2,979.0,983.9,988.6,992.8,994.8,296.7,293.4,292.9,294.6,297.5,298.6,297.2,297.1,298.5,302.5,970.3,329.8
16,0,0.5,0.98,1,940.9,947.2,954.2,961.0,967.0,978.9,983.9,988.6,992.8,994.8,296.6,293.3,292.8,294.4,297.3,298.4,297.0,296.8,298.3,302.3,970.3,329.7
17,0,0.533,0.98,1,940.9,947.2,954.3,961.0,967.0,978.9,983.9,988.5,992.7,994.8,296.4,293.2,292.7,294.3,297.2,298.3,296.9,296.8,298.3,302.2,970.3,329.6
18,0,0.567,0.98,1,940.8,947.2,954.2,961.0,967.0,978.9,983.9,988.5,992.7,994.8,296.4,293.2,292.7,294.3,297.3,298.3,296.9,296.8,298.3,302.2,970.3,329.5
19,0,0.6,0.98,1,940.8,947.1,954.1,960.8,966.8,978.8,983.8,988.5,992.7,994.8,296.3,293.1,292.6,294.2,297.1,298.2,296.8,296.7,298.2,302.1,970.2,329.4
20,0,0.633,0.98,1,940.7,947.0,954.0,960.8,966.7,978.7,983.7,988.4,992.6,994.8,296.2,293.0,292.5,294.1,297.1,298.1,296.7,296.6,298.1,302.1,970.1,329.3
21,0,0.667,0.98,1,940.6,946.9,954.0,960.7,966.7,978.5,983.5,988.2,992.5,994.7,296.3,293.1,292.5,294.2,297.1,298.2,296.8,296.7,298.2,302.1,970.1,329.2
22,0,0.7,0.98,1,940.6,946.9,953.9,960.6,966.5,978.4,983.4,988.2,992.4,994.7,296.3,293.1,292.6,294.2,297.1,298.2,296.8,296.7,298.2,302.1,970.0,329.2
23,0,0.733,0.98,1,940.5,946.8,953.7,960.4,966.4,978.3,983.3,988.0,992.4,994.6,296.5,293.3,292.8,294.4,297.2,298.3,296.9,296.7,298.2,302.1,969.8,329.2
24,0,0.767,0.98,1,940.4,946.7,953.6,960.3,966.2,978.1,983.2,987.9,992.3,994.6,296.6,293.5,293.0,294.5,297.4,298.3,296.9,296.7,298.2,302.0,969.7,329.3
25,0,0.8,0.98,1,940.1,946.4,953.3,960.0,966.0,978.0,983.0,987.8,992.2,994.5,296.9,293.7,293.2,294.7,297.5,298.5,297.1,296.9,298.4,302.3,969.5,329.4
26,0,0.833,0.98,1,939.9,946.1,953.1,959.9,965.9,977.8,982.8,987.7,992.1,994.4,297.2,293.9,293.3,294.8,297.7,298.6,297.2,297.0,298.5,302.4,969.4,329.5
27,0,0.867,0.98,1,939.8,946.0,953.0,959.7,965.8,977.7,982.8,987.5,991.9,994.2,297.4,294.1,293.5,295.1,298.0,298.9,297.5,297.3,298.7,302.6,969.5,329.7
28,0,0.9,0.98,1,939.6,945.8,952.8,959.5,965.6,977.6,982.6,987.3,991.7,993.9,297.6,294.3,293.7,295.2,298.1,299.1,297.6,297.3,298.7,302.6,969.4,330.0
29,0,0.933,0.98,1,939.4,945.6,952.6,959.3,965.4,977.3,982.3,987.1,991.4,993.7,297.7,294.5,294.0,295.5,298.4,299.2,297.7,297.5,298.9,302.7,969.0,330.2
30,0,0.967,0.98,1,939.1,945.4,952.3,959.1,965.2,976.9,982.0,986.8,991.2,993.4,297.8,294.6,294.0,295.6,298.5,299.3,297.8,297.6,299.0,302.9,968.6,330.2
31,0,1.0,0.98,1,938.9,945.1,952.0,958.8,964.8,976.6,981.7,986.4,990.8,993.1,297.8,294.6,294.0,295.6,298.4,299.3,297.8,297.6,299.0,302.9,968.3,330.3
32,0,1.033,0.98,1,938.4,944.6,951.6,958.4,964.4,976.3,981.3,986.1,990.4,992.7,298.0,294.7,294.1,295.6,298.4,299.3,297.8,297.6,299.0,302.9,968.0,330.4
33,0,1.067,0.98,1,937.9,944.1,951.1,957.9,963.9,975.8,980.9,985.7,990.1,992.4,298.2,294.9,294.2,295.7,298.5,299.3,297.8,297.5,299.0,302.9,967.7,330.4
34,0,1.1,0.98,1,937.7,943.9,950.8,957.6,963.7,975.5,980.6,985.3,989.7,992.0,298.2,294.9,294.3,295.8,298.6,299.4,297.8,297.5,299.0,302.9,967.5,330.5
35,0,1.133,0.98,1,937.5,943.6,950.5,957.3,963.3,975.1,980.2,984.9,989.3,991.6,298.2,294.9,294.3,295.8,298.5,299.4,297.8,297.6,299.0,302.9,967.1,330.5
36,0,1.167,0.98,1,937.0,943.2,950.1,956.7,962.7,974.6,979.6,984.3,988.6,990.9,298.2,294.9,294.3,295.7,298.5,299.3,297.7,297.5,298.9,302.8,966.6,330.4
37,0,1.2,0.98,1,936.6,942.8,949.7,956.4,962.3,974.2,979.2,983.9,988.3,990.6,298.2,294.9,294.3,295.7,298.5,299.3,297.8,297.5,298.9,302.8,966.2,330.5
38,0,1.233,0.98,1,936.1,942.3,949.2,955.8,961.8,973.8,978.8,983.5,987.9,990.2,298.2,294.9,294.3,295.7,298.5,299.3,297.7,297.5,298.9,302.7,965.8,330.5
39,0,1.267,0.98,1,935.8,941.9,948.9,955.6,961.6,973.6,978.6,983.4,987.7,990.1,298.3,295.0,294.3,295.7,298.5,299.3,297.7,297.5,298.9,302.8,965.7,330.5
40,0,1.3,0.98,1,935.4,941.6,948.5,955.2,961.3,973.2,978.2,982.9,987.3,989.7,298.3,295.0,294.3,295.8,298.5,299.3,297.8,297.5,298.9,302.8,965.3,330.5
41,0,1.333,0.98,1,935.1,941.2,948.1,954.8,960.9,972.9,977.9,982.7,987.0,989.4,298.4,295.1,294.4,295.8,298.6,299.3,297.8,297.5,298.9,302.7,965.0,330.5
42,0,1.367,0.98,1,934.7,940.9,947.8,954.6,960.6,972.6,977.6,982.4,986.7,989.1,298.5,295.2,294.5,295.9,298.6,299.3,297.8,297.6,298.9,302.8,964.8,330.6
43,0,1.4,0.98,1,934.3,940.5,947.4,954.2,960.3,972.3,977.3,982.1,986.5,988.9,298.5,295.1,294.4,295.8,298.5,299.3,297.7,297.5,298.8,302.7,964.5,330.6
44,0,1.433,0.98,1,934.1,940.3,947.3,954.0,960.1,972.2,977.2,981.9,986.3,988.7,298.5,295.1,294.4,295.8,298.5,299.2,297.7,297.5,298.8,302.7,964.4,330.6
45,0,1.467,0.98,1,933.8,940.0,947.0,953.8,959.9,971.9,976.9,981.7,986.1,988.5,298.6,295.2,294.4,295.8,298.6,299.3,297.7,297.5,298.9,302.7,964.2,330.6
46,0,1.5,0.98,1,933.7,939.9,946.9,953.6,959.7,971.6,976.7,981.5,985.9,988.3,298.6,295.2,294.5,295.9,298.6,299.3,297.8,297.5,298.9,302.8,964.0,330.6
47,0,1.533,0.98,1,933.6,939.8,946.8,953.6,959.7,971.6,976.6,981.4,985.9,988.3,298.6,295.1,294.4,295.8,298.6,299.3,297.7,297.4,298.8,302.7,963.9,330.5
48,0,1.567,0.98,1,933.5,939.7,946.7,953.4,959.5,971.3,976.4,981.1,985.5,987.9,298.5,295.1,294.3,295.7,298.4,299.1,297.6,297.3,298.7,302.6,963.9,330.4
49,0,1.6,0.98,1,933.4,939.5,946.5,953.3,959.4,971.3,976.3,981.0,985.4,987.8,298.4,294.9,294.2,295.5,298.3,298.9,297.4,297.1,298.5,302.4,963.7,330.3
50,0,1.633,0.98,1,933.2,939.4,946.4,953.2,959.3,971.1,976.1,980.9,985.3,987.7,298.5,295.0,294.2,295.5,298.3,298.9,297.4,297.1,298.5,302.5,963.6,330.3
51,0,1.667,0.98,1,933.2,939.3,946.3,953.0,959.1,970.9,976.0,980.7,985.1,987.5,298.4,294.9,294.1,295.5,298.3,299.0,297.4,297.2,298.6,302.5,963.3,330.3
52,0,1.7,0.98,1,933.1,939.2,946.1,952.9,958.9,970.8,975.8,980.6,985.0,987.4,298.7,295.3,294.5,295.9,298.6,299.3,297.8,297.5,298.9,302.8,963.2,330.5
53,0,1.733,0.98,1,932.9,939.1,946.0,952.8,958.9,970.8,975.8,980.6,984.9,987.3,298.8,295.4,294.6,295.9,298.7,299.3,297.8,297.5,298.9,302.8,963.2,330.7
54,0,1.767,0.98,1,932.7,938.9,945.9,952.7,958.8,970.8,975.8,980.6,985.0,987.3,299.0,295.5,294.7,296.0,298.7,299.4,297.8,297.6,299.0,302.9,963.2,330.8
55,0,1.8,0.98,1,932.7,938.8,945.8,952.6,958.8,970.8,975.8,980.6,984.9,987.3,299.1,295.6,294.7,296.0,298.7,299.4,297.8,297.6,299.0,302.9,963.3,330.8
