frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0,0.98,1,991.9,995.6,1001.6,1008,1014.2,1026.9,1033.8,1041.1,1048.4,1054.1,249.4,244.6,242.8,243.2,245.2,243.6,240.4,238.8,239.4,243.1,1023.5,278.3
2,0,0.033,0.98,1,991.9,995.3,1001.1,1007.3,1013.3,1026.2,1033.1,1040.4,1047.8,1053.8,249.1,244.5,242.9,243.2,244.9,243.2,239.9,238.2,238.7,242.1,1022.9,277.9
3,0,0.067,0.98,1,991.5,995,1000.8,1007,1012.9,1025.9,1032.9,1040.1,1047.5,1053.6,248.7,244.1,242.5,242.9,244.6,242.9,239.6,238,238.5,241.9,1022.4,277.7
4,0,0.1,0.98,1,991.3,994.8,1000.6,1006.8,1012.7,1025.7,1032.7,1040,1047.3,1053.3,248.1,243.6,242,242.4,244.2,242.6,239.4,237.8,238.4,241.9,1022.1,277.4
5,0,0.133,0.98,1,990.9,994.4,1000.2,1006.4,1012.3,1025.2,1032.2,1039.4,1046.8,1052.9,247.8,243.3,241.7,242.2,244,242.4,239.2,237.5,238.1,241.5,1021.7,277.2
6,0,0.167,0.98,1,990.4,993.9,999.7,1005.9,1011.9,1024.8,1031.8,1039.1,1046.5,1052.5,247.7,243.1,241.4,241.8,243.7,242.1,238.8,237.1,237.7,241.2,1021.5,277
7,0,0.2,0.98,1,990.3,993.8,999.6,1005.8,1011.8,1024.6,1031.5,1038.8,1046.2,1052.3,247.5,242.9,241.2,241.6,243.4,241.7,238.5,236.9,237.5,241,1021.3,276.9
8,0,0.233,0.98,1,990.2,993.7,999.5,1005.8,1011.7,1024.5,1031.4,1038.8,1046.2,1052.2,247.4,242.8,241.1,241.4,243.2,241.6,238.3,236.8,237.4,240.9,1021.1,276.7
9,0,0.267,0.98,1,990.2,993.6,999.4,1005.7,1011.7,1024.3,1031.3,1038.7,1046.1,1052.2,247.4,242.7,241.1,241.4,243.3,241.7,238.4,236.8,237.4,241,1021,276.7
10,0,0.3,0.98,1,990.2,993.7,999.5,1005.8,1011.8,1024.4,1031.4,1038.7,1046.2,1052.3,247.2,242.6,241,241.5,243.3,241.7,238.4,236.9,237.5,241.1,1020.9,276.7
11,0,0.333,0.98,1,990.2,993.7,999.5,1005.9,1011.9,1024.3,1031.4,1038.7,1046.2,1052.3,247.2,242.5,240.9,241.3,243.1,241.5,238.2,236.6,237.3,241,1021,276.5
12,0,0.367,0.98,1,990.3,993.8,999.6,1005.9,1011.9,1024.5,1031.5,1038.8,1046.2,1052.3,246.8,242.2,240.6,240.9,242.7,241.1,237.8,236.3,237,240.6,1020.9,276.2
13,0,0.4,0.98,1,990.4,993.9,999.7,1006,1012,1024.6,1031.6,1038.9,1046.3,1052.4,246.7,242.1,240.5,240.8,242.5,241,237.7,236.1,236.8,240.4,1021.1,276
14,0,0.433,0.98,1,990.5,994,999.8,1006.1,1012,1024.4,1031.4,1038.8,1046.2,1052.3,246.6,241.9,240.3,240.7,242.4,240.7,237.4,235.9,236.6,240.3,1020.9,275.7
15,0,0.467,0.98,1,990.6,994.1,999.9,1006.2,1012.1,1024.4,1031.4,1038.8,1046.3,1052.4,246.6,242,240.4,240.7,242.4,240.8,237.5,236,236.7,240.4,1021,275.8
16,0,0.5,0.98,1,990.6,994.2,1000,1006.3,1012.2,1024.5,1031.5,1038.9,1046.3,1052.4,246.6,242,240.5,240.8,242.5,240.9,237.7,236.2,236.9,240.6,1021,275.9
17,0,0.533,0.98,1,990.7,994.3,1000.1,1006.4,1012.3,1024.6,1031.6,1038.9,1046.3,1052.4,246.7,242.1,240.5,240.9,242.6,241,237.7,236.2,236.9,240.5,1021.3,276.2
18,0,0.567,0.98,1,990.6,994.1,999.9,1006.2,1012.1,1024.7,1031.7,1038.9,1046.3,1052.4,246.7,242.2,240.6,241,242.7,241.1,237.8,236.3,236.9,240.4,1021.4,276.5
19,0,0.6,0.98,1,990.7,994.2,1000.1,1006.4,1012.3,1025,1032,1039.3,1046.7,1052.8,246.9,242.3,240.7,241.1,242.9,241.3,238,236.5,237.1,240.6,1021.7,276.7
20,0,0.633,0.98,1,991,994.5,1000.3,1006.6,1012.6,1025.1,1032.1,1039.4,1046.7,1052.8,247,242.4,240.8,241.2,243,241.4,238.1,236.5,237.1,240.7,1021.9,277
21,0,0.667,0.98,1,991.3,994.8,1000.6,1006.9,1012.8,1025.3,1032.3,1039.6,1047,1053,247,242.4,240.8,241.2,243,241.4,238.1,236.5,237.2,240.8,1022.1,277.1
22,0,0.7,0.98,1,991.5,994.9,1000.7,1007,1012.9,1025.4,1032.4,1039.7,1047.2,1053.2,247.3,242.6,240.9,241.3,243.1,241.5,238.2,236.6,237.2,240.9,1022.2,277.2
23,0,0.733,0.98,1,991.7,995.1,1000.9,1007.2,1013,1025.7,1032.6,1039.9,1047.3,1053.3,247.3,242.6,241,241.4,243.1,241.5,238.2,236.6,237.3,240.9,1022.4,277.2
24,0,0.767,0.98,1,992,995.4,1001.2,1007.4,1013.3,1025.9,1032.8,1040.1,1047.5,1053.5,247.5,242.7,241.1,241.4,243.1,241.6,238.2,236.7,237.4,241,1022.6,277.3
25,0,0.8,0.98,1,992.3,995.7,1001.4,1007.7,1013.5,1026.2,1033.2,1040.5,1047.9,1053.8,247.4,242.7,241,241.3,243.1,241.5,238.2,236.6,237.3,241,1022.9,277.4
26,0,0.833,0.98,1,992.5,996,1001.7,1008,1013.8,1026.6,1033.5,1040.8,1048.2,1054.1,247.4,242.6,241,241.3,243,241.5,238.2,236.6,237.3,241,1023.2,277.3
