frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.88,1,1058.2,1062.5,1069.1,1076.3,1083.1,1097.3,1104.2,1111.3,1118.5,1123.7,202.4,196.9,194.5,194.7,196.6,194.7,191.3,189.7,190.5,194.5,1094.5,232.8
2,0,0.033,0.88,1,1057.0,1061.3,1067.7,1074.7,1081.4,1096.5,1103.3,1110.1,1116.9,1121.9,202.5,197.3,195.0,195.1,196.8,194.7,191.4,189.7,190.3,193.9,1094.0,233.1
3,0,0.067,0.88,1,1055.3,1059.5,1066.0,1073.1,1079.9,1095.0,1101.7,1108.5,1115.4,1120.4,203.4,198.1,195.7,195.7,197.3,194.9,191.5,189.6,190.0,193.5,1093.3,233.3
4,0,0.1,0.93,1,1054.2,1058.4,1064.9,1072.0,1078.9,1093.8,1100.5,1107.3,1114.1,1119.2,203.9,198.6,196.0,195.9,197.5,195.0,191.5,189.5,189.7,193.1,1092.6,233.2
5,0,0.133,0.98,1,1053.1,1057.2,1063.7,1070.9,1077.9,1092.5,1099.2,1106.1,1113.0,1118.1,204.3,198.8,196.2,196.1,197.6,195.0,191.4,189.3,189.4,192.8,1091.7,233.0
6,0,0.167,0.98,1,1052.1,1056.1,1062.6,1069.7,1076.7,1091.4,1098.1,1104.9,1111.8,1116.9,204.4,199.0,196.3,196.1,197.6,194.8,191.2,189.1,189.2,192.5,1090.8,232.7
7,0,0.2,0.98,1,1050.9,1054.8,1061.2,1068.4,1075.4,1090.1,1096.7,1103.6,1110.4,1115.5,204.8,199.3,196.5,196.2,197.7,194.9,191.2,189.0,189.1,192.4,1089.8,232.7
8,0,0.233,0.98,1,1049.6,1053.5,1059.9,1067.1,1074.3,1088.8,1095.5,1102.4,1109.3,1114.4,204.9,199.4,196.5,196.3,197.7,194.9,191.1,188.9,189.0,192.3,1088.7,232.9
9,0,0.267,0.98,1,1048.1,1052.1,1058.5,1065.8,1072.9,1087.4,1094.2,1101.1,1108.1,1113.3,205.6,200.0,197.1,196.7,198.1,195.2,191.5,189.4,189.6,193.0,1087.3,233.4
10,0,0.3,0.98,1,1046.7,1050.6,1057.0,1064.2,1071.3,1085.9,1092.7,1099.6,1106.6,1111.8,206.3,200.7,197.8,197.4,198.7,195.8,192.1,190.0,190.0,193.4,1085.9,234.1
11,0,0.333,0.93,1,1045.9,1049.8,1056.2,1063.5,1070.7,1085.0,1091.9,1098.9,1106.0,1111.2,206.6,201.0,198.0,197.6,199.0,196.2,192.4,190.3,190.5,194.0,1084.9,234.3
12,0,0.367,0.93,1,1045.1,1048.9,1055.3,1062.6,1069.7,1084.0,1090.9,1097.9,1105.0,1110.3,206.4,200.9,198.1,197.8,199.1,196.4,192.6,190.5,190.8,194.2,1083.6,234.3
13,0,0.4,0.88,1,1043.9,1047.7,1054.1,1061.3,1068.4,1082.7,1089.6,1096.7,1103.9,1109.2,205.8,200.4,197.6,197.4,198.8,196.2,192.4,190.3,190.6,194.0,1082.0,234.0
14,0,0.433,0.88,1,1042.7,1046.6,1052.9,1060.1,1067.1,1081.5,1088.4,1095.5,1102.7,1108.1,205.1,199.7,197.1,197.0,198.4,195.8,192.0,189.9,190.1,193.4,1080.7,233.7
15,0,0.467,0.88,1,1041.5,1045.4,1051.8,1058.9,1065.9,1080.2,1087.1,1094.2,1101.4,1106.9,204.4,199.2,196.7,196.5,198.0,195.4,191.6,189.5,189.6,192.8,1079.4,233.1
16,0,0.5,0.88,1,1040.6,1044.5,1050.8,1057.8,1064.7,1079.2,1086.2,1093.2,1100.4,1105.9,203.7,198.5,196.1,196.0,197.4,194.8,191.1,189.0,189.1,192.3,1078.2,232.6
17,0,0.533,0.88,1,1040.0,1043.9,1050.2,1057.2,1064.0,1078.6,1085.6,1092.7,1099.8,1105.3,202.9,197.8,195.3,195.3,196.7,194.2,190.6,188.6,188.8,192.1,1077.2,232.1
