frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1061.2,1065.5,1071.9,1078.8,1085.2,1098.5,1105.6,1112.8,1120.0,1125.4,197.1,192.3,190.6,190.9,193.0,191.7,188.6,187.4,188.6,192.7,1093.9,226.1
2,0,0.033,0.98,1,1061.4,1065.7,1072.1,1078.8,1085.2,1099.1,1106.0,1113.2,1120.3,1125.6,197.4,192.7,191.0,191.4,193.6,192.3,189.3,188.0,188.9,192.8,1094.3,226.9
3,0,0.067,0.98,1,1061.5,1065.8,1072.1,1078.8,1085.1,1099.7,1106.6,1113.6,1120.6,1125.9,197.7,193.1,191.4,192.0,194.2,193.0,190.1,188.8,189.7,193.5,1094.6,227.9
4,0,0.1,0.98,1,1061.6,1065.9,1072.1,1078.7,1084.9,1099.9,1106.8,1113.8,1120.7,1125.8,198.0,193.5,191.9,192.5,194.7,193.6,190.8,189.6,190.5,194.3,1094.5,228.8
5,0,0.133,0.98,1,1061.5,1065.8,1072.0,1078.7,1085.0,1099.7,1106.7,1113.7,1120.7,1125.8,198.6,194.2,192.5,193.2,195.5,194.5,191.6,190.5,191.5,195.3,1094.2,229.5
6,0,0.167,0.98,1,1061.3,1065.6,1071.8,1078.5,1084.8,1099.4,1106.5,1113.6,1120.6,1125.7,199.0,194.5,192.9,193.6,195.9,195.0,192.2,191.0,192.1,195.9,1093.8,230.1
7,0,0.2,0.98,1,1061.1,1065.4,1071.7,1078.4,1084.7,1099.2,1106.3,1113.4,1120.4,1125.6,199.1,194.6,193.0,193.7,196.0,195.0,192.2,191.1,192.1,195.9,1093.7,230.2
8,0,0.233,0.98,1,1061.1,1065.4,1071.7,1078.3,1084.6,1099.2,1106.3,1113.4,1120.4,1125.5,199.2,194.7,193.0,193.6,195.9,194.9,192.1,191.0,192.0,195.9,1093.7,230.2
9,0,0.267,0.98,1,1061.3,1065.5,1071.8,1078.4,1084.7,1099.4,1106.4,1113.5,1120.5,1125.6,199.1,194.5,192.8,193.4,195.6,194.6,191.8,190.7,191.8,195.7,1093.8,230.1
10,0,0.3,0.98,1,1061.4,1065.6,1071.8,1078.5,1084.8,1099.5,1106.5,1113.6,1120.6,1125.7,198.8,194.2,192.5,193.1,195.3,194.2,191.5,190.4,191.4,195.3,1093.9,230.0
11,0,0.333,0.98,1,1061.4,1065.5,1071.8,1078.3,1084.6,1099.5,1106.5,1113.6,1120.5,1125.6,198.7,194.1,192.4,193.0,195.1,194.0,191.3,190.2,191.2,195.0,1093.9,229.8
12,0,0.367,0.98,1,1061.6,1065.7,1072.0,1078.6,1084.9,1099.7,1106.8,1113.8,1120.8,1125.9,198.4,193.6,191.9,192.5,194.6,193.6,191.0,189.9,190.9,194.9,1093.8,229.4
13,0,0.4,0.98,1,1061.7,1065.9,1072.2,1078.9,1085.2,1099.6,1106.6,1113.8,1120.8,1126.1,198.2,193.4,191.6,192.3,194.4,193.4,190.7,189.5,190.5,194.5,1093.9,229.1
14,0,0.433,0.98,1,1062.1,1066.3,1072.7,1079.4,1085.7,1099.7,1106.7,1113.9,1121.0,1126.3,197.7,193.0,191.3,191.9,194.0,193.0,190.3,189.1,190.1,194.1,1094.2,228.5
15,0,0.467,0.98,1,1062.3,1066.5,1072.9,1079.6,1086.0,1099.8,1106.9,1114.1,1121.2,1126.5,197.6,192.8,191.0,191.6,193.7,192.7,190.0,188.8,189.8,193.9,1094.4,228.1
16,0,0.5,0.98,1,1062.5,1066.7,1073.1,1079.8,1086.1,1100.0,1107.1,1114.2,1121.3,1126.6,197.4,192.5,190.7,191.3,193.3,192.3,189.7,188.6,189.5,193.6,1094.6,227.8
17,0,0.533,0.98,1,1062.9,1067.1,1073.6,1080.2,1086.6,1100.4,1107.5,1114.6,1121.7,1126.9,196.9,192.1,190.3,190.9,192.9,192.0,189.3,188.2,189.2,193.3,1094.9,227.6
18,0,0.567,0.98,1,1063.0,1067.2,1073.7,1080.4,1086.8,1100.7,1107.7,1114.9,1122.0,1127.3,196.9,192.0,190.3,190.8,192.9,191.9,189.2,188.1,189.1,193.2,1095.2,227.5
