frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,975.5,980.4,986.5,992.5,997.6,1009.4,1015.6,1021.6,1027.1,1030.2,311.2,307.9,307.6,309.4,312.7,314.4,313.1,313.4,315.7,320.1,999.1,343.0
2,0,0.033,0.98,1,975.2,980.3,986.4,992.3,997.4,1009.7,1015.8,1021.6,1026.9,1029.9,310.2,307.1,306.8,308.6,311.8,313.8,312.6,313.1,315.4,319.7,998.8,342.5
3,0,0.067,0.98,1,975.1,980.3,986.4,992.4,997.4,1009.5,1015.5,1021.4,1026.6,1029.6,309.0,306.0,305.8,307.7,311.0,313.1,312.0,312.6,315.0,319.4,998.3,341.6
4,0,0.1,0.98,1,974.8,980.0,986.2,992.1,997.0,1009.2,1015.2,1020.9,1026.1,1028.9,308.0,305.0,304.9,306.8,310.2,312.5,311.5,312.2,314.6,318.9,997.7,340.8
5,0,0.133,0.98,1,974.5,979.8,986.0,991.8,996.7,1008.7,1014.6,1020.2,1025.2,1027.9,307.1,304.1,304.1,306.0,309.4,311.8,310.9,311.7,314.2,318.6,996.9,339.9
6,0,0.167,0.98,1,973.0,978.5,984.7,990.6,995.6,1007.4,1013.3,1018.9,1023.9,1026.6,306.3,303.3,303.3,305.2,308.7,311.1,310.3,311.2,313.8,318.3,995.5,339.1
7,0,0.2,0.98,1,971.3,976.8,983.0,989.0,993.9,1005.6,1011.5,1017.0,1022.0,1024.7,305.8,302.8,302.8,304.7,308.3,310.7,309.9,310.8,313.3,317.9,993.9,338.6
8,0,0.233,0.98,1,968.6,974.1,980.3,986.3,991.2,1002.9,1008.8,1014.3,1019.3,1022.0,305.2,302.2,302.1,304.1,307.6,310.0,309.2,310.1,312.7,317.3,991.2,337.8
9,0,0.267,0.98,1,965.4,970.9,977.1,983.0,988.0,999.9,1005.7,1011.3,1016.2,1018.9,304.8,301.8,301.7,303.5,307.0,309.5,308.7,309.6,312.2,316.7,988.2,337.3
10,0,0.3,0.98,1,961.8,967.2,973.4,979.3,984.3,996.2,1002.1,1007.7,1012.6,1015.3,304.6,301.5,301.3,303.1,306.5,308.8,308.1,309.0,311.7,316.3,984.6,336.8
11,0,0.333,0.98,1,957.6,963.0,969.1,975.0,980.0,992.0,997.9,1003.6,1008.7,1011.5,304.6,301.4,301.2,302.9,306.2,308.5,307.7,308.6,311.2,315.7,980.5,336.5
12,0,0.367,0.98,1,953.1,958.4,964.5,970.4,975.4,987.5,993.4,999.2,1004.3,1007.3,304.7,301.5,301.2,302.8,306.1,308.2,307.3,308.2,310.7,315.3,976.2,336.4
