,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-34.19999999999993,-30.399999999999864,-24.299999999999955,-17.799999999999955,-11.599999999999909,1.5,8.0,14.900000000000091,22.0,27.800000000000182,-28.700000000000017,-33.400000000000006,-35.20000000000002,-34.900000000000006,-33.20000000000002,-35.5,-39.0,-41.10000000000002,-41.10000000000002,-38.0,1027.6,282.3
1,2,0,0.033,0.98,1,-34.60000000000002,-31.0,-25.0,-18.5,-12.200000000000045,1.2999999999999545,8.0,14.899999999999864,22.0,27.799999999999955,-28.69999999999999,-33.30000000000001,-35.19999999999999,-34.900000000000006,-33.19999999999999,-35.5,-39.0,-41.099999999999994,-41.19999999999999,-38.19999999999999,1026.7,282.5
2,3,0,0.067,0.98,1,-35.000000000000114,-31.40000000000009,-25.40000000000009,-18.90000000000009,-12.600000000000136,1.099999999999909,7.899999999999864,14.799999999999955,22.0,27.799999999999955,-28.900000000000034,-33.400000000000034,-35.20000000000002,-34.900000000000034,-33.20000000000002,-35.60000000000002,-39.10000000000002,-41.20000000000002,-41.400000000000034,-38.60000000000002,1025.9,282.6
3,4,0,0.1,0.98,1,-34.90000000000009,-31.300000000000068,-25.40000000000009,-18.90000000000009,-12.600000000000023,1.0,7.7999999999999545,14.700000000000045,21.899999999999864,27.700000000000045,-28.700000000000017,-33.30000000000001,-35.10000000000002,-34.80000000000001,-33.10000000000002,-35.50000000000003,-39.10000000000002,-41.30000000000001,-41.50000000000003,-38.70000000000002,1025.2,282.6
4,5,0,0.133,0.98,1,-34.89999999999998,-31.399999999999977,-25.5,-19.09999999999991,-12.699999999999932,1.0,7.7000000000000455,14.600000000000136,21.700000000000045,27.5,-28.80000000000001,-33.30000000000001,-35.20000000000002,-34.80000000000001,-33.20000000000002,-35.60000000000002,-39.10000000000002,-41.30000000000001,-41.50000000000003,-38.70000000000002,1024.8,282.6
5,6,0,0.167,0.98,1,-34.799999999999955,-31.199999999999932,-25.399999999999977,-19.0,-12.699999999999932,1.0,7.7000000000000455,14.600000000000136,21.700000000000045,27.5,-28.899999999999977,-33.39999999999998,-35.19999999999999,-34.89999999999998,-33.19999999999999,-35.599999999999994,-39.099999999999994,-41.29999999999998,-41.599999999999994,-38.79999999999998,1024.3,282.7
6,7,0,0.2,0.98,1,-35.0,-31.5,-25.59999999999991,-19.199999999999932,-12.799999999999955,0.7999999999999545,7.5,14.299999999999955,21.40000000000009,27.200000000000045,-28.69999999999999,-33.19999999999999,-35.099999999999966,-34.79999999999998,-33.099999999999966,-35.49999999999997,-39.099999999999966,-41.29999999999998,-41.599999999999966,-38.89999999999998,1024.3,282.9
7,8,0,0.233,0.98,1,-34.799999999999955,-31.299999999999955,-25.399999999999977,-19.100000000000023,-12.799999999999955,0.8000000000000682,7.399999999999977,14.300000000000068,21.399999999999977,27.199999999999932,-28.69999999999999,-33.30000000000001,-35.099999999999994,-34.80000000000001,-33.19999999999999,-35.599999999999994,-39.099999999999994,-41.400000000000006,-41.69999999999999,-39.0,1023.9,283.0
8,9,0,0.267,0.98,1,-35.0,-31.5,-25.59999999999991,-19.199999999999932,-12.899999999999977,0.7000000000000455,7.400000000000091,14.200000000000045,21.40000000000009,27.299999999999955,-28.700000000000017,-33.20000000000002,-35.10000000000002,-34.80000000000001,-33.10000000000002,-35.60000000000002,-39.20000000000002,-41.400000000000034,-41.80000000000001,-39.10000000000002,1023.8,283.1
9,10,0,0.3,0.98,1,-34.700000000000045,-31.200000000000045,-25.299999999999955,-19.0,-12.700000000000045,0.7999999999999545,7.5,14.400000000000091,21.5,27.40000000000009,-28.80000000000001,-33.30000000000001,-35.20000000000002,-34.80000000000001,-33.20000000000002,-35.60000000000002,-39.10000000000002,-41.400000000000034,-41.70000000000002,-39.00000000000003,1023.5,283.1
10,11,0,0.333,0.98,1,-34.39999999999998,-31.0,-25.199999999999932,-18.899999999999977,-12.699999999999932,0.6000000000000227,7.2000000000000455,14.200000000000045,21.40000000000009,27.5,-28.700000000000017,-33.10000000000002,-34.80000000000001,-34.60000000000002,-33.00000000000003,-35.50000000000003,-39.20000000000002,-41.50000000000003,-41.80000000000001,-39.00000000000003,1023.3,283.1
11,12,0,0.367,0.98,1,-33.80000000000007,-30.40000000000009,-24.700000000000045,-18.5,-12.400000000000091,0.8999999999999773,7.599999999999909,14.599999999999909,21.899999999999864,27.899999999999864,-28.600000000000023,-33.10000000000002,-34.900000000000034,-34.60000000000002,-33.10000000000002,-35.60000000000002,-39.20000000000002,-41.400000000000034,-41.60000000000002,-38.80000000000001,1022.7,283.1
12,13,0,0.4,0.98,1,-33.09999999999991,-29.799999999999955,-24.199999999999932,-18.09999999999991,-12.199999999999932,1.1000000000000227,7.7999999999999545,14.700000000000045,22.0,28.200000000000045,-28.200000000000017,-32.60000000000002,-34.30000000000001,-34.10000000000002,-32.80000000000001,-35.400000000000006,-39.0,-41.20000000000002,-41.400000000000006,-38.60000000000002,1022.3,282.8
13,14,0,0.433,0.98,1,-32.700000000000045,-29.5,-24.0,-17.899999999999977,-12.100000000000023,1.1000000000000227,7.800000000000068,14.699999999999932,21.899999999999977,28.199999999999932,-28.400000000000006,-32.80000000000001,-34.400000000000006,-34.20000000000002,-32.900000000000006,-35.400000000000006,-39.10000000000002,-41.30000000000001,-41.400000000000006,-38.60000000000002,1022.1,282.8
14,15,0,0.467,0.98,1,-32.5,-29.399999999999977,-23.799999999999955,-17.699999999999932,-12.0,1.1000000000000227,7.800000000000068,14.699999999999932,22.000000000000114,28.300000000000068,-28.30000000000001,-32.70000000000002,-34.30000000000001,-34.20000000000002,-32.900000000000034,-35.400000000000034,-39.10000000000002,-41.30000000000001,-41.30000000000001,-38.50000000000003,1021.9,282.6
15,16,0,0.5,0.98,1,-32.5,-29.300000000000068,-23.700000000000045,-17.600000000000023,-11.900000000000091,1.099999999999909,7.7000000000000455,14.700000000000045,22.0,28.299999999999955,-28.299999999999983,-32.599999999999966,-34.29999999999998,-34.099999999999966,-32.79999999999998,-35.29999999999998,-39.099999999999966,-41.29999999999998,-41.29999999999998,-38.49999999999997,1021.7,282.4
16,17,0,0.533,0.98,1,-32.39999999999998,-29.200000000000045,-23.700000000000045,-17.600000000000023,-11.899999999999977,1.1000000000000227,7.800000000000068,14.699999999999932,21.999999999999886,28.300000000000068,-28.0,-32.39999999999998,-34.099999999999994,-34.0,-32.79999999999998,-35.39999999999998,-39.099999999999994,-41.29999999999998,-41.29999999999998,-38.5,1021.6,282.2
17,18,0,0.567,0.98,1,-32.19999999999993,-29.100000000000023,-23.600000000000023,-17.5,-11.899999999999977,1.0,7.600000000000023,14.500000000000114,21.800000000000068,28.199999999999932,-27.80000000000001,-32.20000000000002,-33.900000000000006,-33.900000000000006,-32.60000000000002,-35.30000000000001,-39.0,-41.30000000000001,-41.30000000000001,-38.5,1021.4,281.8
18,19,0,0.6,0.98,1,-32.200000000000045,-29.0,-23.5,-17.600000000000023,-11.899999999999977,1.1000000000000227,7.699999999999932,14.600000000000023,21.899999999999977,28.199999999999932,-27.69999999999999,-32.099999999999994,-33.80000000000001,-33.80000000000001,-32.599999999999994,-35.30000000000001,-39.099999999999994,-41.30000000000001,-41.400000000000006,-38.599999999999994,1021.1,281.5
19,20,0,0.633,0.98,1,-32.19999999999993,-29.09999999999991,-23.5,-17.5,-11.799999999999955,1.0,7.600000000000136,14.600000000000136,22.0,28.299999999999955,-27.400000000000034,-31.900000000000034,-33.70000000000002,-33.80000000000001,-32.50000000000003,-35.20000000000002,-39.00000000000003,-41.20000000000002,-41.30000000000001,-38.400000000000034,1020.8,281.1
20,21,0,0.667,0.98,1,-32.0,-28.899999999999977,-23.300000000000068,-17.399999999999977,-11.700000000000045,1.0,7.600000000000023,14.600000000000023,21.999999999999886,28.399999999999977,-27.49999999999997,-32.099999999999966,-33.89999999999998,-33.89999999999998,-32.69999999999999,-35.39999999999998,-39.19999999999999,-41.39999999999998,-41.49999999999997,-38.599999999999966,1020.6,280.9
21,22,0,0.7,0.98,1,-32.19999999999993,-29.100000000000023,-23.5,-17.5,-11.799999999999955,0.8999999999999773,7.500000000000114,14.399999999999977,21.800000000000068,28.300000000000068,-27.5,-32.0,-33.79999999999998,-33.79999999999998,-32.599999999999994,-35.29999999999998,-39.099999999999994,-41.39999999999998,-41.5,-38.69999999999999,1020.4,280.7
22,23,0,0.733,0.98,1,-32.09999999999991,-28.899999999999977,-23.299999999999955,-17.299999999999955,-11.699999999999932,1.0,7.600000000000136,14.600000000000136,21.90000000000009,28.299999999999955,-27.69999999999999,-32.19999999999999,-33.89999999999998,-33.89999999999998,-32.69999999999999,-35.39999999999998,-39.099999999999994,-41.29999999999998,-41.5,-38.599999999999994,1020.3,280.7
23,24,0,0.767,0.98,1,-32.40000000000009,-29.200000000000045,-23.700000000000045,-17.700000000000045,-11.900000000000091,1.0,7.7000000000000455,14.700000000000045,22.0,28.399999999999864,-27.700000000000017,-32.30000000000001,-34.10000000000002,-34.10000000000002,-32.900000000000006,-35.60000000000002,-39.30000000000001,-41.5,-41.60000000000002,-38.80000000000001,1020.2,280.8
24,25,0,0.8,0.98,1,-32.5,-29.300000000000068,-23.800000000000068,-17.700000000000045,-11.900000000000091,0.8999999999999773,7.5,14.5,21.799999999999955,28.09999999999991,-28.0,-32.599999999999994,-34.29999999999998,-34.29999999999998,-33.0,-35.69999999999999,-39.39999999999998,-41.599999999999994,-41.79999999999998,-38.89999999999998,1020.2,281.2
