frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1090.6,1095.3,1101.7,1108.1,1113.9,1127.3,1134.1,1140.9,1147.5,1151.9,216.3,212.1,211.0,212.1,214.8,214.9,212.6,212.0,213.5,217.7,1119.7,249.5
2,0,0.033,0.98,1,1088.5,1093.1,1099.4,1105.6,1111.4,1125.3,1132.0,1138.7,1145.2,1149.6,216.0,211.9,210.8,211.9,214.5,214.5,212.2,211.6,213.0,217.1,1117.7,249.4
3,0,0.067,0.98,1,1086.8,1091.3,1097.5,1103.8,1109.5,1123.2,1129.9,1136.6,1143.1,1147.6,216.0,211.9,210.8,211.8,214.4,214.2,211.8,211.1,212.5,216.6,1115.8,249.2
4,0,0.1,0.98,1,1085.1,1089.7,1095.9,1102.1,1107.9,1121.4,1128.1,1134.9,1141.4,1145.9,215.9,211.8,210.6,211.6,214.2,214.0,211.5,210.8,212.0,216.0,1114.4,248.9
5,0,0.133,0.98,1,1083.8,1088.3,1094.5,1100.7,1106.5,1119.9,1126.5,1133.3,1139.8,1144.5,215.9,211.8,210.7,211.6,214.2,213.8,211.3,210.5,211.6,215.6,1113.2,248.8
6,0,0.167,0.98,1,1082.6,1087.1,1093.3,1099.6,1105.3,1118.8,1125.5,1132.2,1138.8,1143.4,215.9,211.8,210.6,211.5,214.0,213.6,211.1,210.2,211.3,215.3,1112.3,248.7
7,0,0.2,0.98,1,1081.7,1086.2,1092.4,1098.7,1104.4,1117.6,1124.2,1131.0,1137.6,1142.3,216.2,212.0,210.9,211.8,214.3,213.8,211.2,210.2,211.3,215.2,1111.5,248.7
8,0,0.233,0.98,1,1081.2,1085.7,1091.8,1098.1,1103.8,1117.1,1123.7,1130.4,1137.0,1141.8,216.3,212.1,211.0,211.9,214.4,213.9,211.3,210.4,211.4,215.3,1110.9,248.7
9,0,0.267,0.98,1,1080.7,1085.2,1091.3,1097.5,1103.3,1116.6,1123.2,1129.9,1136.6,1141.3,216.4,212.2,211.1,212.0,214.5,214.0,211.3,210.3,211.3,215.2,1110.5,248.9
10,0,0.3,0.98,1,1080.5,1085.0,1091.1,1097.2,1102.9,1116.2,1122.7,1129.4,1136.0,1140.8,216.4,212.3,211.1,212.1,214.6,214.0,211.4,210.4,211.4,215.2,1110.1,249.0
