frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,906.3,911.6,918.5,925.4,931.4,943.5,949.2,954.8,960.0,963.2,299.0,294.8,293.6,294.6,297.0,297.1,295.1,294.7,296.3,300.6,936.9,330.0
2,0,0.033,0.98,1,906.8,912.1,918.8,925.6,931.6,944.1,949.8,955.2,960.2,963.4,299.2,295.0,293.7,294.6,296.9,296.9,295.0,294.6,296.3,300.5,937.2,330.0
3,0,0.067,0.98,1,906.6,912.0,918.8,925.7,931.9,944.5,950.0,955.3,960.3,963.2,299.5,295.2,293.8,294.7,297.1,297.1,295.2,294.8,296.4,300.6,938.0,330.0
4,0,0.1,0.98,1,906.6,912.1,918.9,925.8,932.1,944.8,950.3,955.6,960.6,963.4,299.5,295.2,293.7,294.6,297.0,297.1,295.2,294.8,296.3,300.4,938.2,330.0
5,0,0.133,0.98,1,907.3,912.6,919.3,926.1,932.2,944.7,950.3,955.7,960.8,964.0,298.9,294.7,293.4,294.2,296.5,296.5,294.6,294.2,295.8,299.9,937.9,329.7
6,0,0.167,0.98,1,907.7,913.0,919.7,926.4,932.3,945.1,950.6,955.9,960.9,964.1,298.5,294.3,293.1,294.0,296.3,296.4,294.5,294.2,295.8,299.9,938.0,329.5
7,0,0.2,0.98,1,907.3,912.7,919.5,926.3,932.5,945.3,950.8,956.1,961.0,963.8,298.8,294.5,293.1,294.1,296.4,296.5,294.7,294.4,296.1,300.4,938.6,329.4
8,0,0.233,0.98,1,907.4,912.8,919.6,926.3,932.4,945.3,950.7,956.0,960.8,963.6,298.6,294.4,293.0,293.9,296.3,296.4,294.6,294.2,295.7,299.8,938.6,329.3
9,0,0.267,0.98,1,907.6,912.9,919.6,926.2,932.2,944.9,950.5,955.8,960.8,964.0,298.1,294.0,292.8,293.7,296.0,296.1,294.2,293.9,295.4,299.5,937.8,329.0
10,0,0.3,0.98,1,907.7,913.1,919.8,926.5,932.4,945.1,950.7,956.0,961.0,964.1,297.9,293.9,292.7,293.7,295.9,296.1,294.3,294.0,295.6,299.8,937.8,329.0
11,0,0.333,0.98,1,907.4,912.9,919.6,926.3,932.4,945.3,950.8,956.0,960.8,963.7,298.0,294.0,292.7,293.7,296.0,296.2,294.5,294.2,295.8,300.0,938.3,329.1
12,0,0.367,0.98,1,907.2,912.7,919.4,926.0,932.1,945.3,950.6,955.7,960.5,963.2,298.0,293.9,292.6,293.6,295.9,296.1,294.4,294.1,295.5,299.6,938.3,329.0
13,0,0.4,0.98,1,906.9,912.4,919.1,925.7,931.8,944.9,950.2,955.3,960.0,962.7,298.1,294.0,292.6,293.6,295.9,296.1,294.4,294.0,295.4,299.4,938.2,328.9
14,0,0.433,0.98,1,906.7,912.2,918.8,925.5,931.5,944.5,949.8,954.9,959.6,962.2,298.1,294.0,292.6,293.6,295.9,296.0,294.3,293.9,295.2,299.2,937.9,328.9
15,0,0.467,0.98,1,906.2,911.7,918.4,925.0,931.1,944.2,949.4,954.5,959.2,961.9,298.3,294.1,292.7,293.6,296.0,296.1,294.3,293.9,295.3,299.3,937.7,328.9
16,0,0.5,0.98,1,905.8,911.3,918.0,924.7,930.8,943.7,949.0,954.1,958.9,961.5,298.5,294.3,292.8,293.7,296.2,296.3,294.5,294.1,295.6,299.7,937.2,329.0
17,0,0.533,0.98,1,906.0,911.3,917.8,924.3,930.1,942.9,948.2,953.3,958.1,961.1,298.2,294.3,293.1,294.0,296.2,296.2,294.3,293.8,295.2,299.1,936.2,329.1
18,0,0.567,0.98,1,904.7,910.1,916.8,923.5,929.7,942.6,947.9,953.1,957.9,960.7,299.0,294.8,293.4,294.3,296.6,296.6,294.7,294.3,295.7,299.7,936.2,329.4
19,0,0.6,0.98,1,904.1,909.4,916.1,922.9,929.1,942.1,947.5,952.7,957.5,960.3,299.4,295.1,293.6,294.5,296.7,296.6,294.8,294.3,295.6,299.6,935.9,329.5
20,0,0.633,0.98,1,903.9,909.2,915.8,922.5,928.6,941.5,946.9,952.1,957.0,960.0,299.3,295.1,293.8,294.6,296.8,296.7,294.8,294.4,295.8,299.8,935.2,329.5
21,0,0.667,0.98,1,902.9,908.2,915.0,921.8,928.1,941.0,946.4,951.6,956.6,959.6,299.7,295.3,293.8,294.6,296.8,296.6,294.7,294.2,295.4,299.5,935.1,329.4
22,0,0.7,0.98,1,902.6,907.9,914.7,921.5,927.7,940.5,945.9,951.2,956.2,959.4,299.6,295.3,293.9,294.7,296.8,296.6,294.6,294.1,295.5,299.5,934.6,329.2
23,0,0.733,0.98,1,902.2,907.6,914.3,921.0,927.3,940.3,945.6,950.9,955.8,958.9,299.4,295.1,293.6,294.4,296.5,296.3,294.4,293.8,295.0,299.0,934.5,329.1
24,0,0.767,0.98,1,902.4,907.7,914.4,921.1,927.2,939.9,945.3,950.6,955.6,958.8,299.0,294.9,293.6,294.4,296.5,296.3,294.3,293.7,295.0,298.9,934.1,329.0
25,0,0.8,0.98,1,902.0,907.4,914.2,920.8,927.0,940.2,945.5,950.6,955.5,958.6,298.9,294.7,293.3,294.2,296.4,296.1,294.2,293.5,294.6,298.4,934.2,329.0
26,0,0.833,0.98,1,902.6,908.0,914.6,921.2,927.1,940.2,945.5,950.6,955.5,958.8,298.5,294.6,293.4,294.3,296.4,296.2,294.2,293.6,294.7,298.5,933.9,329.0
27,0,0.867,0.93,1,902.6,908.0,914.6,921.2,927.2,940.4,945.6,950.7,955.5,958.6,299.4,295.4,294.1,295.0,297.1,296.9,295.1,294.6,295.6,299.3,934.2,329.4
28,0,0.9,0.98,1,903.1,908.3,914.8,921.4,927.5,940.6,945.8,950.8,955.5,958.8,300.0,296.0,294.8,295.6,297.7,297.5,295.7,295.2,296.3,300.0,934.2,329.8
