frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,996.8,1000.6,1006.7,1013.2,1019.4,1032.9,1039.8,1046.8,1054.0,1059.7,253.8,249.2,247.5,247.9,249.8,247.9,244.6,242.8,243.1,246.5,1030.3,284.3
2,0,0.033,0.98,1,996.1,1000.0,1006.1,1012.5,1018.7,1033.0,1039.9,1046.8,1053.7,1059.5,253.7,249.3,247.6,248.1,249.7,247.7,244.5,242.7,242.9,245.9,1030.4,284.5
3,0,0.067,0.98,1,995.8,999.7,1005.8,1012.2,1018.5,1032.6,1039.4,1046.4,1053.5,1059.2,253.9,249.4,247.7,248.2,249.9,247.9,244.7,242.8,242.9,246.0,1030.1,284.6
4,0,0.1,0.98,1,995.7,999.6,1005.7,1012.1,1018.3,1032.2,1039.1,1046.1,1053.2,1058.9,253.8,249.4,247.7,248.2,250.0,248.0,244.8,242.8,242.9,246.0,1029.8,284.6
5,0,0.133,0.98,1,995.5,999.5,1005.5,1011.9,1018.1,1032.1,1038.9,1045.8,1052.8,1058.5,253.8,249.4,247.8,248.3,250.0,248.0,244.7,242.8,242.9,246.0,1029.7,284.7
6,0,0.167,0.98,1,995.3,999.3,1005.2,1011.5,1017.7,1031.8,1038.7,1045.5,1052.5,1058.2,253.8,249.5,247.8,248.3,250.1,248.0,244.8,242.9,243.0,246.0,1029.3,284.7
7,0,0.2,0.98,1,995.1,999.0,1005.0,1011.3,1017.5,1031.5,1038.3,1045.2,1052.1,1057.8,254.0,249.6,247.9,248.4,250.1,248.1,244.8,242.9,243.0,246.0,1029.1,284.6
8,0,0.233,0.98,1,994.7,998.5,1004.4,1010.8,1017.0,1031.1,1037.9,1044.9,1051.9,1057.6,254.1,249.5,247.7,248.2,249.9,247.9,244.6,242.8,242.9,246.0,1028.6,284.5
9,0,0.267,0.98,1,994.1,997.9,1003.9,1010.3,1016.5,1030.6,1037.5,1044.5,1051.6,1057.3,253.9,249.3,247.5,247.9,249.6,247.6,244.3,242.5,242.6,245.7,1028.3,284.3
10,0,0.3,0.98,1,993.9,997.7,1003.7,1010.1,1016.3,1030.3,1037.2,1044.2,1051.4,1057.1,253.8,249.2,247.3,247.8,249.5,247.4,244.2,242.3,242.6,245.8,1027.8,284.0
11,0,0.333,0.98,1,994.5,998.0,1003.8,1010.1,1016.0,1029.4,1036.3,1043.4,1050.7,1056.7,254.0,249.4,247.7,248.0,249.6,247.5,244.1,242.2,242.5,245.8,1026.8,283.8
12,0,0.367,0.98,1,994.3,997.8,1003.6,1009.8,1015.6,1029.0,1035.8,1043.0,1050.3,1056.4,254.1,249.6,247.9,248.1,249.6,247.5,244.0,242.2,242.6,245.9,1026.3,283.7
13,0,0.4,0.98,1,993.9,997.3,1003.0,1009.1,1014.9,1028.4,1035.3,1042.4,1049.8,1055.9,254.4,249.8,248.0,248.1,249.5,247.4,243.9,242.0,242.5,245.9,1025.7,283.8
14,0,0.433,0.98,1,993.5,996.9,1002.6,1008.7,1014.5,1028.1,1034.9,1042.1,1049.4,1055.4,254.5,249.8,248.0,248.1,249.5,247.3,243.8,242.0,242.5,246.0,1025.3,283.8
15,0,0.467,0.98,1,993.1,996.5,1002.2,1008.3,1014.0,1027.7,1034.5,1041.5,1048.8,1054.9,254.9,250.2,248.5,248.5,249.9,247.7,244.2,242.4,242.8,246.2,1025.0,284.1
16,0,0.5,0.98,1,992.6,996.0,1001.6,1007.7,1013.5,1027.2,1034.0,1041.0,1048.3,1054.3,255.1,250.5,248.7,248.8,250.1,247.8,244.4,242.5,242.9,246.2,1024.6,284.3
