frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,939.8,946.8,953.3,958.8,962.8,971.8,976.3,980.1,982.8,983.0,312.4,311.9,314.3,318.4,323.5,329.5,330.6,333.0,336.7,341.7,955.4,351.9
2,0,0.033,0.98,1,939.1,946.1,952.5,957.9,961.9,971.1,975.5,979.2,982.0,982.4,312.5,312.1,314.4,318.5,323.6,329.6,330.5,332.7,336.1,340.9,955.3,352.4
3,0,0.067,0.98,1,938.0,945.0,951.5,957.0,961.2,970.3,974.7,978.4,981.2,981.5,312.6,311.9,314.1,318.2,323.3,329.1,330.0,332.2,335.6,340.4,954.9,352.2
4,0,0.1,0.98,1,936.7,943.6,950.1,955.7,960.0,969.2,973.6,977.2,980.0,980.3,312.3,311.5,313.6,317.5,322.5,328.1,329.0,331.0,334.4,339.2,954.2,351.4
5,0,0.133,0.98,1,934.5,941.4,948.1,953.8,958.2,967.5,971.9,975.6,978.5,978.9,311.4,310.4,312.3,316.1,320.9,326.3,327.0,328.9,332.3,337.2,953.1,350.0
6,0,0.167,0.98,1,932.0,938.9,945.7,951.7,956.3,965.6,970.2,974.0,977.0,977.5,310.6,309.3,311.0,314.6,319.4,324.3,324.9,326.8,330.1,334.9,952.0,348.6
7,0,0.2,0.98,1,929.6,936.4,943.3,949.4,954.2,964.0,968.5,972.4,975.4,976.1,309.9,308.3,309.7,313.1,317.7,322.4,322.9,324.6,327.8,332.7,950.8,347.2
8,0,0.233,0.98,1,927.4,934.2,941.2,947.4,952.5,962.3,966.8,970.8,974.0,974.9,310.0,308.1,309.3,312.5,316.9,321.2,321.5,323.0,326.0,330.8,949.9,346.5
9,0,0.267,0.98,1,926.0,932.6,939.5,945.7,950.9,960.9,965.4,969.4,972.6,973.6,310.2,308.1,309.0,312.0,316.3,320.3,320.4,321.8,324.7,329.3,949.4,346.1
10,0,0.3,0.98,1,924.9,931.5,938.4,944.7,949.8,959.8,964.4,968.4,971.7,972.8,310.0,307.7,308.4,311.2,315.4,319.1,319.1,320.4,323.2,327.8,949.1,345.2
11,0,0.333,0.98,1,923.3,929.9,936.8,943.2,948.5,958.7,963.2,967.3,970.8,972.0,309.9,307.4,307.9,310.5,314.6,318.0,317.8,319.0,321.7,326.4,948.7,344.4
12,0,0.367,0.98,1,921.4,927.9,934.9,941.4,946.8,957.2,961.8,966.0,969.6,971.1,309.9,307.3,307.6,310.0,313.8,316.9,316.5,317.6,320.2,324.8,948.0,343.7
13,0,0.4,0.98,1,918.5,925.0,932.0,938.6,944.3,955.0,959.7,964.1,967.9,969.6,310.1,307.2,307.2,309.4,313.1,315.9,315.4,316.4,318.9,323.4,946.2,343.1
14,0,0.433,0.98,1,915.3,921.7,928.8,935.4,941.2,951.9,956.7,961.3,965.4,967.2,310.5,307.4,307.2,309.2,312.8,315.3,314.7,315.5,317.9,322.4,943.6,342.8
15,0,0.467,0.98,1,912.0,918.3,925.4,932.1,937.9,948.6,953.6,958.3,962.6,964.5,310.8,307.6,307.2,309.1,312.7,315.0,314.3,315.0,317.3,321.9,940.4,342.7
16,0,0.5,0.98,1,908.4,914.7,921.8,928.5,934.4,945.1,950.2,955.2,959.7,961.9,311.3,308.0,307.5,309.3,312.8,314.9,314.1,314.8,317.0,321.5,937.2,342.8
17,0,0.533,0.98,1,904.9,911.1,918.1,924.9,930.8,941.8,947.0,952.1,956.7,959.0,311.7,308.3,307.6,309.4,312.8,314.8,313.9,314.5,316.6,321.1,933.8,342.9
18,0,0.567,0.98,1,901.5,907.5,914.5,921.1,927.1,938.2,943.4,948.5,953.2,955.7,312.2,308.6,307.9,309.5,312.8,314.6,313.6,314.1,316.1,320.5,930.5,342.8
19,0,0.6,0.98,1,897.9,903.8,910.5,917.0,922.9,934.7,940.0,945.1,949.9,952.7,312.7,309.0,308.2,309.5,312.6,314.2,313.2,313.6,315.5,319.8,927.0,342.7
20,0,0.633,0.98,1,894.4,900.1,906.8,913.3,919.1,931.0,936.4,941.7,946.7,949.7,313.4,309.7,308.9,310.1,312.9,314.2,313.1,313.5,315.4,319.8,923.4,343.0
21,0,0.667,0.98,1,890.7,896.2,902.9,909.5,915.3,927.3,933.0,938.5,943.7,947.0,314.4,310.6,309.6,310.8,313.5,314.5,313.2,313.5,315.5,319.9,919.8,343.6
22,0,0.7,0.98,1,887.6,893.0,899.6,906.1,912.0,923.9,929.7,935.3,940.6,944.0,315.4,311.5,310.5,311.5,314.1,314.8,313.4,313.6,315.5,319.9,916.8,344.1
23,0,0.733,0.98,1,884.3,889.5,896.1,902.6,908.4,920.5,926.4,932.1,937.6,941.2,316.4,312.4,311.3,312.1,314.6,315.2,313.7,313.8,315.7,320.0,913.6,344.8
24,0,0.767,0.98,1,881.3,886.5,892.9,899.3,905.1,917.4,923.3,929.1,934.7,938.5,317.1,313.1,311.8,312.7,315.1,315.5,313.9,313.9,315.7,319.9,910.5,345.4
25,0,0.8,0.98,1,878.8,883.8,890.1,896.4,902.2,914.5,920.4,926.3,932.0,935.9,317.7,313.6,312.4,313.2,315.6,316.0,314.3,314.2,315.8,319.9,907.6,345.9
26,0,0.833,0.98,1,876.4,881.2,887.6,893.9,899.7,911.8,917.9,924.0,929.9,934.0,318.3,314.1,312.9,313.6,316.0,316.3,314.4,314.3,315.9,320.0,905.1,346.3
27,0,0.867,0.98,1,874.5,879.2,885.5,891.8,897.6,909.7,915.8,922.0,927.9,932.2,318.7,314.5,313.2,313.9,316.2,316.3,314.5,314.3,315.8,319.9,903.1,346.3
28,0,0.9,0.98,1,872.9,877.6,883.8,889.9,895.6,907.8,913.9,920.1,926.1,930.4,318.9,314.6,313.3,313.9,316.1,316.2,314.3,314.0,315.4,319.5,901.4,346.2
29,0,0.933,0.98,1,871.2,875.8,881.9,888.0,893.8,906.0,912.1,918.3,924.4,928.9,319.2,314.9,313.5,314.0,316.2,316.0,314.0,313.6,315.0,319.0,899.9,346.2
30,0,0.967,0.98,1,869.9,874.4,880.4,886.5,892.1,904.4,910.5,916.7,922.8,927.3,319.7,315.3,313.8,314.2,316.2,315.9,313.8,313.3,314.6,318.5,898.7,346.2
31,0,1.0,0.98,1,868.7,873.0,878.9,885.0,890.7,902.9,909.0,915.2,921.3,926.0,320.3,315.9,314.2,314.6,316.4,315.9,313.7,313.1,314.3,318.1,897.7,346.3
32,0,1.033,0.98,1,867.7,871.9,877.8,883.8,889.5,901.7,907.9,914.1,920.4,925.0,321.0,316.5,314.8,315.0,316.8,316.1,313.8,313.2,314.4,318.2,896.8,346.5
33,0,1.067,0.98,1,866.7,870.8,876.6,882.6,888.3,900.7,906.8,913.0,919.3,924.0,321.7,317.2,315.4,315.5,317.1,316.2,313.8,313.1,314.2,317.9,896.3,346.6
