frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1021.5,1025.3,1031.4,1037.9,1044.1,1057.7,1064.6,1071.8,1079.1,1085.1,214.3,209.5,207.7,207.9,209.7,207.5,204.0,202.0,202.2,205.6,1055.6,243.7
2,0,0.033,0.98,1,1021.7,1025.4,1031.5,1037.9,1044.1,1058.8,1065.7,1072.8,1080.0,1085.8,215.1,210.5,208.6,208.9,210.6,208.2,204.8,202.7,202.7,205.8,1056.7,244.9
3,0,0.067,0.98,1,1021.8,1025.7,1031.7,1038.2,1044.6,1059.5,1066.4,1073.5,1080.7,1086.6,215.9,211.3,209.3,209.6,211.3,208.8,205.3,203.1,203.0,205.9,1057.7,245.5
4,0,0.1,0.98,1,1022.9,1026.7,1032.8,1039.3,1045.7,1060.6,1067.5,1074.6,1081.8,1087.7,216.1,211.4,209.4,209.7,211.4,208.8,205.3,203.1,202.9,205.8,1058.9,245.5
5,0,0.133,0.98,1,1024.6,1028.4,1034.5,1041.0,1047.4,1061.9,1068.8,1075.9,1083.2,1089.1,215.8,211.1,209.0,209.2,210.9,208.4,204.9,202.7,202.5,205.5,1060.3,244.7
6,0,0.167,0.98,1,1026.1,1029.9,1036.0,1042.5,1048.9,1063.4,1070.3,1077.4,1084.8,1090.7,214.8,210.1,208.0,208.3,209.9,207.3,203.7,201.5,201.2,204.1,1061.9,243.7
7,0,0.2,0.98,1,1028.0,1031.7,1037.8,1044.3,1050.6,1065.1,1072.0,1079.2,1086.5,1092.5,213.4,208.6,206.6,206.8,208.4,205.8,202.3,200.0,199.9,202.8,1063.5,242.2
8,0,0.233,0.98,1,1030.2,1033.9,1039.9,1046.3,1052.5,1067.0,1073.9,1081.0,1088.4,1094.6,211.8,207.1,205.2,205.4,207.0,204.4,200.8,198.5,198.4,201.4,1065.2,240.6
9,0,0.267,0.98,1,1032.1,1035.9,1042.1,1048.6,1054.9,1069.2,1076.2,1083.4,1090.9,1096.9,210.3,205.6,203.7,204.1,205.8,203.4,199.8,197.6,197.5,200.6,1067.3,239.6
10,0,0.3,0.98,1,1034.4,1038.3,1044.5,1051.1,1057.5,1071.5,1078.5,1085.7,1093.2,1099.2,209.5,204.9,203.1,203.5,205.4,203.1,199.6,197.3,197.2,200.3,1069.5,239.0
