frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.93,1,962.8,966.7,972.1,977.5,982.5,993.6,999.8,1006.3,1012.6,1017.4,317.0,313.2,312.1,312.9,315.1,314.9,312.8,312.5,314.0,317.9,986.6,344.1
2,0,0.033,0.98,1,961.3,965.2,970.6,976.0,980.9,992.0,998.3,1004.7,1010.9,1015.8,317.0,313.2,312.3,313.1,315.2,315.1,312.9,312.6,314.0,317.8,985.0,344.4
3,0,0.067,0.98,1,959.6,963.5,968.8,974.2,979.0,990.9,997.1,1003.3,1009.3,1014.0,317.2,313.5,312.4,313.1,315.1,314.9,312.9,312.6,314.1,317.9,983.8,344.6
4,0,0.1,0.98,1,957.5,961.5,966.9,972.4,977.4,989.2,995.4,1001.6,1007.7,1012.3,317.9,314.0,312.8,313.3,315.4,315.2,313.2,312.8,314.2,318.0,982.5,345.0
5,0,0.133,0.98,1,956.2,960.2,965.6,971.1,976.0,987.9,994.0,1000.2,1006.3,1011.0,318.1,314.2,313.1,313.7,315.7,315.4,313.4,313.0,314.4,318.2,981.1,345.3
6,0,0.167,0.98,1,954.7,958.7,964.0,969.5,974.5,986.5,992.6,998.8,1004.8,1009.4,318.4,314.5,313.2,313.7,315.7,315.4,313.4,313.0,314.3,318.0,980.0,345.4
7,0,0.2,0.98,1,953.5,957.5,962.9,968.4,973.5,985.2,991.4,997.6,1003.8,1008.5,318.8,314.9,313.6,314.1,316.1,315.7,313.6,313.2,314.5,318.2,979.0,345.5
8,0,0.233,0.98,1,952.1,956.2,961.6,967.0,972.1,984.2,990.3,996.5,1002.6,1007.3,319.1,315.1,313.7,314.1,316.1,315.6,313.6,313.2,314.4,318.1,977.9,345.7
9,0,0.267,0.98,1,951.2,955.3,960.7,966.3,971.5,983.4,989.5,995.8,1001.9,1006.5,319.3,315.1,313.7,314.1,316.1,315.6,313.6,313.2,314.5,318.2,977.2,345.8
10,0,0.3,0.98,1,950.5,954.6,960.1,965.7,970.9,982.4,988.5,994.8,1001.1,1005.9,319.1,315.0,313.7,314.2,316.3,315.9,313.8,313.2,314.3,317.9,976.1,345.6
11,0,0.333,0.98,1,950.3,954.4,959.9,965.4,970.5,982.5,988.6,994.7,1000.8,1005.5,318.3,314.4,313.2,313.7,315.7,315.5,313.6,313.2,314.6,318.3,975.6,345.4
12,0,0.367,0.98,1,949.5,953.7,959.2,964.8,969.8,982.0,988.1,994.3,1000.4,1004.9,318.1,314.1,312.8,313.3,315.4,315.2,313.4,313.1,314.5,318.2,975.0,345.2
13,0,0.4,0.98,1,948.7,952.9,958.5,964.1,969.3,980.7,987.0,993.4,999.8,1004.6,318.0,313.9,312.6,313.2,315.5,315.4,313.4,313.0,314.4,318.3,973.8,344.8
14,0,0.433,0.98,1,948.0,952.2,957.8,963.4,968.4,979.9,986.3,992.8,999.1,1004.0,317.5,313.5,312.3,313.0,315.1,315.1,313.2,313.0,314.6,318.6,972.5,344.5
15,0,0.467,0.98,1,946.8,950.9,956.5,962.0,967.1,978.5,984.8,991.3,997.7,1002.5,317.4,313.3,312.2,312.8,315.0,315.0,313.1,312.9,314.4,318.3,971.1,344.3
16,0,0.5,0.93,1,945.7,949.8,955.3,960.8,965.8,977.1,983.6,990.1,996.6,1001.5,317.2,313.1,312.1,312.7,314.9,314.9,313.0,312.9,314.5,318.6,969.3,344.2
17,0,0.533,0.98,1,944.2,948.3,953.8,959.3,964.2,975.5,982.0,988.6,995.0,1000.0,317.2,313.2,312.1,312.7,314.9,314.9,313.0,312.9,314.5,318.6,967.7,344.1
18,0,0.567,0.98,1,943.0,947.1,952.4,957.9,962.7,973.8,980.3,986.9,993.4,998.4,317.2,313.2,312.2,312.9,315.1,315.1,313.2,313.0,314.7,318.8,965.9,344.4
19,0,0.6,0.98,1,941.6,945.6,950.9,956.2,961.0,972.2,978.7,985.3,991.8,996.8,317.3,313.5,312.6,313.3,315.5,315.5,313.6,313.5,315.1,319.2,964.3,344.8
20,0,0.633,0.98,1,940.4,944.3,949.5,954.8,959.6,970.8,977.3,984.0,990.5,995.5,317.5,313.7,312.8,313.6,315.8,315.9,313.9,313.8,315.6,319.6,962.7,345.2
21,0,0.667,0.98,1,938.8,942.6,947.8,953.1,957.9,969.1,975.7,982.4,988.9,994.0,318.1,314.2,313.2,314.0,316.2,316.2,314.3,314.2,315.9,320.0,961.1,345.6
22,0,0.7,0.98,1,937.6,941.5,946.7,952.0,956.7,967.8,974.4,981.1,987.7,992.9,318.3,314.4,313.5,314.3,316.5,316.5,314.6,314.4,316.2,320.3,959.8,345.9
23,0,0.733,0.98,1,936.5,940.3,945.6,950.9,955.7,966.8,973.4,980.1,986.7,991.8,318.3,314.5,313.6,314.3,316.6,316.7,314.8,314.7,316.4,320.5,958.8,346.2
24,0,0.767,0.98,1,935.4,939.3,944.6,949.9,954.7,965.8,972.4,979.2,985.8,990.9,318.8,314.9,314.0,314.7,317.0,317.1,315.1,315.0,316.7,320.9,957.8,346.6
25,0,0.8,0.98,1,934.2,938.1,943.5,948.9,953.7,965.0,971.6,978.5,985.1,990.2,319.1,315.2,314.2,314.9,317.2,317.3,315.3,315.3,317.1,321.3,956.9,346.9
26,0,0.833,0.98,1,933.4,937.4,942.8,948.2,953.1,964.3,971.0,977.8,984.4,989.4,319.2,315.2,314.3,315.1,317.4,317.5,315.6,315.5,317.3,321.4,956.2,347.2
27,0,0.867,0.98,1,932.5,936.5,942.0,947.5,952.4,963.6,970.2,976.9,983.4,988.5,319.4,315.4,314.5,315.2,317.5,317.6,315.7,315.6,317.3,321.5,955.6,347.3
28,0,0.9,0.98,1,932.0,936.1,941.5,947.1,952.0,963.3,969.8,976.4,982.8,987.9,319.4,315.5,314.7,315.5,317.8,317.9,315.9,315.7,317.3,321.4,955.3,347.6
29,0,0.933,0.98,1,931.1,935.3,940.9,946.5,951.6,963.3,969.8,976.4,982.7,987.3,319.3,315.4,314.4,315.1,317.4,317.6,315.8,315.7,317.6,321.8,955.4,347.6
30,0,0.967,0.98,1,930.3,934.6,940.3,946.0,951.2,963.2,969.6,976.0,982.3,986.7,319.5,315.5,314.3,315.0,317.4,317.6,315.8,315.7,317.4,321.5,955.6,347.8
31,0,1.0,0.98,1,929.5,934.0,939.8,945.6,950.9,962.9,969.3,975.7,981.8,986.2,319.6,315.6,314.3,315.1,317.4,317.6,315.8,315.6,317.3,321.4,955.5,347.9
32,0,1.033,0.98,1,929.0,933.5,939.4,945.3,950.7,962.8,969.0,975.4,981.5,985.8,319.6,315.5,314.3,315.0,317.4,317.5,315.8,315.6,317.3,321.4,955.5,347.9
33,0,1.067,0.98,1,928.4,933.0,939.0,945.0,950.5,962.6,968.8,975.0,981.0,985.2,319.5,315.4,314.1,314.9,317.2,317.5,315.7,315.6,317.2,321.3,955.3,347.9
34,0,1.1,0.98,1,927.8,932.6,938.7,944.7,950.1,962.7,968.7,974.8,980.5,984.6,318.8,314.8,313.7,314.4,316.8,317.1,315.5,315.4,317.0,321.0,955.1,347.7
35,0,1.133,0.98,1,927.3,932.2,938.4,944.5,950.1,962.6,968.6,974.5,980.2,984.1,318.6,314.6,313.4,314.3,316.7,317.1,315.4,315.4,317.1,321.1,955.1,347.6
36,0,1.167,0.98,1,927.4,932.4,938.6,944.8,950.3,963.0,968.8,974.5,979.9,983.7,318.4,314.4,313.3,314.2,316.6,317.1,315.6,315.6,317.3,321.3,955.2,347.5
37,0,1.2,0.98,1,927.2,932.3,938.6,944.9,950.6,963.2,969.0,974.6,979.9,983.4,318.2,314.2,313.0,313.9,316.4,317.1,315.6,315.8,317.7,321.9,955.2,347.3
38,0,1.233,0.98,1,927.5,932.6,939.0,945.4,951.1,963.7,969.3,974.7,979.8,983.1,317.5,313.6,312.5,313.5,316.0,316.9,315.5,315.7,317.7,322.0,955.5,347.0
39,0,1.267,0.98,1,927.8,933.1,939.6,946.0,951.7,964.2,969.7,975.0,979.9,983.0,316.4,312.6,311.7,312.8,315.4,316.5,315.2,315.6,317.6,321.9,955.9,346.3
