frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1065.6,1070.4,1076.9,1083.4,1089.4,1102.7,1109.2,1115.7,1121.9,1126.2,220.3,216.6,215.9,217.2,220.0,219.8,217.1,216.0,216.9,220.5,1096.1,253.8
2,0,0.033,0.98,1,1066.7,1071.6,1078.1,1084.5,1090.3,1104.1,1110.5,1116.8,1122.9,1127.2,220.0,216.5,215.9,217.3,220.0,219.8,217.3,216.2,217.0,220.5,1096.9,254.0
3,0,0.067,0.98,1,1067.2,1072.0,1078.5,1084.9,1090.7,1104.5,1110.9,1117.2,1123.3,1127.5,220.0,216.5,215.9,217.3,219.9,219.8,217.2,216.2,217.0,220.5,1097.3,253.9
4,0,0.1,0.98,1,1067.5,1072.4,1078.8,1085.3,1091.1,1104.8,1111.2,1117.6,1123.7,1127.9,220.0,216.4,215.8,217.2,219.9,219.8,217.3,216.2,217.0,220.6,1097.6,253.9
5,0,0.133,0.98,1,1067.9,1072.8,1079.3,1085.8,1091.7,1105.1,1111.5,1117.8,1124.0,1128.1,219.8,216.2,215.6,217.1,219.9,219.8,217.2,216.2,217.0,220.6,1097.9,253.8
6,0,0.167,0.98,1,1068.4,1073.3,1079.8,1086.4,1092.2,1105.3,1111.7,1118.1,1124.3,1128.5,219.7,216.2,215.6,217.1,219.9,219.7,217.1,216.0,216.9,220.5,1098.3,253.7
7,0,0.2,0.98,1,1068.8,1073.8,1080.4,1086.9,1092.8,1105.8,1112.2,1118.6,1124.8,1129.0,219.6,216.0,215.4,216.9,219.7,219.6,217.0,215.9,216.7,220.2,1098.9,253.6
8,0,0.233,0.98,1,1069.1,1074.0,1080.6,1087.1,1093.0,1106.3,1112.7,1119.1,1125.2,1129.4,219.5,215.9,215.3,216.8,219.5,219.4,216.8,215.6,216.5,220.0,1099.3,253.5
9,0,0.267,0.98,1,1069.6,1074.5,1081.0,1087.6,1093.4,1106.6,1113.0,1119.4,1125.6,1129.8,219.4,215.8,215.3,216.7,219.5,219.3,216.7,215.6,216.5,220.0,1099.7,253.5
10,0,0.3,0.98,1,1069.8,1074.7,1081.3,1087.8,1093.7,1107.0,1113.4,1119.8,1125.9,1130.1,219.4,215.9,215.3,216.7,219.4,219.3,216.7,215.6,216.4,220.0,1100.1,253.4
11,0,0.333,0.98,1,1070.3,1075.3,1081.8,1088.3,1094.2,1107.5,1113.9,1120.3,1126.4,1130.6,219.4,215.8,215.2,216.7,219.4,219.3,216.8,215.7,216.5,220.1,1100.4,253.5
12,0,0.367,0.98,1,1070.8,1075.7,1082.2,1088.7,1094.5,1108.0,1114.4,1120.7,1126.8,1131.0,219.4,215.8,215.3,216.7,219.4,219.3,216.8,215.7,216.5,220.1,1100.8,253.5
13,0,0.4,0.98,1,1071.1,1076.0,1082.5,1089.0,1094.8,1108.3,1114.7,1121.0,1127.1,1131.2,219.3,215.8,215.3,216.7,219.5,219.4,216.8,215.8,216.6,220.1,1101.1,253.5
14,0,0.433,0.98,1,1071.4,1076.4,1082.9,1089.4,1095.1,1108.5,1114.8,1121.1,1127.1,1131.3,219.2,215.8,215.3,216.8,219.5,219.4,216.9,215.9,216.7,220.2,1101.2,253.6
15,0,0.467,0.98,1,1071.4,1076.4,1082.9,1089.4,1095.1,1108.5,1114.9,1121.2,1127.3,1131.5,219.2,215.7,215.3,216.8,219.5,219.5,217.0,215.9,216.7,220.3,1101.2,253.6
16,0,0.5,0.98,1,1071.5,1076.5,1083.0,1089.4,1095.2,1108.6,1115.0,1121.3,1127.4,1131.6,219.1,215.7,215.2,216.7,219.5,219.5,217.0,215.9,216.8,220.4,1101.1,253.7
17,0,0.533,0.98,1,1071.4,1076.4,1083.0,1089.5,1095.2,1108.5,1114.9,1121.2,1127.3,1131.5,219.1,215.6,215.2,216.8,219.6,219.6,217.0,216.0,216.8,220.4,1101.1,253.7
18,0,0.567,0.98,1,1071.4,1076.5,1083.0,1089.4,1095.1,1108.4,1114.8,1121.1,1127.1,1131.2,219.1,215.6,215.2,216.7,219.5,219.5,217.0,216.0,216.9,220.4,1100.9,253.5
19,0,0.6,0.98,1,1071.0,1076.0,1082.5,1089.0,1094.7,1108.1,1114.5,1120.8,1126.8,1130.9,219.1,215.6,215.1,216.5,219.3,219.3,216.8,215.8,216.7,220.3,1100.6,253.4
20,0,0.633,0.98,1,1070.7,1075.8,1082.3,1088.8,1094.5,1107.7,1114.1,1120.5,1126.5,1130.7,218.7,215.3,214.8,216.3,219.1,219.1,216.7,215.6,216.6,220.2,1100.2,253.3
21,0,0.667,0.98,1,1070.4,1075.5,1082.0,1088.5,1094.3,1107.3,1113.7,1120.1,1126.1,1130.2,218.7,215.2,214.7,216.2,219.0,219.0,216.5,215.5,216.4,220.1,1099.9,253.1
22,0,0.7,0.98,1,1070.1,1075.1,1081.7,1088.2,1094.0,1106.9,1113.3,1119.7,1125.8,1129.9,218.5,215.0,214.5,216.0,218.9,218.8,216.3,215.2,216.2,219.9,1099.5,253.0
23,0,0.733,0.98,1,1069.5,1074.6,1081.1,1087.6,1093.4,1106.4,1112.8,1119.2,1125.3,1129.4,218.4,214.9,214.4,216.0,218.8,218.8,216.3,215.3,216.3,219.9,1099.0,253.0
24,0,0.767,0.98,1,1069.2,1074.2,1080.7,1087.2,1093.0,1105.9,1112.3,1118.6,1124.7,1128.8,218.4,214.9,214.4,216.0,218.8,218.8,216.3,215.2,216.2,219.9,1098.5,253.0
25,0,0.8,0.98,1,1067.9,1072.8,1079.4,1086.0,1091.9,1104.9,1111.4,1117.8,1124.0,1128.1,218.8,215.2,214.7,216.1,218.9,218.8,216.2,215.1,216.1,219.8,1097.8,253.0
26,0,0.833,0.98,1,1067.4,1072.3,1078.9,1085.5,1091.4,1104.3,1110.7,1117.2,1123.3,1127.5,218.9,215.2,214.7,216.1,218.9,218.8,216.2,215.1,216.0,219.8,1097.3,252.9
27,0,0.867,0.98,1,1066.8,1071.7,1078.3,1084.8,1090.7,1103.6,1110.0,1116.5,1122.6,1126.8,218.9,215.3,214.7,216.2,218.9,218.8,216.2,215.1,216.1,219.8,1096.5,253.0
28,0,0.9,0.98,1,1066.0,1070.9,1077.5,1084.0,1089.9,1102.8,1109.2,1115.6,1121.8,1126.0,219.0,215.4,214.8,216.2,219.0,218.8,216.2,215.1,216.1,219.8,1095.8,253.1
29,0,0.933,0.98,1,1065.4,1070.3,1076.8,1083.4,1089.2,1102.2,1108.6,1115.0,1121.1,1125.3,219.3,215.6,215.0,216.4,219.1,219.0,216.4,215.3,216.2,219.9,1095.2,253.2
30,0,0.967,0.98,1,1065.0,1069.9,1076.4,1082.9,1088.7,1101.5,1107.9,1114.3,1120.4,1124.6,219.4,215.8,215.2,216.6,219.3,219.1,216.5,215.4,216.3,220.0,1094.6,253.3
31,0,1.0,0.98,1,1064.0,1068.9,1075.4,1081.9,1087.7,1100.8,1107.2,1113.5,1119.6,1123.8,219.4,215.7,215.1,216.5,219.1,218.9,216.3,215.2,216.2,219.8,1094.0,253.3
32,0,1.033,0.98,1,1063.4,1068.3,1074.8,1081.3,1087.2,1100.3,1106.7,1113.1,1119.2,1123.3,219.4,215.8,215.2,216.5,219.2,218.9,216.3,215.3,216.2,219.9,1093.4,253.3
33,0,1.067,0.98,1,1062.8,1067.6,1074.1,1080.7,1086.5,1099.5,1105.9,1112.3,1118.4,1122.5,219.5,215.8,215.1,216.5,219.1,218.8,216.1,215.0,215.9,219.6,1092.8,253.2
34,0,1.1,0.98,1,1062.3,1067.1,1073.6,1080.1,1085.9,1099.0,1105.4,1111.7,1117.7,1121.9,219.4,215.8,215.1,216.4,219.0,218.7,216.0,214.9,215.8,219.4,1092.4,253.0
35,0,1.133,0.98,1,1061.7,1066.6,1073.1,1079.6,1085.4,1098.5,1104.8,1111.2,1117.2,1121.5,219.4,215.7,215.0,216.3,218.9,218.6,215.9,214.7,215.6,219.2,1092.0,252.9
36,0,1.167,0.98,1,1061.2,1066.0,1072.5,1079.0,1084.9,1098.0,1104.3,1110.6,1116.7,1121.0,219.4,215.7,215.0,216.3,218.9,218.5,215.8,214.6,215.4,218.9,1091.7,252.8
37,0,1.2,0.98,1,1061.0,1065.8,1072.2,1078.7,1084.6,1097.6,1103.9,1110.3,1116.4,1120.7,219.4,215.6,214.9,216.1,218.7,218.3,215.6,214.5,215.3,218.8,1091.3,252.6
38,0,1.233,0.98,1,1060.7,1065.5,1071.9,1078.4,1084.2,1097.2,1103.5,1109.9,1116.0,1120.3,219.4,215.7,214.9,216.1,218.7,218.2,215.5,214.4,215.2,218.7,1091.1,252.4
39,0,1.267,0.98,1,1060.6,1065.3,1071.7,1078.1,1083.9,1097.0,1103.3,1109.6,1115.7,1120.0,219.3,215.6,214.8,216.0,218.5,218.1,215.5,214.4,215.2,218.8,1090.8,252.3
40,0,1.3,0.98,1,1060.3,1065.0,1071.4,1077.9,1083.7,1096.8,1103.2,1109.5,1115.5,1119.8,219.4,215.6,214.8,216.0,218.5,218.0,215.4,214.3,215.1,218.6,1090.7,252.2
41,0,1.333,0.98,1,1060.1,1064.8,1071.2,1077.6,1083.5,1096.7,1103.0,1109.3,1115.3,1119.6,219.4,215.6,214.8,215.9,218.3,217.8,215.2,214.1,214.8,218.3,1090.6,252.1
