frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1002.6,1006.1,1011.4,1017.0,1022.0,1033.9,1040.6,1047.7,1054.7,1060.1,282.3,278.8,278.3,279.6,282.3,282.2,279.5,278.5,279.6,283.3,1028.0,314.8
2,0,0.033,0.98,1,1002.0,1005.5,1010.8,1016.2,1021.1,1033.4,1040.1,1047.1,1054.1,1059.5,281.7,278.4,278.2,279.5,282.2,282.1,279.3,278.3,279.3,282.9,1027.4,315.1
3,0,0.067,0.98,1,1001.7,1005.2,1010.4,1015.7,1020.6,1033.1,1039.8,1046.8,1053.8,1059.3,281.7,278.4,278.1,279.4,282.0,281.8,279.0,278.0,279.0,282.4,1027.3,314.9
4,0,0.1,0.93,1,1001.5,1005.0,1010.3,1015.7,1020.6,1032.7,1039.4,1046.5,1053.5,1059.1,281.5,278.3,278.0,279.3,281.8,281.5,278.7,277.6,278.6,282.1,1027.2,314.5
5,0,0.133,0.93,1,1001.4,1004.9,1010.1,1015.6,1020.5,1032.6,1039.4,1046.5,1053.6,1059.2,281.3,278.0,277.6,279.0,281.6,281.3,278.5,277.3,278.3,281.8,1027.0,314.2
6,0,0.167,0.93,1,1001.7,1005.1,1010.3,1015.7,1020.7,1032.7,1039.5,1046.6,1053.6,1059.2,281.3,277.9,277.5,278.8,281.4,281.1,278.3,277.2,278.2,281.8,1027.2,314.0
7,0,0.2,0.93,1,1002.0,1005.3,1010.4,1015.8,1020.7,1032.8,1039.6,1046.7,1053.8,1059.3,280.9,277.6,277.2,278.5,281.1,280.9,278.1,277.1,278.1,281.6,1027.1,313.8
8,0,0.233,0.93,1,1002.4,1005.8,1011.0,1016.3,1021.2,1033.0,1039.7,1046.9,1054.0,1059.6,281.0,277.6,277.2,278.4,281.1,280.8,278.0,276.9,278.0,281.6,1027.4,313.4
9,0,0.267,0.93,1,1002.6,1005.9,1011.1,1016.4,1021.4,1033.4,1040.2,1047.3,1054.3,1059.9,280.7,277.2,276.8,278.0,280.6,280.4,277.7,276.6,277.7,281.3,1027.8,313.2
10,0,0.3,0.93,1,1003.1,1006.4,1011.5,1016.9,1021.8,1033.9,1040.6,1047.7,1054.7,1060.2,280.5,277.0,276.4,277.6,280.1,279.8,277.1,276.1,277.2,280.8,1028.3,312.8
11,0,0.333,0.93,1,1003.7,1007.0,1012.2,1017.6,1022.5,1034.6,1041.4,1048.5,1055.5,1061.0,280.2,276.6,276.1,277.3,279.8,279.6,276.9,275.9,277.0,280.6,1028.9,312.5
12,0,0.367,0.98,1,1004.2,1007.5,1012.7,1018.1,1023.0,1035.2,1041.9,1049.0,1056.0,1061.5,279.8,276.2,275.6,276.8,279.3,279.1,276.4,275.4,276.5,280.1,1029.4,311.9
13,0,0.4,0.93,1,1004.7,1008.0,1013.1,1018.5,1023.4,1035.8,1042.6,1049.7,1056.7,1062.2,279.2,275.6,275.0,276.2,278.8,278.6,275.9,275.0,276.1,279.8,1029.7,311.6
14,0,0.433,0.93,1,1005.4,1008.6,1013.7,1019.1,1024.0,1036.3,1043.1,1050.2,1057.2,1062.6,278.7,275.1,274.5,275.7,278.2,278.0,275.4,274.5,275.6,279.4,1030.2,311.2
15,0,0.467,0.93,1,1005.9,1009.3,1014.3,1019.7,1024.6,1037.0,1043.8,1050.9,1057.9,1063.3,278.1,274.4,273.8,275.0,277.6,277.4,274.8,274.0,275.2,279.0,1030.6,310.6
16,0,0.5,0.93,1,1006.6,1010.0,1015.0,1020.3,1025.2,1037.5,1044.3,1051.4,1058.3,1063.7,277.5,273.8,273.2,274.3,276.9,276.8,274.2,273.4,274.7,278.5,1031.0,309.9
17,0,0.533,0.98,1,1007.1,1010.4,1015.5,1020.7,1025.5,1038.0,1044.9,1051.9,1058.8,1064.2,276.9,273.3,272.7,273.9,276.4,276.3,273.8,273.0,274.3,278.0,1031.3,309.3
18,0,0.567,0.93,1,1007.3,1010.7,1015.8,1021.1,1025.9,1038.6,1045.4,1052.5,1059.4,1064.7,276.2,272.6,272.0,273.1,275.6,275.7,273.2,272.5,273.8,277.7,1031.6,308.8
19,0,0.6,0.98,1,1007.9,1011.3,1016.2,1021.4,1026.2,1038.9,1045.7,1052.7,1059.5,1064.8,276.0,272.3,271.7,272.8,275.3,275.4,273.0,272.3,273.7,277.5,1031.8,308.5
20,0,0.633,0.93,1,1008.2,1011.4,1016.3,1021.5,1026.3,1038.4,1045.2,1052.4,1059.3,1064.6,276.8,272.9,272.0,273.0,275.4,275.3,272.8,272.2,273.6,277.6,1031.9,308.1
21,0,0.667,0.93,1,1008.4,1011.6,1016.5,1021.8,1026.5,1038.6,1045.5,1052.6,1059.5,1064.9,276.7,272.7,271.8,272.8,275.2,275.1,272.6,272.0,273.5,277.5,1032.0,307.8
22,0,0.7,0.93,1,1008.5,1011.8,1016.7,1021.9,1026.7,1038.7,1045.7,1052.8,1059.8,1065.2,276.0,272.2,271.4,272.4,274.9,274.9,272.4,271.8,273.3,277.2,1032.1,307.7
