frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.03,1,938.1,932.4,927.6,923.2,920.3,923.8,929.0,936.3,943.9,951.3,678.0,665.8,653.2,642.4,634.2,615.7,604.2,594.1,586.1,583.8,915.9,653.2
2,0,0.033,0.03,0,951.2,946.4,941.3,936.2,932.5,935.2,940.9,947.7,954.5,960.6,681.2,668.4,655.6,644.8,636.5,618.1,606.8,596.6,588.3,585.6,920.0,652.9
3,0,0.067,0.03,0,948.0,944.5,941.1,937.4,935.0,940.6,947.0,954.1,961.0,966.9,686.5,673.4,660.0,648.9,640.2,621.2,610.6,601.1,593.1,590.6,921.2,653.1
4,0,0.1,0.03,0,945.8,942.7,939.9,936.7,934.7,940.8,947.6,954.7,961.7,967.6,683.4,670.6,657.6,646.8,638.4,620.7,610.8,601.9,594.8,593.4,921.5,652.0
5,0,0.133,0.03,0,942.9,940.1,937.6,934.7,933.2,940.1,947.1,954.5,961.7,967.7,684.9,672.0,658.8,648.0,639.4,621.2,611.4,602.7,595.7,594.4,920.6,652.4
6,0,0.167,0.98,1,922.3,928.3,935.5,942.5,948.7,960.0,965.4,970.7,975.5,978.2,300.9,297.0,296.1,297.5,300.3,300.7,298.9,298.5,300.0,304.2,953.3,332.6
7,0,0.2,0.98,1,922.9,929.0,936.1,942.9,949.1,961.0,966.3,971.3,976.0,978.6,300.8,297.2,296.4,297.8,300.5,301.0,299.3,298.9,300.2,304.2,953.7,332.7
8,0,0.233,0.98,1,923.2,929.4,936.5,943.3,949.5,961.2,966.5,971.5,976.2,978.7,300.9,297.3,296.5,297.9,300.6,301.1,299.4,299.0,300.3,304.2,954.1,332.9
9,0,0.267,0.98,1,923.5,929.7,936.8,943.6,949.8,961.6,966.8,971.8,976.5,979.0,301.1,297.5,296.7,298.1,300.9,301.4,299.8,299.4,300.7,304.6,954.3,333.0
10,0,0.3,0.98,1,923.9,930.1,937.2,944.0,950.2,962.0,967.2,972.3,976.9,979.5,301.1,297.5,296.7,298.1,300.9,301.4,299.8,299.5,300.8,304.7,954.5,333.0
11,0,0.333,0.98,1,924.1,930.2,937.3,944.1,950.3,962.3,967.5,972.5,977.2,979.8,301.0,297.5,296.7,298.2,300.9,301.5,299.9,299.5,300.8,304.7,954.7,333.0
12,0,0.367,0.98,1,924.2,930.3,937.4,944.3,950.5,962.5,967.8,972.8,977.5,980.0,301.0,297.5,296.7,298.2,301.0,301.6,300.0,299.6,300.9,304.8,954.9,333.0
13,0,0.4,0.98,1,924.4,930.5,937.6,944.5,950.7,962.8,968.1,973.1,977.8,980.3,301.0,297.5,296.7,298.2,301.0,301.7,300.0,299.7,301.0,304.8,955.0,333.0
14,0,0.433,0.98,1,924.4,930.5,937.6,944.5,950.8,962.9,968.2,973.2,977.9,980.4,301.0,297.5,296.7,298.2,301.1,301.7,300.1,299.7,300.9,304.7,955.1,333.0
15,0,0.467,0.98,1,924.7,930.9,938.0,944.9,951.1,963.2,968.5,973.6,978.2,980.6,301.0,297.5,296.8,298.3,301.1,301.8,300.2,299.9,301.2,305.0,955.3,333.1
16,0,0.5,0.98,1,924.8,930.9,938.1,945.0,951.3,963.4,968.8,973.9,978.5,980.9,301.2,297.7,296.8,298.3,301.2,301.9,300.4,300.1,301.5,305.4,955.5,333.2
17,0,0.533,0.98,1,925.1,931.2,938.3,945.2,951.5,963.6,968.9,974.0,978.7,981.1,301.3,297.7,296.9,298.4,301.3,302.0,300.5,300.2,301.6,305.6,955.7,333.4
18,0,0.567,0.98,1,925.2,931.4,938.6,945.5,951.8,963.9,969.2,974.3,979.0,981.4,301.4,297.9,297.0,298.5,301.4,302.2,300.6,300.3,301.8,305.8,956.0,333.6
19,0,0.6,0.98,1,925.5,931.6,938.8,945.7,952.0,964.0,969.4,974.5,979.1,981.5,301.3,297.7,297.0,298.5,301.3,302.1,300.6,300.3,301.8,305.8,956.1,333.5
20,0,0.633,0.98,1,925.7,931.9,939.1,946.0,952.2,964.3,969.6,974.7,979.4,981.8,301.2,297.7,297.0,298.5,301.4,302.2,300.7,300.4,301.8,305.8,956.2,333.5
21,0,0.667,0.98,1,925.9,932.1,939.3,946.1,952.4,964.4,969.8,974.9,979.6,982.0,301.3,297.7,296.9,298.5,301.3,302.1,300.6,300.3,301.8,305.8,956.4,333.6
22,0,0.7,0.98,1,926.4,932.5,939.6,946.5,952.7,964.9,970.2,975.2,979.9,982.3,301.2,297.6,296.9,298.4,301.2,302.0,300.6,300.4,301.8,305.9,956.5,333.6
23,0,0.733,0.98,1,926.5,932.7,939.9,946.7,952.9,965.1,970.4,975.5,980.2,982.6,301.2,297.7,296.9,298.5,301.3,302.1,300.6,300.4,301.9,305.9,956.8,333.7
24,0,0.767,0.98,1,926.9,933.1,940.3,947.1,953.3,965.3,970.6,975.7,980.4,982.8,301.3,297.7,297.0,298.5,301.3,302.2,300.7,300.4,301.9,306.0,957.1,333.7
25,0,0.8,0.98,1,927.0,933.3,940.5,947.4,953.6,965.6,971.0,976.1,980.8,983.2,301.3,297.7,297.0,298.6,301.4,302.2,300.7,300.4,301.9,306.0,957.5,333.8
26,0,0.833,0.98,1,927.3,933.6,940.8,947.7,954.0,966.0,971.4,976.5,981.3,983.7,301.4,297.8,297.1,298.6,301.4,302.2,300.7,300.5,301.9,306.0,957.8,333.8
27,0,0.867,0.98,1,927.6,933.9,941.1,948.0,954.2,966.0,971.4,976.5,981.2,983.7,301.3,297.7,297.1,298.6,301.5,302.2,300.7,300.4,301.8,305.8,958.0,333.7
28,0,0.9,0.98,1,927.9,934.1,941.4,948.3,954.5,966.3,971.7,976.9,981.6,984.0,300.8,297.2,296.5,298.0,300.9,301.7,300.2,300.0,301.5,305.6,958.2,333.4
29,0,0.933,0.98,1,928.3,934.6,941.8,948.6,954.8,966.7,972.0,977.1,981.7,984.1,300.5,296.9,296.2,297.8,300.6,301.5,300.0,299.8,301.3,305.4,958.5,333.1
30,0,0.967,0.98,1,928.6,934.9,942.0,948.8,954.9,966.9,972.2,977.2,981.9,984.3,300.1,296.6,295.9,297.5,300.3,301.2,299.8,299.5,301.0,305.0,958.7,332.9
31,0,1.0,0.98,1,928.7,934.9,942.0,948.9,955.0,967.1,972.3,977.4,982.0,984.4,300.1,296.4,295.7,297.2,300.1,301.0,299.5,299.2,300.7,304.7,958.9,332.8
