frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,902.4,908.7,916.0,923.0,929.2,940.4,945.5,950.5,955.0,957.1,310.8,307.3,306.7,308.4,311.7,312.8,311.3,311.1,312.8,317.0,933.0,343.4
2,0,0.033,0.98,1,901.9,908.3,915.5,922.4,928.5,940.0,945.0,949.8,954.1,956.1,310.6,307.3,306.8,308.6,311.9,313.1,311.6,311.4,313.1,317.2,932.0,343.8
3,0,0.067,0.98,1,901.0,907.3,914.6,921.5,927.5,938.5,943.5,948.3,952.6,954.7,310.7,307.4,307.0,308.8,312.2,313.4,311.9,311.7,313.3,317.4,930.9,343.8
4,0,0.1,0.98,1,900.1,906.4,913.6,920.5,926.4,937.7,942.6,947.3,951.4,953.3,310.4,307.2,306.7,308.5,311.9,313.3,311.8,311.7,313.3,317.4,929.9,343.7
5,0,0.133,0.98,1,898.9,905.3,912.4,919.2,925.2,936.4,941.2,945.9,950.0,951.9,309.9,306.7,306.3,308.2,311.6,313.1,311.7,311.7,313.3,317.4,928.5,343.5
6,0,0.167,0.98,1,897.8,904.2,911.4,918.2,924.1,935.1,939.9,944.5,948.5,950.4,309.5,306.3,306.0,308.0,311.4,313.1,311.8,311.8,313.4,317.4,927.4,343.2
7,0,0.2,0.98,1,896.5,903.0,910.1,916.9,922.8,934.1,938.8,943.3,947.2,948.9,308.7,305.6,305.3,307.3,310.9,312.7,311.6,311.7,313.4,317.5,925.8,342.8
8,0,0.233,0.98,1,895.4,901.9,909.0,915.6,921.4,932.6,937.3,941.7,945.7,947.3,308.0,305.0,304.7,306.8,310.4,312.5,311.4,311.6,313.4,317.5,924.1,342.4
9,0,0.267,0.98,1,894.2,900.7,907.9,914.5,920.3,931.4,936.1,940.5,944.3,945.8,307.1,304.3,304.1,306.3,310.0,312.3,311.4,311.7,313.5,317.7,922.5,342.0
10,0,0.3,0.98,1,892.8,899.4,906.5,913.2,918.9,930.0,934.6,938.9,942.8,944.2,306.7,303.8,303.7,306.0,309.7,312.2,311.4,311.8,313.7,317.9,920.9,341.5
