frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,989.9,995.9,1002.9,1009.5,1015.1,1025.5,1030.5,1035.3,1039.7,1041.6,301.0,297.5,296.9,298.6,302.0,304.0,303.3,304.0,306.4,311.0,1017.6,331.6
2,0,0.033,0.98,1,990.3,996.3,1003.1,1009.6,1015.1,1025.7,1030.5,1035.3,1039.4,1041.3,300.7,297.3,296.8,298.6,302.1,304.3,303.5,304.2,306.4,310.9,1017.8,331.7
3,0,0.067,0.98,1,990.0,996.1,1003.0,1009.5,1015.1,1025.5,1030.3,1035.0,1039.1,1040.9,300.7,297.3,296.8,298.7,302.2,304.4,303.7,304.4,306.7,311.2,1017.6,331.7
4,0,0.1,0.98,1,989.8,995.9,1002.7,1009.2,1014.7,1025.3,1030.0,1034.6,1038.6,1040.4,300.6,297.3,296.8,298.7,302.2,304.5,303.9,304.6,306.8,311.3,1017.3,331.8
5,0,0.133,0.98,1,988.9,995.0,1001.9,1008.4,1013.9,1024.2,1028.9,1033.4,1037.4,1039.1,300.2,296.9,296.5,298.4,302.0,304.3,303.6,304.3,306.5,311.0,1016.5,331.7
6,0,0.167,0.98,1,987.3,993.4,1000.3,1006.8,1012.3,1022.7,1027.3,1031.8,1035.8,1037.4,299.8,296.4,296.0,297.8,301.4,303.7,302.9,303.6,305.9,310.4,1015.0,331.1
7,0,0.2,0.98,1,985.2,991.2,998.1,1004.7,1010.3,1020.6,1025.3,1029.8,1033.9,1035.6,299.4,296.0,295.4,297.2,300.7,302.8,302.0,302.6,304.8,309.3,1013.3,330.4
8,0,0.233,0.98,1,982.8,988.9,995.8,1002.4,1007.9,1018.4,1023.1,1027.7,1031.7,1033.5,299.2,295.7,295.2,296.9,300.3,302.3,301.3,301.8,303.9,308.3,1011.2,330.1
9,0,0.267,0.98,1,980.4,986.4,993.3,999.9,1005.5,1015.9,1020.7,1025.3,1029.4,1031.3,299.7,296.2,295.5,297.2,300.5,302.2,301.2,301.6,303.5,307.9,1009.0,330.3
10,0,0.3,0.98,1,977.9,983.8,990.7,997.3,1003.0,1013.4,1018.1,1022.8,1027.0,1029.0,300.6,296.9,296.2,297.8,301.0,302.6,301.5,301.8,303.7,308.0,1006.9,330.8
11,0,0.333,0.98,1,975.5,981.4,988.3,994.9,1000.7,1011.1,1015.9,1020.6,1024.9,1026.9,301.2,297.5,296.7,298.2,301.4,302.8,301.6,301.8,303.7,308.0,1004.9,331.3
12,0,0.367,0.98,1,972.9,978.7,985.7,992.4,998.3,1008.8,1013.6,1018.4,1022.6,1024.7,301.8,297.9,296.9,298.3,301.5,302.7,301.5,301.7,303.6,308.0,1002.7,331.3
13,0,0.4,0.98,1,970.9,976.8,983.7,990.4,996.2,1006.7,1011.5,1016.3,1020.6,1022.7,302.2,298.3,297.4,298.7,301.8,303.0,301.7,301.8,303.6,307.9,1000.8,331.8
14,0,0.433,0.98,1,968.7,974.5,981.4,988.1,993.9,1004.5,1009.4,1014.1,1018.5,1020.7,303.0,299.2,298.2,299.5,302.5,303.5,302.2,302.3,304.0,308.3,998.7,332.4
15,0,0.467,0.98,1,966.5,972.3,979.2,985.9,991.8,1002.4,1007.2,1012.0,1016.3,1018.6,304.4,300.5,299.4,300.7,303.6,304.6,303.1,303.1,304.7,308.9,996.9,333.6
16,0,0.5,0.98,1,964.4,970.1,977.0,983.8,989.8,1000.3,1005.2,1010.0,1014.3,1016.6,305.5,301.5,300.3,301.5,304.5,305.3,303.8,303.7,305.4,309.5,995.1,334.4
17,0,0.533,0.98,1,962.6,968.4,975.2,982.0,987.9,998.4,1003.2,1007.9,1012.4,1014.7,305.8,301.8,300.6,301.7,304.6,305.3,303.6,303.5,305.0,309.1,993.6,334.5
18,0,0.567,0.98,1,960.7,966.4,973.3,980.1,986.1,996.6,1001.3,1006.1,1010.5,1012.9,305.1,301.1,299.8,300.8,303.6,304.1,302.4,302.2,303.6,307.7,992.2,333.4
19,0,0.6,0.98,1,959.2,964.9,971.7,978.6,984.5,995.1,999.7,1004.4,1008.8,1011.2,303.9,299.7,298.4,299.4,302.1,302.6,300.8,300.6,302.0,306.1,990.9,332.0
20,0,0.633,0.98,1,957.3,963.0,969.9,976.7,982.8,993.3,998.0,1002.7,1007.2,1009.6,303.0,298.7,297.3,298.2,300.8,301.1,299.3,299.0,300.4,304.5,989.5,330.6
