frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1040.4,1044.3,1050.4,1056.9,1063.1,1076.2,1083.1,1090.2,1097.5,1103.3,201.1,196.5,194.8,195.2,197.1,195.4,192.0,190.3,190.8,194.4,1072.8,231.3
2,0,0.033,0.98,1,1040.6,1044.4,1050.4,1056.8,1062.8,1077.1,1084.0,1091.0,1098.1,1103.9,200.9,196.4,194.7,195.1,196.7,194.8,191.7,190.0,190.4,193.7,1073.4,231.2
3,0,0.067,0.98,1,1040.8,1044.7,1050.7,1057.0,1063.1,1077.5,1084.4,1091.5,1098.6,1104.3,200.8,196.3,194.6,195.0,196.7,194.8,191.6,189.9,190.2,193.6,1073.9,231.3
4,0,0.1,0.98,1,1041.1,1045.1,1051.1,1057.5,1063.6,1078.0,1084.9,1092.0,1099.1,1104.8,200.8,196.2,194.6,195.0,196.7,194.7,191.5,189.8,190.1,193.3,1074.5,231.3
5,0,0.133,0.98,1,1041.7,1045.6,1051.7,1058.1,1064.3,1078.6,1085.6,1092.6,1099.7,1105.4,200.8,196.3,194.6,195.0,196.7,194.7,191.6,189.8,190.1,193.4,1075.1,231.3
6,0,0.167,0.98,1,1042.4,1046.3,1052.3,1058.7,1064.9,1079.2,1086.2,1093.2,1100.4,1106.1,200.8,196.3,194.6,195.0,196.7,194.8,191.6,189.9,190.2,193.5,1075.7,231.3
7,0,0.2,0.98,1,1043.2,1047.1,1053.1,1059.5,1065.5,1079.9,1086.8,1093.8,1100.9,1106.6,200.8,196.3,194.5,195.0,196.6,194.7,191.6,189.8,190.2,193.5,1076.3,231.3
8,0,0.233,0.98,1,1044.6,1048.4,1054.3,1060.4,1066.2,1080.3,1087.2,1094.2,1101.4,1107.4,200.6,196.3,194.9,195.3,196.8,194.8,191.5,189.8,190.2,193.4,1076.4,231.1
9,0,0.267,0.98,1,1045.8,1049.6,1055.5,1061.7,1067.3,1081.1,1088.0,1095.1,1102.3,1108.4,200.2,195.9,194.5,194.9,196.4,194.4,191.1,189.4,189.9,193.3,1077.1,230.6
10,0,0.3,0.98,1,1046.6,1050.5,1056.4,1062.5,1068.1,1082.1,1089.0,1096.0,1103.2,1109.3,199.7,195.3,194.0,194.3,195.7,193.8,190.6,189.0,189.5,192.9,1077.8,230.2
11,0,0.333,0.98,1,1047.4,1051.3,1057.3,1063.4,1069.0,1083.0,1089.9,1096.9,1104.2,1110.3,199.1,194.8,193.5,193.8,195.3,193.5,190.2,188.6,189.2,192.6,1078.6,229.7
12,0,0.367,0.98,1,1047.0,1051.0,1057.0,1063.4,1069.4,1084.0,1091.0,1097.9,1105.0,1110.7,198.7,194.2,192.6,192.9,194.5,192.7,189.6,188.1,188.6,192.0,1079.9,229.2
13,0,0.4,0.98,1,1047.7,1051.6,1057.6,1064.0,1070.2,1084.7,1091.6,1098.6,1105.6,1111.3,198.7,194.1,192.4,192.9,194.6,192.9,189.8,188.2,188.7,192.0,1080.6,229.1
14,0,0.433,0.98,1,1048.2,1052.2,1058.3,1064.7,1070.9,1085.3,1092.3,1099.3,1106.3,1111.9,198.5,194.0,192.3,192.8,194.5,192.9,189.9,188.3,188.8,192.2,1081.2,229.1
15,0,0.467,0.98,1,1048.3,1052.3,1058.5,1065.0,1071.3,1085.7,1092.7,1099.8,1106.9,1112.6,198.6,194.0,192.3,192.9,194.7,193.2,190.2,188.6,189.1,192.5,1081.5,229.3
16,0,0.5,0.98,1,1048.6,1052.5,1058.7,1065.3,1071.5,1085.8,1092.8,1099.9,1107.1,1112.7,198.7,194.1,192.4,192.9,194.8,193.2,190.2,188.6,189.2,192.7,1081.6,229.3
17,0,0.533,0.98,1,1048.6,1052.6,1058.7,1065.2,1071.5,1085.8,1092.8,1099.9,1107.1,1112.7,198.6,194.0,192.3,192.8,194.7,193.2,190.2,188.6,189.2,192.7,1081.5,229.4
18,0,0.567,0.98,1,1048.6,1052.5,1058.6,1065.1,1071.3,1085.7,1092.7,1099.8,1106.9,1112.4,198.6,194.0,192.3,192.8,194.6,193.0,190.1,188.6,189.2,192.8,1081.2,229.4
19,0,0.6,0.98,1,1048.3,1052.2,1058.3,1064.8,1070.9,1085.1,1092.1,1099.2,1106.4,1111.9,198.8,194.2,192.5,193.0,194.8,193.3,190.3,188.8,189.4,193.0,1080.9,229.6
20,0,0.633,0.98,1,1047.8,1051.8,1057.9,1064.3,1070.5,1084.7,1091.7,1098.8,1105.8,1111.4,199.0,194.4,192.7,193.2,195.0,193.5,190.5,188.9,189.6,193.1,1080.5,229.8
