frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.93,1,1011.4,1016.0,1022.0,1028.0,1033.4,1045.1,1051.1,1057.2,1063.0,1066.7,311.1,306.9,305.6,306.3,308.8,309.1,307.4,307.4,309.3,313.5,1037.8,338.1
2,0,0.033,0.98,1,1008.2,1012.5,1018.2,1023.9,1029.1,1040.7,1047.0,1053.3,1059.4,1063.5,309.7,305.4,303.8,304.4,306.7,306.9,305.4,305.5,307.5,311.9,1032.9,336.0
3,0,0.067,0.93,1,1005.1,1009.2,1014.6,1019.9,1024.7,1035.6,1042.0,1048.7,1055.1,1059.6,308.1,303.8,302.4,303.0,305.3,305.2,303.5,303.6,305.6,310.0,1027.5,334.0
4,0,0.1,0.93,1,1002.7,1006.5,1011.4,1016.4,1020.8,1031.5,1038.1,1044.8,1051.3,1056.0,306.5,302.4,301.1,301.6,303.9,303.8,302.1,302.3,304.4,308.8,1022.8,332.3
5,0,0.133,0.93,1,1000.9,1004.3,1008.8,1013.4,1017.5,1027.8,1034.4,1041.3,1047.9,1052.7,304.8,300.8,299.7,300.2,302.3,302.3,300.6,300.8,303.1,307.5,1018.6,330.6
6,0,0.167,0.93,1,999.5,1002.6,1006.8,1011.1,1014.9,1024.7,1031.5,1038.5,1045.1,1050.0,303.7,299.7,298.6,299.1,301.1,301.0,299.3,299.6,302.1,306.6,1015.1,329.0
7,0,0.2,0.93,1,998.5,1001.3,1005.2,1009.3,1012.8,1022.2,1029.0,1036.0,1042.6,1047.5,302.1,298.1,297.0,297.5,299.4,299.1,297.5,297.8,300.4,305.0,1012.2,326.9
8,0,0.233,0.93,1,997.8,1000.4,1004.2,1008.0,1011.3,1020.4,1027.2,1034.2,1040.8,1045.7,300.9,297.0,295.9,296.3,298.1,297.9,296.3,296.7,299.4,304.1,1010.0,325.3
9,0,0.267,0.93,1,997.3,999.8,1003.3,1007.1,1010.2,1019.0,1025.8,1032.8,1039.3,1044.2,300.0,296.1,295.1,295.6,297.4,297.3,295.8,296.2,299.0,303.8,1008.4,324.5
10,0,0.3,0.93,1,996.8,999.3,1002.7,1006.3,1009.2,1017.9,1024.6,1031.5,1038.0,1042.8,299.4,295.7,294.9,295.4,297.2,297.1,295.6,296.0,298.8,303.4,1007.1,324.3
11,0,0.333,0.93,1,996.4,998.7,1002.1,1005.5,1008.4,1017.0,1023.6,1030.5,1036.9,1041.8,299.7,296.0,295.2,295.8,297.5,297.4,295.8,296.3,299.0,303.6,1006.3,324.7
12,0,0.367,0.93,1,995.8,998.0,1001.3,1004.7,1007.5,1016.2,1022.7,1029.5,1035.8,1040.7,300.4,296.8,296.1,296.6,298.4,298.3,296.5,296.9,299.4,303.9,1005.8,326.0
13,0,0.4,0.98,1,995.4,997.5,1000.7,1004.0,1006.8,1015.4,1021.8,1028.5,1034.9,1039.8,302.2,298.6,297.9,298.4,300.1,299.8,297.9,298.0,300.4,304.8,1005.7,327.8
14,0,0.433,0.93,1,995.0,997.1,1000.3,1003.6,1006.4,1014.8,1021.2,1028.0,1034.4,1039.5,303.9,300.4,299.6,300.1,302.0,301.6,299.6,299.7,302.1,306.5,1005.7,329.9
15,0,0.467,0.93,1,994.9,996.9,1000.0,1003.3,1006.1,1014.5,1020.8,1027.5,1033.9,1038.9,305.5,302.1,301.4,302.0,303.8,303.3,301.3,301.2,303.5,307.7,1005.9,331.8
16,0,0.5,0.88,1,995.4,997.3,1000.4,1003.7,1006.5,1014.9,1021.2,1027.9,1034.3,1039.2,306.8,303.3,302.6,303.2,305.1,304.9,302.9,302.9,305.2,309.5,1006.0,333.3
17,0,0.533,0.88,1,996.6,998.7,1001.8,1005.0,1007.7,1016.4,1022.6,1029.1,1035.2,1040.0,306.9,303.4,302.8,303.5,305.5,305.6,304.0,304.2,306.4,310.7,1006.5,333.8
18,0,0.567,0.88,1,998.3,1000.7,1004.1,1007.3,1009.9,1018.4,1024.7,1031.2,1037.2,1041.6,306.1,302.9,302.6,303.7,306.0,306.7,305.4,305.9,308.5,313.0,1007.2,334.4
19,0,0.6,0.88,1,1001.0,1003.6,1006.9,1010.1,1012.5,1021.0,1027.2,1033.6,1039.3,1043.4,305.2,302.2,302.2,303.6,306.1,307.4,306.4,307.2,310.0,314.7,1008.1,334.6
20,0,0.633,0.88,1,1003.6,1006.3,1009.7,1012.8,1015.2,1023.5,1029.7,1036.0,1041.6,1045.5,304.3,301.5,301.8,303.5,306.3,308.2,307.6,308.7,311.8,316.7,1009.1,334.6
21,0,0.667,0.88,1,1006.0,1008.9,1012.3,1015.3,1017.6,1026.1,1032.3,1038.4,1043.7,1047.3,303.2,300.8,301.4,303.4,306.4,309.0,308.7,310.1,313.5,318.5,1010.1,334.8
22,0,0.7,0.98,1,1008.0,1011.0,1014.3,1017.3,1019.4,1027.7,1034.1,1040.4,1045.7,1049.2,302.8,300.6,301.4,303.6,306.8,309.8,309.9,311.8,315.7,321.0,1010.8,334.9
23,0,0.733,0.88,1,1009.2,1012.2,1015.4,1018.3,1020.5,1029.0,1035.6,1041.8,1047.0,1050.3,302.6,300.4,301.2,303.5,306.9,310.5,310.9,313.1,317.2,322.7,1011.3,335.1
24,0,0.767,0.98,1,1009.8,1012.9,1016.3,1019.1,1021.1,1029.6,1036.0,1042.1,1047.3,1050.5,302.4,300.6,301.7,304.2,307.5,311.4,311.9,314.2,318.3,323.8,1011.3,335.6
25,0,0.8,0.93,1,1009.6,1012.8,1016.2,1019.0,1021.0,1029.7,1036.1,1042.1,1047.2,1050.3,302.4,300.7,302.0,304.5,308.0,312.2,312.9,315.3,319.4,324.9,1011.0,336.3
26,0,0.833,0.93,1,1008.7,1012.1,1015.5,1018.4,1020.5,1029.1,1035.6,1041.7,1046.7,1049.8,303.3,301.6,303.0,305.7,309.3,313.6,314.3,316.8,321.0,326.5,1010.2,337.2
27,0,0.867,0.93,1,1007.9,1011.4,1014.9,1018.0,1020.2,1029.1,1035.6,1041.5,1046.4,1049.3,304.7,303.1,304.5,307.3,311.0,315.8,316.7,319.2,323.5,329.0,1009.8,339.1
28,0,0.9,0.93,1,1006.9,1010.6,1014.4,1017.5,1019.8,1028.8,1035.2,1041.1,1045.9,1048.5,306.4,305.1,306.7,309.8,313.8,319.1,320.2,322.9,327.2,332.7,1008.7,341.8
29,0,0.933,0.93,1,1006.0,1010.1,1014.2,1017.5,1019.8,1028.7,1035.2,1041.0,1045.7,1048.2,308.5,307.4,309.3,312.9,317.2,323.0,324.4,327.3,331.7,337.3,1007.9,344.8
30,0,0.967,0.93,1,1005.0,1009.6,1014.1,1017.7,1020.2,1029.0,1035.4,1041.2,1045.9,1047.9,310.9,309.9,312.2,316.2,321.0,327.1,328.8,331.9,336.5,342.2,1007.7,347.8
31,0,1.0,0.93,1,1005.3,1010.2,1014.8,1018.4,1020.9,1030.1,1036.2,1041.6,1045.7,1047.3,312.7,312.2,314.8,319.1,324.1,331.1,333.0,336.2,340.7,346.2,1007.4,350.8
32,0,1.033,0.93,1,1004.7,1009.9,1014.7,1018.4,1020.9,1030.0,1036.0,1041.1,1044.9,1046.1,314.2,314.1,316.9,321.3,326.5,333.9,335.9,339.1,343.5,348.8,1006.8,352.9
33,0,1.067,0.98,1,1003.2,1008.9,1014.1,1018.0,1020.7,1029.7,1035.3,1040.0,1043.4,1044.0,315.3,315.2,318.1,322.6,328.0,335.5,337.5,340.7,345.0,350.1,1006.4,354.4
34,0,1.1,0.98,1,1000.4,1006.4,1011.9,1016.2,1019.0,1028.1,1033.3,1037.6,1040.6,1040.9,315.8,315.6,318.5,323.1,328.5,336.1,338.0,341.0,345.2,350.1,1005.4,355.0
35,0,1.133,0.98,1,997.3,1003.6,1009.3,1013.8,1016.7,1025.7,1030.7,1034.7,1037.4,1037.3,315.4,315.3,318.2,322.8,328.3,336.0,337.9,340.9,345.1,350.0,1003.2,355.0
36,0,1.167,0.93,1,993.5,999.9,1005.7,1010.2,1013.2,1022.3,1027.1,1030.9,1033.4,1033.2,314.7,314.6,317.5,322.1,327.6,335.4,337.2,340.2,344.3,349.1,1000.0,354.4
37,0,1.2,0.93,1,988.7,995.2,1001.1,1005.8,1008.8,1017.4,1022.2,1026.0,1028.4,1028.0,314.0,313.8,316.6,321.3,327.0,334.4,336.1,338.9,342.9,347.6,995.8,353.7
38,0,1.233,0.98,1,983.6,990.0,995.9,1000.5,1003.4,1012.2,1016.8,1020.5,1022.9,1022.5,313.6,313.4,316.1,320.8,326.3,333.6,335.1,337.8,341.6,346.0,990.7,353.2
39,0,1.267,0.98,1,977.9,984.2,990.2,994.8,997.8,1006.5,1011.2,1015.0,1017.4,1016.9,313.4,313.2,315.8,320.4,326.0,332.9,334.4,337.0,340.7,345.2,985.4,352.8
40,0,1.3,0.98,1,971.7,978.1,984.0,988.7,991.9,1000.6,1005.5,1009.5,1012.3,1012.2,313.5,313.3,315.9,320.5,326.0,332.8,334.4,337.0,340.7,345.2,979.6,352.9
