frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1054.6,1059.0,1065.0,1071.0,1076.5,1089.1,1095.8,1102.6,1109.3,1114.1,218.2,214.5,213.8,215.2,218.0,218.0,215.7,214.9,216.0,219.9,1081.9,251.3
2,0,0.033,0.98,1,1054.7,1059.0,1064.8,1070.7,1075.9,1088.0,1094.8,1101.7,1108.5,1113.7,217.7,214.4,214.2,215.7,218.4,218.5,216.0,215.2,216.4,220.2,1080.6,251.5
3,0,0.067,0.98,1,1054.3,1058.5,1064.3,1070.1,1075.3,1087.6,1094.4,1101.3,1108.1,1113.3,217.8,214.5,214.3,215.8,218.5,218.6,216.1,215.3,216.5,220.4,1080.0,251.7
4,0,0.1,0.98,1,1053.8,1057.9,1063.6,1069.4,1074.6,1087.0,1093.8,1100.8,1107.6,1112.8,218.1,214.7,214.5,215.9,218.6,218.7,216.2,215.4,216.8,220.7,1079.4,252.0
5,0,0.133,0.98,1,1053.2,1057.3,1063.1,1068.8,1074.0,1086.6,1093.4,1100.3,1107.0,1112.2,218.2,214.9,214.7,216.1,218.7,218.9,216.4,215.6,216.9,220.8,1078.9,252.2
6,0,0.167,0.98,1,1052.5,1056.6,1062.3,1068.1,1073.3,1085.8,1092.7,1099.6,1106.4,1111.5,218.3,215.0,214.8,216.2,218.9,219.1,216.7,215.9,217.3,221.2,1078.1,252.4
7,0,0.2,0.98,1,1051.4,1055.5,1061.3,1067.1,1072.3,1085.2,1092.0,1099.0,1105.7,1110.9,218.4,215.2,215.0,216.4,219.1,219.3,216.9,216.1,217.3,221.1,1077.3,252.7
8,0,0.233,0.98,1,1050.8,1054.9,1060.6,1066.4,1071.6,1084.3,1091.1,1098.1,1104.9,1110.0,218.7,215.4,215.2,216.6,219.3,219.5,217.1,216.4,217.7,221.6,1076.4,252.9
9,0,0.267,0.98,1,1049.9,1054.0,1059.7,1065.5,1070.6,1083.3,1090.1,1097.1,1103.8,1109.0,218.8,215.5,215.3,216.8,219.5,219.7,217.2,216.4,217.7,221.6,1075.5,252.9
10,0,0.3,0.98,1,1049.0,1053.0,1058.8,1064.5,1069.7,1082.2,1089.0,1096.0,1102.8,1108.0,218.9,215.6,215.4,216.9,219.6,219.8,217.3,216.5,217.8,221.7,1074.6,253.0
11,0,0.333,0.98,1,1048.0,1052.0,1057.7,1063.5,1068.6,1081.2,1088.1,1095.0,1101.8,1107.0,219.0,215.8,215.6,217.0,219.7,219.9,217.5,216.7,217.9,221.7,1073.6,253.1
12,0,0.367,0.98,1,1046.8,1050.9,1056.5,1062.2,1067.4,1080.1,1086.9,1093.8,1100.6,1105.8,219.3,216.1,215.9,217.4,220.0,220.1,217.6,216.8,218.0,221.7,1072.5,253.3
13,0,0.4,0.98,1,1045.4,1049.5,1055.1,1060.8,1066.0,1079.0,1085.9,1092.8,1099.6,1104.9,219.6,216.3,216.0,217.4,220.0,220.1,217.6,216.8,218.0,221.8,1071.4,253.5
14,0,0.433,0.98,1,1044.4,1048.4,1054.0,1059.8,1064.9,1077.7,1084.5,1091.5,1098.3,1103.6,219.8,216.5,216.2,217.6,220.2,220.2,217.7,216.8,218.0,221.8,1070.5,253.6
15,0,0.467,0.98,1,1043.2,1047.0,1052.6,1058.3,1063.6,1076.5,1083.3,1090.2,1097.0,1102.2,220.2,216.8,216.4,217.8,220.3,220.2,217.7,216.8,217.9,221.6,1069.6,253.8
16,0,0.5,0.98,1,1042.1,1046.0,1051.6,1057.3,1062.5,1075.5,1082.2,1089.2,1096.0,1101.3,220.4,217.1,216.7,218.0,220.5,220.4,217.8,216.9,218.0,221.6,1068.6,254.0
17,0,0.533,0.98,1,1041.3,1045.1,1050.7,1056.3,1061.5,1074.4,1081.1,1088.0,1094.8,1100.1,220.6,217.3,216.9,218.2,220.6,220.5,217.8,216.9,217.9,221.5,1067.7,254.0
18,0,0.567,0.98,1,1040.6,1044.3,1049.8,1055.5,1060.7,1073.5,1080.3,1087.3,1094.1,1099.5,220.9,217.6,217.2,218.4,220.9,220.7,218.1,217.1,218.1,221.7,1067.0,254.2
19,0,0.6,0.98,1,1039.8,1043.4,1048.9,1054.6,1059.8,1072.7,1079.5,1086.5,1093.4,1098.8,221.4,217.9,217.5,218.6,221.1,220.8,218.0,217.0,218.1,221.7,1066.4,254.4
20,0,0.633,0.98,1,1039.3,1043.0,1048.5,1054.1,1059.3,1071.9,1078.6,1085.6,1092.5,1098.0,221.7,218.3,217.8,219.0,221.4,221.0,218.2,217.1,218.1,221.7,1065.9,254.5
21,0,0.667,0.98,1,1038.6,1042.3,1047.8,1053.4,1058.5,1071.3,1078.1,1085.1,1092.0,1097.5,221.7,218.3,217.8,219.0,221.5,221.1,218.3,217.2,218.2,221.7,1065.3,254.8
22,0,0.7,0.98,1,1038.3,1042.0,1047.5,1053.1,1058.2,1070.7,1077.4,1084.4,1091.3,1096.8,222.2,218.8,218.4,219.6,222.0,221.6,218.8,217.7,218.6,222.2,1064.8,255.1
23,0,0.733,0.98,1,1037.5,1041.3,1046.8,1052.4,1057.5,1070.1,1076.8,1083.7,1090.6,1096.0,222.3,219.0,218.6,219.8,222.2,221.8,219.0,217.9,218.8,222.2,1064.2,255.3
24,0,0.767,0.98,1,1036.7,1040.5,1046.0,1051.6,1056.7,1069.2,1075.8,1082.8,1089.7,1095.2,222.5,219.2,218.8,220.0,222.5,222.0,219.2,218.0,218.9,222.4,1063.4,255.5
25,0,0.8,0.98,1,1035.4,1039.2,1044.8,1050.4,1055.6,1068.0,1074.7,1081.7,1088.6,1094.2,223.0,219.6,219.1,220.2,222.6,222.0,219.1,217.9,218.7,222.1,1062.6,255.5
26,0,0.833,0.98,1,1034.7,1038.5,1044.0,1049.6,1054.8,1067.3,1073.9,1080.9,1087.8,1093.3,223.3,219.8,219.2,220.3,222.6,222.0,219.1,217.9,218.7,222.2,1061.9,255.6
