frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,910.3,915.7,922.5,929.4,935.5,947.3,953.1,958.7,964.0,967.5,300.6,296.5,295.3,296.2,298.5,298.5,296.4,296.0,297.6,301.8,941.1,330.6
2,0,0.033,0.98,1,910.2,915.5,922.2,928.9,935.0,947.5,953.2,958.6,963.8,967.1,300.9,296.8,295.7,296.5,298.7,298.7,296.8,296.4,297.9,302.0,940.6,331.1
3,0,0.067,0.98,1,910.0,915.4,922.1,928.7,934.7,947.3,953.0,958.4,963.5,966.9,300.7,296.8,295.8,296.7,299.0,299.0,297.0,296.6,298.1,302.1,940.3,331.4
4,0,0.1,0.98,1,909.9,915.3,922.0,928.7,934.6,947.1,952.8,958.3,963.4,966.8,300.8,296.9,295.9,296.9,299.1,299.2,297.2,296.8,298.3,302.3,940.1,331.5
5,0,0.133,0.93,1,909.8,915.2,921.8,928.4,934.4,947.1,952.7,958.2,963.3,966.7,300.7,296.9,295.9,296.9,299.1,299.1,297.2,296.7,298.1,302.1,940.0,331.5
6,0,0.167,0.98,1,909.4,914.8,921.5,928.2,934.3,946.8,952.6,958.1,963.3,966.7,300.7,296.8,295.8,296.8,299.0,299.0,297.0,296.5,298.0,302.0,939.8,331.4
7,0,0.2,0.98,1,909.4,914.8,921.4,928.1,934.1,946.7,952.4,957.8,963.0,966.4,300.6,296.7,295.7,296.6,298.8,298.8,296.8,296.3,297.7,301.6,939.9,331.2
8,0,0.233,0.98,1,909.4,914.7,921.4,928.2,934.3,946.6,952.3,957.8,963.0,966.4,300.6,296.6,295.5,296.4,298.8,298.8,296.7,296.3,297.8,301.8,939.9,331.1
9,0,0.267,0.93,1,909.2,914.5,921.2,928.1,934.2,946.8,952.5,957.9,963.1,966.6,300.9,296.8,295.6,296.6,298.9,298.9,296.9,296.5,298.0,302.0,939.8,331.0
10,0,0.3,0.98,1,909.2,914.5,921.2,928.1,934.3,947.0,952.5,957.8,962.7,965.9,301.1,297.0,295.7,296.6,298.9,298.9,297.0,296.7,298.2,302.3,940.2,331.0
11,0,0.333,0.98,1,908.7,914.0,920.8,927.6,933.9,946.7,952.1,957.3,962.3,965.5,301.5,297.3,295.9,296.7,299.0,298.8,296.9,296.4,297.7,301.6,940.4,331.0
12,0,0.367,0.93,1,908.6,913.9,920.7,927.5,933.9,946.4,951.9,957.3,962.4,965.8,301.4,297.2,295.7,296.5,298.8,298.6,296.8,296.3,297.5,301.4,939.9,330.9
13,0,0.4,0.93,1,909.0,914.3,921.0,927.9,934.1,946.3,952.0,957.4,962.6,965.8,301.0,296.8,295.4,296.3,298.6,298.6,296.7,296.3,297.8,301.9,939.7,330.8
14,0,0.433,0.98,1,909.3,914.5,921.3,928.1,934.2,946.3,951.9,957.3,962.4,965.5,300.6,296.5,295.2,296.2,298.5,298.5,296.6,296.2,297.8,302.0,939.6,330.8
15,0,0.467,0.98,1,908.5,914.0,920.8,927.6,933.8,946.5,951.9,957.1,962.0,965.0,300.6,296.6,295.3,296.3,298.6,298.6,296.7,296.2,297.5,301.3,940.1,330.8
16,0,0.5,0.98,1,908.2,913.7,920.6,927.4,933.6,946.3,951.7,957.0,961.9,964.8,300.8,296.7,295.3,296.3,298.6,298.5,296.6,296.1,297.3,301.2,940.1,330.9
