frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1039.5,1043.7,1049.9,1056.3,1062.2,1074.7,1081.2,1088.0,1094.7,1099.5,272.6,268.2,266.8,267.6,270.0,269.3,266.5,265.4,266.3,270.1,1069.6,303.9
2,0,0.033,0.98,1,1042.8,1047.1,1053.3,1059.5,1065.3,1078.5,1085.0,1091.7,1098.2,1103.0,271.6,267.5,266.3,267.2,269.6,269.0,266.3,265.2,265.9,269.6,1073.0,303.4
3,0,0.067,0.98,1,1046.7,1051.0,1057.2,1063.4,1069.1,1082.1,1088.6,1095.3,1101.9,1106.6,271.1,267.1,266.1,267.2,269.7,269.1,266.4,265.2,266.0,269.7,1076.5,303.4
4,0,0.1,0.98,1,1050.5,1054.8,1060.9,1067.0,1072.7,1085.6,1092.1,1098.8,1105.3,1110.1,271.1,267.3,266.4,267.5,270.0,269.4,266.7,265.5,266.3,269.9,1080.0,303.6
5,0,0.133,0.98,1,1053.8,1058.1,1064.2,1070.3,1076.0,1089.0,1095.6,1102.3,1109.0,1113.8,271.3,267.5,266.6,267.8,270.4,269.9,267.2,266.0,266.8,270.4,1083.2,304.0
6,0,0.167,0.98,1,1057.4,1061.6,1067.6,1073.7,1079.3,1092.2,1098.8,1105.6,1112.2,1117.0,271.7,267.8,267.0,268.2,270.7,270.2,267.5,266.3,267.1,270.7,1086.4,304.4
7,0,0.2,0.98,1,1060.8,1065.0,1070.9,1076.9,1082.5,1095.4,1102.0,1108.7,1115.3,1120.1,271.7,267.9,267.1,268.3,270.9,270.5,267.8,266.6,267.5,271.1,1089.5,304.7
8,0,0.233,0.98,1,1064.1,1068.2,1074.1,1080.1,1085.6,1097.9,1104.7,1111.6,1118.5,1123.7,271.6,268.0,267.5,268.9,271.5,271.2,268.5,267.3,268.1,271.7,1091.8,305.3
9,0,0.267,0.98,1,1067.0,1071.1,1076.9,1082.7,1088.1,1100.6,1107.4,1114.4,1121.4,1126.7,271.4,267.9,267.5,268.9,271.6,271.4,268.7,267.5,268.5,272.2,1094.1,305.6
10,0,0.3,0.98,1,1069.9,1073.8,1079.5,1085.3,1090.6,1103.1,1110.0,1117.1,1124.1,1129.5,271.3,267.8,267.5,268.9,271.5,271.4,268.7,267.6,268.7,272.4,1096.4,305.5
11,0,0.333,0.98,1,1072.7,1076.6,1082.3,1088.0,1093.3,1105.8,1112.7,1119.8,1126.7,1132.1,271.0,267.6,267.3,268.7,271.4,271.3,268.7,267.7,268.7,272.5,1099.0,305.3
