frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.93,1,1052.1,1055.5,1060.8,1066.4,1071.6,1083.8,1090.6,1097.9,1105.2,1110.9,261.8,257.7,256.6,257.5,259.9,259.3,256.5,255.4,256.5,260.4,1077.9,292.7
2,0,0.033,0.98,1,1052.2,1055.7,1060.9,1066.3,1071.2,1084.1,1090.9,1098.0,1105.0,1110.6,261.0,257.2,256.4,257.2,259.5,258.8,256.0,255.0,256.1,259.8,1077.9,292.4
3,0,0.067,0.98,1,1052.2,1055.7,1060.9,1066.3,1071.3,1083.8,1090.7,1097.9,1105.0,1110.7,260.7,256.9,256.0,256.9,259.3,258.7,255.9,254.9,256.0,259.8,1077.8,292.2
4,0,0.1,0.98,1,1052.1,1055.7,1061.0,1066.4,1071.4,1083.5,1090.5,1097.7,1105.0,1110.7,260.5,256.7,255.9,256.8,259.2,258.7,255.8,254.8,256.0,259.9,1077.7,292.0
5,0,0.133,0.98,1,1052.1,1055.6,1060.9,1066.3,1071.3,1083.6,1090.5,1097.8,1105.1,1110.7,260.2,256.3,255.5,256.4,258.9,258.4,255.7,254.8,256.0,260.0,1077.4,291.9
6,0,0.167,0.98,1,1051.8,1055.4,1060.7,1066.1,1071.1,1083.6,1090.5,1097.7,1104.8,1110.3,260.1,256.2,255.3,256.3,258.7,258.4,255.7,254.9,256.2,260.1,1077.1,291.9
7,0,0.2,0.98,1,1052.1,1055.8,1061.0,1066.4,1071.3,1083.6,1090.5,1097.7,1104.8,1110.3,259.8,256.0,255.2,256.1,258.6,258.2,255.6,254.9,256.2,260.2,1076.9,291.5
8,0,0.233,0.98,1,1051.9,1055.6,1060.9,1066.3,1071.2,1083.5,1090.5,1097.7,1104.8,1110.2,259.4,255.5,254.8,255.7,258.2,257.9,255.3,254.6,256.0,260.0,1076.6,291.1
9,0,0.267,0.98,1,1051.8,1055.5,1060.8,1066.2,1071.1,1083.5,1090.4,1097.6,1104.7,1110.1,258.8,254.9,254.1,255.1,257.6,257.4,254.9,254.2,255.6,259.7,1076.3,290.7
10,0,0.3,0.98,1,1051.7,1055.4,1060.7,1066.1,1071.0,1083.5,1090.4,1097.6,1104.7,1110.1,258.4,254.5,253.7,254.7,257.2,257.1,254.6,254.0,255.4,259.5,1076.1,290.3
11,0,0.333,0.98,1,1051.6,1055.3,1060.6,1066.0,1070.9,1083.2,1090.1,1097.3,1104.4,1109.8,258.5,254.6,253.9,254.8,257.3,257.1,254.6,253.9,255.3,259.3,1076.1,290.4
12,0,0.367,0.98,1,1051.5,1055.1,1060.4,1065.8,1070.7,1083.1,1090.0,1097.1,1104.2,1109.7,258.6,254.8,254.0,255.0,257.4,257.2,254.7,254.0,255.3,259.4,1075.9,290.4
13,0,0.4,0.98,1,1051.3,1054.9,1060.0,1065.2,1070.0,1082.5,1089.4,1096.5,1103.5,1108.9,259.1,255.3,254.5,255.4,257.8,257.6,255.0,254.3,255.6,259.5,1075.7,291.0
14,0,0.433,0.93,1,1051.2,1054.6,1059.5,1064.7,1069.5,1081.7,1088.5,1095.6,1102.5,1108.0,260.5,256.6,255.7,256.5,258.8,258.3,255.6,254.8,256.1,259.9,1075.6,291.7
15,0,0.467,0.93,1,1050.9,1054.1,1058.9,1064.1,1068.9,1081.1,1087.9,1094.9,1101.9,1107.4,261.3,257.2,256.1,256.8,259.1,258.5,255.7,254.8,256.1,259.8,1075.3,292.0
16,0,0.5,0.93,1,1050.2,1053.3,1058.1,1063.2,1068.0,1080.7,1087.4,1094.5,1101.4,1106.9,261.5,257.4,256.3,256.9,259.1,258.4,255.7,254.8,256.0,259.7,1074.9,292.2
17,0,0.533,0.93,1,1049.6,1052.9,1057.7,1062.8,1067.5,1080.0,1086.8,1093.8,1100.8,1106.3,261.6,257.6,256.4,257.0,259.1,258.4,255.7,254.8,256.0,259.6,1074.4,292.2
18,0,0.567,0.98,1,1049.2,1052.5,1057.3,1062.4,1067.1,1079.6,1086.3,1093.3,1100.3,1105.8,261.6,257.6,256.4,257.0,259.2,258.4,255.7,254.8,255.9,259.5,1074.1,292.2
19,0,0.6,0.98,1,1049.0,1052.2,1057.1,1062.2,1067.0,1079.4,1086.2,1093.2,1100.2,1105.9,261.6,257.6,256.5,257.1,259.3,258.5,255.8,254.8,255.8,259.4,1073.9,292.3
20,0,0.633,0.93,1,1049.0,1052.2,1057.1,1062.2,1067.0,1079.3,1086.1,1093.2,1100.2,1105.9,261.6,257.6,256.5,257.2,259.4,258.6,255.8,254.8,255.8,259.4,1073.8,292.3
21,0,0.667,0.98,1,1049.1,1052.3,1057.2,1062.2,1067.0,1079.3,1086.1,1093.2,1100.2,1106.0,261.5,257.5,256.5,257.2,259.4,258.5,255.7,254.7,255.7,259.3,1073.9,292.3
22,0,0.7,0.98,1,1049.6,1052.7,1057.5,1062.5,1067.2,1079.4,1086.2,1093.3,1100.4,1106.2,261.5,257.5,256.5,257.2,259.4,258.6,255.7,254.7,255.7,259.4,1074.0,292.2
23,0,0.733,0.98,1,1049.7,1052.8,1057.6,1062.7,1067.4,1079.5,1086.3,1093.5,1100.6,1106.4,261.4,257.5,256.5,257.2,259.4,258.6,255.7,254.7,255.7,259.3,1074.2,292.2
24,0,0.767,0.98,1,1049.9,1053.0,1057.8,1062.9,1067.6,1079.7,1086.5,1093.7,1100.9,1106.7,261.5,257.5,256.5,257.3,259.5,258.6,255.7,254.6,255.6,259.2,1074.6,292.2
25,0,0.8,0.98,1,1050.3,1053.5,1058.4,1063.5,1068.3,1080.3,1087.1,1094.2,1101.4,1107.2,261.2,257.3,256.3,257.1,259.3,258.5,255.7,254.5,255.5,259.1,1075.2,291.9
26,0,0.833,0.98,1,1050.9,1054.0,1058.9,1064.0,1068.8,1080.8,1087.6,1094.7,1101.9,1107.7,261.2,257.3,256.3,257.0,259.2,258.3,255.4,254.3,255.2,258.8,1075.7,291.7
27,0,0.867,0.98,1,1051.3,1054.5,1059.4,1064.5,1069.4,1081.4,1088.2,1095.4,1102.5,1108.3,260.9,256.9,255.9,256.6,258.8,258.0,255.1,254.1,255.1,258.8,1076.2,291.4
28,0,0.9,0.98,1,1051.7,1054.9,1059.9,1065.1,1070.0,1082.0,1088.8,1096.0,1103.2,1109.0,260.8,256.9,255.8,256.5,258.7,257.8,255.0,253.9,255.0,258.6,1076.7,291.1
29,0,0.933,0.98,1,1052.3,1055.5,1060.5,1065.7,1070.5,1082.5,1089.3,1096.5,1103.7,1109.4,260.8,256.8,255.7,256.4,258.6,257.8,254.9,253.9,255.0,258.7,1077.2,291.0
30,0,0.967,0.98,1,1052.8,1056.1,1061.1,1066.3,1071.2,1083.2,1090.0,1097.2,1104.3,1110.1,260.6,256.7,255.7,256.4,258.6,257.8,255.0,253.9,255.0,258.7,1077.8,291.0
31,0,1.0,0.98,1,1053.3,1056.6,1061.6,1066.9,1071.8,1083.7,1090.5,1097.7,1104.9,1110.7,260.5,256.6,255.6,256.4,258.7,257.9,255.0,254.0,255.0,258.7,1078.3,291.2
32,0,1.033,0.98,1,1053.9,1057.3,1062.3,1067.6,1072.5,1084.3,1091.0,1098.2,1105.4,1111.2,260.6,256.6,255.7,256.4,258.7,257.9,255.1,254.0,255.1,258.8,1078.9,291.2
33,0,1.067,0.98,1,1054.5,1057.8,1062.8,1068.1,1073.0,1084.9,1091.6,1098.8,1105.9,1111.7,260.5,256.6,255.7,256.4,258.7,257.9,255.1,254.0,255.1,258.7,1079.4,291.3
34,0,1.1,0.98,1,1055.0,1058.2,1063.2,1068.5,1073.4,1085.4,1092.2,1099.4,1106.5,1112.2,260.6,256.6,255.7,256.4,258.6,257.9,255.0,254.0,255.1,258.8,1080.0,291.2
35,0,1.133,0.98,1,1055.4,1058.7,1063.7,1069.0,1073.9,1085.9,1092.7,1100.0,1107.2,1113.0,260.6,256.6,255.6,256.3,258.6,257.9,255.0,254.0,255.1,258.8,1080.4,291.1
36,0,1.167,0.98,1,1056.0,1059.2,1064.2,1069.5,1074.4,1086.4,1093.2,1100.5,1107.7,1113.4,260.6,256.6,255.6,256.3,258.5,257.8,254.9,253.9,255.0,258.8,1080.9,291.0
37,0,1.2,0.98,1,1056.4,1059.7,1064.8,1070.0,1074.9,1087.0,1093.7,1100.8,1107.9,1113.6,260.5,256.5,255.5,256.2,258.4,257.6,254.8,253.8,254.8,258.5,1081.4,291.0
38,0,1.233,0.98,1,1056.9,1060.2,1065.3,1070.5,1075.4,1087.5,1094.2,1101.3,1108.4,1114.1,260.4,256.5,255.5,256.2,258.4,257.5,254.7,253.6,254.7,258.4,1081.9,291.0
