frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,992.0,998.0,1004.6,1010.8,1016.1,1026.2,1031.1,1035.7,1039.6,1041.4,305.4,302.8,302.9,305.1,308.6,311.0,310.4,311.2,313.6,317.9,1016.7,337.2
2,0,0.033,0.98,1,992.0,998.1,1004.7,1010.7,1015.8,1026.1,1030.9,1035.4,1039.4,1041.0,304.6,302.1,302.3,304.6,308.2,310.8,310.3,311.1,313.4,317.7,1016.1,337.1
3,0,0.067,0.98,1,991.5,997.7,1004.3,1010.4,1015.6,1025.8,1030.7,1035.2,1039.0,1040.6,303.9,301.4,301.7,304.0,307.7,310.5,310.0,310.9,313.2,317.6,1015.7,336.6
4,0,0.1,0.98,1,991.3,997.5,1004.2,1010.3,1015.5,1025.5,1030.3,1034.8,1038.6,1040.0,303.7,301.1,301.3,303.6,307.4,310.2,309.8,310.7,313.1,317.5,1015.4,336.3
5,0,0.133,0.98,1,990.9,997.1,1003.8,1009.9,1015.0,1025.0,1029.8,1034.2,1037.9,1039.3,303.0,300.5,300.8,303.2,307.0,309.9,309.5,310.4,312.8,317.2,1014.9,335.8
6,0,0.167,0.98,1,990.6,996.8,1003.4,1009.5,1014.6,1024.5,1029.2,1033.6,1037.3,1038.8,302.7,300.1,300.4,302.8,306.6,309.6,309.3,310.3,312.8,317.2,1014.3,335.3
7,0,0.2,0.98,1,990.5,996.7,1003.4,1009.4,1014.4,1024.2,1028.8,1033.1,1036.8,1038.3,302.0,299.6,300.0,302.5,306.4,309.6,309.2,310.3,312.7,317.1,1013.9,335.0
8,0,0.233,0.98,1,990.1,996.3,1003.0,1009.1,1014.1,1023.7,1028.3,1032.5,1036.1,1037.4,301.8,299.3,299.7,302.3,306.3,309.6,309.5,310.6,313.2,317.6,1013.3,334.7
9,0,0.267,0.98,1,989.8,996.0,1002.7,1008.6,1013.5,1023.2,1027.7,1031.9,1035.4,1036.7,301.4,299.1,299.7,302.3,306.3,309.9,309.8,311.0,313.6,318.1,1012.4,334.8
10,0,0.3,0.98,1,989.4,995.6,1002.2,1008.1,1013.0,1022.6,1027.1,1031.2,1034.7,1035.9,301.3,299.1,299.8,302.5,306.6,310.3,310.3,311.6,314.2,318.7,1011.5,335.1
11,0,0.333,0.98,1,988.6,994.9,1001.5,1007.4,1012.2,1021.8,1026.3,1030.4,1033.9,1035.0,301.4,299.3,300.0,302.9,307.1,310.9,310.9,312.2,314.9,319.4,1010.6,335.5
12,0,0.367,0.98,1,988.1,994.4,1001.0,1006.8,1011.6,1021.0,1025.5,1029.6,1032.9,1033.9,301.6,299.6,300.4,303.2,307.5,311.3,311.3,312.7,315.4,319.9,1009.6,336.0
13,0,0.4,0.98,1,987.1,993.5,1000.1,1006.0,1010.7,1019.9,1024.4,1028.4,1031.7,1032.7,301.7,299.6,300.5,303.4,307.6,311.5,311.6,313.1,315.9,320.5,1008.7,336.0
14,0,0.433,0.98,1,986.6,992.9,999.5,1005.4,1010.1,1019.3,1023.7,1027.6,1030.8,1031.6,301.7,299.8,300.7,303.6,307.9,311.9,312.0,313.4,316.2,320.8,1008.0,336.3
15,0,0.467,0.98,1,985.7,992.0,998.6,1004.5,1009.2,1018.4,1022.7,1026.6,1029.7,1030.6,301.8,299.7,300.6,303.6,307.8,311.8,311.9,313.4,316.1,320.7,1007.3,336.3
16,0,0.5,0.98,1,985.2,991.6,998.1,1004.0,1008.7,1017.8,1022.0,1025.8,1028.9,1029.7,301.7,299.8,300.7,303.7,308.0,312.0,312.2,313.6,316.4,320.9,1006.8,336.3
17,0,0.533,0.98,1,984.8,991.1,997.6,1003.4,1008.0,1017.2,1021.3,1024.9,1027.9,1028.7,301.5,299.7,300.8,303.7,307.9,312.1,312.3,313.8,316.6,321.1,1006.2,336.2
18,0,0.567,0.98,1,984.4,990.8,997.2,1003.0,1007.5,1016.6,1020.7,1024.2,1027.1,1027.8,301.4,299.7,300.8,303.8,308.0,312.3,312.6,314.2,317.0,321.5,1005.6,336.3
19,0,0.6,0.98,1,983.7,990.1,996.4,1002.1,1006.6,1015.7,1019.7,1023.2,1025.9,1026.6,301.2,299.6,300.7,303.8,308.0,312.4,312.7,314.2,317.1,321.6,1004.9,336.3
20,0,0.633,0.98,1,983.0,989.4,995.8,1001.5,1006.0,1014.8,1018.7,1022.1,1024.8,1025.4,301.3,299.7,300.9,303.9,308.2,312.5,312.8,314.4,317.3,321.8,1004.2,336.4
21,0,0.667,0.98,1,982.0,988.4,994.7,1000.4,1004.9,1013.7,1017.5,1020.8,1023.4,1024.0,301.4,299.8,300.9,304.0,308.2,312.6,312.9,314.5,317.3,321.7,1003.1,336.4
22,0,0.7,0.98,1,981.0,987.3,993.7,999.4,1004.0,1012.6,1016.3,1019.5,1022.1,1022.7,301.5,299.9,301.0,304.0,308.3,312.7,313.1,314.6,317.3,321.7,1002.2,336.3
23,0,0.733,0.98,1,979.5,985.8,992.2,997.9,1002.4,1011.0,1014.7,1017.9,1020.5,1021.1,301.7,300.0,301.1,304.1,308.4,312.7,313.0,314.5,317.2,321.6,1000.8,336.3
24,0,0.767,0.98,1,978.4,984.7,990.9,996.5,1001.1,1009.6,1013.2,1016.3,1018.9,1019.5,301.8,300.2,301.3,304.3,308.5,312.8,313.1,314.6,317.2,321.4,999.6,336.2
25,0,0.8,0.98,1,977.0,983.2,989.5,995.1,999.7,1008.1,1011.6,1014.8,1017.4,1017.9,302.0,300.4,301.4,304.4,308.6,312.9,313.1,314.5,317.0,321.1,998.4,336.3
26,0,0.833,0.98,1,975.2,981.4,987.7,993.4,998.0,1006.4,1009.9,1013.1,1015.6,1016.2,302.0,300.3,301.2,304.1,308.3,312.5,312.7,314.1,316.6,320.8,996.9,336.1
27,0,0.867,0.98,1,973.2,979.3,985.6,991.3,995.9,1004.4,1007.9,1011.0,1013.6,1014.3,302.1,300.3,301.1,303.9,308.0,312.0,312.2,313.5,316.0,320.1,995.5,335.7
28,0,0.9,0.98,1,971.3,977.5,983.8,989.6,994.4,1002.8,1006.3,1009.4,1011.9,1012.6,302.0,300.1,300.9,303.6,307.6,311.5,311.6,312.9,315.4,319.7,994.3,335.3
29,0,0.933,0.98,1,969.4,975.5,981.9,987.7,992.6,1001.0,1004.5,1007.6,1010.2,1011.0,301.8,299.8,300.4,303.0,307.0,310.6,310.7,312.0,314.4,318.7,993.1,334.6
30,0,0.967,0.98,1,967.8,973.8,980.1,985.9,990.8,999.4,1002.8,1005.9,1008.6,1009.5,301.4,299.2,299.8,302.3,306.1,309.7,309.7,310.9,313.3,317.5,992.0,333.9
31,0,1.0,0.98,1,965.9,971.9,978.3,984.2,989.2,997.9,1001.3,1004.5,1007.2,1008.2,301.1,298.9,299.3,301.7,305.5,308.8,308.8,309.9,312.2,316.5,990.8,333.3
32,0,1.033,0.98,1,964.2,970.2,976.6,982.5,987.6,996.4,999.9,1003.1,1005.9,1007.0,301.0,298.7,299.0,301.2,304.8,308.0,307.9,309.0,311.3,315.5,989.8,332.6
33,0,1.067,0.98,1,962.6,968.6,975.0,981.1,986.2,995.2,998.8,1002.1,1005.1,1006.4,300.9,298.4,298.6,300.7,304.2,307.1,306.8,307.8,310.0,314.1,989.0,332.1
34,0,1.1,0.98,1,960.8,966.8,973.3,979.5,984.8,993.9,997.5,1001.0,1004.0,1005.4,301.1,298.4,298.3,300.3,303.7,306.3,306.0,306.9,309.1,313.3,988.1,331.6
35,0,1.133,0.98,1,959.8,965.7,972.2,978.4,983.7,992.9,996.6,1000.1,1003.2,1004.7,301.1,298.4,298.3,300.2,303.6,306.0,305.6,306.5,308.6,312.8,987.0,331.4
36,0,1.167,0.98,1,958.4,964.4,970.9,977.2,982.6,992.0,995.8,999.4,1002.6,1004.2,301.2,298.4,298.3,300.2,303.5,305.8,305.4,306.1,308.2,312.3,986.1,331.4
37,0,1.2,0.98,1,957.2,963.2,969.7,976.0,981.4,991.2,995.1,998.8,1002.1,1003.8,301.4,298.5,298.3,300.1,303.4,305.7,305.2,306.0,308.0,312.2,985.2,331.5
38,0,1.233,0.98,1,956.5,962.4,968.9,975.1,980.5,990.3,994.3,998.2,1001.7,1003.5,301.6,298.7,298.4,300.3,303.5,305.8,305.3,306.0,308.0,312.2,983.9,331.7
39,0,1.267,0.98,1,955.6,961.5,968.1,974.3,979.7,989.4,993.7,997.7,1001.4,1003.2,301.8,298.8,298.6,300.5,303.8,306.1,305.5,306.2,308.3,312.5,982.8,332.0
40,0,1.3,0.98,1,954.3,960.2,966.9,973.1,978.5,988.3,992.7,997.0,1000.8,1002.8,302.1,299.1,298.8,300.7,304.0,306.2,305.5,306.1,308.2,312.4,981.3,332.1
41,0,1.333,0.98,1,953.0,958.9,965.5,971.7,977.1,987.0,991.7,996.2,1000.2,1002.2,302.2,299.1,298.8,300.6,304.0,306.2,305.6,306.3,308.4,312.6,979.2,332.3
