frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1019.3,1024.5,1031.6,1038.8,1045.5,1058.6,1065.3,1072.1,1078.8,1083.4,242.6,237.8,236.3,237.0,239.3,238.7,236.0,235.1,236.4,240.8,1052.8,273.9
2,0,0.033,0.98,1,1018.2,1023.3,1030.3,1037.5,1044.1,1057.5,1064.2,1070.9,1077.5,1082.2,243.0,238.1,236.4,237.0,239.1,238.2,235.5,234.5,235.7,240.0,1051.9,273.8
3,0,0.067,0.98,1,1017.3,1022.2,1029.2,1036.5,1043.1,1056.3,1063.0,1069.8,1076.4,1081.3,243.1,238.1,236.4,236.8,238.9,237.8,235.0,234.0,235.2,239.4,1051.2,273.4
4,0,0.1,0.98,1,1016.3,1021.2,1028.2,1035.4,1042.0,1055.3,1061.9,1068.7,1075.3,1080.2,243.1,238.1,236.2,236.6,238.6,237.4,234.5,233.4,234.5,238.7,1050.5,273.1
5,0,0.133,0.98,1,1015.7,1020.6,1027.5,1034.7,1041.3,1054.5,1061.1,1067.8,1074.5,1079.4,243.0,238.0,236.2,236.6,238.5,237.3,234.4,233.2,234.3,238.4,1049.9,273.0
6,0,0.167,0.98,1,1015.1,1020.0,1026.9,1034.0,1040.6,1053.8,1060.4,1067.1,1073.8,1078.8,243.0,238.0,236.1,236.5,238.4,237.1,234.2,233.1,234.1,238.2,1049.3,272.9
7,0,0.2,0.98,1,1014.7,1019.4,1026.3,1033.4,1040.0,1053.2,1059.8,1066.6,1073.3,1078.3,243.2,238.1,236.1,236.4,238.4,237.1,234.1,232.9,234.0,238.1,1048.8,272.7
8,0,0.233,0.98,1,1013.8,1018.5,1025.4,1032.6,1039.3,1052.5,1059.1,1065.9,1072.7,1077.7,243.5,238.3,236.3,236.5,238.4,237.0,234.1,232.9,233.9,238.1,1048.3,272.7
9,0,0.267,0.98,1,1013.1,1017.7,1024.6,1031.8,1038.5,1051.5,1058.1,1065.0,1071.8,1076.9,243.9,238.7,236.5,236.7,238.5,237.1,234.1,232.9,233.9,238.1,1047.7,272.7
10,0,0.3,0.98,1,1012.3,1016.8,1023.5,1030.5,1037.1,1050.5,1057.1,1063.9,1070.7,1075.8,244.0,238.9,236.7,236.9,238.6,237.1,234.2,233.0,234.0,238.0,1046.6,272.9
11,0,0.333,0.98,1,1011.2,1015.7,1022.3,1029.2,1035.7,1049.3,1056.0,1062.8,1069.6,1074.8,244.1,239.1,237.1,237.3,239.1,237.7,234.8,233.5,234.4,238.3,1045.2,273.4
12,0,0.367,0.98,1,1010.4,1014.9,1021.4,1028.2,1034.6,1048.1,1054.9,1061.8,1068.7,1073.9,244.5,239.6,237.6,237.9,239.8,238.4,235.5,234.3,235.2,239.1,1043.8,274.2
13,0,0.4,0.98,1,1009.2,1013.7,1020.1,1026.9,1033.3,1047.1,1053.9,1060.9,1067.8,1073.1,244.8,240.0,238.1,238.5,240.4,238.9,236.1,234.8,235.6,239.4,1042.8,275.0
14,0,0.433,0.98,1,1008.8,1013.0,1019.4,1026.1,1032.5,1046.2,1053.1,1060.2,1067.2,1072.5,245.6,240.8,238.9,239.3,241.2,239.8,236.9,235.7,236.5,240.4,1041.8,275.7
15,0,0.467,0.98,1,1007.9,1012.1,1018.6,1025.4,1031.8,1045.4,1052.5,1059.7,1066.8,1072.2,246.4,241.6,239.6,240.0,242.0,240.7,237.8,236.6,237.5,241.4,1041.1,276.5
16,0,0.5,0.98,1,1007.5,1011.6,1017.9,1024.6,1031.1,1044.7,1051.8,1059.0,1066.1,1071.4,246.8,242.0,240.0,240.4,242.5,241.3,238.4,237.2,238.2,242.1,1040.2,277.1
17,0,0.533,0.98,1,1006.6,1010.7,1017.0,1023.7,1030.2,1043.8,1050.9,1058.2,1065.5,1070.9,247.4,242.5,240.6,241.1,243.2,242.0,239.2,237.9,238.8,242.7,1039.4,277.7
18,0,0.567,0.98,1,1005.7,1009.7,1016.0,1022.7,1029.2,1043.1,1050.3,1057.7,1064.9,1070.4,247.8,242.9,241.0,241.5,243.6,242.5,239.7,238.5,239.4,243.3,1038.6,278.3
