frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1071.1,1073.8,1078.7,1084.0,1089.2,1101.5,1108.0,1115.0,1122.2,1128.5,268.5,264.1,262.5,262.6,264.2,261.9,258.2,256.2,256.3,259.2,1100.2,297.5
2,0,0.033,0.98,1,1072.1,1074.8,1079.5,1084.5,1089.5,1101.9,1108.3,1115.2,1122.3,1128.6,268.0,263.9,262.5,262.7,264.3,262.0,258.3,256.3,256.3,259.2,1100.4,298.0
3,0,0.067,0.98,1,1072.7,1075.4,1080.1,1085.1,1090.1,1102.4,1108.8,1115.7,1122.8,1129.0,268.2,264.1,262.7,263.0,264.5,262.3,258.6,256.6,256.6,259.4,1101.1,298.4
4,0,0.1,0.98,1,1073.2,1075.9,1080.6,1085.8,1090.8,1103.0,1109.3,1116.2,1123.3,1129.6,268.5,264.3,262.9,263.2,264.8,262.6,258.8,256.8,256.8,259.6,1101.8,298.7
5,0,0.133,0.98,1,1073.9,1076.6,1081.4,1086.5,1091.6,1103.4,1109.7,1116.6,1123.8,1130.1,268.6,264.4,263.1,263.4,265.1,262.9,259.2,257.1,257.1,259.9,1102.4,299.1
6,0,0.167,0.98,1,1074.4,1077.1,1081.8,1086.9,1091.9,1103.9,1110.1,1117.1,1124.3,1130.5,268.7,264.5,263.1,263.5,265.1,263.0,259.2,257.2,257.2,260.1,1102.8,299.5
7,0,0.2,0.98,1,1074.8,1077.5,1082.1,1087.2,1092.2,1104.3,1110.6,1117.5,1124.6,1130.9,268.8,264.7,263.4,263.8,265.4,263.3,259.5,257.5,257.5,260.3,1103.3,299.9
8,0,0.233,0.98,1,1075.2,1077.8,1082.5,1087.6,1092.6,1104.8,1111.1,1118.0,1125.1,1131.4,269.1,265.0,263.8,264.2,265.9,263.7,259.9,257.9,257.9,260.7,1103.8,300.3
9,0,0.267,0.98,1,1075.3,1078.0,1082.7,1087.8,1092.9,1105.1,1111.4,1118.3,1125.5,1131.7,269.4,265.3,264.0,264.4,266.1,264.0,260.2,258.1,258.1,261.0,1104.1,300.6
10,0,0.3,0.98,1,1075.5,1078.1,1082.8,1088.0,1093.2,1105.3,1111.7,1118.7,1125.9,1132.2,269.8,265.6,264.3,264.7,266.4,264.3,260.4,258.4,258.4,261.3,1104.5,300.9
11,0,0.333,0.98,1,1075.5,1078.2,1083.1,1088.3,1093.4,1105.3,1111.7,1118.6,1125.9,1132.3,269.9,265.8,264.6,265.1,266.8,264.7,260.9,258.7,258.6,261.4,1104.6,301.0
12,0,0.367,0.98,1,1075.7,1078.4,1083.4,1088.6,1093.6,1105.3,1111.7,1118.7,1125.9,1132.4,270.2,266.1,264.9,265.3,267.1,265.0,261.2,259.1,258.9,261.7,1104.5,301.1
13,0,0.4,0.98,1,1075.6,1078.3,1083.2,1088.4,1093.5,1105.3,1111.6,1118.6,1125.9,1132.3,270.0,266.0,264.8,265.4,267.2,265.1,261.4,259.3,259.2,262.0,1104.3,301.0
14,0,0.433,0.98,1,1075.5,1078.3,1083.2,1088.4,1093.5,1105.3,1111.6,1118.6,1125.9,1132.3,270.0,266.0,264.8,265.4,267.2,265.1,261.4,259.3,259.2,262.1,1104.3,300.9
15,0,0.467,0.98,1,1075.1,1077.8,1082.6,1087.9,1093.0,1104.8,1111.1,1118.2,1125.4,1131.6,269.8,265.8,264.6,265.1,267.0,265.0,261.2,259.1,259.1,261.9,1104.0,301.1
16,0,0.5,0.98,1,1074.9,1077.5,1082.4,1087.6,1092.7,1104.6,1110.8,1117.8,1125.0,1131.2,269.8,265.8,264.5,265.0,266.9,264.8,261.1,259.0,259.0,261.8,1103.6,300.9
