frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1069.6,1073.7,1079.6,1085.7,1091.2,1104.2,1110.8,1117.7,1124.4,1129.4,212.4,208.3,207.2,208.1,210.7,210.4,207.8,206.9,208.1,212.0,1097.8,244.7
2,0,0.033,0.98,1,1069.7,1073.6,1079.2,1085.0,1090.2,1103.3,1110.1,1117.0,1123.8,1129.0,212.3,208.5,207.7,208.7,211.1,210.8,208.1,207.2,208.5,212.3,1096.5,245.2
3,0,0.067,0.98,1,1069.1,1073.0,1078.7,1084.5,1089.8,1103.0,1109.8,1116.8,1123.6,1128.9,212.5,208.7,208.0,209.0,211.5,211.1,208.4,207.5,208.6,212.4,1096.3,245.5
4,0,0.1,0.98,1,1068.9,1072.8,1078.5,1084.4,1089.7,1102.7,1109.5,1116.5,1123.4,1128.7,212.7,208.9,208.2,209.3,211.8,211.4,208.6,207.7,208.8,212.6,1096.1,245.7
5,0,0.133,0.98,1,1068.9,1072.8,1078.5,1084.3,1089.6,1102.7,1109.5,1116.5,1123.3,1128.6,212.8,209.1,208.4,209.4,211.8,211.5,208.7,207.8,209.0,212.7,1096.1,245.8
6,0,0.167,0.98,1,1069.0,1072.9,1078.5,1084.3,1089.6,1102.7,1109.5,1116.4,1123.2,1128.5,213.0,209.2,208.6,209.6,212.0,211.6,208.8,207.9,209.1,212.9,1096.1,245.9
7,0,0.2,0.98,1,1068.7,1072.7,1078.3,1084.2,1089.5,1102.5,1109.3,1116.3,1123.1,1128.4,212.9,209.2,208.6,209.6,212.0,211.7,208.9,208.0,209.1,212.9,1096.0,246.0
8,0,0.233,0.98,1,1068.6,1072.6,1078.3,1084.1,1089.4,1102.4,1109.2,1116.2,1123.0,1128.3,212.9,209.2,208.5,209.6,212.0,211.7,208.9,208.0,209.2,212.9,1095.8,246.0
9,0,0.267,0.98,1,1068.4,1072.3,1078.1,1083.9,1089.2,1102.2,1109.0,1116.0,1122.8,1128.1,212.9,209.2,208.6,209.6,212.1,211.7,209.0,208.1,209.2,213.0,1095.5,246.2
10,0,0.3,0.98,1,1068.2,1072.1,1077.8,1083.7,1089.0,1101.9,1108.7,1115.7,1122.6,1127.9,213.1,209.3,208.6,209.7,212.1,211.8,209.0,208.1,209.3,213.1,1095.4,246.3
