frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,912.3,917.6,924.3,931.0,937.0,948.8,954.0,959.0,963.9,966.8,288.2,284.1,282.8,283.6,285.8,285.8,283.9,283.5,284.9,289.0,943.4,317.6
2,0,0.033,0.98,1,912.9,918.4,925.0,931.4,937.4,949.9,955.0,959.8,964.4,967.3,288.8,284.8,283.6,284.5,286.6,286.5,284.7,284.2,285.4,289.2,944.1,318.4
3,0,0.067,0.98,1,913.1,918.6,925.3,931.9,937.9,950.3,955.4,960.3,965.0,967.9,289.4,285.4,284.1,285.0,287.0,286.9,285.1,284.6,285.8,289.6,944.6,318.9
4,0,0.1,0.98,1,913.7,919.2,925.9,932.5,938.5,950.8,955.9,960.8,965.5,968.4,289.9,285.9,284.6,285.5,287.6,287.5,285.7,285.2,286.4,290.2,945.2,319.3
5,0,0.133,0.98,1,914.1,919.6,926.3,932.9,939.0,951.3,956.5,961.4,966.1,969.0,290.3,286.3,285.1,286.0,288.1,288.0,286.2,285.7,286.9,290.8,945.5,319.8
6,0,0.167,0.98,1,914.4,920.0,926.7,933.4,939.5,951.5,956.7,961.7,966.5,969.4,291.0,287.0,285.7,286.6,288.8,288.6,286.8,286.3,287.7,291.7,945.8,320.3
7,0,0.2,0.98,1,914.4,919.9,926.7,933.4,939.5,951.6,956.9,961.9,966.8,969.7,291.7,287.6,286.3,287.1,289.3,289.2,287.4,286.9,288.2,292.2,946.0,320.9
8,0,0.233,0.98,1,914.7,920.3,927.0,933.6,939.7,951.7,956.9,962.0,966.8,969.8,292.4,288.3,287.0,287.8,289.9,289.8,288.0,287.5,288.7,292.6,946.1,321.5
9,0,0.267,0.98,1,915.0,920.5,927.2,933.8,939.9,952.1,957.3,962.3,967.1,970.0,292.8,288.8,287.4,288.3,290.4,290.2,288.4,288.0,289.2,293.1,946.4,322.1
10,0,0.3,0.98,1,915.0,920.5,927.2,933.9,940.0,952.4,957.6,962.6,967.4,970.3,293.3,289.2,287.9,288.7,290.9,290.8,289.0,288.5,289.7,293.7,946.7,322.7
11,0,0.333,0.98,1,915.2,920.7,927.3,933.9,939.9,952.6,957.7,962.7,967.5,970.5,293.8,289.8,288.5,289.3,291.5,291.4,289.7,289.3,290.5,294.4,946.6,323.3
12,0,0.367,0.98,1,915.2,920.7,927.4,934.0,940.1,952.7,957.9,963.0,967.8,970.7,294.4,290.4,289.1,290.0,292.2,292.1,290.4,290.0,291.2,295.1,946.8,324.1
13,0,0.4,0.98,1,915.4,920.9,927.6,934.2,940.3,952.8,958.0,963.1,967.9,970.8,295.5,291.4,290.1,291.0,293.2,293.2,291.5,291.0,292.2,296.2,946.9,325.0
14,0,0.433,0.98,1,915.5,921.0,927.7,934.2,940.3,952.8,958.0,963.0,967.8,970.8,296.2,292.1,290.8,291.7,293.9,293.8,292.1,291.6,292.8,296.7,947.0,325.5
15,0,0.467,0.98,1,915.7,921.4,928.0,934.6,940.6,953.2,958.4,963.4,968.1,971.1,296.9,292.9,291.7,292.6,294.8,294.7,292.9,292.5,293.6,297.4,947.2,326.4
16,0,0.5,0.98,1,915.7,921.4,928.0,934.5,940.5,953.3,958.4,963.4,968.2,971.1,297.3,293.4,292.2,293.2,295.4,295.3,293.6,293.1,294.2,297.9,947.1,327.1
17,0,0.533,0.98,1,915.6,921.3,928.0,934.6,940.7,953.2,958.3,963.4,968.2,971.1,297.8,293.9,292.8,293.7,295.9,295.9,294.2,293.7,294.8,298.6,947.0,327.5
18,0,0.567,0.98,1,915.6,921.3,928.0,934.7,940.9,953.1,958.3,963.4,968.2,971.1,298.2,294.3,293.1,294.1,296.4,296.4,294.7,294.2,295.4,299.3,946.9,328.0
19,0,0.6,0.98,1,915.5,921.2,927.9,934.6,940.8,953.2,958.4,963.4,968.2,971.0,298.3,294.4,293.2,294.1,296.5,296.5,294.8,294.4,295.7,299.5,946.8,328.1
20,0,0.633,0.98,1,915.4,921.1,927.8,934.5,940.7,953.1,958.3,963.3,968.1,970.8,298.2,294.3,293.1,294.1,296.4,296.5,294.8,294.4,295.6,299.5,946.8,328.1
21,0,0.667,0.98,1,915.2,920.8,927.6,934.3,940.5,952.8,958.0,963.0,967.8,970.5,298.1,294.1,292.9,293.8,296.2,296.3,294.5,294.1,295.5,299.5,946.5,327.8
22,0,0.7,0.98,1,915.1,920.7,927.5,934.2,940.3,952.6,957.8,962.8,967.6,970.3,297.6,293.6,292.3,293.3,295.7,295.8,294.1,293.7,295.1,299.1,946.2,327.5
23,0,0.733,0.98,1,914.7,920.3,927.1,933.8,939.9,952.4,957.6,962.6,967.3,970.1,297.1,293.2,291.9,292.9,295.3,295.4,293.7,293.3,294.7,298.7,945.8,327.2
24,0,0.767,0.98,1,914.3,920.0,926.8,933.5,939.6,952.0,957.2,962.3,967.0,969.7,296.9,292.9,291.7,292.7,295.1,295.3,293.6,293.2,294.6,298.6,945.6,327.0
25,0,0.8,0.98,1,914.0,919.7,926.5,933.2,939.3,951.7,956.9,962.0,966.7,969.4,296.9,292.9,291.7,292.6,295.0,295.1,293.4,293.1,294.5,298.5,945.3,326.9
26,0,0.833,0.98,1,913.2,918.9,925.7,932.5,938.7,951.3,956.5,961.6,966.4,969.1,297.1,293.0,291.7,292.6,295.0,295.1,293.4,293.0,294.4,298.4,944.9,326.9
27,0,0.867,0.98,1,913.0,918.7,925.5,932.3,938.5,951.0,956.2,961.3,966.0,968.7,297.0,293.0,291.7,292.6,295.0,295.1,293.4,293.1,294.4,298.4,944.6,327.0
