frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,969.3,974.5,980.7,986.7,992.0,1002.9,1008.5,1013.8,1018.9,1021.9,310.4,307.4,307.0,308.5,311.3,312.2,310.7,310.6,312.2,316.1,995.0,340.0
2,0,0.033,0.98,1,969.0,974.2,980.2,986.1,991.2,1002.8,1008.2,1013.5,1018.4,1021.4,310.1,307.2,306.9,308.4,311.2,312.2,310.8,310.7,312.3,316.1,994.3,340.3
3,0,0.067,0.98,1,968.1,973.3,979.4,985.4,990.6,1001.6,1007.2,1012.6,1017.6,1020.7,310.1,307.1,306.8,308.4,311.3,312.3,310.7,310.6,312.3,316.1,993.5,340.2
4,0,0.1,0.98,1,967.3,972.4,978.5,984.4,989.5,1000.7,1006.3,1011.7,1016.7,1019.8,309.9,306.9,306.7,308.2,311.0,311.9,310.4,310.4,312.0,315.8,992.4,339.9
5,0,0.133,0.98,1,966.4,971.5,977.5,983.3,988.3,999.6,1005.1,1010.4,1015.4,1018.5,309.7,306.8,306.5,308.0,310.7,311.7,310.2,310.1,311.7,315.4,991.3,339.6
6,0,0.167,0.98,1,965.2,970.2,976.3,982.1,987.3,998.7,1004.2,1009.5,1014.5,1017.6,309.7,306.7,306.3,307.7,310.4,311.4,309.9,309.8,311.4,315.2,990.5,339.3
7,0,0.2,0.98,1,964.1,969.1,975.1,981.0,986.2,997.7,1003.2,1008.5,1013.5,1016.6,309.5,306.4,306.0,307.4,310.0,310.9,309.4,309.3,310.9,314.7,989.5,339.2
8,0,0.233,0.98,1,963.0,967.9,974.0,979.8,985.0,996.5,1001.9,1007.2,1012.2,1015.3,309.4,306.3,305.9,307.2,309.8,310.7,309.2,309.1,310.7,314.5,988.4,338.9
9,0,0.267,0.98,1,961.6,966.6,972.7,978.6,983.8,995.3,1000.8,1006.2,1011.2,1014.4,309.4,306.2,305.8,307.2,309.8,310.6,309.1,308.9,310.5,314.3,987.4,338.9
10,0,0.3,0.98,1,960.5,965.5,971.6,977.5,982.8,994.2,999.7,1005.0,1010.1,1013.3,309.6,306.4,305.9,307.3,309.9,310.7,309.1,309.0,310.5,314.4,986.4,338.8
11,0,0.333,0.98,1,959.6,964.6,970.7,976.6,981.9,993.3,998.8,1004.2,1009.2,1012.4,309.7,306.6,306.1,307.5,310.1,311.0,309.4,309.2,310.8,314.5,985.5,339.1
12,0,0.367,0.98,1,958.7,963.7,969.8,975.7,981.0,992.4,997.9,1003.3,1008.3,1011.4,309.9,306.8,306.4,307.8,310.5,311.3,309.8,309.6,311.1,314.9,984.5,339.4
13,0,0.4,0.98,1,957.8,962.9,969.0,974.9,980.2,991.6,997.1,1002.4,1007.4,1010.5,310.0,306.9,306.5,307.9,310.6,311.5,309.9,309.7,311.3,315.0,983.6,339.6
14,0,0.433,0.98,1,956.7,961.7,967.9,973.9,979.2,990.6,996.1,1001.5,1006.5,1009.6,310.2,307.1,306.6,308.0,310.7,311.5,309.9,309.8,311.3,315.1,982.8,339.7
15,0,0.467,0.98,1,955.3,960.3,966.4,972.4,977.7,989.2,994.6,999.9,1004.9,1008.0,310.4,307.3,306.9,308.2,310.8,311.5,309.9,309.7,311.1,314.8,981.6,339.8
16,0,0.5,0.98,1,953.8,958.8,964.9,970.9,976.2,987.6,993.1,998.4,1003.4,1006.6,310.6,307.5,307.0,308.2,310.8,311.3,309.6,309.3,310.7,314.3,980.4,339.7
17,0,0.533,0.98,1,952.4,957.3,963.4,969.3,974.6,986.0,991.4,996.7,1001.8,1005.0,310.6,307.5,306.9,308.2,310.7,311.2,309.4,309.0,310.4,314.0,978.8,339.7
18,0,0.567,0.98,1,950.8,955.8,961.8,967.8,973.1,984.5,990.0,995.3,1000.3,1003.6,310.6,307.5,306.9,308.1,310.6,311.0,309.2,308.8,310.2,313.8,977.4,339.8
19,0,0.6,0.98,1,949.3,954.2,960.3,966.2,971.5,983.0,988.4,993.6,998.7,1002.0,310.4,307.3,306.7,307.9,310.3,310.7,308.9,308.5,309.7,313.2,976.2,339.3
20,0,0.633,0.98,1,947.8,952.7,958.8,964.8,970.1,981.7,987.1,992.4,997.4,1000.7,310.5,307.3,306.6,307.8,310.2,310.5,308.7,308.3,309.5,313.1,974.9,339.1
21,0,0.667,0.98,1,946.2,951.1,957.3,963.5,969.0,980.2,985.7,991.1,996.2,999.4,310.6,307.2,306.5,307.6,310.0,310.3,308.4,308.0,309.4,313.1,973.7,339.0
22,0,0.7,0.98,1,944.6,949.6,955.8,962.0,967.5,978.8,984.3,989.7,994.8,998.0,310.5,307.1,306.3,307.4,309.9,310.0,308.1,307.7,309.0,312.7,972.6,338.8
23,0,0.733,0.98,1,943.1,948.0,954.3,960.4,965.9,977.3,982.7,988.1,993.2,996.4,310.5,307.1,306.3,307.4,309.8,310.0,308.1,307.6,308.9,312.5,971.1,338.6
24,0,0.767,0.98,1,941.3,946.2,952.4,958.6,964.1,975.4,980.8,986.2,991.3,994.6,310.3,306.9,306.1,307.1,309.5,309.6,307.7,307.2,308.4,312.1,969.4,338.3
25,0,0.8,0.98,1,939.4,944.3,950.5,956.6,962.1,973.5,978.9,984.2,989.3,992.7,310.2,306.8,306.0,307.0,309.3,309.2,307.2,306.7,307.9,311.4,967.8,338.1
26,0,0.833,0.98,1,937.4,942.3,948.4,954.6,960.1,971.3,976.7,982.1,987.3,990.7,310.2,306.7,305.8,306.7,309.0,309.0,307.0,306.4,307.6,311.2,965.8,337.7
27,0,0.867,0.98,1,935.1,940.0,946.2,952.3,957.9,969.3,974.8,980.1,985.3,988.7,310.2,306.6,305.7,306.5,308.8,308.6,306.6,306.0,307.2,310.9,963.8,337.5
28,0,0.9,0.98,1,932.6,937.5,943.6,949.8,955.3,966.8,972.3,977.7,982.9,986.4,310.0,306.4,305.5,306.4,308.6,308.5,306.4,305.8,307.0,310.6,961.4,337.4
29,0,0.933,0.98,1,930.2,935.1,941.2,947.4,952.9,964.3,969.7,975.1,980.3,983.7,310.0,306.5,305.5,306.4,308.6,308.4,306.4,305.8,306.9,310.5,959.0,337.3
30,0,0.967,0.98,1,927.2,931.9,938.0,944.2,949.7,961.1,966.5,971.9,977.1,980.7,310.6,306.9,305.9,306.7,308.9,308.5,306.3,305.6,306.6,310.1,956.3,337.3
31,0,1.0,0.98,1,923.8,928.5,934.7,940.8,946.4,957.9,963.3,968.7,974.0,977.6,311.2,307.6,306.5,307.2,309.2,308.7,306.4,305.6,306.5,309.9,953.4,337.7
32,0,1.033,0.98,1,920.7,925.4,931.4,937.5,943.1,954.7,960.1,965.5,970.8,974.5,311.5,307.8,306.7,307.4,309.3,308.7,306.5,305.6,306.5,309.9,950.3,337.9
33,0,1.067,0.98,1,918.0,922.7,928.8,934.9,940.5,952.1,957.5,962.8,968.1,971.7,311.8,308.1,307.0,307.8,309.8,309.2,307.0,306.1,306.9,310.3,947.5,338.5
34,0,1.1,0.98,1,915.6,920.2,926.3,932.5,938.1,949.6,955.0,960.3,965.6,969.2,312.2,308.5,307.5,308.2,310.3,309.8,307.5,306.7,307.5,310.8,945.0,339.0
35,0,1.133,0.98,1,913.4,918.2,924.4,930.6,936.2,947.5,952.9,958.3,963.5,967.0,312.5,309.0,308.0,308.9,311.1,310.8,308.6,307.7,308.6,311.9,942.7,339.9
36,0,1.167,0.98,1,911.7,916.6,922.8,928.9,934.6,946.2,951.6,956.9,961.9,965.2,313.4,310.0,309.1,310.1,312.4,312.2,310.1,309.4,310.3,313.7,940.8,341.3
37,0,1.2,0.98,1,910.9,915.9,922.2,928.5,934.2,946.0,951.4,956.6,961.5,964.6,314.7,311.3,310.5,311.6,314.1,314.0,312.0,311.3,312.4,315.7,939.8,343.0
