frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,969.1,973.6,979.5,985.5,990.9,1002.7,1008.9,1015.3,1021.3,1025.4,310.2,306.3,305.3,306.3,308.9,309.2,307.2,306.9,308.6,312.6,995.4,339.3
2,0,0.033,0.98,1,968.4,973.0,979.0,984.9,990.2,1002.1,1008.4,1014.7,1020.7,1024.8,310.4,306.7,305.8,306.8,309.4,309.7,307.8,307.5,309.1,313.0,994.9,340.1
3,0,0.067,0.98,1,968.1,972.7,978.6,984.6,989.8,1001.8,1008.0,1014.2,1020.2,1024.3,310.5,306.8,306.0,307.0,309.6,310.0,308.1,307.7,309.3,313.2,994.4,340.3
4,0,0.1,0.98,1,968.0,972.5,978.4,984.4,989.7,1001.7,1007.9,1014.2,1020.1,1024.2,311.0,307.2,306.2,307.2,309.9,310.2,308.3,308.1,309.7,313.7,994.3,340.5
5,0,0.133,0.98,1,968.1,972.6,978.5,984.5,989.8,1001.9,1008.1,1014.3,1020.2,1024.2,311.0,307.2,306.2,307.3,309.9,310.3,308.5,308.3,309.9,313.8,994.4,340.4
6,0,0.167,0.98,1,968.3,972.8,978.7,984.6,989.9,1002.1,1008.3,1014.4,1020.3,1024.2,310.8,307.0,306.0,307.0,309.6,310.1,308.3,308.1,309.8,313.8,994.3,340.1
7,0,0.2,0.98,1,968.5,973.0,978.9,984.7,990.0,1002.4,1008.6,1014.6,1020.4,1024.3,310.0,306.2,305.2,306.2,308.7,309.3,307.6,307.5,309.2,313.2,994.4,339.4
8,0,0.233,0.98,1,968.6,973.2,979.1,984.9,990.2,1002.8,1008.9,1014.9,1020.6,1024.4,309.2,305.4,304.3,305.2,307.7,308.3,306.6,306.6,308.3,312.3,994.7,338.4
9,0,0.267,0.98,1,968.8,973.4,979.2,985.1,990.4,1003.0,1009.1,1015.1,1020.8,1024.6,308.6,304.7,303.6,304.5,307.0,307.5,305.9,305.9,307.7,311.8,994.9,337.7
10,0,0.3,0.98,1,968.9,973.5,979.4,985.3,990.6,1003.2,1009.3,1015.3,1021.0,1024.7,308.3,304.3,303.1,304.0,306.5,307.1,305.5,305.6,307.4,311.6,995.0,337.1
11,0,0.333,0.98,1,968.8,973.5,979.4,985.4,990.7,1003.4,1009.5,1015.4,1021.1,1024.8,307.9,303.9,302.7,303.5,306.1,306.7,305.2,305.3,307.2,311.4,995.0,336.6
12,0,0.367,0.98,1,968.6,973.4,979.4,985.4,990.8,1003.4,1009.4,1015.4,1021.1,1024.8,307.2,303.3,302.1,303.0,305.5,306.2,304.7,304.8,306.7,310.9,995.0,336.0
13,0,0.4,0.98,1,968.4,973.2,979.3,985.3,990.6,1003.2,1009.3,1015.3,1021.0,1024.8,306.0,302.1,301.0,302.0,304.5,305.2,303.8,303.9,305.9,310.1,994.7,335.0
14,0,0.433,0.98,1,968.1,973.0,979.1,985.1,990.4,1002.9,1009.1,1015.1,1020.9,1024.7,304.8,300.9,299.9,300.8,303.3,304.1,302.7,302.8,304.8,309.0,994.2,333.9
15,0,0.467,0.98,1,967.8,972.7,978.7,984.7,990.0,1002.4,1008.6,1014.7,1020.4,1024.3,303.8,299.9,298.9,299.8,302.4,303.2,301.8,302.0,303.9,308.1,993.7,332.9
16,0,0.5,0.98,1,967.5,972.4,978.5,984.5,989.8,1001.8,1008.1,1014.3,1020.1,1024.0,303.2,299.3,298.3,299.3,301.9,302.8,301.4,301.6,303.6,308.0,993.1,332.4
