frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1085.8,1090.9,1097.9,1105.1,1111.6,1124.7,1131.9,1139.1,1146.2,1151.2,206.0,202.0,201.1,202.5,205.3,205.1,202.6,201.5,202.6,206.7,1117.6,239.8
2,0,0.033,0.98,1,1086.6,1091.7,1098.8,1105.8,1112.2,1126.1,1133.3,1140.5,1147.4,1152.3,206.2,202.3,201.6,203.2,206.0,206.0,203.5,202.5,203.5,207.4,1118.5,240.6
3,0,0.067,0.98,1,1087.9,1093.0,1100.0,1107.0,1113.5,1127.7,1134.8,1141.8,1148.6,1153.4,206.5,202.7,201.9,203.6,206.4,206.5,204.2,203.3,204.3,208.2,1119.7,241.4
4,0,0.1,0.98,1,1088.7,1093.8,1100.8,1107.8,1114.3,1128.4,1135.6,1142.7,1149.5,1154.2,206.8,203.0,202.3,204.0,206.9,207.1,204.9,204.0,205.1,209.1,1120.2,242.0
5,0,0.133,0.98,1,1089.2,1094.3,1101.3,1108.2,1114.6,1129.0,1136.1,1143.1,1149.9,1154.6,206.9,203.1,202.5,204.2,207.2,207.6,205.3,204.5,205.5,209.4,1120.6,242.6
6,0,0.167,0.98,1,1089.6,1094.8,1101.8,1108.8,1115.2,1129.2,1136.3,1143.3,1150.1,1154.7,207.0,203.3,202.7,204.5,207.6,208.0,205.8,204.9,206.0,209.9,1120.7,242.8
7,0,0.2,0.98,1,1089.2,1094.4,1101.4,1108.3,1114.7,1129.0,1136.1,1143.1,1149.8,1154.5,207.0,203.3,202.7,204.5,207.6,208.1,205.9,205.1,206.2,210.1,1120.3,242.9
8,0,0.233,0.98,1,1088.5,1093.8,1100.8,1107.7,1114.1,1128.2,1135.3,1142.3,1149.0,1153.6,207.0,203.4,202.9,204.8,207.9,208.5,206.3,205.5,206.7,210.6,1119.4,243.1
9,0,0.267,0.98,1,1087.0,1092.4,1099.4,1106.3,1112.6,1126.6,1133.7,1140.7,1147.4,1152.1,207.1,203.6,203.2,205.1,208.2,208.6,206.5,205.6,206.7,210.5,1117.8,243.2
10,0,0.3,0.98,1,1085.5,1090.7,1097.7,1104.6,1111.0,1124.8,1131.9,1139.0,1145.7,1150.2,207.2,203.6,203.1,205.0,208.1,208.6,206.5,205.7,207.0,211.0,1115.9,243.2
11,0,0.333,0.98,1,1083.2,1088.4,1095.3,1102.2,1108.4,1122.3,1129.5,1136.5,1143.2,1147.7,207.4,203.8,203.3,205.1,208.1,208.6,206.5,205.7,206.9,210.9,1113.5,243.2
12,0,0.367,0.98,1,1080.2,1085.4,1092.4,1099.3,1105.6,1119.8,1127.0,1134.0,1140.8,1145.3,207.4,203.8,203.3,205.1,208.1,208.6,206.5,205.7,206.9,210.9,1110.9,243.4
13,0,0.4,0.98,1,1077.1,1082.3,1089.4,1096.4,1102.8,1116.7,1123.9,1131.0,1137.9,1142.5,207.8,204.1,203.7,205.5,208.7,209.1,206.9,206.0,207.2,211.2,1108.1,243.7
14,0,0.433,0.98,1,1073.8,1079.0,1086.1,1093.1,1099.6,1113.5,1120.8,1127.9,1134.8,1139.4,208.3,204.6,204.1,205.9,209.0,209.4,207.1,206.2,207.4,211.4,1105.1,244.2
15,0,0.467,0.98,1,1070.2,1075.2,1082.3,1089.4,1096.0,1110.2,1117.5,1124.7,1131.5,1136.1,209.3,205.5,204.8,206.5,209.5,209.8,207.5,206.5,207.7,211.7,1102.0,244.8
16,0,0.5,0.98,1,1067.0,1072.1,1079.2,1086.3,1092.9,1106.7,1114.1,1121.3,1128.2,1132.8,209.7,206.0,205.3,207.0,210.1,210.2,207.9,206.9,208.1,212.0,1098.8,245.4
17,0,0.533,0.98,1,1063.5,1068.5,1075.6,1082.6,1089.2,1103.1,1110.4,1117.7,1124.6,1129.3,210.3,206.5,205.8,207.5,210.6,210.7,208.3,207.2,208.3,212.2,1095.4,245.8
18,0,0.567,0.98,1,1060.5,1065.5,1072.5,1079.6,1086.1,1099.9,1107.2,1114.4,1121.4,1126.2,210.7,206.8,206.1,207.7,210.7,210.7,208.2,207.1,208.1,212.0,1092.6,245.9
19,0,0.6,0.98,1,1057.9,1062.7,1069.6,1076.7,1083.2,1097.1,1104.3,1111.6,1118.6,1123.4,211.0,207.0,206.1,207.7,210.6,210.4,207.8,206.6,207.6,211.4,1090.2,245.8
20,0,0.633,0.98,1,1055.4,1060.2,1067.0,1074.0,1080.5,1094.7,1101.9,1109.0,1116.0,1120.9,211.0,207.1,206.1,207.5,210.3,209.9,207.3,206.0,206.9,210.6,1088.1,245.3
21,0,0.667,0.98,1,1053.7,1058.5,1065.3,1072.3,1078.7,1092.5,1099.6,1106.8,1113.9,1118.9,210.7,206.7,205.7,207.0,209.6,209.0,206.3,205.0,205.8,209.5,1086.5,244.5
22,0,0.7,0.98,1,1052.6,1057.2,1064.0,1071.0,1077.5,1091.0,1098.1,1105.4,1112.5,1117.6,210.6,206.4,205.2,206.4,208.9,208.2,205.4,203.9,204.7,208.4,1085.4,243.7
23,0,0.733,0.98,1,1051.9,1056.5,1063.3,1070.2,1076.6,1090.4,1097.6,1104.8,1111.8,1117.0,209.8,205.7,204.5,205.7,208.2,207.4,204.6,203.2,203.9,207.6,1084.7,242.9
24,0,0.767,0.98,1,1051.3,1055.8,1062.5,1069.4,1075.9,1089.7,1096.8,1104.1,1111.2,1116.4,209.7,205.4,204.1,205.1,207.5,206.5,203.6,202.1,202.9,206.6,1084.5,242.2
25,0,0.8,0.98,1,1051.0,1055.4,1061.9,1068.7,1075.2,1089.6,1096.7,1103.8,1110.9,1116.1,209.2,204.9,203.5,204.5,206.8,205.7,202.9,201.4,202.1,205.7,1084.3,241.4
26,0,0.833,0.98,1,1051.0,1055.3,1061.9,1068.7,1075.2,1089.5,1096.6,1103.8,1110.9,1116.1,208.8,204.4,203.0,203.9,206.2,205.2,202.3,200.8,201.5,205.2,1084.3,240.9
27,0,0.867,0.98,1,1051.0,1055.4,1061.9,1068.7,1075.1,1089.5,1096.6,1103.8,1110.8,1116.1,208.2,203.9,202.5,203.4,205.7,204.6,201.8,200.3,201.0,204.6,1084.2,240.4
28,0,0.9,0.98,1,1050.9,1055.2,1061.7,1068.5,1074.9,1089.3,1096.4,1103.6,1110.7,1116.0,207.8,203.5,202.1,203.0,205.3,204.2,201.3,199.8,200.6,204.2,1084.0,240.1
29,0,0.933,0.98,1,1050.7,1055.0,1061.5,1068.3,1074.7,1089.2,1096.3,1103.5,1110.6,1115.9,207.4,203.1,201.7,202.6,204.9,203.9,201.1,199.7,200.4,204.1,1083.8,239.9
30,0,0.967,0.98,1,1050.3,1054.7,1061.2,1067.9,1074.3,1088.6,1095.8,1103.0,1110.1,1115.4,207.2,202.9,201.6,202.5,204.9,203.8,200.9,199.5,200.2,203.9,1083.3,239.7
31,0,1.0,0.98,1,1050.0,1054.3,1060.8,1067.5,1073.9,1088.1,1095.3,1102.5,1109.6,1114.9,206.9,202.6,201.3,202.3,204.6,203.6,200.7,199.3,200.0,203.7,1082.8,239.5
32,0,1.033,0.98,1,1049.2,1053.6,1060.1,1066.9,1073.3,1087.6,1094.8,1101.9,1109.0,1114.3,206.6,202.4,201.0,202.1,204.4,203.4,200.6,199.2,199.9,203.5,1082.2,239.4
33,0,1.067,0.98,1,1048.5,1052.9,1059.4,1066.1,1072.5,1086.8,1093.9,1101.1,1108.2,1113.4,206.5,202.2,200.9,201.9,204.3,203.4,200.5,199.1,199.8,203.5,1081.3,239.3
34,0,1.1,0.98,1,1047.6,1052.0,1058.4,1065.2,1071.6,1085.8,1092.9,1100.1,1107.2,1112.5,206.8,202.4,201.1,202.1,204.4,203.4,200.5,199.1,199.8,203.5,1080.5,239.4
35,0,1.133,0.98,1,1047.4,1051.3,1057.5,1064.2,1070.5,1084.9,1092.0,1099.1,1106.1,1111.3,208.0,203.4,201.7,202.5,204.8,203.7,200.9,199.6,200.5,204.3,1079.7,239.7
36,0,1.167,0.98,1,1046.6,1050.5,1056.6,1063.4,1069.8,1083.9,1091.1,1098.3,1105.3,1110.5,208.5,203.7,201.9,202.7,204.9,203.8,201.0,199.7,200.7,204.6,1079.0,240.0
37,0,1.2,0.98,1,1046.3,1050.2,1056.3,1062.9,1069.2,1083.5,1090.5,1097.7,1104.7,1109.9,208.4,203.7,202.0,202.8,205.0,203.9,201.0,199.7,200.6,204.4,1078.5,240.0
38,0,1.233,0.98,1,1045.7,1049.7,1055.9,1062.5,1068.7,1083.1,1090.1,1097.3,1104.4,1109.8,208.0,203.4,201.8,202.6,204.8,203.6,200.7,199.3,200.1,203.8,1078.2,239.7
39,0,1.267,0.98,1,1045.5,1049.6,1055.8,1062.3,1068.6,1083.2,1090.2,1097.4,1104.4,1109.8,207.3,202.9,201.3,202.1,204.3,203.0,200.1,198.7,199.4,203.0,1078.3,239.1
40,0,1.3,0.98,1,1045.5,1049.6,1055.9,1062.4,1068.6,1083.1,1090.2,1097.4,1104.5,1110.0,206.7,202.3,200.8,201.5,203.7,202.4,199.5,198.0,198.7,202.3,1078.3,238.5
41,0,1.333,0.98,1,1045.7,1049.8,1056.0,1062.6,1068.7,1083.2,1090.3,1097.5,1104.6,1110.0,205.8,201.4,200.0,200.7,202.8,201.6,198.6,197.1,197.8,201.4,1078.5,237.9
42,0,1.367,0.98,1,1045.5,1049.6,1055.8,1062.3,1068.5,1083.5,1090.6,1097.7,1104.8,1110.2,205.4,201.1,199.7,200.4,202.4,201.1,198.2,196.7,197.3,200.8,1078.6,237.4
43,0,1.4,0.98,1,1045.2,1049.3,1055.6,1062.1,1068.4,1083.4,1090.6,1097.7,1104.8,1110.3,204.9,200.6,199.1,199.8,202.0,200.7,197.7,196.2,196.9,200.4,1078.5,237.1
44,0,1.433,0.98,1,1045.0,1049.1,1055.4,1061.9,1068.2,1083.1,1090.2,1097.4,1104.5,1109.9,204.6,200.3,198.8,199.6,201.7,200.5,197.6,196.1,196.8,200.4,1078.1,237.0
45,0,1.467,0.98,1,1044.4,1048.6,1054.9,1061.5,1067.8,1082.6,1089.8,1097.0,1104.1,1109.5,204.4,200.1,198.6,199.5,201.7,200.5,197.6,196.2,196.8,200.4,1077.5,237.1
46,0,1.5,0.98,1,1043.6,1047.9,1054.2,1060.8,1067.2,1082.0,1089.3,1096.4,1103.4,1108.7,204.0,199.7,198.4,199.4,201.6,200.5,197.7,196.3,196.9,200.5,1076.6,237.4
47,0,1.533,0.98,1,1042.7,1047.0,1053.4,1060.1,1066.4,1081.1,1088.3,1095.5,1102.5,1107.8,204.0,199.7,198.4,199.4,201.6,200.6,197.8,196.3,197.0,200.6,1075.8,237.6
48,0,1.567,0.98,1,1041.2,1045.5,1051.9,1058.6,1065.0,1079.9,1087.1,1094.2,1101.2,1106.5,204.5,200.1,198.7,199.6,201.8,200.7,197.9,196.4,197.0,200.6,1074.7,237.7
49,0,1.6,0.98,1,1040.0,1044.4,1050.8,1057.4,1063.7,1078.7,1085.9,1093.0,1099.9,1105.2,204.1,199.9,198.6,199.6,201.8,200.8,198.0,196.5,197.0,200.5,1073.4,237.8
50,0,1.633,0.98,1,1038.8,1043.0,1049.4,1056.0,1062.3,1077.2,1084.4,1091.5,1098.5,1103.8,204.3,200.0,198.7,199.6,201.8,200.7,197.8,196.3,196.9,200.4,1072.1,237.9
51,0,1.667,0.98,1,1037.6,1041.9,1048.3,1054.9,1061.3,1075.9,1083.1,1090.2,1097.3,1102.6,204.8,200.5,199.1,200.0,202.1,200.9,197.9,196.3,196.9,200.5,1071.1,238.2
