frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1070.9,1074.6,1080.0,1085.5,1090.7,1103.0,1109.8,1116.9,1123.8,1129.1,259.0,254.8,253.7,254.6,257.0,256.6,254.0,253.1,254.3,258.3,1096.6,290.5
2,0,0.033,0.98,1,1069.7,1073.3,1078.7,1084.3,1089.4,1101.9,1108.7,1115.8,1122.7,1128.2,259.7,255.6,254.7,255.7,258.0,257.7,255.1,254.2,255.3,259.2,1095.3,291.4
3,0,0.067,0.98,1,1068.6,1072.3,1077.6,1083.1,1088.3,1100.7,1107.5,1114.6,1121.5,1126.9,260.4,256.4,255.5,256.4,258.8,258.5,255.9,255.0,256.2,260.1,1094.1,292.2
4,0,0.1,0.98,1,1067.6,1071.4,1076.8,1082.3,1087.4,1099.6,1106.4,1113.5,1120.4,1125.8,260.7,256.9,256.1,257.1,259.5,259.1,256.5,255.6,256.8,260.7,1093.0,292.7
5,0,0.133,0.98,1,1066.4,1070.1,1075.5,1081.1,1086.2,1098.3,1105.1,1112.2,1119.2,1124.6,260.9,257.0,256.2,257.2,259.6,259.2,256.5,255.6,256.7,260.6,1091.9,292.7
6,0,0.167,0.98,1,1065.4,1069.1,1074.4,1079.9,1085.0,1097.2,1104.0,1111.1,1118.1,1123.4,260.2,256.3,255.5,256.5,259.0,258.6,256.0,255.2,256.4,260.3,1090.7,292.1
7,0,0.2,0.98,1,1064.4,1068.0,1073.4,1078.9,1083.9,1096.1,1102.9,1110.0,1117.0,1122.4,259.6,255.7,254.9,255.8,258.3,257.9,255.3,254.5,255.8,259.7,1089.6,291.1
8,0,0.233,0.98,1,1063.5,1067.2,1072.5,1077.9,1082.9,1095.1,1102.0,1109.1,1116.1,1121.5,258.7,255.0,254.2,255.2,257.6,257.3,254.8,254.0,255.2,259.1,1088.4,290.5
9,0,0.267,0.98,1,1062.4,1066.1,1071.4,1076.9,1081.9,1094.2,1101.1,1108.3,1115.3,1120.7,258.3,254.5,253.7,254.7,257.2,256.9,254.4,253.7,255.1,259.1,1087.3,290.2
10,0,0.3,0.98,1,1061.6,1065.3,1070.6,1076.1,1081.1,1093.5,1100.4,1107.6,1114.6,1119.9,258.1,254.3,253.5,254.6,257.0,256.9,254.4,253.7,255.1,259.1,1086.4,290.2
11,0,0.333,0.98,1,1060.9,1064.5,1069.8,1075.2,1080.2,1092.8,1099.7,1106.7,1113.6,1118.9,258.2,254.5,253.7,254.8,257.3,257.2,254.7,254.1,255.4,259.4,1085.5,290.6
12,0,0.367,0.98,1,1060.1,1063.8,1069.1,1074.5,1079.5,1091.9,1098.7,1105.8,1112.7,1118.0,258.6,254.9,254.2,255.2,257.7,257.6,255.2,254.5,255.9,259.8,1084.7,291.0
13,0,0.4,0.98,1,1059.1,1062.7,1068.1,1073.5,1078.5,1091.1,1097.9,1105.0,1112.0,1117.3,259.0,255.3,254.6,255.7,258.2,258.1,255.6,254.9,256.2,260.1,1083.9,291.7
14,0,0.433,0.98,1,1058.3,1061.9,1067.2,1072.7,1077.8,1090.3,1097.1,1104.2,1111.1,1116.5,259.8,256.0,255.3,256.4,258.9,258.9,256.4,255.6,256.9,260.8,1083.3,292.3
15,0,0.467,0.98,1,1057.4,1061.0,1066.4,1071.9,1077.0,1089.7,1096.5,1103.6,1110.5,1115.9,260.7,256.9,256.2,257.3,259.8,259.6,257.1,256.2,257.5,261.3,1082.7,293.2
16,0,0.5,0.98,1,1056.9,1060.5,1065.8,1071.2,1076.2,1088.9,1095.7,1102.7,1109.6,1114.9,261.0,257.3,256.5,257.6,260.1,259.9,257.5,256.7,258.0,261.8,1081.9,293.5
17,0,0.533,0.98,1,1056.3,1060.1,1065.4,1070.9,1075.9,1088.4,1095.2,1102.2,1109.1,1114.4,260.7,257.0,256.3,257.4,259.9,259.8,257.3,256.5,257.7,261.6,1081.3,293.1
18,0,0.567,0.98,1,1055.7,1059.5,1064.9,1070.4,1075.4,1087.8,1094.6,1101.6,1108.6,1114.0,260.0,256.2,255.5,256.6,259.0,258.8,256.3,255.6,256.8,260.7,1080.8,292.1
19,0,0.6,0.98,1,1055.2,1059.0,1064.4,1069.9,1074.9,1087.2,1094.0,1101.1,1108.0,1113.4,259.0,255.1,254.4,255.4,257.9,257.7,255.2,254.5,255.7,259.7,1080.2,291.0
20,0,0.633,0.98,1,1054.9,1058.7,1064.0,1069.5,1074.4,1086.7,1093.5,1100.5,1107.4,1112.7,258.1,254.2,253.5,254.4,256.9,256.7,254.2,253.5,254.8,258.8,1079.6,289.9
21,0,0.667,0.98,1,1054.5,1058.3,1063.7,1069.1,1074.1,1086.2,1093.0,1100.1,1107.0,1112.3,257.7,253.7,252.9,253.8,256.3,256.0,253.5,252.8,254.1,258.1,1079.2,289.2
22,0,0.7,0.98,1,1054.1,1057.7,1063.0,1068.3,1073.3,1085.9,1092.7,1099.6,1106.5,1111.7,257.3,253.3,252.4,253.3,255.6,255.3,252.9,252.2,253.6,257.5,1078.6,288.8
23,0,0.733,0.98,1,1053.6,1057.3,1062.5,1067.9,1072.8,1085.1,1091.8,1098.8,1105.7,1111.0,257.1,253.1,252.3,253.2,255.5,255.3,252.8,252.1,253.4,257.4,1078.0,288.8
24,0,0.767,0.98,1,1053.1,1056.7,1061.9,1067.2,1072.1,1084.4,1091.1,1098.2,1105.0,1110.4,257.2,253.1,252.2,253.1,255.5,255.2,252.7,252.1,253.5,257.5,1077.2,288.8
25,0,0.8,0.98,1,1052.5,1056.1,1061.2,1066.5,1071.4,1083.8,1090.6,1097.6,1104.5,1109.8,257.0,253.0,252.2,253.1,255.4,255.2,252.8,252.1,253.5,257.4,1076.4,289.0
26,0,0.833,0.98,1,1052.0,1055.5,1060.7,1065.9,1070.7,1083.1,1089.9,1096.9,1103.7,1109.0,256.9,253.0,252.2,253.1,255.4,255.2,252.8,252.2,253.6,257.5,1075.5,289.1
