frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.93,1,1076.2,1079.8,1085.1,1090.7,1095.9,1108.5,1115.3,1122.5,1129.6,1134.9,216.5,212.7,212.0,213.2,216.0,215.9,213.3,212.4,213.7,217.6,1101.5,250.0
2,0,0.033,0.98,1,1075.3,1078.9,1084.2,1089.8,1094.8,1107.3,1114.3,1121.5,1128.6,1134.1,216.5,212.9,212.3,213.5,216.2,216.0,213.4,212.5,213.9,217.7,1100.4,250.2
3,0,0.067,0.98,1,1074.1,1077.7,1083.1,1088.7,1093.8,1106.3,1113.3,1120.5,1127.7,1133.2,216.5,212.7,212.1,213.4,216.1,216.0,213.3,212.5,213.8,217.8,1099.4,250.2
4,0,0.1,0.98,1,1073.0,1076.6,1082.0,1087.6,1092.7,1105.2,1112.2,1119.4,1126.6,1132.1,216.4,212.6,212.0,213.3,216.0,216.0,213.4,212.6,213.9,217.9,1098.0,250.0
5,0,0.133,0.98,1,1071.8,1075.3,1080.7,1086.3,1091.4,1103.9,1110.9,1118.2,1125.4,1130.8,216.4,212.6,212.1,213.4,216.1,216.2,213.6,212.9,214.3,218.3,1096.5,250.1
6,0,0.167,0.98,1,1070.4,1074.1,1079.4,1084.9,1089.9,1102.5,1109.5,1116.7,1123.8,1129.2,216.2,212.6,212.1,213.4,216.1,216.3,213.8,213.2,214.7,218.7,1094.7,250.0
7,0,0.2,0.98,1,1068.7,1072.4,1077.9,1083.4,1088.4,1100.9,1107.9,1115.2,1122.2,1127.6,216.4,212.7,212.3,213.6,216.4,216.7,214.2,213.6,215.2,219.3,1093.0,250.4
8,0,0.233,0.98,1,1066.7,1070.5,1075.9,1081.5,1086.5,1098.9,1105.9,1113.2,1120.2,1125.5,216.9,213.2,212.8,214.2,217.0,217.3,214.8,214.2,215.8,219.9,1091.0,250.9
9,0,0.267,0.98,1,1064.7,1068.5,1073.9,1079.4,1084.3,1097.0,1103.9,1111.0,1118.0,1123.3,217.4,213.8,213.4,214.8,217.6,217.9,215.5,214.9,216.4,220.4,1088.9,251.3
10,0,0.3,0.98,1,1062.3,1066.0,1071.4,1076.9,1081.9,1094.7,1101.7,1108.9,1115.8,1121.1,217.8,214.3,213.9,215.2,218.0,218.3,215.8,215.2,216.8,220.8,1086.7,251.9
11,0,0.333,0.98,1,1060.1,1063.8,1069.2,1074.7,1079.6,1092.5,1099.5,1106.6,1113.5,1118.8,218.2,214.7,214.3,215.6,218.3,218.6,216.1,215.5,217.0,221.0,1084.6,252.3
12,0,0.367,0.98,1,1057.7,1061.3,1066.7,1072.2,1077.2,1089.9,1096.8,1103.9,1110.9,1116.2,218.8,215.3,214.8,216.0,218.6,218.7,216.1,215.4,216.8,220.8,1082.5,252.4
13,0,0.4,0.98,1,1055.1,1058.8,1064.2,1069.8,1074.8,1087.2,1094.2,1101.3,1108.4,1113.9,219.2,215.6,215.1,216.2,218.9,218.7,216.0,215.2,216.5,220.4,1080.4,252.4
14,0,0.433,0.98,1,1052.6,1056.4,1061.8,1067.4,1072.5,1084.9,1091.8,1099.0,1106.0,1111.6,219.8,216.1,215.4,216.5,218.9,218.6,215.9,215.1,216.3,220.1,1078.4,252.2
15,0,0.467,0.98,1,1050.7,1054.4,1059.9,1065.4,1070.5,1082.7,1089.5,1096.6,1103.7,1109.4,220.3,216.5,215.8,216.8,219.2,218.6,215.9,214.9,216.0,219.8,1076.6,252.2
16,0,0.5,0.93,1,1048.5,1052.1,1057.6,1063.2,1068.3,1080.5,1087.3,1094.4,1101.6,1107.4,220.9,217.1,216.4,217.3,219.6,218.9,216.0,214.9,215.9,219.5,1074.9,252.5
17,0,0.533,0.98,1,1046.6,1050.2,1055.6,1061.2,1066.4,1078.6,1085.4,1092.5,1099.5,1105.3,221.5,217.7,216.8,217.7,219.9,219.0,216.1,214.9,215.7,219.3,1073.5,253.0
18,0,0.567,0.98,1,1044.6,1048.0,1053.5,1059.1,1064.3,1076.9,1083.6,1090.6,1097.7,1103.5,222.4,218.6,217.6,218.4,220.4,219.3,216.3,215.0,215.7,219.1,1072.3,253.4
19,0,0.6,0.98,1,1042.9,1046.3,1051.7,1057.3,1062.4,1075.1,1081.7,1088.6,1095.6,1101.5,223.2,219.3,218.4,219.1,221.0,219.8,216.8,215.4,216.0,219.3,1070.8,253.8
20,0,0.633,0.98,1,1041.4,1044.7,1050.2,1055.8,1061.1,1073.2,1079.8,1086.8,1093.9,1099.9,224.1,220.2,219.2,219.8,221.8,220.5,217.3,215.8,216.3,219.6,1069.6,254.4
21,0,0.667,0.98,1,1040.0,1043.3,1048.7,1054.3,1059.5,1071.7,1078.2,1085.1,1092.1,1098.1,225.0,221.1,220.1,220.8,222.7,221.3,218.1,216.5,216.9,220.1,1068.4,255.2
22,0,0.7,0.98,1,1038.4,1041.7,1047.1,1052.8,1058.0,1069.9,1076.5,1083.4,1090.5,1096.6,226.1,222.2,221.1,221.7,223.7,222.2,218.9,217.3,217.7,220.8,1067.1,256.1
23,0,0.733,0.98,1,1037.2,1040.4,1045.8,1051.3,1056.6,1068.5,1075.0,1081.9,1089.1,1095.1,227.3,223.4,222.2,222.8,224.7,223.1,219.7,218.0,218.4,221.5,1066.0,257.0
24,0,0.767,0.98,1,1036.0,1039.2,1044.6,1050.2,1055.5,1067.4,1073.8,1080.8,1088.0,1094.1,228.3,224.3,223.2,223.8,225.8,224.1,220.8,219.0,219.2,222.2,1065.0,257.9
25,0,0.8,0.98,1,1034.7,1037.8,1043.2,1048.7,1054.0,1066.1,1072.6,1079.6,1086.8,1092.9,229.4,225.5,224.3,224.9,226.8,225.0,221.6,219.8,219.9,222.8,1064.1,258.8
26,0,0.833,0.98,1,1034.0,1037.1,1042.4,1047.9,1053.2,1065.3,1071.9,1078.9,1086.1,1092.3,230.2,226.3,225.2,225.8,227.7,225.9,222.4,220.5,220.6,223.4,1063.4,259.7
27,0,0.867,0.98,1,1034.0,1037.0,1042.3,1047.7,1052.9,1064.8,1071.3,1078.2,1085.4,1091.6,231.0,227.1,226.0,226.4,228.3,226.4,222.8,220.9,220.9,223.8,1063.4,260.2
28,0,0.9,0.98,1,1034.1,1037.2,1042.4,1047.8,1053.0,1064.9,1071.4,1078.4,1085.6,1091.9,231.6,227.8,226.7,227.2,229.1,227.1,223.5,221.5,221.5,224.3,1063.6,261.0
29,0,0.933,0.98,1,1034.8,1037.7,1042.8,1048.2,1053.4,1065.4,1071.8,1078.8,1086.1,1092.3,232.2,228.4,227.2,227.7,229.6,227.5,223.9,221.8,221.8,224.5,1064.4,261.5
30,0,0.967,0.98,1,1036.2,1039.0,1044.1,1049.5,1054.8,1066.9,1073.4,1080.4,1087.7,1094.0,232.7,228.8,227.6,228.1,230.0,227.9,224.2,222.0,222.0,224.7,1066.0,261.8
31,0,1.0,0.98,1,1038.2,1041.1,1046.1,1051.6,1056.8,1069.1,1075.5,1082.6,1090.0,1096.2,232.8,229.0,227.8,228.4,230.3,228.1,224.4,222.1,222.0,224.7,1068.2,261.9
32,0,1.033,0.98,1,1040.6,1043.4,1048.6,1054.1,1059.4,1071.4,1077.8,1084.9,1092.4,1098.8,232.9,229.1,228.0,228.6,230.5,228.3,224.5,222.2,222.0,224.6,1070.8,262.0
33,0,1.067,0.98,1,1043.7,1046.5,1051.6,1057.1,1062.4,1074.5,1081.0,1088.1,1095.6,1102.0,232.7,228.9,227.8,228.4,230.4,228.3,224.5,222.2,222.1,224.7,1073.8,261.9
34,0,1.1,0.98,1,1046.9,1049.7,1054.8,1060.3,1065.6,1077.7,1084.2,1091.3,1098.7,1105.0,232.5,228.7,227.6,228.2,230.2,228.2,224.4,222.2,222.1,224.8,1076.8,261.9
35,0,1.133,0.98,1,1050.4,1053.3,1058.4,1063.9,1069.2,1081.1,1087.5,1094.6,1102.0,1108.3,231.9,228.1,227.1,227.8,230.0,228.2,224.4,222.2,222.1,224.9,1079.9,261.8
36,0,1.167,0.98,1,1053.3,1056.2,1061.4,1066.9,1072.2,1084.4,1090.8,1097.9,1105.3,1111.6,231.2,227.5,226.5,227.3,229.5,227.8,224.1,221.9,221.8,224.6,1082.8,261.5
37,0,1.2,0.98,1,1056.3,1059.2,1064.4,1069.9,1075.2,1087.4,1093.9,1101.1,1108.6,1114.8,230.7,227.0,225.9,226.7,229.0,227.3,223.6,221.5,221.5,224.4,1085.7,261.0
38,0,1.233,0.98,1,1059.2,1062.1,1067.3,1072.9,1078.2,1090.0,1096.6,1103.9,1111.4,1117.6,229.9,226.2,225.2,226.1,228.4,226.7,223.0,220.9,221.1,224.1,1088.2,260.5
39,0,1.267,0.98,1,1062.0,1064.9,1070.1,1075.7,1080.9,1092.8,1099.4,1106.7,1114.3,1120.5,229.1,225.4,224.5,225.4,227.7,226.1,222.4,220.4,220.6,223.6,1090.8,260.0
40,0,1.3,0.98,1,1064.3,1067.3,1072.5,1078.0,1083.2,1095.3,1102.0,1109.3,1116.8,1123.0,228.4,224.8,223.9,224.8,227.1,225.6,222.0,220.1,220.3,223.4,1092.9,259.4
41,0,1.333,0.98,1,1066.3,1069.4,1074.7,1080.2,1085.4,1097.7,1104.4,1111.7,1119.2,1125.4,227.6,224.1,223.3,224.2,226.6,225.1,221.6,219.7,220.0,223.0,1095.1,259.0
42,0,1.367,0.98,1,1068.5,1071.7,1077.0,1082.6,1087.8,1100.0,1106.7,1113.9,1121.3,1127.4,227.1,223.5,222.7,223.6,226.0,224.6,221.2,219.4,219.8,222.9,1097.0,258.5
43,0,1.4,0.98,1,1070.3,1073.6,1079.0,1084.5,1089.7,1102.1,1108.8,1116.0,1123.4,1129.4,226.3,222.7,222.0,223.0,225.3,224.1,220.7,219.0,219.5,222.6,1098.6,258.0
44,0,1.433,0.98,1,1072.0,1075.3,1080.7,1086.3,1091.5,1103.8,1110.6,1117.8,1125.2,1131.2,225.7,222.2,221.5,222.5,224.8,223.7,220.4,218.7,219.3,222.5,1100.1,257.6
45,0,1.467,0.98,1,1073.3,1076.7,1082.0,1087.5,1092.7,1105.3,1112.1,1119.2,1126.4,1132.4,225.1,221.6,220.9,221.9,224.2,223.1,220.0,218.5,219.1,222.4,1101.1,257.1
46,0,1.5,0.98,1,1074.3,1077.9,1083.4,1089.1,1094.3,1106.6,1113.4,1120.7,1128.0,1134.0,224.5,220.9,220.3,221.4,223.8,222.9,219.8,218.3,219.0,222.4,1102.1,256.7
47,0,1.533,0.98,1,1075.2,1078.9,1084.4,1090.0,1095.3,1107.7,1114.5,1121.7,1128.9,1134.7,223.9,220.3,219.7,220.8,223.2,222.5,219.5,218.2,219.1,222.6,1102.6,256.2
48,0,1.567,0.98,1,1075.3,1079.1,1084.7,1090.4,1095.7,1108.1,1114.9,1122.1,1129.3,1135.2,223.3,219.7,219.2,220.3,222.8,222.1,219.2,217.9,218.7,222.2,1102.8,255.9
49,0,1.6,0.98,1,1075.4,1079.2,1084.8,1090.5,1095.6,1108.2,1114.9,1122.0,1129.1,1134.9,222.7,219.3,218.9,220.1,222.5,221.8,218.9,217.6,218.2,221.6,1102.9,255.6
50,0,1.633,0.98,1,1075.2,1079.0,1084.5,1090.2,1095.4,1108.3,1115.0,1122.0,1129.0,1134.8,222.7,219.2,218.7,219.9,222.3,221.6,218.6,217.3,217.9,221.3,1103.0,255.6
51,0,1.667,0.98,1,1075.2,1079.0,1084.6,1090.2,1095.4,1108.3,1115.0,1122.0,1129.0,1134.8,222.8,219.4,218.9,220.0,222.4,221.5,218.5,217.1,217.8,221.0,1103.2,255.6
52,0,1.7,0.98,1,1074.9,1078.6,1084.2,1090.0,1095.3,1108.1,1114.8,1121.9,1129.0,1134.7,223.3,219.7,219.2,220.2,222.5,221.7,218.6,217.1,217.7,221.0,1103.4,255.7
