frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.88,1,911.4,916.9,923.7,930.5,936.7,948.4,953.7,958.8,963.7,966.8,299.5,295.7,294.5,295.4,297.7,297.6,295.6,295.1,296.4,300.2,942.8,328.4
2,0,0.033,0.98,1,910.9,916.6,923.2,929.9,936.0,948.6,953.7,958.7,963.3,966.3,299.3,295.6,294.3,295.1,297.2,297.0,295.3,294.8,295.9,299.5,942.8,328.3
3,0,0.067,0.98,1,910.7,916.4,923.1,929.7,935.9,948.5,953.7,958.7,963.4,966.3,298.8,295.0,293.7,294.5,296.7,296.5,294.8,294.4,295.6,299.3,942.6,327.9
4,0,0.1,0.98,1,910.5,916.1,922.8,929.4,935.6,948.1,953.2,958.2,962.9,965.8,298.2,294.4,293.1,293.9,296.2,296.0,294.2,293.8,294.9,298.6,942.4,327.4
5,0,0.133,0.98,1,910.2,915.8,922.5,929.3,935.5,948.0,953.1,958.1,962.9,965.8,298.3,294.4,293.0,293.8,296.0,295.8,294.0,293.5,294.7,298.5,942.3,327.4
6,0,0.167,0.98,1,910.2,915.9,922.6,929.2,935.4,947.9,953.0,958.1,962.9,965.8,298.0,294.1,292.7,293.5,295.8,295.6,293.8,293.4,294.6,298.4,942.1,327.1
7,0,0.2,0.98,1,910.4,916.1,922.7,929.3,935.5,947.9,953.1,958.1,962.9,965.8,298.0,294.2,292.9,293.7,295.9,295.8,294.0,293.6,294.8,298.5,942.0,327.2
8,0,0.233,0.98,1,910.3,916.0,922.7,929.4,935.6,947.9,953.1,958.1,962.9,965.9,298.1,294.3,293.0,293.8,296.1,295.9,294.1,293.7,294.9,298.6,942.1,327.3
9,0,0.267,0.98,1,910.5,916.3,923.0,929.6,935.9,948.2,953.4,958.5,963.2,966.1,298.3,294.5,293.3,294.1,296.4,296.3,294.5,294.0,295.2,298.9,942.3,327.7
10,0,0.3,0.98,1,910.5,916.3,923.0,929.7,935.9,948.4,953.6,958.6,963.4,966.3,298.5,294.7,293.4,294.3,296.5,296.4,294.6,294.1,295.3,299.0,942.4,327.7
11,0,0.333,0.98,1,910.7,916.5,923.2,929.8,936.0,948.6,953.8,958.8,963.6,966.4,298.4,294.7,293.4,294.3,296.6,296.5,294.7,294.3,295.5,299.2,942.5,327.8
12,0,0.367,0.98,1,911.0,916.8,923.5,930.2,936.4,948.8,954.1,959.1,963.9,966.8,298.3,294.6,293.4,294.3,296.6,296.5,294.8,294.3,295.6,299.3,942.6,327.8
13,0,0.4,0.98,1,911.2,916.9,923.7,930.4,936.6,949.0,954.2,959.4,964.2,967.1,298.3,294.5,293.3,294.2,296.5,296.5,294.7,294.3,295.6,299.5,942.7,327.8
14,0,0.433,0.98,1,911.3,917.1,923.9,930.6,936.9,949.2,954.4,959.5,964.3,967.2,298.1,294.4,293.2,294.1,296.4,296.4,294.7,294.3,295.5,299.3,942.9,327.8
15,0,0.467,0.98,1,911.6,917.3,924.1,930.8,937.0,949.4,954.7,959.7,964.5,967.4,298.1,294.4,293.2,294.1,296.4,296.4,294.6,294.2,295.6,299.4,943.1,327.8
16,0,0.5,0.98,1,911.7,917.5,924.2,930.9,937.1,949.4,954.6,959.7,964.5,967.3,298.3,294.5,293.2,294.1,296.4,296.3,294.6,294.2,295.5,299.3,943.3,327.7
17,0,0.533,0.98,1,912.0,917.7,924.5,931.1,937.3,949.5,954.8,959.8,964.6,967.6,298.2,294.4,293.2,294.1,296.4,296.4,294.7,294.3,295.6,299.4,943.4,327.7
18,0,0.567,0.98,1,912.5,918.4,925.1,931.6,937.7,950.1,955.3,960.2,965.0,967.9,297.9,294.4,293.3,294.2,296.5,296.6,294.9,294.6,295.8,299.6,943.7,328.0
19,0,0.6,0.98,1,912.9,918.8,925.3,931.8,937.8,950.4,955.5,960.4,965.0,967.9,298.2,294.7,293.7,294.7,296.9,297.0,295.3,294.9,296.1,299.7,943.9,328.4
20,0,0.633,0.98,1,913.1,918.8,925.4,931.9,937.9,950.5,955.6,960.5,965.2,968.1,298.7,295.2,294.2,295.1,297.4,297.5,295.7,295.3,296.5,300.1,944.1,328.9
21,0,0.667,0.98,1,912.9,918.7,925.3,931.9,938.0,950.6,955.7,960.6,965.2,968.1,299.5,295.9,294.7,295.7,298.0,298.0,296.2,295.8,297.0,300.7,944.2,329.3
22,0,0.7,0.88,1,913.0,918.7,925.3,932.0,938.2,950.8,955.9,960.7,965.4,968.3,300.4,296.7,295.4,296.2,298.5,298.5,296.8,296.4,297.7,301.4,944.3,329.6
23,0,0.733,0.93,1,913.6,919.1,925.7,932.3,938.4,950.9,955.9,960.8,965.3,968.2,300.7,296.9,295.5,296.4,298.7,298.8,297.2,296.9,298.2,301.9,944.3,329.7
24,0,0.767,0.93,1,913.6,919.2,925.8,932.4,938.5,950.9,955.9,960.8,965.4,968.3,300.6,296.8,295.5,296.4,298.7,298.8,297.1,296.8,298.2,302.0,944.3,329.6
25,0,0.8,0.88,1,913.3,919.0,925.7,932.3,938.5,951.0,956.0,960.9,965.5,968.5,300.4,296.6,295.4,296.2,298.5,298.4,296.7,296.4,297.7,301.4,944.5,329.6
26,0,0.833,0.88,1,912.7,918.4,925.2,931.9,938.2,950.9,955.9,960.9,965.5,968.5,300.2,296.3,295.0,295.8,297.9,297.9,296.2,295.9,297.3,301.1,944.6,329.2
27,0,0.867,0.98,1,913.0,918.8,925.4,932.0,938.1,951.0,956.0,960.8,965.4,968.3,299.4,295.7,294.5,295.3,297.5,297.5,295.9,295.5,296.7,300.4,944.7,329.0
28,0,0.9,0.98,1,913.0,918.8,925.4,932.0,938.1,951.0,956.0,960.8,965.4,968.3,299.2,295.5,294.3,295.1,297.2,297.2,295.6,295.3,296.5,300.3,944.6,328.8
29,0,0.933,0.98,1,913.1,918.8,925.4,932.0,938.1,951.0,956.0,960.8,965.4,968.2,299.2,295.4,294.2,294.9,297.1,297.1,295.5,295.2,296.5,300.3,944.7,328.6
30,0,0.967,0.98,1,913.2,918.9,925.5,932.1,938.3,951.1,956.1,960.9,965.5,968.3,299.2,295.3,294.0,294.8,296.9,296.9,295.3,295.0,296.4,300.2,944.9,328.5
31,0,1.0,0.98,1,913.3,919.0,925.6,932.3,938.5,951.1,956.2,961.0,965.7,968.4,299.3,295.4,294.1,294.9,297.0,297.0,295.4,295.1,296.5,300.4,945.1,328.5
32,0,1.033,0.98,1,913.5,919.2,925.9,932.6,938.8,951.3,956.4,961.3,965.9,968.7,299.4,295.5,294.2,295.0,297.1,297.2,295.6,295.3,296.7,300.7,945.3,328.6
33,0,1.067,0.98,1,913.9,919.5,926.2,932.9,939.1,951.5,956.6,961.5,966.2,968.9,299.5,295.6,294.3,295.1,297.3,297.4,295.8,295.5,297.0,300.9,945.4,328.8
34,0,1.1,0.98,1,914.2,919.9,926.5,933.1,939.3,951.7,956.8,961.8,966.4,969.2,299.6,295.8,294.5,295.4,297.6,297.7,296.2,295.9,297.3,301.2,945.4,329.0
35,0,1.133,0.98,1,914.3,920.0,926.7,933.3,939.4,951.8,956.9,961.9,966.5,969.3,299.8,295.9,294.7,295.5,297.7,297.8,296.2,295.9,297.3,301.3,945.6,329.1
36,0,1.167,0.98,1,914.5,920.2,926.8,933.5,939.6,952.1,957.2,962.1,966.8,969.5,299.9,296.1,294.9,295.8,298.0,298.1,296.5,296.2,297.5,301.4,945.8,329.5
37,0,1.2,0.98,1,914.6,920.4,927.0,933.6,939.7,952.3,957.4,962.3,966.9,969.7,299.9,296.2,295.0,295.8,298.1,298.2,296.6,296.3,297.7,301.5,945.8,329.6
38,0,1.233,0.98,1,914.7,920.4,927.1,933.6,939.8,952.4,957.5,962.4,967.0,969.8,300.1,296.3,295.1,296.0,298.2,298.3,296.7,296.4,297.8,301.7,945.8,329.6
39,0,1.267,0.98,1,914.6,920.3,927.0,933.6,939.8,952.3,957.5,962.4,967.1,969.9,300.2,296.4,295.2,296.1,298.3,298.4,296.8,296.5,297.9,301.8,945.8,329.8
40,0,1.3,0.98,1,914.4,920.2,927.0,933.7,939.9,952.2,957.4,962.4,967.2,970.0,300.4,296.5,295.3,296.1,298.4,298.5,296.9,296.6,298.0,302.0,945.8,329.9
41,0,1.333,0.98,1,914.4,920.2,926.9,933.6,939.7,952.2,957.4,962.4,967.1,970.0,300.5,296.6,295.3,296.2,298.4,298.5,296.8,296.5,298.0,301.9,945.8,330.0
42,0,1.367,0.98,1,914.4,920.1,926.8,933.5,939.7,952.2,957.4,962.4,967.1,970.0,300.6,296.7,295.4,296.2,298.4,298.4,296.8,296.5,297.9,301.9,945.8,330.0
43,0,1.4,0.98,1,914.4,920.1,926.8,933.5,939.7,952.2,957.5,962.5,967.3,970.1,300.7,296.8,295.4,296.3,298.5,298.5,296.8,296.6,298.0,302.0,945.8,330.1
44,0,1.433,0.98,1,914.3,920.1,926.8,933.5,939.7,952.2,957.5,962.6,967.4,970.2,300.8,296.8,295.5,296.3,298.5,298.5,296.9,296.6,298.1,302.1,945.9,330.2
45,0,1.467,0.98,1,914.6,920.3,927.0,933.7,939.9,952.4,957.7,962.8,967.5,970.3,300.6,296.7,295.4,296.3,298.5,298.6,296.9,296.6,298.1,302.0,946.0,330.2
46,0,1.5,0.98,1,914.7,920.4,927.1,933.7,939.9,952.5,957.7,962.7,967.5,970.3,300.6,296.8,295.5,296.4,298.6,298.6,297.0,296.7,298.1,302.0,946.0,330.2
47,0,1.533,0.98,1,914.7,920.4,927.1,933.8,940.0,952.5,957.8,962.8,967.6,970.4,300.6,296.8,295.5,296.3,298.6,298.6,297.0,296.6,298.0,302.0,946.1,330.2
48,0,1.567,0.98,1,914.7,920.4,927.1,933.8,940.0,952.6,957.8,962.9,967.7,970.5,300.7,296.8,295.5,296.3,298.6,298.6,297.0,296.6,298.0,302.0,946.2,330.2
49,0,1.6,0.98,1,914.7,920.4,927.2,934.0,940.2,952.6,957.8,962.9,967.8,970.6,300.6,296.6,295.3,296.2,298.5,298.5,296.9,296.5,297.9,302.0,946.2,330.2
50,0,1.633,0.98,1,914.8,920.6,927.4,934.2,940.4,952.5,957.8,962.9,967.8,970.6,300.5,296.5,295.3,296.2,298.5,298.6,296.9,296.5,298.0,302.0,946.3,330.2
51,0,1.667,0.98,1,914.8,920.5,927.3,934.1,940.3,952.6,957.9,963.0,967.8,970.7,300.5,296.5,295.2,296.1,298.5,298.5,296.9,296.5,297.9,302.0,946.3,330.2
52,0,1.7,0.98,1,914.7,920.4,927.2,934.0,940.3,952.7,958.0,963.1,967.9,970.7,300.5,296.5,295.2,296.1,298.4,298.5,296.8,296.4,297.8,301.8,946.4,330.2
53,0,1.733,0.98,1,914.8,920.5,927.3,934.0,940.3,952.8,958.1,963.2,968.0,970.8,300.3,296.4,295.0,295.9,298.2,298.3,296.6,296.3,297.7,301.7,946.4,330.0
54,0,1.767,0.98,1,915.0,920.7,927.4,934.1,940.3,953.0,958.3,963.4,968.1,970.9,300.2,296.2,294.9,295.7,298.0,298.1,296.4,296.1,297.6,301.6,946.4,329.9
55,0,1.8,0.98,1,915.2,920.9,927.7,934.3,940.5,953.1,958.4,963.4,968.2,971.0,299.9,296.0,294.7,295.6,297.8,298.0,296.3,296.0,297.5,301.5,946.5,329.7
56,0,1.833,0.93,1,914.7,920.4,927.1,933.9,940.1,952.7,958.0,963.1,967.9,970.7,300.3,296.3,294.9,295.7,298.0,298.0,296.4,296.1,297.6,301.5,946.4,329.6
57,0,1.867,0.93,1,915.2,920.7,927.4,934.1,940.3,952.9,958.1,963.2,967.9,970.8,300.7,296.6,295.0,295.8,298.0,298.0,296.4,296.2,297.7,301.8,946.4,329.6
58,0,1.9,0.93,1,915.0,920.4,927.1,933.9,940.3,952.7,957.9,963.0,967.9,970.8,300.8,296.6,295.0,295.7,297.9,297.9,296.3,296.1,297.6,301.7,946.4,329.3
59,0,1.933,0.88,1,914.9,920.4,927.1,933.8,940.1,952.5,957.8,962.8,967.6,970.5,300.0,296.0,294.5,295.2,297.4,297.3,295.7,295.4,296.8,300.7,946.4,329.0
60,0,1.967,0.93,1,914.7,920.3,927.1,933.8,940.0,952.5,957.7,962.8,967.6,970.6,299.3,295.4,294.0,294.8,297.0,297.0,295.4,295.1,296.4,300.3,946.4,328.6
61,0,2.0,0.98,1,915.2,920.9,927.5,934.1,940.3,952.9,958.1,963.1,967.9,970.8,298.9,295.0,293.7,294.4,296.6,296.7,295.1,294.8,296.2,300.0,946.7,328.3
62,0,2.033,0.98,1,915.9,921.5,928.1,934.6,940.7,953.2,958.3,963.2,967.9,970.8,298.7,294.8,293.5,294.3,296.6,296.7,295.1,294.9,296.2,300.1,946.8,328.3
63,0,2.067,0.98,1,916.0,921.6,928.2,934.8,940.9,953.3,958.4,963.4,968.1,970.9,298.6,294.8,293.5,294.4,296.6,296.8,295.2,294.9,296.2,300.0,946.9,328.4
64,0,2.1,0.98,1,916.1,921.8,928.4,935.0,941.1,953.4,958.5,963.5,968.3,971.1,298.5,294.7,293.5,294.4,296.7,296.8,295.2,294.9,296.2,300.1,947.0,328.4
65,0,2.133,0.98,1,916.1,921.8,928.4,935.0,941.1,953.5,958.7,963.7,968.4,971.3,298.6,294.8,293.5,294.5,296.8,297.0,295.4,295.1,296.4,300.3,947.1,328.5
66,0,2.167,0.98,1,915.8,921.5,928.2,935.0,941.2,953.5,958.7,963.9,968.7,971.5,299.0,295.1,293.7,294.6,297.0,297.2,295.6,295.3,296.7,300.7,947.2,328.8
67,0,2.2,0.98,1,915.7,921.5,928.3,935.0,941.3,953.7,959.0,964.1,968.9,971.8,298.9,295.1,293.8,294.7,297.0,297.2,295.7,295.4,296.8,300.8,947.2,328.9
68,0,2.233,0.98,1,915.9,921.6,928.4,935.2,941.4,953.7,959.0,964.2,969.0,971.9,299.1,295.2,293.9,294.8,297.1,297.3,295.7,295.5,296.9,300.9,947.3,328.9
69,0,2.267,0.98,1,916.1,921.9,928.7,935.5,941.7,954.0,959.3,964.4,969.3,972.1,299.2,295.2,293.9,294.9,297.2,297.4,295.8,295.5,297.0,300.9,947.6,329.0
70,0,2.3,0.98,1,916.3,922.1,928.9,935.7,941.9,954.3,959.6,964.7,969.5,972.3,299.2,295.3,294.0,295.0,297.3,297.5,296.0,295.7,297.1,301.1,947.9,329.2
71,0,2.333,0.98,1,916.6,922.4,929.2,935.9,942.1,954.3,959.6,964.7,969.6,972.4,299.3,295.5,294.2,295.1,297.5,297.7,296.1,295.8,297.2,301.1,948.0,329.2
72,0,2.367,0.98,1,916.9,922.7,929.5,936.2,942.4,954.6,959.9,965.0,969.8,972.6,299.3,295.5,294.2,295.2,297.6,297.8,296.2,295.9,297.3,301.2,948.2,329.4
73,0,2.4,0.98,1,917.1,923.0,929.8,936.5,942.7,954.9,960.2,965.3,970.1,972.9,299.4,295.6,294.4,295.4,297.8,298.0,296.5,296.2,297.5,301.4,948.4,329.6
74,0,2.433,0.98,1,917.1,923.0,929.9,936.6,942.8,955.1,960.4,965.5,970.3,973.1,299.6,295.8,294.6,295.6,298.0,298.2,296.6,296.3,297.7,301.6,948.6,329.8
75,0,2.467,0.98,1,917.3,923.2,930.0,936.8,943.0,955.2,960.5,965.6,970.4,973.3,299.8,296.1,294.9,295.9,298.3,298.4,296.8,296.5,297.8,301.6,948.8,329.9
76,0,2.5,0.98,1,917.6,923.4,930.2,936.9,943.2,955.4,960.6,965.7,970.5,973.4,300.1,296.3,295.0,296.0,298.4,298.5,296.9,296.6,297.9,301.8,949.0,330.1
77,0,2.533,0.98,1,917.8,923.7,930.5,937.2,943.4,955.6,960.9,966.0,970.8,973.7,300.1,296.3,295.2,296.2,298.6,298.7,297.1,296.7,298.0,301.9,949.2,330.3
78,0,2.567,0.98,1,918.0,923.9,930.7,937.5,943.7,955.7,961.0,966.2,971.0,973.9,300.3,296.5,295.3,296.3,298.7,298.9,297.2,296.8,298.1,302.0,949.4,330.4
79,0,2.6,0.98,1,918.3,924.2,931.0,937.8,944.0,956.1,961.4,966.5,971.4,974.3,300.3,296.5,295.4,296.4,298.8,299.0,297.3,297.0,298.3,302.2,949.6,330.5
80,0,2.633,0.98,1,918.7,924.6,931.4,938.1,944.3,956.4,961.6,966.7,971.5,974.4,300.2,296.5,295.4,296.4,298.8,299.0,297.4,297.0,298.4,302.2,949.9,330.5
81,0,2.667,0.98,1,918.6,924.6,931.4,938.1,944.3,956.5,961.7,966.8,971.6,974.5,300.1,296.4,295.3,296.4,298.8,299.0,297.4,297.0,298.3,302.2,950.0,330.6
82,0,2.7,0.98,1,918.9,924.9,931.7,938.4,944.6,956.6,961.9,966.9,971.7,974.5,300.1,296.4,295.3,296.4,298.8,299.0,297.4,297.1,298.4,302.2,950.1,330.5
83,0,2.733,0.98,1,919.1,925.0,931.8,938.4,944.4,956.6,961.9,966.9,971.6,974.5,300.0,296.4,295.3,296.3,298.7,298.9,297.4,297.0,298.3,302.1,950.1,330.5
84,0,2.767,0.98,1,919.2,925.1,931.9,938.5,944.5,956.7,961.9,966.9,971.7,974.5,300.0,296.3,295.2,296.3,298.7,298.9,297.3,297.0,298.3,302.1,950.1,330.5
85,0,2.8,0.98,1,918.9,924.8,931.6,938.2,944.4,956.7,961.9,967.0,971.8,974.6,300.0,296.3,295.2,296.2,298.6,298.9,297.3,297.0,298.3,302.2,950.0,330.4
86,0,2.833,0.98,1,918.9,924.7,931.6,938.2,944.4,956.6,961.9,967.0,971.8,974.6,300.1,296.3,295.1,296.2,298.6,298.9,297.3,297.0,298.3,302.2,950.0,330.4
87,0,2.867,0.98,1,918.9,924.8,931.5,938.2,944.3,956.6,961.8,966.9,971.7,974.5,300.0,296.3,295.2,296.3,298.7,298.9,297.4,297.1,298.4,302.2,949.8,330.4
88,0,2.9,0.93,1,918.6,924.2,931.0,937.7,943.9,956.2,961.4,966.4,971.2,974.1,301.3,297.3,295.9,296.8,299.1,299.2,297.6,297.3,298.7,302.6,949.7,330.6
89,0,2.933,0.93,1,918.5,924.1,930.9,937.6,943.9,956.0,961.2,966.3,971.0,973.9,301.5,297.5,296.1,297.0,299.2,299.3,297.7,297.5,298.9,302.8,949.6,330.6
90,0,2.967,0.93,1,918.4,924.0,930.7,937.5,943.7,955.9,961.1,966.2,971.0,973.9,301.6,297.6,296.2,297.0,299.3,299.4,297.8,297.6,299.0,302.9,949.4,330.7
