frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1093.2,1097.7,1103.8,1110.0,1115.6,1128.3,1135.1,1142.0,1148.7,1153.1,211.5,207.5,206.6,207.8,210.8,211.2,209.0,208.6,210.3,214.6,1120.0,244.8
2,0,0.033,0.98,1,1093.4,1097.9,1103.8,1109.9,1115.3,1128.6,1135.5,1142.3,1148.7,1153.0,211.2,207.4,206.6,207.8,210.7,211.2,209.1,208.8,210.5,214.7,1119.9,245.2
3,0,0.067,0.98,1,1093.1,1097.6,1103.5,1109.5,1115.0,1128.3,1135.1,1141.9,1148.4,1152.7,211.5,207.6,206.8,208.0,210.8,211.2,209.1,208.8,210.5,214.8,1119.7,245.6
4,0,0.1,0.98,1,1092.8,1097.2,1103.2,1109.2,1114.7,1127.9,1134.7,1141.6,1148.0,1152.4,212.0,208.1,207.2,208.5,211.4,211.9,209.8,209.4,211.1,215.4,1119.4,245.9
5,0,0.133,0.98,1,1092.5,1096.9,1102.9,1108.9,1114.3,1127.9,1134.7,1141.5,1147.9,1152.2,212.5,208.6,207.8,209.0,211.8,212.3,210.3,209.9,211.6,215.8,1119.3,246.6
6,0,0.167,0.98,1,1092.4,1096.8,1102.8,1108.8,1114.2,1127.3,1134.1,1140.9,1147.4,1151.8,213.2,209.5,208.7,210.1,213.0,213.4,211.3,210.8,212.4,216.5,1119.0,247.5
7,0,0.2,0.98,1,1092.6,1096.9,1102.8,1108.8,1114.1,1126.6,1133.5,1140.5,1147.1,1151.9,214.0,210.3,209.7,211.2,214.2,214.7,212.5,212.0,213.6,217.7,1118.2,248.3
8,0,0.233,0.98,1,1092.6,1096.8,1102.7,1108.6,1113.8,1126.2,1133.2,1140.2,1146.9,1151.8,214.6,211.0,210.6,212.1,215.1,215.6,213.4,213.0,214.6,218.8,1117.5,249.1
9,0,0.267,0.98,1,1092.4,1096.6,1102.4,1108.2,1113.4,1126.1,1133.0,1139.9,1146.6,1151.4,215.0,211.4,211.1,212.7,215.6,216.2,214.0,213.7,215.4,219.6,1117.0,249.9
10,0,0.3,0.98,1,1091.9,1096.2,1102.0,1107.8,1113.0,1125.7,1132.5,1139.5,1146.2,1151.0,215.5,212.0,211.7,213.3,216.2,217.0,214.9,214.6,216.3,220.5,1116.4,250.4
11,0,0.333,0.98,1,1091.5,1095.9,1101.7,1107.5,1112.6,1125.4,1132.3,1139.2,1145.8,1150.6,216.0,212.5,212.3,213.9,216.9,217.8,215.8,215.5,217.3,221.6,1115.8,251.2
12,0,0.367,0.98,1,1090.8,1095.2,1101.0,1106.9,1112.0,1124.6,1131.5,1138.5,1145.2,1149.9,216.9,213.4,213.2,214.8,217.9,218.7,216.7,216.4,218.2,222.5,1115.0,252.1
13,0,0.4,0.98,1,1089.8,1094.2,1100.0,1105.8,1110.9,1123.8,1130.7,1137.7,1144.3,1149.1,217.6,214.2,214.1,215.8,218.8,219.7,217.7,217.5,219.2,223.5,1113.9,253.1
14,0,0.433,0.98,1,1088.8,1093.1,1099.0,1104.8,1109.9,1122.4,1129.4,1136.5,1143.2,1148.1,218.5,215.1,215.0,216.7,219.8,220.7,218.6,218.4,220.2,224.5,1112.7,254.0
15,0,0.467,0.98,1,1087.7,1092.1,1097.9,1103.7,1108.7,1121.3,1128.2,1135.2,1141.9,1146.7,219.0,215.8,215.7,217.5,220.5,221.4,219.3,219.0,220.7,225.0,1111.5,254.6
16,0,0.5,0.98,1,1086.3,1090.7,1096.5,1102.3,1107.3,1119.7,1126.7,1133.7,1140.5,1145.4,219.6,216.3,216.3,218.0,221.0,221.8,219.7,219.3,221.0,225.3,1110.3,255.0
17,0,0.533,0.98,1,1084.9,1089.3,1095.1,1100.9,1106.0,1118.4,1125.4,1132.5,1139.3,1144.2,219.4,216.1,216.0,217.7,220.7,221.5,219.3,218.9,220.6,224.9,1109.0,254.8
18,0,0.567,0.98,1,1083.3,1087.7,1093.5,1099.4,1104.5,1117.0,1124.0,1131.1,1137.9,1142.9,218.8,215.4,215.3,217.0,220.0,220.7,218.5,218.1,219.8,224.0,1107.8,254.0
19,0,0.6,0.98,1,1082.0,1086.4,1092.2,1098.0,1103.1,1115.7,1122.7,1129.7,1136.5,1141.4,218.0,214.6,214.5,216.1,219.0,219.7,217.6,217.2,218.9,223.1,1106.4,253.2
