frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,912.0,917.6,924.5,931.4,937.4,949.3,954.8,960.1,964.9,967.6,294.8,290.8,289.8,290.9,293.6,294.2,292.5,292.4,294.3,298.7,941.8,326.2
2,0,0.033,0.98,1,912.3,918.1,924.7,931.2,937.1,950.0,955.2,960.2,964.7,967.2,294.4,290.8,289.9,291.1,293.7,294.4,292.9,292.7,294.3,298.3,941.7,326.6
3,0,0.067,0.98,1,912.1,917.9,924.6,931.1,937.0,949.7,954.9,959.9,964.5,966.9,294.7,291.1,290.2,291.4,294.1,294.8,293.3,293.1,294.7,298.7,941.5,326.9
4,0,0.1,0.98,1,912.0,917.7,924.5,931.1,936.9,949.5,954.7,959.7,964.3,966.7,295.2,291.5,290.6,291.9,294.6,295.4,293.9,293.7,295.2,299.2,941.3,327.4
5,0,0.133,0.98,1,912.0,917.8,924.5,931.0,936.9,949.5,954.8,959.7,964.3,966.6,295.4,291.8,290.9,292.2,295.0,295.7,294.2,293.9,295.4,299.4,941.3,327.7
6,0,0.167,0.98,1,911.9,917.7,924.4,930.9,936.7,949.5,954.7,959.7,964.2,966.6,295.5,291.9,291.0,292.3,295.0,295.8,294.3,294.1,295.5,299.4,941.2,327.7
7,0,0.2,0.98,1,911.8,917.6,924.3,930.8,936.6,949.5,954.6,959.6,964.1,966.6,295.5,291.9,291.0,292.3,295.0,295.8,294.4,294.2,295.6,299.5,941.1,327.7
8,0,0.233,0.98,1,911.7,917.5,924.2,930.7,936.5,949.4,954.6,959.6,964.1,966.6,295.5,291.9,291.0,292.4,295.1,295.9,294.4,294.2,295.6,299.5,941.1,327.8
9,0,0.267,0.98,1,911.7,917.5,924.2,930.7,936.6,949.4,954.6,959.6,964.1,966.6,295.5,291.9,291.0,292.3,295.0,295.8,294.3,294.1,295.6,299.6,941.2,327.8
10,0,0.3,0.98,1,911.6,917.4,924.2,930.8,936.7,949.3,954.6,959.6,964.2,966.6,295.7,292.0,291.1,292.4,295.0,295.8,294.3,294.1,295.7,299.7,941.2,327.7
11,0,0.333,0.98,1,911.5,917.3,924.1,930.6,936.5,949.1,954.3,959.2,963.8,966.2,295.6,292.0,291.1,292.3,295.0,295.7,294.2,294.1,295.6,299.6,941.1,327.7
12,0,0.367,0.98,1,911.6,917.4,924.1,930.5,936.3,949.0,954.1,958.9,963.4,965.9,295.5,292.0,291.1,292.3,295.0,295.6,294.1,293.9,295.3,299.1,941.0,327.6
13,0,0.4,0.98,1,911.4,917.3,923.8,930.2,936.0,948.8,953.9,958.7,963.2,965.8,295.3,291.9,291.0,292.2,294.7,295.3,293.8,293.6,295.0,298.9,940.8,327.3
14,0,0.433,0.98,1,911.0,916.7,923.3,929.8,935.6,948.4,953.5,958.4,962.9,965.5,295.5,291.9,291.0,292.1,294.6,295.1,293.6,293.4,294.9,298.9,940.6,327.0
15,0,0.467,0.98,1,910.8,916.6,923.2,929.6,935.4,948.3,953.4,958.3,962.8,965.5,295.3,291.8,290.9,292.0,294.4,295.0,293.5,293.2,294.7,298.6,940.6,327.0
