frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1002.3,1006.3,1012.6,1019.3,1025.6,1038.9,1046.0,1053.4,1060.7,1066.3,259.9,255.5,254.0,254.8,257.1,256.0,252.9,251.4,252.0,255.6,1034.8,291.0
2,0,0.033,0.98,1,1001.5,1005.6,1011.9,1018.5,1024.9,1038.5,1045.6,1053.0,1060.4,1066.1,259.7,255.4,253.9,254.8,257.2,255.9,252.9,251.2,251.6,255.0,1034.7,291.2
3,0,0.067,0.98,1,1001.3,1005.3,1011.6,1018.2,1024.7,1038.3,1045.4,1052.8,1060.2,1065.8,259.4,255.0,253.4,254.2,256.7,255.4,252.3,250.7,251.1,254.6,1034.6,291.0
4,0,0.1,0.98,1,1001.1,1005.2,1011.5,1018.1,1024.6,1038.2,1045.3,1052.7,1060.1,1065.8,259.5,255.0,253.4,254.3,256.7,255.4,252.3,250.6,251.0,254.5,1034.5,290.7
5,0,0.133,0.98,1,1002.0,1005.7,1011.7,1018.1,1024.1,1037.3,1044.4,1051.8,1059.4,1065.5,259.5,255.3,254.0,254.8,256.9,255.4,252.2,250.4,250.9,254.3,1033.8,290.6
6,0,0.167,0.98,1,1001.6,1005.4,1011.6,1018.0,1024.2,1037.5,1044.6,1052.0,1059.4,1065.4,259.7,255.4,254.0,254.6,256.7,255.3,252.1,250.4,250.9,254.3,1034.0,290.6
7,0,0.2,0.98,1,1001.1,1005.0,1011.3,1017.9,1024.3,1037.9,1045.0,1052.4,1059.8,1065.5,259.7,255.2,253.6,254.3,256.7,255.3,252.2,250.5,251.0,254.5,1034.3,290.5
8,0,0.233,0.98,1,1000.8,1004.9,1011.2,1017.8,1024.2,1037.7,1044.9,1052.3,1059.8,1065.4,259.7,255.1,253.5,254.3,256.7,255.4,252.3,250.5,251.0,254.5,1034.2,290.6
9,0,0.267,0.98,1,1001.6,1005.2,1011.3,1017.7,1023.8,1036.8,1043.9,1051.4,1059.0,1065.2,259.6,255.3,254.0,254.7,256.8,255.4,252.0,250.2,250.7,254.1,1033.6,290.6
10,0,0.3,0.98,1,1001.8,1005.4,1011.5,1017.9,1023.9,1036.7,1043.8,1051.3,1059.0,1065.2,259.6,255.3,254.1,254.7,256.8,255.3,251.9,250.2,250.7,254.2,1033.4,290.5
11,0,0.333,0.98,1,1001.8,1005.4,1011.4,1017.8,1023.8,1036.7,1043.9,1051.3,1059.0,1065.2,259.5,255.2,254.0,254.6,256.7,255.2,251.8,250.1,250.7,254.2,1033.3,290.4
12,0,0.367,0.98,1,1001.8,1005.3,1011.3,1017.6,1023.6,1036.7,1043.8,1051.3,1058.8,1065.0,259.4,255.1,253.9,254.5,256.5,255.0,251.7,250.0,250.6,254.2,1033.1,290.3
13,0,0.4,0.98,1,1001.6,1005.1,1011.1,1017.4,1023.3,1036.5,1043.7,1051.1,1058.6,1064.8,259.4,255.2,253.9,254.6,256.6,255.1,251.7,250.0,250.5,254.0,1032.9,290.3
14,0,0.433,0.98,1,1001.3,1004.9,1010.9,1017.2,1023.1,1036.3,1043.4,1050.9,1058.5,1064.7,259.3,255.1,254.0,254.7,256.8,255.3,251.9,250.0,250.5,254.0,1032.6,290.4
15,0,0.467,0.98,1,1001.2,1004.8,1010.8,1017.1,1023.0,1036.4,1043.5,1050.9,1058.5,1064.7,259.3,255.2,254.1,254.8,256.8,255.3,251.9,250.1,250.6,254.0,1032.7,290.4
16,0,0.5,0.98,1,1001.2,1004.8,1010.8,1017.1,1022.9,1036.2,1043.3,1050.7,1058.3,1064.5,259.2,255.2,254.1,254.9,256.9,255.4,252.0,250.2,250.7,254.1,1032.5,290.5
17,0,0.533,0.98,1,1001.1,1004.7,1010.7,1017.0,1022.9,1036.2,1043.3,1050.7,1058.3,1064.6,259.2,255.2,254.1,254.9,256.9,255.4,252.0,250.2,250.7,254.0,1032.5,290.5
18,0,0.567,0.98,1,1001.1,1004.7,1010.6,1016.9,1022.8,1036.2,1043.4,1050.8,1058.3,1064.5,259.2,255.1,254.0,254.8,256.8,255.3,251.9,250.1,250.6,254.0,1032.5,290.5
19,0,0.6,0.98,1,1001.1,1004.6,1010.6,1016.8,1022.7,1036.1,1043.2,1050.6,1058.2,1064.4,259.2,255.2,254.1,254.8,256.8,255.3,252.0,250.2,250.7,254.1,1032.3,290.5
20,0,0.633,0.98,1,1001.0,1004.6,1010.5,1016.7,1022.6,1035.9,1043.0,1050.4,1058.0,1064.2,259.3,255.3,254.2,255.0,256.9,255.4,252.0,250.2,250.7,254.0,1032.3,290.5
21,0,0.667,0.98,1,1001.1,1004.6,1010.4,1016.7,1022.5,1035.9,1043.0,1050.5,1058.0,1064.2,259.1,255.1,253.9,254.7,256.7,255.3,251.9,250.2,250.7,254.2,1032.1,290.4
22,0,0.7,0.98,1,1001.1,1004.6,1010.4,1016.7,1022.5,1035.8,1043.0,1050.5,1058.1,1064.3,259.1,255.1,253.9,254.7,256.7,255.3,251.9,250.2,250.8,254.3,1032.0,290.4
23,0,0.733,0.98,1,1001.1,1004.5,1010.4,1016.6,1022.4,1035.8,1043.0,1050.5,1058.1,1064.2,259.2,255.0,253.9,254.6,256.6,255.1,251.8,250.1,250.7,254.2,1032.0,290.4
24,0,0.767,0.98,1,1001.1,1004.5,1010.3,1016.6,1022.4,1035.8,1043.0,1050.5,1058.0,1064.2,259.1,255.0,253.8,254.5,256.5,255.1,251.7,250.0,250.7,254.2,1032.0,290.3
25,0,0.8,0.98,1,1001.0,1004.5,1010.2,1016.4,1022.1,1035.6,1042.8,1050.3,1057.8,1064.0,258.9,254.9,253.8,254.5,256.4,255.0,251.7,250.0,250.7,254.1,1031.7,290.2
26,0,0.833,0.98,1,1001.0,1004.4,1010.2,1016.3,1022.1,1035.6,1042.8,1050.3,1057.8,1063.9,258.9,254.9,253.7,254.4,256.3,254.9,251.6,249.9,250.6,254.1,1031.6,290.1
27,0,0.867,0.98,1,1001.0,1004.4,1010.1,1016.3,1022.0,1035.5,1042.7,1050.2,1057.7,1063.9,258.8,254.7,253.5,254.2,256.2,254.8,251.5,249.9,250.6,254.1,1031.4,290.1
28,0,0.9,0.98,1,1000.8,1004.3,1010.0,1016.2,1022.0,1035.4,1042.6,1050.1,1057.7,1063.9,258.7,254.6,253.4,254.1,256.1,254.7,251.5,249.8,250.5,254.1,1031.2,290.0
29,0,0.933,0.98,1,1000.7,1004.3,1010.1,1016.3,1022.0,1035.6,1042.8,1050.3,1057.8,1064.0,258.7,254.6,253.5,254.2,256.1,254.6,251.4,249.7,250.3,253.8,1031.6,290.0
30,0,0.967,0.98,1,1000.8,1004.5,1010.4,1016.6,1022.4,1035.8,1043.0,1050.4,1058.0,1064.2,258.6,254.6,253.4,254.1,256.1,254.5,251.3,249.5,250.1,253.6,1031.9,289.9
31,0,1.0,0.98,1,1000.6,1004.3,1010.2,1016.5,1022.4,1035.9,1043.1,1050.5,1058.1,1064.2,258.6,254.4,253.2,253.9,255.8,254.3,251.1,249.3,249.9,253.4,1032.1,289.9
