frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1061.9,1066.9,1073.7,1080.6,1087.0,1100.3,1107.3,1114.4,1121.4,1126.4,197.2,192.7,191.5,192.5,194.9,194.5,192.0,191.1,192.3,196.6,1093.7,229.5
2,0,0.033,0.98,1,1061.2,1066.0,1072.7,1079.4,1085.7,1100.0,1107.0,1114.0,1120.8,1125.7,197.0,192.6,191.3,192.2,194.4,194.1,191.7,190.9,192.2,196.4,1093.0,229.5
3,0,0.067,0.98,1,1060.5,1065.3,1071.9,1078.6,1084.9,1099.5,1106.5,1113.4,1120.2,1125.1,197.0,192.6,191.2,192.1,194.3,193.9,191.6,190.8,192.1,196.2,1092.4,229.4
4,0,0.1,0.98,1,1059.8,1064.7,1071.4,1078.1,1084.4,1098.7,1105.7,1112.7,1119.6,1124.5,197.2,192.7,191.4,192.3,194.6,194.1,191.7,190.8,192.0,196.1,1091.9,229.3
5,0,0.133,0.98,1,1059.4,1064.2,1070.9,1077.6,1083.9,1098.0,1105.1,1112.1,1119.0,1124.0,197.2,192.7,191.4,192.4,194.7,194.2,191.8,190.9,192.0,196.1,1091.2,229.3
6,0,0.167,0.98,1,1059.0,1063.8,1070.5,1077.2,1083.5,1097.9,1104.9,1111.9,1118.8,1123.7,197.2,192.8,191.5,192.5,194.8,194.5,192.2,191.3,192.5,196.5,1090.8,229.7
7,0,0.2,0.98,1,1058.8,1063.5,1070.1,1076.8,1083.1,1097.6,1104.7,1111.7,1118.5,1123.5,197.4,193.0,191.6,192.6,194.9,194.5,192.2,191.4,192.5,196.6,1090.5,229.8
8,0,0.233,0.98,1,1058.7,1063.4,1070.0,1076.7,1083.0,1097.4,1104.5,1111.6,1118.4,1123.3,197.6,193.2,191.8,192.8,195.2,194.8,192.5,191.7,192.9,197.0,1090.3,230.1
9,0,0.267,0.98,1,1058.8,1063.6,1070.2,1076.8,1083.1,1097.5,1104.6,1111.6,1118.4,1123.3,197.7,193.3,192.0,193.0,195.3,195.0,192.7,191.9,193.1,197.2,1090.3,230.2
10,0,0.3,0.98,1,1058.8,1063.4,1070.0,1076.7,1082.9,1097.4,1104.5,1111.5,1118.4,1123.3,198.0,193.6,192.3,193.3,195.7,195.3,193.0,192.1,193.2,197.3,1090.3,230.5
11,0,0.333,0.98,1,1058.9,1063.6,1070.2,1076.8,1083.1,1097.4,1104.4,1111.5,1118.4,1123.3,198.3,193.9,192.6,193.6,196.0,195.6,193.3,192.4,193.5,197.6,1090.4,230.7
12,0,0.367,0.98,1,1058.9,1063.5,1070.0,1076.7,1083.0,1097.2,1104.2,1111.3,1118.3,1123.3,198.6,194.1,192.7,193.7,196.1,195.7,193.3,192.4,193.6,197.7,1090.4,230.9
13,0,0.4,0.98,1,1059.0,1063.5,1070.0,1076.7,1083.0,1097.2,1104.3,1111.4,1118.3,1123.3,198.6,194.2,192.7,193.7,196.1,195.7,193.3,192.4,193.6,197.7,1090.5,230.9
14,0,0.433,0.98,1,1059.0,1063.6,1070.1,1076.8,1083.1,1097.2,1104.3,1111.4,1118.3,1123.3,198.7,194.3,192.9,193.9,196.2,195.8,193.4,192.4,193.6,197.7,1090.5,230.9
15,0,0.467,0.98,1,1058.8,1063.3,1069.8,1076.5,1082.9,1097.1,1104.2,1111.3,1118.2,1123.2,198.8,194.3,192.8,193.8,196.1,195.7,193.3,192.3,193.6,197.7,1090.3,231.0
16,0,0.5,0.98,1,1058.6,1063.2,1069.7,1076.4,1082.7,1097.0,1104.1,1111.1,1118.0,1122.9,198.7,194.2,192.8,193.8,196.1,195.6,193.3,192.3,193.5,197.6,1090.3,231.0
17,0,0.533,0.98,1,1058.3,1062.9,1069.4,1076.1,1082.4,1096.5,1103.6,1110.7,1117.5,1122.5,198.7,194.2,192.9,193.8,196.2,195.7,193.3,192.4,193.6,197.7,1089.8,231.0
18,0,0.567,0.98,1,1057.8,1062.4,1068.9,1075.6,1081.8,1096.0,1103.1,1110.2,1117.1,1122.0,198.6,194.1,192.8,193.7,196.1,195.7,193.3,192.4,193.6,197.7,1089.3,231.1
19,0,0.6,0.98,1,1057.5,1062.0,1068.5,1075.2,1081.5,1095.6,1102.7,1109.7,1116.6,1121.6,198.7,194.3,193.0,194.0,196.3,195.8,193.4,192.4,193.6,197.6,1089.0,231.1
20,0,0.633,0.98,1,1057.1,1061.6,1068.1,1074.8,1081.1,1095.2,1102.3,1109.4,1116.3,1121.2,198.9,194.4,192.9,193.9,196.2,195.7,193.3,192.3,193.5,197.6,1088.8,231.1
21,0,0.667,0.98,1,1056.7,1061.1,1067.6,1074.3,1080.7,1094.9,1102.0,1109.1,1116.1,1121.0,198.9,194.5,193.0,193.9,196.2,195.7,193.2,192.3,193.4,197.5,1088.5,231.2
22,0,0.7,0.98,1,1056.4,1060.9,1067.4,1074.1,1080.4,1094.6,1101.7,1108.8,1115.6,1120.6,199.1,194.6,193.2,194.1,196.3,195.7,193.3,192.3,193.3,197.3,1088.4,231.1
23,0,0.733,0.98,1,1056.3,1060.8,1067.3,1073.9,1080.2,1094.4,1101.5,1108.6,1115.4,1120.4,199.0,194.6,193.1,194.0,196.3,195.7,193.2,192.2,193.3,197.3,1088.1,231.2
24,0,0.767,0.98,1,1056.2,1060.6,1067.0,1073.7,1080.0,1094.1,1101.2,1108.2,1115.1,1120.1,199.1,194.7,193.2,194.1,196.3,195.7,193.3,192.3,193.3,197.3,1087.9,231.2
25,0,0.8,0.98,1,1056.0,1060.4,1066.8,1073.6,1079.9,1094.0,1101.1,1108.2,1115.2,1120.2,199.2,194.6,193.1,194.0,196.3,195.7,193.2,192.2,193.3,197.3,1087.9,231.2
26,0,0.833,0.98,1,1055.8,1060.2,1066.7,1073.4,1079.7,1093.9,1101.0,1108.1,1115.1,1120.1,199.0,194.5,193.0,193.9,196.2,195.6,193.1,192.1,193.2,197.2,1087.7,231.3
27,0,0.867,0.98,1,1055.7,1060.0,1066.5,1073.3,1079.6,1093.6,1100.7,1107.9,1114.9,1120.0,199.1,194.6,193.1,194.0,196.3,195.7,193.2,192.1,193.3,197.4,1087.3,231.4
28,0,0.9,0.98,1,1055.3,1059.7,1066.3,1073.0,1079.4,1093.6,1100.7,1107.9,1114.8,1119.9,199.0,194.4,193.0,193.9,196.2,195.7,193.1,192.1,193.2,197.3,1087.2,231.4
29,0,0.933,0.98,1,1055.2,1059.6,1066.2,1072.9,1079.3,1093.5,1100.6,1107.7,1114.6,1119.6,199.1,194.5,193.1,194.0,196.3,195.7,193.2,192.2,193.2,197.3,1087.1,231.5
30,0,0.967,0.98,1,1055.0,1059.4,1065.9,1072.7,1079.0,1093.2,1100.3,1107.5,1114.5,1119.6,199.1,194.5,193.0,193.9,196.3,195.7,193.1,192.1,193.2,197.3,1086.9,231.4
31,0,1.0,0.98,1,1054.8,1059.2,1065.7,1072.5,1078.8,1093.1,1100.2,1107.3,1114.3,1119.3,199.1,194.5,193.1,194.0,196.3,195.7,193.1,192.0,193.1,197.1,1086.7,231.4
32,0,1.033,0.98,1,1054.6,1059.0,1065.4,1072.1,1078.4,1093.1,1100.2,1107.2,1114.1,1119.1,199.2,194.6,193.2,194.0,196.2,195.5,193.0,191.9,193.0,196.9,1086.7,231.4
33,0,1.067,0.98,1,1054.6,1059.0,1065.4,1072.1,1078.4,1093.0,1100.1,1107.1,1114.0,1119.1,199.2,194.6,193.1,193.9,196.1,195.4,192.9,191.8,192.8,196.8,1086.8,231.3
