frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,914.4,920.3,927.5,934.6,940.9,952.6,958.3,963.8,969.0,971.9,285.1,281.1,280.1,281.4,284.2,284.8,283.1,282.9,284.6,289.0,945.6,316.5
2,0,0.033,0.98,1,916.3,922.4,929.4,936.3,942.6,954.9,960.4,965.7,970.7,973.7,285.7,281.9,281.0,282.3,285.0,285.6,284.0,283.8,285.4,289.6,947.4,317.3
3,0,0.067,0.98,1,918.1,924.2,931.2,938.0,944.3,956.6,962.1,967.4,972.4,975.2,286.5,282.7,281.7,283.0,285.6,286.2,284.6,284.4,285.9,290.1,949.1,318.0
4,0,0.1,0.98,1,919.7,925.8,932.9,939.8,946.1,958.2,963.7,969.1,974.1,976.9,287.1,283.3,282.4,283.7,286.4,286.9,285.3,285.0,286.6,290.8,950.7,318.7
5,0,0.133,0.98,1,921.1,927.3,934.3,941.2,947.5,959.6,965.1,970.5,975.4,978.2,287.4,283.7,282.8,284.1,286.8,287.3,285.6,285.4,287.0,291.2,952.1,319.3
6,0,0.167,0.98,1,922.3,928.4,935.5,942.4,948.6,960.7,966.2,971.4,976.3,979.1,288.1,284.4,283.4,284.7,287.4,287.9,286.2,285.9,287.4,291.5,953.3,319.8
7,0,0.2,0.98,1,923.1,929.2,936.3,943.2,949.5,961.6,967.0,972.3,977.2,980.0,288.5,284.7,283.7,285.0,287.6,288.0,286.3,285.9,287.4,291.5,954.4,319.9
8,0,0.233,0.98,1,923.6,929.7,936.9,943.8,950.1,962.2,967.7,973.0,977.9,980.7,288.4,284.6,283.7,284.9,287.5,287.9,286.2,285.8,287.3,291.4,955.1,319.8
9,0,0.267,0.98,1,924.3,930.5,937.5,944.4,950.7,963.1,968.5,973.8,978.7,981.5,288.2,284.3,283.3,284.5,287.1,287.5,285.9,285.6,287.0,291.1,955.9,319.3
10,0,0.3,0.98,1,925.0,931.0,938.2,945.1,951.4,963.8,969.3,974.6,979.6,982.3,287.9,284.0,282.9,284.1,286.7,287.1,285.5,285.3,286.7,290.9,956.5,319.0
11,0,0.333,0.98,1,925.9,932.0,939.1,946.1,952.4,964.5,970.0,975.4,980.4,983.1,287.8,283.8,282.8,284.0,286.6,287.0,285.4,285.1,286.6,290.8,957.5,318.8
12,0,0.367,0.98,1,926.8,932.9,939.9,946.8,953.2,965.6,971.0,976.3,981.2,984.0,287.6,283.7,282.7,283.9,286.5,287.0,285.3,285.1,286.5,290.7,958.3,318.9
13,0,0.4,0.98,1,927.8,933.9,941.0,947.9,954.1,966.4,971.9,977.3,982.2,985.0,287.3,283.5,282.4,283.7,286.3,286.8,285.3,285.0,286.6,290.8,959.0,318.8
14,0,0.433,0.98,1,928.7,934.8,941.8,948.7,954.9,967.3,972.8,978.0,982.9,985.7,287.3,283.6,282.7,284.0,286.6,287.2,285.6,285.3,286.8,290.9,959.8,319.0
15,0,0.467,0.98,1,929.6,935.7,942.7,949.5,955.8,967.9,973.4,978.6,983.5,986.3,287.5,283.7,282.8,284.1,286.7,287.3,285.6,285.4,286.9,291.1,960.5,319.1
16,0,0.5,0.98,1,930.0,936.1,943.2,950.0,956.3,968.5,974.0,979.3,984.2,987.0,287.5,283.8,282.8,284.1,286.8,287.3,285.7,285.5,287.0,291.2,961.1,319.2
17,0,0.533,0.98,1,930.5,936.6,943.7,950.6,956.9,969.1,974.6,979.9,984.8,987.5,287.6,283.7,282.8,284.0,286.6,287.2,285.6,285.4,287.1,291.3,961.7,319.2
18,0,0.567,0.98,1,931.1,937.2,944.4,951.3,957.7,969.9,975.4,980.6,985.5,988.1,287.4,283.6,282.6,283.8,286.5,287.1,285.6,285.4,287.1,291.4,962.3,319.2
19,0,0.6,0.98,1,931.3,937.5,944.7,951.6,958.0,970.3,975.8,981.1,986.0,988.6,287.2,283.4,282.4,283.8,286.5,287.1,285.6,285.4,287.1,291.3,962.6,319.1
20,0,0.633,0.98,1,931.7,937.8,945.1,952.1,958.5,970.6,976.1,981.4,986.3,988.9,287.3,283.4,282.4,283.8,286.6,287.3,285.8,285.6,287.3,291.7,962.9,319.1
21,0,0.667,0.98,1,931.7,938.0,945.2,952.2,958.5,970.7,976.1,981.4,986.3,988.9,287.2,283.4,282.5,283.9,286.8,287.6,286.1,286.0,287.7,292.0,962.8,319.3
22,0,0.7,0.98,1,932.0,938.2,945.4,952.3,958.6,970.8,976.2,981.4,986.3,988.9,287.6,283.8,283.0,284.4,287.2,288.0,286.5,286.4,288.1,292.4,962.8,319.8
23,0,0.733,0.98,1,932.3,938.4,945.5,952.5,958.7,970.8,976.3,981.5,986.4,988.9,287.8,284.1,283.2,284.6,287.5,288.4,287.0,286.9,288.7,293.1,962.8,320.0
24,0,0.767,0.98,1,932.4,938.6,945.6,952.5,958.7,970.9,976.3,981.6,986.4,989.0,288.0,284.3,283.5,284.9,287.7,288.6,287.1,287.0,288.8,293.1,962.9,320.2
25,0,0.8,0.98,1,932.2,938.4,945.5,952.4,958.6,970.9,976.4,981.6,986.5,989.2,288.3,284.6,283.8,285.2,288.1,288.8,287.3,287.2,288.8,293.1,962.9,320.5
26,0,0.833,0.98,1,932.1,938.3,945.4,952.3,958.6,970.8,976.3,981.6,986.6,989.3,288.7,285.0,284.2,285.6,288.4,289.1,287.5,287.3,288.9,293.1,962.9,320.8
27,0,0.867,0.98,1,932.3,938.6,945.7,952.6,958.9,971.1,976.6,981.8,986.7,989.5,289.3,285.7,284.8,286.2,288.9,289.5,287.9,287.7,289.3,293.5,963.4,321.2
28,0,0.9,0.98,1,932.5,938.7,945.8,952.7,959.0,971.2,976.6,981.8,986.7,989.5,289.7,286.1,285.2,286.6,289.4,290.0,288.4,288.2,289.8,294.0,963.4,321.5
29,0,0.933,0.98,1,932.2,938.4,945.6,952.6,959.0,971.2,976.7,982.0,986.9,989.6,290.1,286.4,285.5,286.9,289.7,290.2,288.6,288.4,290.0,294.1,963.6,321.8
30,0,0.967,0.98,1,932.0,938.3,945.5,952.5,958.9,971.2,976.7,981.9,986.9,989.6,290.6,286.9,286.0,287.3,290.1,290.7,289.1,288.9,290.5,294.7,963.6,322.3
31,0,1.0,0.98,1,931.8,938.0,945.3,952.3,958.7,970.9,976.4,981.7,986.6,989.3,290.9,287.1,286.2,287.5,290.3,291.0,289.4,289.2,290.9,295.1,963.4,322.5
32,0,1.033,0.98,1,931.5,937.8,945.1,952.1,958.5,970.5,976.1,981.4,986.4,989.0,291.1,287.3,286.4,287.7,290.5,291.1,289.6,289.4,291.1,295.4,962.9,322.8
33,0,1.067,0.98,1,931.3,937.5,944.8,951.7,958.1,970.2,975.7,981.1,986.1,988.8,291.0,287.3,286.4,287.7,290.5,291.1,289.5,289.3,291.0,295.3,962.5,322.7
34,0,1.1,0.98,1,930.9,937.1,944.3,951.3,957.7,969.9,975.4,980.8,985.8,988.5,291.0,287.2,286.3,287.6,290.3,290.9,289.3,289.1,290.8,295.0,962.3,322.6
35,0,1.133,0.98,1,930.6,936.8,944.0,950.9,957.3,969.7,975.2,980.6,985.6,988.4,291.0,287.2,286.2,287.5,290.2,290.8,289.2,289.0,290.6,294.9,962.1,322.4
36,0,1.167,0.98,1,930.4,936.5,943.7,950.7,957.1,969.3,975.0,980.4,985.5,988.3,291.1,287.2,286.1,287.3,290.0,290.5,288.8,288.6,290.3,294.6,962.0,322.3
37,0,1.2,0.98,1,930.6,936.8,943.9,950.9,957.3,969.6,975.2,980.6,985.7,988.4,291.0,287.1,286.0,287.3,290.0,290.5,288.9,288.8,290.4,294.7,962.1,322.3
38,0,1.233,0.98,1,931.1,937.3,944.4,951.4,957.8,970.1,975.7,981.1,986.1,988.9,291.0,287.2,286.2,287.5,290.2,290.8,289.3,289.1,290.8,295.1,962.4,322.6
39,0,1.267,0.98,1,931.5,937.7,944.9,951.9,958.3,970.4,976.0,981.4,986.3,989.0,291.6,287.8,286.8,288.0,290.8,291.4,289.8,289.8,291.5,295.9,962.8,323.1
40,0,1.3,0.98,1,931.7,938.0,945.2,952.3,958.7,970.8,976.4,981.8,986.8,989.5,291.9,288.2,287.2,288.5,291.3,291.8,290.2,290.1,291.7,296.0,963.2,323.6
41,0,1.333,0.98,1,932.2,938.4,945.7,952.7,959.1,971.1,976.7,982.1,987.1,989.8,292.0,288.2,287.3,288.6,291.4,292.0,290.4,290.2,291.8,296.0,963.6,323.8
42,0,1.367,0.98,1,932.5,938.8,946.0,953.0,959.5,971.5,977.1,982.4,987.4,990.2,292.0,288.3,287.3,288.7,291.5,292.1,290.5,290.2,291.8,296.0,964.0,323.9
43,0,1.4,0.98,1,933.0,939.2,946.4,953.4,959.8,971.9,977.5,982.8,987.8,990.6,291.8,288.1,287.3,288.6,291.4,292.0,290.3,290.1,291.6,295.8,964.3,323.8
44,0,1.433,0.93,1,933.4,939.6,946.7,953.6,960.0,972.3,977.7,983.0,987.9,990.7,292.0,288.3,287.3,288.5,291.2,291.6,290.0,289.9,291.4,295.6,964.8,323.5
45,0,1.467,0.93,1,933.8,940.0,947.0,954.0,960.3,972.7,978.1,983.4,988.3,991.1,291.8,288.0,287.0,288.1,290.8,291.3,289.7,289.6,291.2,295.4,965.1,323.2
46,0,1.5,0.93,1,934.1,940.2,947.3,954.3,960.7,973.0,978.5,983.7,988.7,991.5,291.7,287.9,286.8,288.0,290.6,291.2,289.6,289.5,291.1,295.4,965.6,323.1
