frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,944.8,949.5,955.6,961.6,966.9,978.2,984.1,989.9,995.4,998.9,321.0,317.7,317.3,318.8,321.6,322.3,320.5,320.1,321.5,325.4,970.3,351.9
2,0,0.033,0.98,1,942.0,946.7,952.7,958.6,963.7,975.4,981.4,987.2,992.6,996.1,320.5,317.3,317.0,318.5,321.2,321.9,320.2,319.9,321.3,325.1,967.2,351.7
3,0,0.067,0.98,1,939.1,943.8,949.7,955.6,960.8,972.4,978.4,984.2,989.7,993.2,320.0,316.8,316.4,317.8,320.5,321.2,319.4,319.1,320.6,324.4,964.4,350.9
4,0,0.1,0.98,1,936.1,940.8,946.7,952.5,957.6,969.3,975.2,981.1,986.6,990.2,319.0,315.7,315.3,316.6,319.3,319.9,318.2,317.9,319.3,323.2,961.2,349.9
5,0,0.133,0.98,1,933.4,938.1,943.9,949.7,954.8,966.6,972.5,978.3,983.8,987.4,317.9,314.6,314.1,315.4,318.0,318.5,316.8,316.5,318.0,321.7,958.5,348.8
6,0,0.167,0.98,1,930.6,935.2,941.0,946.6,951.7,963.8,969.7,975.5,980.9,984.5,316.5,313.2,312.6,313.8,316.2,316.8,315.1,314.9,316.4,320.2,955.6,347.1
7,0,0.2,0.98,1,927.5,932.1,938.0,943.8,949.0,960.8,966.7,972.6,978.1,981.9,315.9,312.3,311.6,312.8,315.3,315.8,314.0,313.7,315.1,319.0,953.2,346.1
8,0,0.233,0.98,1,925.0,929.6,935.5,941.2,946.3,958.6,964.5,970.3,975.7,979.4,314.8,311.3,310.6,311.7,314.1,314.6,312.9,312.6,314.1,317.9,950.8,345.0
9,0,0.267,0.98,1,922.8,927.4,933.3,939.1,944.3,956.5,962.4,968.2,973.7,977.4,314.4,310.8,310.0,311.1,313.6,314.1,312.5,312.2,313.7,317.5,948.6,344.5
10,0,0.3,0.98,1,920.7,925.3,931.2,937.0,942.3,954.3,960.2,966.2,971.8,975.5,314.2,310.4,309.6,310.6,313.1,313.7,312.0,311.9,313.4,317.5,946.4,344.1
11,0,0.333,0.98,1,919.2,923.9,929.8,935.7,941.0,953.2,959.2,965.1,970.6,974.3,313.8,310.0,309.1,310.2,312.7,313.3,311.7,311.6,313.2,317.3,945.1,343.7
12,0,0.367,0.98,1,918.0,922.7,928.6,934.6,939.8,952.2,958.2,964.0,969.6,973.2,313.2,309.4,308.4,309.4,311.8,312.4,310.9,310.9,312.6,316.7,944.1,342.8
13,0,0.4,0.98,1,917.5,922.2,928.1,934.1,939.3,951.6,957.5,963.2,968.6,972.3,312.6,308.8,307.7,308.7,311.1,311.7,310.2,310.3,312.1,316.2,943.4,341.9
14,0,0.433,0.98,1,917.3,922.0,927.9,933.7,938.9,951.5,957.3,962.9,968.2,971.8,311.8,307.9,306.8,307.7,310.1,310.7,309.3,309.4,311.2,315.3,943.1,340.8
15,0,0.467,0.98,1,916.7,921.5,927.4,933.3,938.6,951.1,956.9,962.5,967.7,971.3,311.0,307.1,305.9,306.8,309.2,309.9,308.4,308.6,310.4,314.5,942.8,339.8
16,0,0.5,0.98,1,916.1,920.9,927.0,933.1,938.4,950.9,956.7,962.4,967.7,971.2,310.1,306.2,305.1,306.0,308.4,309.1,307.7,307.8,309.8,314.0,942.7,339.1
17,0,0.533,0.98,1,915.7,920.7,926.8,932.9,938.3,950.7,956.5,962.2,967.5,971.0,309.3,305.4,304.5,305.4,307.9,308.7,307.3,307.5,309.4,313.7,942.3,338.9
18,0,0.567,0.98,1,915.5,920.5,926.6,932.7,938.0,950.4,956.3,962.0,967.2,970.7,308.7,305.0,304.1,305.2,307.7,308.6,307.2,307.4,309.4,313.7,941.9,338.9
19,0,0.6,0.98,1,915.4,920.5,926.6,932.7,938.0,950.5,956.3,962.0,967.2,970.6,308.7,304.9,304.1,305.2,307.8,308.8,307.5,307.7,309.7,314.0,941.8,339.0
20,0,0.633,0.98,1,915.3,920.4,926.5,932.6,937.9,950.3,956.2,961.9,967.2,970.5,308.8,305.1,304.3,305.5,308.0,309.2,307.9,308.1,310.2,314.6,941.4,339.5
21,0,0.667,0.98,1,915.2,920.3,926.5,932.5,937.8,950.4,956.3,962.0,967.3,970.5,308.8,305.1,304.4,305.5,308.1,309.3,308.0,308.2,310.3,314.7,941.4,339.6
22,0,0.7,0.98,1,915.2,920.2,926.4,932.5,937.8,950.3,956.2,961.9,967.2,970.5,308.8,305.2,304.4,305.6,308.2,309.3,308.0,308.3,310.3,314.6,941.3,339.6
23,0,0.733,0.98,1,915.2,920.3,926.5,932.7,938.0,950.6,956.5,962.2,967.5,970.8,308.5,304.8,304.0,305.2,307.7,308.9,307.6,307.8,309.8,314.2,941.7,339.3
24,0,0.767,0.98,1,915.8,921.0,927.2,933.2,938.5,951.1,957.0,962.6,967.9,971.2,307.8,304.1,303.4,304.5,307.0,308.1,306.8,307.0,309.1,313.4,942.2,338.4
25,0,0.8,0.98,1,916.9,922.1,928.3,934.4,939.6,952.2,958.1,963.7,968.9,972.2,306.7,303.2,302.4,303.5,306.0,307.1,305.8,306.1,308.1,312.3,943.5,337.3
26,0,0.833,0.98,1,918.1,923.4,929.6,935.8,941.1,953.6,959.4,965.1,970.2,973.5,305.7,302.1,301.3,302.5,305.0,306.2,305.0,305.3,307.4,311.7,944.7,336.3
27,0,0.867,0.98,1,919.9,925.1,931.5,937.7,943.1,955.6,961.4,967.0,972.1,975.3,304.8,301.1,300.4,301.5,304.1,305.4,304.2,304.7,306.8,311.3,946.6,335.2
28,0,0.9,0.98,1,922.6,927.9,934.3,940.5,945.9,958.2,964.0,969.4,974.4,977.6,303.7,300.0,299.3,300.5,303.1,304.6,303.6,304.1,306.5,311.1,948.8,334.1
29,0,0.933,0.98,1,925.7,931.1,937.5,943.7,948.9,961.4,967.1,972.4,977.2,980.2,302.4,298.9,298.3,299.6,302.3,304.1,303.2,303.9,306.3,310.9,951.4,333.2
30,0,0.967,0.98,1,928.7,934.1,940.6,946.9,952.3,964.5,970.1,975.3,980.0,982.9,301.8,298.3,297.8,299.2,302.0,304.0,303.2,304.0,306.6,311.3,954.2,332.9
31,0,1.0,0.98,1,931.7,937.4,944.1,950.5,955.9,967.3,972.8,977.9,982.4,985.0,301.5,298.0,297.5,299.1,302.2,304.3,303.6,304.5,307.1,311.9,957.5,333.0
32,0,1.033,0.98,1,934.4,940.1,946.8,953.2,958.6,970.1,975.4,980.3,984.8,987.3,301.2,297.7,297.3,299.0,302.2,304.4,303.6,304.5,306.9,311.5,960.4,333.0
33,0,1.067,0.98,1,936.8,942.6,949.4,955.8,961.2,972.6,977.9,982.9,987.4,989.8,300.9,297.5,297.0,298.8,302.1,304.4,303.7,304.5,306.9,311.6,963.0,332.9
34,0,1.1,0.98,1,939.4,945.3,952.2,958.7,964.1,975.1,980.4,985.4,989.9,992.0,300.7,297.2,296.8,298.7,302.2,304.5,303.9,304.8,307.2,311.9,965.6,332.9
35,0,1.133,0.98,1,941.8,947.8,954.7,961.1,966.5,977.7,982.9,987.9,992.2,994.3,300.4,297.1,296.8,298.7,302.2,304.7,304.1,304.9,307.4,312.0,968.0,333.1
36,0,1.167,0.98,1,944.1,950.1,957.0,963.5,968.9,979.7,984.8,989.7,994.0,996.0,300.4,297.1,296.8,298.8,302.3,304.8,304.2,305.0,307.4,312.0,970.2,333.2
37,0,1.2,0.98,1,946.1,952.2,959.2,965.6,971.0,981.8,987.0,991.9,996.2,998.2,299.8,296.6,296.4,298.5,302.1,304.6,303.9,304.7,307.0,311.6,972.2,333.2
