frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.93,1,910.8,915.4,921.7,928.0,933.7,946.2,952.0,957.7,963.3,967.1,357.9,354.4,353.7,354.8,357.3,357.0,354.5,353.5,354.3,357.6,940.5,387.9
2,0,0.033,0.98,1,910.5,915.0,921.2,927.4,933.1,946.2,952.0,957.8,963.2,966.9,357.5,354.2,353.5,354.7,357.2,357.1,354.6,353.5,354.4,357.6,940.3,388.2
3,0,0.067,0.98,1,910.3,914.8,921.0,927.2,932.9,946.0,951.8,957.6,963.0,966.7,357.6,354.3,353.5,354.8,357.3,357.1,354.6,353.5,354.3,357.6,940.2,388.2
4,0,0.1,0.98,1,910.2,914.6,920.8,927.1,932.7,945.8,951.6,957.4,962.9,966.6,357.8,354.4,353.6,354.8,357.4,357.1,354.6,353.5,354.3,357.6,940.1,388.2
5,0,0.133,0.98,1,910.2,914.7,920.8,927.0,932.7,945.8,951.6,957.3,962.8,966.5,357.9,354.5,353.7,354.9,357.4,357.1,354.6,353.4,354.3,357.6,940.1,388.2
6,0,0.167,0.98,1,910.1,914.6,920.7,927.0,932.7,945.6,951.3,957.1,962.5,966.2,357.9,354.5,353.7,354.9,357.3,357.0,354.4,353.2,354.0,357.2,940.2,388.1
7,0,0.2,0.98,1,910.2,914.7,920.8,927.0,932.6,945.5,951.2,956.9,962.3,966.1,357.9,354.5,353.8,354.9,357.3,356.9,354.3,353.1,353.8,356.9,940.2,388.1
8,0,0.233,0.98,1,910.3,914.8,920.8,927.0,932.6,945.7,951.4,957.0,962.4,966.1,357.8,354.5,353.7,354.8,357.1,356.7,354.1,352.9,353.5,356.7,940.5,387.9
9,0,0.267,0.98,1,910.4,914.8,920.9,927.1,932.7,945.7,951.3,957.0,962.3,966.1,357.7,354.4,353.6,354.7,357.1,356.6,354.0,352.7,353.4,356.5,940.5,387.9
10,0,0.3,0.98,1,910.5,914.9,921.0,927.2,932.8,945.6,951.3,956.9,962.4,966.1,357.8,354.3,353.5,354.6,357.0,356.5,353.8,352.6,353.2,356.4,940.6,387.6
11,0,0.333,0.98,1,910.5,914.9,921.0,927.2,932.9,945.9,951.6,957.3,962.8,966.6,357.7,354.3,353.5,354.6,357.0,356.5,353.8,352.6,353.2,356.3,940.8,387.7
12,0,0.367,0.98,1,910.9,915.4,921.5,927.7,933.4,946.1,951.7,957.5,962.9,966.7,357.8,354.4,353.5,354.6,357.0,356.5,353.8,352.6,353.2,356.4,941.2,387.5
