frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1028.6,1032.7,1038.9,1045.4,1051.4,1064.0,1070.5,1077.1,1083.6,1088.1,260.0,255.7,254.3,255.1,257.4,256.8,254.1,253.0,254.2,258.2,1058.8,291.0
2,0,0.033,0.98,1,1028.3,1032.3,1038.5,1045.0,1051.0,1064.3,1070.8,1077.5,1083.9,1088.3,259.7,255.2,253.9,254.8,257.3,256.8,253.9,252.8,254.0,258.2,1058.7,291.2
3,0,0.067,0.98,1,1028.1,1032.2,1038.4,1044.9,1050.9,1064.3,1070.8,1077.5,1083.9,1088.3,259.3,255.0,253.7,254.7,257.3,256.8,254.0,252.9,254.1,258.1,1058.7,291.3
4,0,0.1,0.98,1,1027.9,1032.0,1038.3,1044.8,1050.9,1064.1,1070.7,1077.4,1083.8,1088.3,259.2,254.8,253.6,254.6,257.2,256.8,254.0,252.9,254.0,258.1,1058.5,291.4
5,0,0.133,0.98,1,1027.6,1031.6,1037.9,1044.5,1050.5,1063.9,1070.4,1077.2,1083.6,1088.0,259.1,254.8,253.5,254.6,257.2,256.9,254.0,252.9,254.1,258.2,1058.2,291.3
6,0,0.167,0.98,1,1027.2,1031.3,1037.6,1044.2,1050.2,1063.7,1070.2,1076.9,1083.3,1087.7,259.1,254.8,253.5,254.5,257.2,256.9,254.1,253.0,254.1,258.2,1057.9,291.4
7,0,0.2,0.98,1,1026.7,1030.7,1037.0,1043.5,1049.5,1063.3,1069.8,1076.5,1082.9,1087.2,258.8,254.5,253.3,254.4,257.1,256.8,254.0,252.9,254.1,258.1,1057.2,291.4
8,0,0.233,0.98,1,1026.2,1030.3,1036.6,1043.1,1049.0,1062.6,1069.2,1075.9,1082.3,1086.6,258.7,254.5,253.4,254.5,257.2,256.9,254.0,252.9,254.0,258.1,1056.8,291.5
9,0,0.267,0.98,1,1025.9,1030.0,1036.3,1042.7,1048.6,1062.0,1068.5,1075.2,1081.6,1085.9,258.6,254.5,253.4,254.6,257.3,256.9,254.1,253.0,254.1,258.1,1056.0,291.5
10,0,0.3,0.98,1,1025.0,1029.1,1035.3,1041.8,1047.7,1061.3,1067.8,1074.5,1080.9,1085.2,258.7,254.6,253.4,254.6,257.3,256.9,254.1,253.0,254.1,258.0,1055.5,291.6
11,0,0.333,0.98,1,1024.4,1028.5,1034.7,1041.1,1047.0,1060.4,1066.9,1073.7,1080.2,1084.6,258.8,254.5,253.4,254.5,257.2,256.9,254.1,253.0,254.1,258.1,1054.5,291.6
12,0,0.367,0.98,1,1023.7,1027.7,1033.9,1040.3,1046.2,1059.8,1066.3,1073.0,1079.5,1083.8,258.8,254.6,253.4,254.5,257.2,256.9,254.1,252.9,254.0,258.0,1054.0,291.7
13,0,0.4,0.98,1,1022.6,1026.4,1032.6,1039.0,1045.0,1058.8,1065.3,1072.1,1078.6,1083.1,259.2,254.8,253.5,254.6,257.2,256.8,253.9,252.7,253.7,257.7,1053.3,291.9
14,0,0.433,0.98,1,1022.2,1026.1,1032.2,1038.6,1044.5,1058.4,1064.9,1071.6,1078.1,1082.6,259.3,255.0,253.8,254.9,257.6,257.2,254.2,253.0,253.9,257.9,1052.8,292.2
15,0,0.467,0.98,1,1021.7,1025.5,1031.6,1037.9,1043.8,1057.9,1064.4,1071.1,1077.5,1081.9,259.4,255.2,254.0,255.0,257.6,257.1,254.1,252.9,253.9,257.7,1052.4,292.3
16,0,0.5,0.98,1,1021.3,1025.0,1031.1,1037.5,1043.3,1057.0,1063.5,1070.2,1076.7,1081.2,259.9,255.5,254.3,255.3,257.9,257.3,254.3,253.0,254.0,257.9,1051.9,292.4
17,0,0.533,0.98,1,1021.1,1024.8,1030.8,1037.2,1043.1,1056.8,1063.3,1070.0,1076.5,1080.9,260.1,255.7,254.4,255.3,257.9,257.3,254.3,253.0,254.1,258.0,1051.7,292.4
18,0,0.567,0.98,1,1020.8,1024.5,1030.5,1036.9,1042.8,1056.6,1063.1,1069.8,1076.3,1080.6,260.1,255.7,254.4,255.3,257.9,257.3,254.3,253.0,254.1,258.0,1051.4,292.3
19,0,0.6,0.98,1,1020.6,1024.3,1030.3,1036.7,1042.6,1056.4,1062.9,1069.6,1076.1,1080.5,260.0,255.5,254.3,255.2,257.8,257.2,254.2,252.9,253.9,257.9,1051.2,292.3
20,0,0.633,0.98,1,1020.4,1024.1,1030.1,1036.5,1042.4,1056.3,1062.8,1069.5,1076.0,1080.4,259.8,255.4,254.1,255.1,257.7,257.2,254.2,253.0,254.0,258.0,1051.0,292.3
