frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.93,1,1014.0,1018.3,1024.6,1031.3,1037.4,1050.8,1057.0,1063.4,1069.5,1073.8,262.6,258.6,257.4,258.3,260.6,259.7,256.7,255.3,256.0,259.5,1046.2,294.0
2,0,0.033,0.98,1,1014.1,1018.4,1024.8,1031.6,1037.7,1051.4,1057.6,1063.9,1070.0,1074.3,262.5,258.5,257.4,258.4,260.9,260.0,256.8,255.3,255.9,259.4,1046.7,294.4
3,0,0.067,0.93,1,1014.2,1018.7,1025.2,1031.9,1038.0,1051.9,1058.1,1064.5,1070.7,1074.9,262.1,258.2,257.2,258.3,260.8,259.9,256.8,255.3,255.8,259.2,1047.0,294.3
4,0,0.1,0.98,1,1014.8,1019.2,1025.7,1032.4,1038.5,1052.5,1058.7,1065.1,1071.2,1075.4,262.1,258.2,257.1,258.2,260.7,259.9,256.8,255.3,255.9,259.3,1047.5,294.3
5,0,0.133,0.93,1,1014.9,1019.4,1025.9,1032.6,1038.9,1052.9,1059.2,1065.6,1071.8,1076.1,261.9,258.0,256.9,258.0,260.6,259.8,256.7,255.2,255.8,259.3,1047.7,294.3
6,0,0.167,0.93,1,1015.4,1019.8,1026.3,1033.1,1039.3,1053.1,1059.5,1065.9,1072.2,1076.4,262.0,258.0,256.9,258.0,260.7,259.9,256.8,255.3,256.0,259.6,1047.9,294.3
7,0,0.2,0.93,1,1015.4,1019.8,1026.3,1033.1,1039.3,1053.3,1059.6,1066.1,1072.3,1076.5,261.9,257.9,256.8,257.9,260.5,259.8,256.7,255.2,255.9,259.5,1048.1,294.4
8,0,0.233,0.93,1,1015.7,1020.1,1026.6,1033.3,1039.5,1053.6,1059.9,1066.4,1072.6,1076.7,261.8,257.9,256.8,258.0,260.6,259.9,256.9,255.4,256.1,259.6,1048.2,294.5
9,0,0.267,0.93,1,1016.0,1020.4,1026.8,1033.5,1039.6,1053.7,1060.0,1066.5,1072.6,1076.8,261.9,257.9,256.9,258.0,260.6,260.0,256.9,255.5,256.2,259.8,1048.3,294.4
10,0,0.3,0.93,1,1016.3,1020.6,1027.0,1033.7,1039.8,1053.9,1060.2,1066.6,1072.8,1076.9,262.0,258.0,257.0,258.1,260.8,260.1,257.0,255.5,256.2,259.7,1048.5,294.6
