frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,953.7,958.3,964.8,971.6,977.9,988.7,993.6,998.6,1003.9,1007.9,358.3,353.9,351.9,351.6,352.7,350.2,346.9,344.9,344.7,347.4,989.5,380.2
2,0,0.033,0.98,1,952.5,957.2,963.6,970.2,976.6,987.8,992.7,997.7,1002.8,1006.8,358.8,354.4,352.2,351.9,352.8,350.2,346.9,345.0,344.6,347.1,988.7,379.9
3,0,0.067,0.98,1,951.5,956.2,962.6,969.2,975.6,986.9,991.8,996.8,1001.9,1005.8,358.5,354.2,352.0,351.7,352.6,350.0,346.8,344.9,344.6,347.0,987.6,379.9
4,0,0.1,0.98,1,950.5,955.3,961.6,968.3,974.6,985.9,990.9,995.9,1001.1,1005.0,358.3,354.0,351.8,351.5,352.4,349.8,346.6,344.6,344.3,346.8,986.6,379.8
5,0,0.133,0.98,1,949.3,954.0,960.4,967.0,973.4,984.8,989.8,994.8,1000.0,1003.9,358.3,353.9,351.7,351.4,352.3,349.7,346.5,344.6,344.3,346.7,985.4,379.6
6,0,0.167,0.98,1,948.2,952.9,959.2,966.0,972.5,983.8,988.7,993.8,999.1,1003.0,358.0,353.5,351.3,351.0,351.9,349.4,346.3,344.3,344.1,346.7,984.4,379.4
7,0,0.2,0.98,1,947.0,951.7,958.1,964.8,971.3,982.6,987.6,992.7,997.9,1001.8,357.8,353.4,351.2,350.9,351.8,349.3,346.2,344.3,344.0,346.6,983.2,379.2
8,0,0.233,0.98,1,945.7,950.5,956.9,963.6,970.1,981.5,986.4,991.4,996.6,1000.5,357.5,353.0,350.8,350.5,351.5,348.9,345.8,343.8,343.6,346.1,982.1,378.8
9,0,0.267,0.98,1,944.4,949.1,955.6,962.3,968.8,980.2,985.1,990.1,995.3,999.2,357.4,352.9,350.7,350.4,351.3,348.8,345.6,343.7,343.5,346.1,980.8,378.7
10,0,0.3,0.98,1,943.1,947.9,954.3,961.0,967.5,978.8,983.7,988.7,993.8,997.7,357.0,352.5,350.3,350.0,350.9,348.4,345.3,343.4,343.1,345.7,979.5,378.3
11,0,0.333,0.93,1,941.8,946.6,952.9,959.6,966.0,977.4,982.2,987.2,992.3,996.2,356.9,352.4,350.2,349.9,350.8,348.3,345.2,343.3,343.1,345.6,978.0,378.2
12,0,0.367,0.98,1,940.1,944.8,951.2,957.9,964.3,975.7,980.6,985.5,990.7,994.6,357.0,352.5,350.3,349.9,350.8,348.2,345.1,343.2,343.0,345.5,976.5,378.0
13,0,0.4,0.98,1,938.4,943.2,949.6,956.3,962.8,974.2,979.1,984.0,989.2,993.1,356.9,352.4,350.2,349.8,350.7,348.1,345.0,343.1,342.8,345.4,975.1,378.0
14,0,0.433,0.98,1,937.0,941.7,948.1,954.8,961.3,972.7,977.6,982.6,987.7,991.7,356.9,352.4,350.1,349.8,350.7,348.1,345.0,343.0,342.8,345.4,973.6,377.9
15,0,0.467,0.98,1,935.5,940.3,946.6,953.3,959.7,971.2,976.1,981.1,986.2,990.1,356.8,352.4,350.2,349.8,350.7,348.1,345.0,343.1,342.9,345.4,972.0,378.0
16,0,0.5,0.98,1,934.1,938.9,945.2,951.9,958.3,969.6,974.6,979.5,984.7,988.6,356.8,352.4,350.1,349.8,350.7,348.1,345.0,343.1,342.8,345.3,970.5,378.0
17,0,0.533,0.98,1,932.8,937.6,943.9,950.6,957.0,968.3,973.2,978.2,983.4,987.3,357.0,352.6,350.3,350.0,350.9,348.3,345.1,343.2,343.0,345.6,969.2,378.2
18,0,0.567,0.98,1,931.2,936.0,942.4,949.1,955.6,966.9,971.9,976.9,982.1,985.9,357.4,353.0,350.7,350.3,351.3,348.7,345.6,343.6,343.4,346.0,967.7,378.7
19,0,0.6,0.98,1,929.9,934.7,941.0,947.8,954.2,965.5,970.4,975.5,980.6,984.5,357.4,352.9,350.7,350.4,351.4,348.9,345.7,343.8,343.6,346.2,966.2,378.9
20,0,0.633,0.98,1,928.5,933.2,939.5,946.2,952.7,964.1,969.0,973.9,979.1,982.8,357.6,353.1,350.9,350.7,351.8,349.4,346.2,344.3,344.0,346.6,964.6,379.3
21,0,0.667,0.93,1,926.7,931.5,937.9,944.6,951.1,962.5,967.4,972.4,977.6,981.4,357.9,353.5,351.3,351.1,352.1,349.6,346.4,344.5,344.2,346.8,963.2,379.4
22,0,0.7,0.98,1,925.0,929.8,936.2,943.0,949.4,960.9,965.8,970.9,976.1,979.9,357.9,353.5,351.3,351.1,352.2,349.8,346.7,344.8,344.6,347.2,961.1,379.8
23,0,0.733,0.98,1,922.9,927.7,934.1,940.9,947.4,958.8,963.8,968.9,974.2,978.0,358.1,353.7,351.6,351.4,352.5,350.1,347.0,345.1,344.8,347.4,959.1,380.1
24,0,0.767,0.93,1,920.9,925.7,932.2,938.9,945.4,956.9,961.9,967.1,972.4,976.3,358.2,353.8,351.7,351.5,352.7,350.3,347.2,345.3,345.1,347.7,957.1,380.3
25,0,0.8,0.98,1,918.9,923.5,929.8,936.4,942.7,954.4,959.5,964.7,970.1,974.2,358.3,353.9,351.8,351.6,352.6,350.2,347.1,345.3,345.1,347.7,954.4,380.4
26,0,0.833,0.98,1,917.1,921.6,927.9,934.5,940.7,952.2,957.4,962.7,968.2,972.5,358.3,353.9,352.0,351.8,352.9,350.7,347.5,345.8,345.7,348.4,951.8,380.6
27,0,0.867,0.93,1,915.4,919.9,926.0,932.4,938.6,950.2,955.4,960.7,966.1,970.4,358.5,354.2,352.3,352.2,353.3,351.0,348.0,346.3,346.2,348.8,949.5,380.8
28,0,0.9,0.93,1,913.6,917.9,924.0,930.4,936.5,948.2,953.5,958.8,964.2,968.6,358.5,354.2,352.3,352.2,353.2,350.9,348.0,346.3,346.3,349.0,947.3,380.8
29,0,0.933,0.93,1,911.5,915.9,922.0,928.5,934.5,946.4,951.7,957.0,962.5,967.0,358.3,354.1,352.2,352.1,353.1,350.9,347.9,346.2,346.2,348.8,945.4,380.8
30,0,0.967,0.93,1,909.7,914.1,920.3,926.8,933.0,944.8,950.1,955.5,961.1,965.6,358.0,353.7,351.8,351.7,352.8,350.6,347.6,346.0,346.0,348.6,943.8,380.6
31,0,1.0,0.93,1,908.5,912.8,919.0,925.4,931.5,943.4,948.8,954.2,959.8,964.3,357.6,353.3,351.4,351.4,352.5,350.5,347.5,345.9,346.0,348.7,942.1,380.6
32,0,1.033,0.93,1,907.4,911.8,917.9,924.3,930.4,942.3,947.7,953.2,958.8,963.2,357.2,352.9,351.1,351.1,352.3,350.3,347.5,345.9,346.0,348.8,940.7,380.5
33,0,1.067,0.93,1,906.0,910.5,916.7,923.1,929.2,941.1,946.5,952.0,957.7,962.1,357.0,352.7,351.0,351.0,352.2,350.2,347.3,345.8,345.9,348.7,939.4,380.5
34,0,1.1,0.98,1,904.9,909.6,915.8,922.2,928.2,940.2,945.7,951.2,956.8,961.2,356.4,352.3,350.7,350.8,352.0,350.1,347.3,345.8,345.9,348.7,938.2,380.4
35,0,1.133,0.98,1,904.1,908.7,914.9,921.3,927.4,939.4,944.9,950.3,955.9,960.3,356.2,352.1,350.5,350.6,351.8,350.0,347.3,345.8,346.0,348.9,937.2,380.4
36,0,1.167,0.98,1,903.3,908.0,914.2,920.6,926.6,938.8,944.3,949.7,955.3,959.7,355.5,351.5,350.0,350.2,351.6,350.0,347.3,345.9,346.1,349.0,936.2,380.2
37,0,1.2,0.98,1,902.7,907.4,913.7,920.1,926.0,938.1,943.6,949.0,954.5,958.8,355.2,351.2,349.8,350.1,351.4,350.0,347.3,346.0,346.3,349.2,935.4,380.0
38,0,1.233,0.98,1,902.0,906.9,913.2,919.6,925.6,937.7,943.2,948.6,954.1,958.4,354.6,350.6,349.3,349.7,351.2,349.9,347.3,346.1,346.4,349.4,934.5,380.0
39,0,1.267,0.98,1,901.5,906.4,912.8,919.3,925.3,937.3,942.9,948.4,953.9,958.1,353.9,350.0,348.7,349.2,350.8,349.8,347.4,346.2,346.7,349.8,933.7,379.7
40,0,1.3,0.98,1,901.1,906.2,912.6,919.1,925.1,937.2,942.8,948.3,953.8,957.9,353.2,349.4,348.2,348.8,350.6,349.7,347.3,346.2,346.8,350.0,933.0,379.6
41,0,1.333,0.98,1,900.9,906.1,912.5,919.0,925.0,937.1,942.8,948.2,953.7,957.8,352.6,348.8,347.7,348.3,350.1,349.4,347.1,346.2,346.9,350.2,932.7,379.2
42,0,1.367,0.98,1,901.1,906.3,912.8,919.3,925.2,937.3,942.9,948.4,953.8,957.7,351.4,347.7,346.7,347.4,349.3,348.9,346.8,346.1,347.0,350.3,932.3,378.6
43,0,1.4,0.98,1,901.4,906.7,913.1,919.5,925.4,937.7,943.3,948.8,954.1,958.0,350.5,346.9,346.0,346.8,348.7,348.4,346.4,345.8,346.7,350.2,932.2,378.1
44,0,1.433,0.98,1,901.9,907.1,913.6,920.0,925.9,938.2,943.8,949.1,954.4,958.2,349.8,346.2,345.3,346.2,348.1,348.0,346.2,345.6,346.7,350.2,932.4,377.7
45,0,1.467,0.98,1,902.5,907.8,914.3,920.7,926.5,938.8,944.4,949.7,954.9,958.6,349.1,345.6,344.8,345.7,347.7,347.8,346.0,345.6,346.8,350.3,932.6,377.4
46,0,1.5,0.98,1,902.9,908.3,914.8,921.2,927.1,939.3,944.9,950.3,955.4,959.0,348.8,345.2,344.4,345.4,347.4,347.6,345.9,345.5,346.8,350.5,932.9,377.2
47,0,1.533,0.98,1,903.4,908.9,915.5,921.9,927.8,940.0,945.5,950.8,956.0,959.5,348.3,344.8,344.1,345.1,347.3,347.6,345.9,345.6,346.8,350.5,933.3,377.1
48,0,1.567,0.98,1,904.0,909.6,916.2,922.7,928.6,940.7,946.3,951.5,956.7,960.1,347.9,344.5,343.8,344.9,347.0,347.5,345.9,345.7,347.0,350.8,933.7,376.8
49,0,1.6,0.98,1,904.7,910.4,917.1,923.6,929.6,941.5,947.0,952.2,957.3,960.5,347.8,344.4,343.7,344.9,347.2,347.8,346.2,345.9,347.1,350.8,934.9,376.9
50,0,1.633,0.98,1,905.2,911.0,917.8,924.4,930.5,942.4,947.8,953.0,958.0,961.2,347.7,344.4,343.7,344.9,347.3,347.8,346.3,345.9,347.2,350.8,935.7,376.9
51,0,1.667,0.98,1,906.2,912.1,918.9,925.5,931.6,943.4,948.8,954.0,959.0,962.1,347.6,344.2,343.5,344.8,347.3,347.9,346.5,346.2,347.5,351.2,936.5,376.9
52,0,1.7,0.98,1,907.1,913.2,920.0,926.7,932.7,944.3,949.8,955.0,960.0,963.0,347.3,344.0,343.4,344.8,347.3,348.1,346.6,346.4,347.7,351.5,937.3,377.1
53,0,1.733,0.98,1,908.4,914.4,921.3,927.9,933.9,945.6,950.9,956.1,960.9,963.9,347.1,343.9,343.4,344.7,347.3,348.1,346.7,346.5,347.9,351.7,938.4,377.1
54,0,1.767,0.98,1,909.7,915.8,922.6,929.3,935.2,946.8,952.1,957.1,961.9,964.7,346.9,343.8,343.3,344.8,347.4,348.4,347.1,346.9,348.3,352.1,939.5,377.1
55,0,1.8,0.98,1,911.0,917.1,924.0,930.6,936.5,947.9,953.1,958.2,962.9,965.6,346.8,343.7,343.2,344.7,347.4,348.5,347.1,347.0,348.4,352.3,940.5,377.1
56,0,1.833,0.98,1,912.2,918.3,925.2,931.8,937.8,949.1,954.3,959.2,963.8,966.4,346.6,343.5,343.1,344.6,347.4,348.5,347.3,347.2,348.7,352.5,941.7,377.1
57,0,1.867,0.98,1,913.5,919.7,926.6,933.2,939.1,950.4,955.6,960.5,965.1,967.6,346.3,343.3,342.9,344.5,347.3,348.6,347.4,347.4,348.9,352.8,942.9,377.1
58,0,1.9,0.98,1,914.8,921.0,927.9,934.5,940.4,951.7,956.8,961.6,966.2,968.6,346.1,343.1,342.8,344.5,347.3,348.7,347.5,347.5,349.1,352.9,944.0,377.1
59,0,1.933,0.98,1,916.3,922.5,929.5,936.0,941.9,953.1,958.2,963.0,967.5,969.9,346.0,343.0,342.7,344.4,347.3,348.7,347.6,347.6,349.2,353.2,945.4,377.1
60,0,1.967,0.98,1,917.8,924.1,931.0,937.6,943.5,954.7,959.7,964.5,968.9,971.1,345.9,342.9,342.6,344.4,347.3,348.8,347.7,347.7,349.4,353.3,946.8,377.1
61,0,2.0,0.98,1,919.3,925.6,932.5,939.1,945.0,956.1,961.1,965.9,970.3,972.5,345.7,342.7,342.5,344.3,347.2,348.8,347.8,347.9,349.6,353.6,948.2,377.0
62,0,2.033,0.98,1,920.8,927.1,934.1,940.7,946.6,957.6,962.6,967.3,971.7,973.9,345.6,342.7,342.5,344.3,347.3,348.9,347.8,348.0,349.7,353.7,949.7,377.0
63,0,2.067,0.98,1,922.3,928.7,935.7,942.3,948.1,959.0,964.0,968.7,973.1,975.2,345.4,342.5,342.4,344.2,347.3,349.0,348.0,348.1,349.8,353.8,951.0,377.0
64,0,2.1,0.98,1,924.0,930.4,937.3,943.9,949.7,960.6,965.5,970.2,974.5,976.6,345.3,342.5,342.4,344.3,347.4,349.1,348.2,348.3,350.0,354.0,952.4,376.9
65,0,2.133,0.98,1,925.4,931.7,938.6,945.2,951.0,961.9,966.8,971.5,975.8,977.9,345.0,342.2,342.1,344.0,347.1,348.9,347.9,348.1,349.9,353.9,953.7,376.7
66,0,2.167,0.98,1,926.7,933.0,940.0,946.6,952.4,963.3,968.2,972.9,977.1,979.3,345.0,342.2,342.1,344.0,347.1,348.9,347.9,348.1,349.9,353.9,955.1,376.6
67,0,2.2,0.98,1,928.0,934.4,941.3,947.9,953.7,964.6,969.5,974.2,978.4,980.5,344.9,342.1,342.0,343.9,347.0,348.9,347.9,348.1,349.8,353.8,956.6,376.6
68,0,2.233,0.98,1,929.5,935.8,942.8,949.4,955.2,966.1,971.0,975.6,979.9,981.9,345.0,342.1,342.0,343.9,347.0,348.8,347.9,348.1,349.8,353.8,958.1,376.5
69,0,2.267,0.98,1,930.9,937.3,944.2,950.8,956.7,967.6,972.5,977.1,981.3,983.4,345.0,342.1,342.0,343.9,347.0,348.8,347.8,348.0,349.8,353.8,959.6,376.5
70,0,2.3,0.98,1,932.4,938.7,945.6,952.1,957.9,968.9,973.8,978.4,982.6,984.6,345.2,342.3,342.2,344.0,347.1,348.9,347.9,348.0,349.8,353.7,961.0,376.7
71,0,2.333,0.98,1,933.7,939.9,946.9,953.4,959.2,970.2,975.1,979.7,983.8,985.9,345.5,342.7,342.5,344.3,347.4,349.1,348.1,348.3,350.1,354.1,962.2,376.9
72,0,2.367,0.98,1,934.8,941.1,948.1,954.6,960.5,971.5,976.4,981.0,985.2,987.3,345.6,342.7,342.5,344.3,347.3,349.1,348.0,348.2,349.9,353.8,963.6,376.9
73,0,2.4,0.98,1,936.4,942.7,949.6,956.2,962.0,973.0,977.8,982.3,986.4,988.5,345.6,342.8,342.6,344.5,347.5,349.3,348.2,348.3,350.0,353.8,965.1,377.1
74,0,2.433,0.98,1,937.7,944.0,950.9,957.5,963.3,974.2,979.0,983.6,987.8,989.8,345.9,343.1,342.9,344.8,347.8,349.5,348.4,348.5,350.1,354.0,966.3,377.3
75,0,2.467,0.98,1,939.3,945.4,952.3,958.8,964.6,975.5,980.2,984.7,988.8,991.0,346.5,343.6,343.3,345.1,348.1,349.7,348.7,348.9,350.5,354.3,967.6,377.4
76,0,2.5,0.98,1,941.5,947.5,954.2,960.6,966.3,977.2,981.8,986.1,990.0,992.1,346.8,343.9,343.6,345.3,348.2,349.9,349.0,349.2,350.8,354.6,969.1,377.5
