frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0,0.98,1,1027.6,1031.7,1037.9,1044.4,1050.4,1063.6,1069.9,1076.6,1083.1,1087.6,258.5,254.3,253.1,253.9,256.4,255.7,252.7,251.4,252.2,255.9,1058.8,290
2,0,0.033,0.98,1,1027.3,1031.2,1037.3,1043.8,1049.8,1063.4,1069.9,1076.5,1083,1087.6,258.7,254.5,253.2,254.1,256.6,255.8,252.6,251.3,252.1,255.9,1058.7,290
3,0,0.067,0.98,1,1027.2,1031.1,1037.3,1043.7,1049.7,1063.5,1069.9,1076.6,1083,1087.5,258.7,254.5,253.2,254.1,256.6,255.8,252.6,251.3,252.2,255.9,1058.6,290
4,0,0.1,0.98,1,1027.1,1030.9,1037,1043.5,1049.5,1063.4,1069.8,1076.5,1082.9,1087.4,258.8,254.5,253.2,254,256.5,255.7,252.6,251.3,252.2,255.9,1058.5,290
5,0,0.133,0.98,1,1027,1030.8,1037,1043.5,1049.5,1063.3,1069.7,1076.3,1082.8,1087.3,258.8,254.5,253.2,254.1,256.6,255.9,252.7,251.4,252.2,256,1058.5,290
6,0,0.167,0.98,1,1027,1030.9,1037,1043.5,1049.6,1063.2,1069.6,1076.3,1082.7,1087.2,258.9,254.6,253.2,254.1,256.7,255.9,252.7,251.4,252.3,256.1,1058.4,289.9
7,0,0.2,0.98,1,1026.8,1030.8,1036.9,1043.5,1049.5,1063.2,1069.6,1076.3,1082.7,1087.3,258.8,254.6,253.4,254.3,256.8,256,252.9,251.5,252.4,256.1,1058.4,290
8,0,0.233,0.98,1,1026.2,1030.1,1036.3,1042.7,1048.7,1062.9,1069.3,1075.9,1082.3,1086.9,259,254.8,253.5,254.4,256.9,256.1,253,251.6,252.4,256,1058,290.2
9,0,0.267,0.98,1,1026,1030,1036.1,1042.5,1048.5,1062.6,1069,1075.6,1082,1086.6,259,254.8,253.6,254.5,257,256.2,253,251.7,252.4,256,1057.7,290.4
10,0,0.3,0.98,1,1025.7,1029.6,1035.7,1042.1,1048.2,1062.3,1068.7,1075.4,1081.8,1086.4,259.3,255.1,253.8,254.7,257.2,256.3,253.1,251.7,252.5,256.1,1057.5,290.6
11,0,0.333,0.98,1,1025.8,1029.7,1035.8,1042.2,1048.2,1062.2,1068.6,1075.2,1081.6,1086.2,259.3,255.2,253.9,254.8,257.3,256.4,253.3,251.9,252.6,256.1,1057.5,290.7
12,0,0.367,0.98,1,1025.9,1029.9,1035.9,1042.3,1048.2,1062.2,1068.6,1075.1,1081.5,1086.1,259.3,255.3,254.1,255,257.5,256.6,253.5,252,252.7,256.2,1057.5,290.8
13,0,0.4,0.98,1,1025.9,1029.9,1036,1042.4,1048.3,1062,1068.3,1074.9,1081.4,1086,259.6,255.5,254.3,255.3,257.8,256.9,253.6,252.2,252.9,256.4,1057.4,291.1
14,0,0.433,0.98,1,1025.9,1029.9,1035.9,1042.3,1048.3,1062,1068.4,1075,1081.4,1086.1,259.6,255.5,254.3,255.2,257.7,256.8,253.6,252.1,252.8,256.4,1057.5,291.1
15,0,0.467,0.98,1,1025.9,1029.8,1035.9,1042.3,1048.2,1062,1068.3,1074.9,1081.4,1086,259.8,255.7,254.5,255.4,257.9,257,253.8,252.3,252.9,256.4,1057.5,291.1
