frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0,0.88,1,889.6,895.2,902,908.7,914.5,925.3,930.7,935.7,940.4,943.1,360,356.8,356.4,357.9,360.6,360.8,358.6,357.8,358.8,362.1,918.3,391.3
2,0,0.033,0.88,1,889,894.7,901.3,907.9,913.7,924.9,930.1,934.9,939.5,942,359.8,356.8,356.4,357.9,360.5,360.8,358.6,357.8,358.7,361.8,917.4,391.1
3,0,0.067,0.88,1,888.4,894.1,900.7,907.3,913,924.1,929.2,934,938.4,940.8,359.6,356.7,356.3,357.9,360.6,360.9,358.8,358,358.9,362,916.4,391
4,0,0.1,0.88,1,887.6,893.3,899.9,906.5,912.2,923.2,928.2,932.9,937.2,939.6,359.6,356.6,356.3,357.9,360.6,361,358.8,358.1,358.9,362,915.5,391
5,0,0.133,0.88,1,886.4,892.2,898.8,905.2,910.9,922.1,927,931.6,935.9,938.3,359.2,356.3,355.9,357.5,360.1,360.5,358.5,357.7,358.6,361.6,914.3,390.6
6,0,0.167,0.88,1,885,890.8,897.4,903.8,909.6,920.7,925.6,930.2,934.5,936.8,358.6,355.6,355.2,356.7,359.3,359.7,357.8,357.1,357.9,361,913.1,389.7
7,0,0.2,0.88,1,883.1,889,895.6,902,907.8,918.9,923.9,928.5,932.9,935.4,357.6,354.7,354.3,355.8,358.4,358.6,356.7,356,356.8,359.8,911.8,388.6
8,0,0.233,0.88,1,881.4,887.4,894.1,900.6,906.4,917.5,922.5,927.3,931.8,934.5,356.3,353.4,353,354.4,356.9,357.1,355.1,354.4,355.2,358.3,910.7,386.9
9,0,0.267,0.98,1,879.3,885.4,892.2,898.7,904.6,915.8,921,925.8,930.5,933.2,354.6,351.6,351.3,352.7,355.2,355.4,353.5,352.7,353.6,356.8,909.3,385.4
10,0,0.3,0.98,1,878,884.1,890.9,897.4,903.3,914.6,919.8,924.7,929.4,932.1,353.3,350.3,349.8,351.2,353.6,353.8,351.9,351.2,352,355.4,908.3,383.8
11,0,0.333,0.98,1,877,883,889.8,896.3,902.2,913.5,918.7,923.6,928.3,931.1,352,349,348.5,349.8,352.2,352.4,350.4,349.7,350.5,353.9,907.4,382.4
12,0,0.367,0.88,1,875.8,881.8,888.7,895.3,901.3,912.8,918,923,927.7,930.5,350.9,347.7,347.2,348.5,351,351.2,349.3,348.6,349.5,353,906.7,381
