,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.88,1,-28.699999999999932,-23.09999999999991,-16.299999999999955,-9.599999999999909,-3.7999999999999545,7.0,12.400000000000091,17.40000000000009,22.100000000000023,24.800000000000068,-31.30000000000001,-34.5,-34.900000000000034,-33.400000000000034,-30.69999999999999,-30.5,-32.69999999999999,-33.5,-32.5,-29.19999999999999,918.3,391.3
1,2,0,0.033,0.88,1,-28.399999999999977,-22.699999999999932,-16.100000000000023,-9.5,-3.699999999999932,7.5,12.700000000000045,17.5,22.100000000000023,24.600000000000023,-31.30000000000001,-34.30000000000001,-34.700000000000045,-33.200000000000045,-30.600000000000023,-30.30000000000001,-32.5,-33.30000000000001,-32.400000000000034,-29.30000000000001,917.4,391.1
2,3,0,0.067,0.88,1,-28.0,-22.299999999999955,-15.699999999999932,-9.100000000000023,-3.3999999999999773,7.7000000000000455,12.800000000000068,17.600000000000023,22.0,24.399999999999977,-31.399999999999977,-34.30000000000001,-34.69999999999999,-33.10000000000002,-30.399999999999977,-30.100000000000023,-32.19999999999999,-33.0,-32.10000000000002,-29.0,916.4,391.0
3,4,0,0.1,0.88,1,-27.899999999999977,-22.200000000000045,-15.600000000000023,-9.0,-3.2999999999999545,7.7000000000000455,12.700000000000045,17.399999999999977,21.700000000000045,24.100000000000023,-31.399999999999977,-34.39999999999998,-34.69999999999999,-33.10000000000002,-30.399999999999977,-30.0,-32.19999999999999,-32.89999999999998,-32.10000000000002,-29.0,915.5,391.0
4,5,0,0.133,0.88,1,-27.899999999999977,-22.09999999999991,-15.5,-9.099999999999909,-3.3999999999999773,7.800000000000068,12.700000000000045,17.300000000000068,21.600000000000023,24.0,-31.400000000000034,-34.30000000000001,-34.700000000000045,-33.10000000000002,-30.5,-30.100000000000023,-32.10000000000002,-32.900000000000034,-32.0,-29.0,914.3,390.6
5,6,0,0.167,0.88,1,-28.100000000000023,-22.300000000000068,-15.700000000000045,-9.300000000000068,-3.5,7.600000000000023,12.5,17.100000000000023,21.399999999999977,23.699999999999932,-31.099999999999966,-34.099999999999966,-34.5,-33.0,-30.399999999999977,-30.0,-31.899999999999977,-32.599999999999966,-31.80000000000001,-28.69999999999999,913.1,389.7
6,7,0,0.2,0.88,1,-28.699999999999932,-22.799999999999955,-16.199999999999932,-9.799999999999955,-4.0,7.100000000000023,12.100000000000023,16.700000000000045,21.100000000000023,23.600000000000023,-31.0,-33.900000000000034,-34.30000000000001,-32.80000000000001,-30.200000000000045,-30.0,-31.900000000000034,-32.60000000000002,-31.80000000000001,-28.80000000000001,911.8,388.6
7,8,0,0.233,0.88,1,-29.300000000000068,-23.300000000000068,-16.600000000000023,-10.100000000000023,-4.300000000000068,6.7999999999999545,11.799999999999955,16.59999999999991,21.09999999999991,23.799999999999955,-30.599999999999966,-33.5,-33.89999999999998,-32.5,-30.0,-29.799999999999955,-31.799999999999955,-32.5,-31.69999999999999,-28.599999999999966,910.7,386.9
8,9,0,0.267,0.98,1,-30.0,-23.899999999999977,-17.09999999999991,-10.599999999999909,-4.699999999999932,6.5,11.700000000000045,16.5,21.200000000000045,23.90000000000009,-30.799999999999955,-33.799999999999955,-34.099999999999966,-32.69999999999999,-30.19999999999999,-30.0,-31.899999999999977,-32.69999999999999,-31.799999999999955,-28.599999999999966,909.3,385.4
9,10,0,0.3,0.98,1,-30.299999999999955,-24.199999999999932,-17.399999999999977,-10.899999999999977,-5.0,6.300000000000068,11.5,16.40000000000009,21.100000000000023,23.800000000000068,-30.5,-33.5,-34.0,-32.60000000000002,-30.19999999999999,-30.0,-31.900000000000034,-32.60000000000002,-31.80000000000001,-28.400000000000034,908.3,383.8
