frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,901.4,905.4,911.1,917.2,922.9,934.2,939.7,945.4,951.2,955.9,351.5,347.2,345.3,345.1,346.3,344.3,341.3,339.9,340.3,343.3,932.8,373.1
2,0,0.033,0.98,1,898.5,902.7,908.3,914.2,919.8,931.5,937.0,942.6,948.4,953.0,351.2,347.2,345.4,345.2,346.4,344.4,341.5,340.1,340.4,343.1,929.8,372.9
3,0,0.067,0.98,1,895.6,899.7,905.3,911.3,916.9,928.7,934.1,939.7,945.5,950.1,351.5,347.4,345.6,345.4,346.6,344.5,341.6,340.2,340.4,343.0,927.2,373.1
4,0,0.1,0.98,1,892.9,897.0,902.6,908.4,914.0,925.7,931.2,936.8,942.6,947.3,351.7,347.6,345.8,345.6,346.8,344.7,341.8,340.3,340.5,343.1,924.2,373.2
5,0,0.133,0.98,1,890.1,894.1,899.6,905.6,911.2,922.6,928.1,933.8,939.7,944.3,352.1,347.9,346.0,345.8,347.0,344.9,341.9,340.4,340.6,343.3,921.4,373.5
6,0,0.167,0.98,1,887.5,891.4,897.0,902.9,908.6,920.2,925.7,931.4,937.3,941.9,352.1,347.9,346.1,345.9,347.1,345.0,342.0,340.5,340.7,343.4,918.8,373.6
7,0,0.2,0.98,1,884.9,889.0,894.5,900.5,906.1,917.9,923.5,929.2,935.2,939.8,352.2,348.0,346.2,346.1,347.3,345.3,342.4,340.9,341.1,343.8,916.2,373.9
8,0,0.233,0.98,1,882.7,886.7,892.3,898.2,903.8,915.4,921.0,926.8,932.7,937.3,352.2,348.0,346.2,346.0,347.3,345.2,342.3,340.9,341.1,343.9,913.8,373.9
9,0,0.267,0.98,1,880.7,884.6,890.1,896.0,901.6,913.4,919.0,924.7,930.6,935.2,352.5,348.3,346.4,346.2,347.4,345.3,342.4,341.0,341.2,344.0,911.7,374.0
10,0,0.3,0.98,1,878.6,882.5,888.1,894.1,899.8,911.6,917.2,922.9,928.8,933.5,352.6,348.4,346.5,346.3,347.5,345.5,342.6,341.1,341.4,344.1,909.9,374.1
11,0,0.333,0.98,1,877.1,881.0,886.5,892.4,898.1,910.2,915.7,921.4,927.2,931.8,352.6,348.4,346.5,346.3,347.5,345.4,342.6,341.2,341.5,344.3,908.2,374.1
12,0,0.367,0.98,1,875.6,879.5,885.1,891.0,896.7,908.8,914.3,919.9,925.6,930.1,352.5,348.3,346.5,346.3,347.4,345.4,342.6,341.3,341.6,344.3,906.7,374.1
13,0,0.4,0.98,1,874.0,878.0,883.6,889.6,895.3,907.4,912.8,918.4,924.1,928.6,352.2,348.1,346.3,346.1,347.4,345.4,342.6,341.2,341.4,344.1,905.4,374.3
14,0,0.433,0.98,1,872.7,876.8,882.5,888.5,894.2,906.2,911.7,917.2,922.9,927.4,351.8,347.7,345.9,345.9,347.1,345.2,342.4,341.0,341.3,344.0,904.2,374.3
15,0,0.467,0.98,1,871.8,875.9,881.6,887.6,893.3,905.3,910.7,916.2,921.9,926.3,351.7,347.6,345.9,345.9,347.1,345.2,342.4,341.0,341.2,344.0,903.3,374.3
16,0,0.5,0.98,1,871.0,875.1,880.8,886.8,892.5,904.5,909.9,915.3,920.8,925.2,351.5,347.4,345.7,345.7,347.1,345.2,342.3,340.9,341.2,343.9,902.5,374.2
17,0,0.533,0.98,1,870.0,874.2,880.0,886.2,892.1,903.9,909.3,914.8,920.4,924.7,351.6,347.4,345.7,345.7,347.0,345.2,342.4,341.0,341.3,344.1,901.9,374.2
18,0,0.567,0.98,1,869.3,873.5,879.4,885.7,891.5,903.2,908.6,914.1,919.6,924.0,351.5,347.3,345.7,345.7,347.0,345.2,342.3,341.0,341.3,344.1,901.3,374.1
19,0,0.6,0.98,1,868.9,873.2,879.1,885.3,891.2,902.8,908.2,913.6,919.1,923.4,351.3,347.3,345.6,345.7,347.0,345.3,342.5,341.1,341.5,344.3,900.8,374.0
20,0,0.633,0.98,1,868.2,872.6,878.6,884.9,890.8,902.4,907.7,913.1,918.5,922.9,351.3,347.3,345.7,345.7,347.0,345.3,342.6,341.2,341.5,344.3,900.5,374.0
21,0,0.667,0.98,1,867.8,872.2,878.2,884.4,890.3,902.0,907.3,912.6,918.0,922.3,351.5,347.5,345.9,345.9,347.2,345.5,342.7,341.3,341.5,344.3,900.1,374.2
22,0,0.7,0.98,1,867.6,872.0,878.0,884.3,890.1,901.8,907.1,912.3,917.8,922.0,351.6,347.6,346.0,346.1,347.3,345.7,342.9,341.6,341.8,344.6,899.9,374.3
23,0,0.733,0.98,1,867.5,871.9,877.9,884.2,890.1,901.8,907.1,912.4,917.8,922.0,351.7,347.6,346.0,346.1,347.3,345.7,343.0,341.6,342.0,344.9,899.9,374.4
24,0,0.767,0.98,1,867.5,871.9,877.9,884.2,890.1,901.8,907.1,912.4,917.8,922.0,351.8,347.7,346.0,346.1,347.3,345.6,342.9,341.6,342.0,344.9,899.9,374.5
25,0,0.8,0.98,1,867.8,872.3,878.3,884.6,890.4,902.2,907.4,912.7,918.0,922.2,351.7,347.7,346.1,346.2,347.4,345.8,343.1,341.8,342.2,345.0,900.0,374.7
26,0,0.833,0.98,1,868.0,872.5,878.5,884.8,890.7,902.5,907.7,912.9,918.3,922.4,351.9,347.8,346.2,346.3,347.5,345.9,343.2,341.9,342.2,345.0,900.4,374.7
27,0,0.867,0.98,1,868.4,872.9,879.0,885.3,891.3,903.1,908.3,913.6,918.9,923.1,351.7,347.7,346.1,346.2,347.5,345.9,343.2,341.8,342.1,344.9,900.9,374.7
28,0,0.9,0.98,1,868.7,873.3,879.5,885.8,891.7,903.5,908.8,914.0,919.4,923.6,351.6,347.6,346.1,346.2,347.5,345.9,343.2,341.8,342.1,344.9,901.3,374.8
29,0,0.933,0.98,1,869.3,873.9,880.1,886.4,892.4,904.0,909.3,914.6,920.1,924.2,351.4,347.5,345.9,346.0,347.3,345.8,343.1,341.7,342.1,344.9,901.9,374.6
30,0,0.967,0.98,1,869.9,874.6,880.8,887.2,893.2,904.7,910.0,915.3,920.6,924.8,351.2,347.2,345.7,345.8,347.1,345.6,342.9,341.6,341.9,344.7,902.6,374.5
31,0,1.0,0.98,1,870.5,875.1,881.3,887.7,893.8,905.2,910.6,915.9,921.3,925.5,351.1,347.1,345.6,345.7,346.9,345.4,342.7,341.4,341.7,344.6,903.3,374.2
32,0,1.033,0.98,1,871.3,876.0,882.1,888.6,894.6,906.1,911.3,916.6,921.9,926.1,350.9,346.9,345.3,345.4,346.6,345.1,342.4,341.1,341.5,344.3,904.1,374.0
