frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,904.4,909.4,915.8,922.3,927.9,940.1,945.5,950.8,955.7,958.8,355.4,352.0,351.2,352.3,354.8,354.8,352.7,352.0,353.1,356.7,933.5,385.0
2,0,0.033,0.98,1,904.4,909.4,915.7,922.1,927.8,940.5,945.9,951.0,955.8,958.9,354.9,351.6,351.0,352.2,354.7,354.8,352.6,351.9,353.0,356.4,933.4,385.1
3,0,0.067,0.98,1,903.3,908.4,915.1,921.9,927.9,939.9,945.2,950.5,955.4,958.4,355.7,352.1,351.3,352.5,355.2,355.1,352.7,351.7,352.6,356.1,933.9,385.3
4,0,0.1,0.98,1,903.3,908.4,915.1,921.9,928.0,939.8,945.1,950.3,955.2,958.2,355.9,352.3,351.3,352.5,355.2,355.1,352.7,351.8,352.6,356.1,934.1,385.3
5,0,0.133,0.98,1,903.3,908.5,915.2,921.9,928.0,939.9,945.2,950.4,955.3,958.3,355.9,352.3,351.3,352.5,355.1,355.0,352.6,351.6,352.5,355.9,934.2,385.3
6,0,0.167,0.98,1,903.4,908.6,915.3,922.1,928.1,940.0,945.2,950.4,955.3,958.5,355.9,352.3,351.4,352.5,355.2,355.0,352.6,351.5,352.3,355.7,934.4,385.3
7,0,0.2,0.98,1,903.4,908.5,915.3,922.1,928.2,940.0,945.2,950.4,955.4,958.4,356.1,352.4,351.5,352.6,355.2,355.0,352.6,351.5,352.3,355.7,934.6,385.3
8,0,0.233,0.98,1,903.9,908.9,915.5,922.3,928.5,940.3,945.5,950.6,955.5,958.5,356.5,352.7,351.6,352.7,355.3,355.1,352.7,351.7,352.5,355.9,934.7,385.3
9,0,0.267,0.98,1,904.3,909.1,915.7,922.4,928.5,940.1,945.3,950.3,955.1,958.1,357.5,353.6,352.4,353.3,355.7,355.3,353.0,352.1,353.1,356.7,934.7,385.4
10,0,0.3,0.93,1,904.5,909.3,915.8,922.5,928.5,940.2,945.3,950.4,955.1,958.1,357.7,353.8,352.5,353.4,355.8,355.4,353.1,352.3,353.3,356.9,934.7,385.5
11,0,0.333,0.93,1,904.5,909.3,915.9,922.6,928.7,940.3,945.5,950.6,955.3,958.2,357.6,353.7,352.4,353.3,355.7,355.4,353.1,352.3,353.4,357.0,934.8,385.4
12,0,0.367,0.93,1,904.6,909.4,916.0,922.7,928.8,940.5,945.6,950.7,955.5,958.3,357.6,353.7,352.4,353.2,355.7,355.4,353.2,352.3,353.5,357.1,934.9,385.4
13,0,0.4,0.88,1,904.5,909.4,916.0,922.9,929.0,940.7,945.9,951.1,955.9,958.9,357.0,353.2,352.0,352.9,355.5,355.2,352.9,352.0,353.0,356.6,935.1,385.5
14,0,0.433,0.88,1,904.4,909.3,916.0,922.9,929.0,940.8,946.1,951.3,956.2,959.1,356.7,352.9,351.6,352.7,355.3,355.2,352.8,351.9,352.9,356.5,935.1,385.5
15,0,0.467,0.88,1,904.4,909.4,916.2,923.0,929.1,941.0,946.2,951.4,956.3,959.2,356.3,352.5,351.4,352.5,355.2,355.0,352.7,351.7,352.6,356.1,935.2,385.4
16,0,0.5,0.88,1,904.4,909.5,916.2,923.0,929.2,941.0,946.2,951.4,956.3,959.2,356.2,352.4,351.2,352.4,355.1,354.9,352.6,351.6,352.5,356.0,935.4,385.3
17,0,0.533,0.88,1,904.5,909.5,916.3,923.2,929.3,941.1,946.3,951.5,956.4,959.4,356.1,352.2,351.1,352.3,355.0,354.9,352.5,351.6,352.5,356.0,935.5,385.3
18,0,0.567,0.98,1,905.0,909.9,916.4,923.0,929.0,941.5,946.8,952.0,956.9,959.8,355.7,352.0,351.0,352.0,354.6,354.6,352.3,351.5,352.6,356.1,935.3,385.3
19,0,0.6,0.98,1,905.5,910.3,916.8,923.4,929.3,941.7,947.2,952.5,957.3,960.3,355.2,351.6,350.7,351.9,354.5,354.6,352.4,351.6,352.8,356.4,935.1,385.2
20,0,0.633,0.88,1,906.0,910.8,917.3,923.9,929.7,942.0,947.5,952.8,957.6,960.5,354.9,351.4,350.6,351.9,354.5,354.6,352.4,351.7,352.9,356.5,935.1,385.2
21,0,0.667,0.98,1,905.4,910.5,917.3,924.1,930.1,941.7,947.1,952.4,957.2,960.1,355.4,351.8,350.9,352.1,354.9,354.8,352.5,351.6,352.6,356.2,935.5,385.2
22,0,0.7,0.98,1,905.4,910.5,917.3,924.2,930.2,941.9,947.3,952.6,957.5,960.4,355.2,351.6,350.7,351.9,354.6,354.6,352.2,351.3,352.2,355.7,935.8,385.1
23,0,0.733,0.98,1,905.4,910.5,917.3,924.1,930.2,941.9,947.2,952.5,957.4,960.3,355.2,351.5,350.5,351.7,354.4,354.3,352.0,351.1,352.0,355.6,936.0,384.8
24,0,0.767,0.98,1,905.2,910.3,917.1,924.0,930.2,941.9,947.2,952.4,957.3,960.3,355.0,351.2,350.1,351.3,354.0,353.9,351.4,350.5,351.5,355.1,936.3,384.7
25,0,0.8,0.98,1,905.2,910.2,917.0,923.9,930.0,941.9,947.2,952.4,957.3,960.2,354.8,350.9,349.8,351.0,353.7,353.6,351.2,350.2,351.3,354.9,936.3,384.4
26,0,0.833,0.98,1,904.9,910.0,916.8,923.7,929.9,941.9,947.2,952.4,957.3,960.2,354.2,350.4,349.3,350.5,353.2,353.1,350.8,349.8,350.8,354.3,936.1,383.8
27,0,0.867,0.98,1,905.0,910.1,916.9,923.7,929.9,941.8,947.0,952.2,957.1,959.9,353.8,350.0,348.8,350.0,352.8,352.7,350.3,349.4,350.4,354.0,936.1,383.4
28,0,0.9,0.98,1,904.9,910.0,916.9,923.8,930.0,941.5,946.7,952.0,956.9,959.8,353.5,349.6,348.5,349.6,352.4,352.4,349.9,349.0,350.0,353.6,936.1,382.9
29,0,0.933,0.98,1,904.8,909.9,916.8,923.7,929.9,941.5,946.8,952.0,956.9,959.8,353.2,349.3,348.1,349.3,352.0,351.9,349.5,348.6,349.6,353.3,936.1,382.6
30,0,0.967,0.98,1,904.7,909.8,916.6,923.6,929.8,941.3,946.6,951.8,956.7,959.6,353.3,349.3,348.0,349.1,351.9,351.7,349.3,348.4,349.4,353.1,936.1,382.3
31,0,1.0,0.93,1,905.1,909.8,916.5,923.4,929.6,941.0,946.2,951.3,956.1,959.0,354.1,349.8,348.3,349.2,351.8,351.6,349.2,348.4,349.5,353.3,936.1,382.1
32,0,1.033,0.93,1,905.2,909.9,916.5,923.3,929.5,940.9,946.0,951.1,955.9,958.8,354.4,350.0,348.4,349.2,351.7,351.4,349.0,348.2,349.3,353.1,936.3,381.6
33,0,1.067,0.93,1,905.4,910.1,916.6,923.4,929.6,941.4,946.5,951.6,956.4,959.4,354.2,349.9,348.3,349.0,351.4,350.9,348.5,347.6,348.7,352.4,936.7,381.5
34,0,1.1,0.93,1,905.4,910.0,916.6,923.5,929.8,941.7,946.8,952.0,956.9,959.9,353.9,349.6,347.9,348.6,351.0,350.4,348.0,347.1,348.1,351.8,937.2,381.1
35,0,1.133,0.93,1,905.6,910.3,917.0,923.9,930.2,942.2,947.4,952.5,957.5,960.6,353.2,348.9,347.2,347.9,350.3,349.8,347.3,346.3,347.3,350.9,937.9,380.6
36,0,1.167,0.98,1,905.9,910.8,917.5,924.4,930.8,942.8,947.9,953.1,958.1,961.3,352.2,348.1,346.5,347.3,349.7,349.2,346.6,345.6,346.4,349.9,938.6,380.0
37,0,1.2,0.98,1,906.7,911.5,918.3,925.3,931.6,943.4,948.6,953.8,958.8,962.0,351.8,347.5,345.9,346.7,349.1,348.4,345.8,344.7,345.5,349.1,939.6,379.4
38,0,1.233,0.98,1,907.3,912.2,919.0,926.0,932.3,944.0,949.2,954.5,959.6,962.9,351.4,347.1,345.6,346.3,348.6,347.9,345.2,344.0,344.7,348.3,940.5,378.9
39,0,1.267,0.98,1,908.0,912.9,919.7,926.6,933.0,944.7,949.9,955.1,960.2,963.4,350.8,346.5,344.9,345.6,348.0,347.3,344.7,343.5,344.2,347.7,941.2,378.3
40,0,1.3,0.98,1,908.7,913.6,920.4,927.3,933.7,945.5,950.6,955.8,960.8,964.0,350.3,346.1,344.5,345.1,347.4,346.7,344.0,342.9,343.5,347.0,942.2,377.7
41,0,1.333,0.98,1,909.3,914.4,921.2,928.2,934.6,946.4,951.5,956.7,961.7,964.9,349.8,345.5,344.0,344.6,346.9,346.2,343.6,342.4,343.0,346.4,943.1,377.1
42,0,1.367,0.98,1,910.0,915.0,921.9,928.9,935.3,947.2,952.3,957.4,962.4,965.6,349.4,345.1,343.4,344.1,346.3,345.5,343.0,341.8,342.5,346.0,944.0,376.6
43,0,1.4,0.98,1,911.0,916.0,922.8,929.8,936.2,948.0,953.0,958.1,963.1,966.2,348.9,344.6,342.9,343.5,345.8,345.1,342.6,341.4,342.1,345.7,944.8,376.1
44,0,1.433,0.98,1,911.6,916.5,923.3,930.3,936.8,948.5,953.6,958.7,963.7,966.9,348.6,344.3,342.6,343.2,345.5,344.7,342.2,341.0,341.7,345.3,945.4,375.8
45,0,1.467,0.98,1,912.3,917.3,924.1,931.0,937.4,949.2,954.3,959.4,964.4,967.5,348.0,343.8,342.1,342.8,345.1,344.4,341.9,340.8,341.5,345.1,945.8,375.6
46,0,1.5,0.98,1,912.6,917.7,924.5,931.5,937.9,949.7,954.8,960.0,964.9,968.0,347.7,343.4,341.8,342.5,344.9,344.3,341.8,340.7,341.5,345.1,946.1,375.4
47,0,1.533,0.98,1,912.9,917.9,924.8,931.8,938.2,950.0,955.1,960.3,965.3,968.3,347.6,343.3,341.7,342.5,344.8,344.2,341.7,340.6,341.4,345.0,946.5,375.5
48,0,1.567,0.98,1,913.2,918.2,925.1,932.1,938.5,950.3,955.4,960.6,965.6,968.6,347.6,343.3,341.7,342.4,344.8,344.2,341.6,340.5,341.3,344.9,946.8,375.5
49,0,1.6,0.98,1,913.5,918.4,925.3,932.3,938.7,950.5,955.6,960.8,965.7,968.8,347.7,343.3,341.7,342.4,344.8,344.2,341.6,340.5,341.3,345.0,947.1,375.5
50,0,1.633,0.98,1,913.8,918.7,925.6,932.7,939.0,950.7,955.8,961.0,966.0,969.1,347.8,343.4,341.7,342.4,344.8,344.2,341.6,340.4,341.2,344.9,947.3,375.6
51,0,1.667,0.98,1,914.1,919.0,925.9,932.9,939.3,950.9,956.1,961.3,966.3,969.3,347.9,343.5,341.8,342.6,345.0,344.3,341.6,340.4,341.3,345.0,947.6,375.8
52,0,1.7,0.98,1,914.5,919.4,926.3,933.3,939.6,951.3,956.4,961.6,966.5,969.6,348.1,343.7,342.1,342.8,345.2,344.5,341.8,340.5,341.3,344.9,948.1,376.1
53,0,1.733,0.98,1,914.8,919.8,926.6,933.6,939.8,951.7,956.7,961.9,966.8,969.8,348.3,344.0,342.4,343.1,345.5,344.8,342.1,340.9,341.6,345.2,948.4,376.4
54,0,1.767,0.98,1,915.2,920.1,927.0,934.0,940.4,952.0,957.1,962.3,967.3,970.3,348.9,344.5,342.9,343.6,346.0,345.3,342.6,341.3,342.1,345.7,948.8,376.8
55,0,1.8,0.98,1,915.3,920.2,927.1,934.2,940.5,952.1,957.3,962.5,967.4,970.4,349.6,345.1,343.5,344.2,346.6,345.9,343.1,341.9,342.6,346.3,948.9,377.3
56,0,1.833,0.98,1,915.8,920.7,927.5,934.6,940.8,952.4,957.5,962.7,967.6,970.6,350.2,345.8,344.3,345.0,347.4,346.7,343.9,342.6,343.3,346.9,949.2,378.2
57,0,1.867,0.98,1,915.6,920.5,927.4,934.5,940.8,952.2,957.3,962.5,967.5,970.5,351.2,346.8,345.2,345.9,348.3,347.6,344.8,343.5,344.2,347.9,949.1,379.0
58,0,1.9,0.98,1,915.7,920.5,927.4,934.4,940.7,952.1,957.2,962.3,967.3,970.3,351.8,347.3,345.7,346.4,348.8,348.1,345.3,344.1,344.8,348.4,949.0,379.5
59,0,1.933,0.98,1,915.4,920.3,927.2,934.2,940.5,952.2,957.3,962.5,967.4,970.4,352.1,347.7,346.0,346.7,349.1,348.3,345.6,344.4,345.1,348.7,949.1,379.9
60,0,1.967,0.98,1,915.3,920.1,927.0,934.1,940.5,952.1,957.2,962.4,967.3,970.4,352.2,347.7,346.0,346.6,349.0,348.3,345.5,344.3,345.0,348.7,949.0,379.8
61,0,2.0,0.98,1,915.3,920.2,927.1,934.1,940.5,952.0,957.1,962.3,967.2,970.2,351.8,347.4,345.7,346.4,348.8,348.1,345.3,344.1,344.7,348.3,948.9,379.6
