frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1007.0,1011.4,1017.7,1024.2,1030.3,1042.3,1048.8,1055.4,1061.9,1066.8,302.7,298.6,297.2,297.7,299.6,298.7,296.2,295.2,296.2,299.9,1037.4,329.8
2,0,0.033,0.98,1,1006.6,1011.0,1017.2,1023.6,1029.6,1042.3,1048.9,1055.4,1061.8,1066.8,302.8,298.8,297.4,297.8,299.4,298.4,296.1,295.1,296.0,299.5,1037.0,329.5
3,0,0.067,0.98,1,1006.1,1010.5,1016.6,1023.0,1029.0,1041.6,1048.3,1054.8,1061.4,1066.3,302.8,298.7,297.3,297.7,299.2,298.2,295.8,294.8,295.8,299.3,1036.6,329.2
4,0,0.1,0.98,1,1005.7,1010.2,1016.3,1022.6,1028.6,1041.2,1047.8,1054.4,1060.9,1066.0,302.8,298.7,297.3,297.6,299.1,298.1,295.7,294.7,295.6,299.0,1036.2,329.1
5,0,0.133,0.98,1,1005.0,1009.4,1015.5,1021.8,1027.8,1040.5,1047.1,1053.7,1060.2,1065.3,302.9,298.8,297.3,297.6,299.1,297.9,295.6,294.6,295.4,298.8,1035.5,329.0
6,0,0.167,0.98,1,1004.4,1008.8,1014.8,1021.1,1027.1,1039.7,1046.3,1052.9,1059.4,1064.6,303.0,298.9,297.4,297.6,299.1,297.9,295.5,294.4,295.2,298.6,1034.9,328.9
7,0,0.2,0.98,1,1003.5,1007.8,1013.8,1020.1,1026.0,1038.7,1045.4,1052.0,1058.6,1063.9,303.3,299.1,297.5,297.7,299.1,297.8,295.4,294.3,295.0,298.4,1034.0,328.9
8,0,0.233,0.98,1,1002.6,1006.8,1012.8,1019.1,1025.0,1037.7,1044.3,1050.9,1057.6,1062.8,303.7,299.5,297.9,298.0,299.3,297.9,295.4,294.3,295.0,298.3,1033.3,329.0
9,0,0.267,0.98,1,1001.8,1005.9,1011.9,1018.0,1024.0,1036.5,1043.1,1049.8,1056.5,1061.8,304.2,299.9,298.2,298.2,299.5,298.0,295.5,294.3,295.0,298.4,1032.3,329.2
10,0,0.3,0.98,1,1001.0,1005.1,1011.0,1017.2,1023.1,1035.5,1042.2,1048.8,1055.5,1060.8,304.7,300.3,298.5,298.5,299.7,298.2,295.6,294.4,295.1,298.5,1031.6,329.4
11,0,0.333,0.98,1,1000.3,1004.4,1010.3,1016.4,1022.3,1034.7,1041.3,1048.0,1054.7,1060.1,304.8,300.4,298.7,298.7,299.9,298.3,295.7,294.5,295.1,298.5,1030.9,329.5
