frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,906.6,911.5,917.8,924.1,929.6,941.4,947.0,952.5,957.6,961.0,351.4,348.1,347.5,348.8,351.5,351.7,349.5,348.8,349.9,353.4,934.6,381.6
2,0,0.033,0.98,1,906.8,911.7,917.8,924.0,929.4,942.0,947.6,953.0,958.0,961.3,350.6,347.5,347.1,348.5,351.2,351.6,349.5,348.8,349.9,353.3,934.6,381.7
3,0,0.067,0.98,1,907.0,911.9,918.1,924.3,929.8,942.4,948.0,953.5,958.6,961.8,350.6,347.5,347.1,348.5,351.3,351.7,349.5,348.8,350.0,353.4,934.9,381.7
4,0,0.1,0.98,1,907.3,912.2,918.4,924.6,930.0,942.6,948.2,953.7,958.7,961.9,350.7,347.6,347.1,348.6,351.3,351.8,349.6,348.9,350.0,353.5,935.1,381.7
5,0,0.133,0.98,1,907.7,912.6,918.8,925.0,930.4,942.9,948.5,954.0,959.0,962.2,350.6,347.5,347.1,348.6,351.3,351.8,349.6,348.9,350.0,353.5,935.4,381.7
6,0,0.167,0.98,1,908.0,913.0,919.2,925.4,930.8,943.3,948.8,954.3,959.3,962.6,350.5,347.5,347.1,348.6,351.3,351.8,349.6,348.9,350.1,353.4,935.8,381.7
7,0,0.2,0.98,1,908.3,913.3,919.5,925.7,931.1,943.5,949.1,954.5,959.5,962.7,350.5,347.5,347.1,348.6,351.3,351.8,349.6,349.0,350.1,353.5,936.1,381.7
8,0,0.233,0.98,1,908.6,913.5,919.8,926.0,931.4,943.8,949.3,954.7,959.7,962.8,350.6,347.5,347.1,348.5,351.3,351.8,349.7,349.0,350.2,353.6,936.3,381.7
9,0,0.267,0.98,1,908.7,913.7,919.9,926.1,931.5,944.0,949.5,954.9,959.9,963.1,350.5,347.5,347.1,348.5,351.3,351.8,349.7,349.0,350.1,353.5,936.5,381.8
10,0,0.3,0.98,1,908.9,913.8,920.1,926.3,931.8,944.3,949.8,955.2,960.1,963.3,350.5,347.5,347.1,348.5,351.3,351.8,349.7,349.0,350.2,353.6,936.7,381.8
11,0,0.333,0.98,1,909.1,914.0,920.2,926.5,931.9,944.5,950.1,955.5,960.5,963.6,350.5,347.5,347.1,348.5,351.2,351.8,349.7,349.1,350.2,353.7,936.9,381.8
12,0,0.367,0.98,1,909.4,914.3,920.6,926.8,932.3,944.9,950.4,955.8,960.8,963.9,350.5,347.4,347.0,348.5,351.3,351.8,349.7,349.0,350.2,353.6,937.3,381.8
13,0,0.4,0.98,1,909.4,914.4,920.6,926.9,932.4,944.8,950.4,955.8,960.8,963.9,350.5,347.4,347.0,348.5,351.3,351.8,349.7,349.1,350.2,353.7,937.4,381.7
