frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.93,1,1048.5,1052.4,1058.4,1064.7,1070.6,1083.8,1090.1,1096.6,1102.9,1107.4,310.5,306.7,305.7,306.7,309.3,308.6,305.6,304.2,305.0,308.3,1079.1,342.2
2,0,0.033,0.98,1,1048.1,1052.0,1058.1,1064.4,1070.3,1083.9,1090.2,1096.7,1103.0,1107.5,310.7,307.0,306.1,307.2,309.8,309.1,305.8,304.3,304.9,308.2,1079.2,342.7
3,0,0.067,0.98,1,1048.3,1052.2,1058.2,1064.5,1070.4,1083.8,1090.0,1096.5,1102.8,1107.2,311.2,307.4,306.4,307.5,310.1,309.3,306.1,304.6,305.2,308.5,1079.3,342.6
4,0,0.1,0.98,1,1048.3,1052.2,1058.2,1064.5,1070.4,1083.8,1090.1,1096.6,1102.9,1107.3,311.2,307.4,306.4,307.5,310.0,309.2,306.0,304.5,305.1,308.4,1079.5,342.5
5,0,0.133,0.98,1,1048.3,1052.2,1058.3,1064.6,1070.5,1084.0,1090.2,1096.7,1103.0,1107.5,311.1,307.4,306.4,307.5,310.0,309.2,306.0,304.4,304.9,308.2,1079.6,342.5
6,0,0.167,0.98,1,1048.3,1052.2,1058.2,1064.5,1070.4,1083.9,1090.1,1096.6,1102.9,1107.4,311.1,307.4,306.4,307.5,310.1,309.3,306.1,304.5,305.0,308.3,1079.6,342.5
7,0,0.2,0.98,1,1048.3,1052.2,1058.2,1064.6,1070.4,1083.9,1090.1,1096.6,1102.9,1107.4,311.2,307.5,306.5,307.6,310.2,309.3,306.1,304.5,305.0,308.3,1079.6,342.6
8,0,0.233,0.98,1,1048.2,1052.1,1058.2,1064.5,1070.4,1084.0,1090.3,1096.7,1103.1,1107.6,311.2,307.5,306.5,307.6,310.2,309.4,306.1,304.5,305.0,308.2,1079.7,342.6
9,0,0.267,0.98,1,1048.3,1052.3,1058.4,1064.7,1070.6,1084.1,1090.3,1096.8,1103.1,1107.7,311.2,307.5,306.6,307.7,310.3,309.4,306.1,304.5,305.0,308.2,1079.7,342.5
10,0,0.3,0.98,1,1048.5,1052.5,1058.5,1064.8,1070.7,1084.2,1090.5,1096.9,1103.3,1107.8,311.2,307.5,306.6,307.7,310.3,309.4,306.2,304.6,305.1,308.3,1079.8,342.5
11,0,0.333,0.98,1,1048.5,1052.5,1058.5,1064.8,1070.6,1084.4,1090.6,1097.1,1103.4,1107.8,311.0,307.4,306.5,307.6,310.2,309.3,306.1,304.6,305.1,308.2,1079.8,342.5
12,0,0.367,0.98,1,1048.7,1052.6,1058.6,1064.9,1070.8,1084.3,1090.6,1097.0,1103.3,1107.9,311.2,307.5,306.6,307.7,310.2,309.3,306.1,304.5,305.0,308.1,1079.9,342.5
13,0,0.4,0.98,1,1048.6,1052.5,1058.4,1064.8,1070.7,1084.5,1090.7,1097.1,1103.4,1107.9,311.3,307.5,306.4,307.4,310.0,309.0,305.8,304.2,304.7,308.0,1080.1,342.5
14,0,0.433,0.98,1,1048.7,1052.5,1058.5,1064.8,1070.8,1084.3,1090.5,1097.0,1103.4,1107.9,311.4,307.5,306.4,307.4,309.9,309.0,305.7,304.1,304.6,307.9,1080.2,342.5
15,0,0.467,0.98,1,1048.9,1052.7,1058.7,1065.1,1071.0,1084.5,1090.8,1097.2,1103.6,1108.1,311.2,307.4,306.3,307.3,309.9,308.9,305.6,304.0,304.5,307.8,1080.3,342.5
16,0,0.5,0.98,1,1048.8,1052.7,1058.8,1065.1,1071.0,1084.7,1090.9,1097.4,1103.8,1108.4,311.2,307.4,306.3,307.3,309.9,308.9,305.6,304.0,304.4,307.6,1080.4,342.4
