frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.93,1,928.1,932.6,938.5,944.6,950.1,961.2,966.8,972.5,978.1,982.1,346.1,342.3,341.1,341.6,343.5,342.9,340.7,339.9,340.9,344.2,956.7,370.8
2,0,0.033,0.93,1,928.0,932.5,938.3,944.3,949.8,961.3,966.9,972.5,978.1,982.2,346.2,342.5,341.3,341.6,343.3,342.5,340.3,339.5,340.4,343.6,957.0,370.2
3,0,0.067,0.93,1,928.1,932.6,938.3,944.2,949.7,961.2,966.8,972.4,978.0,982.1,346.3,342.5,341.2,341.5,343.1,342.3,340.1,339.3,340.2,343.4,957.0,370.1
4,0,0.1,0.98,1,928.2,932.6,938.3,944.3,949.7,961.2,966.8,972.4,978.0,982.1,346.3,342.5,341.2,341.4,343.0,342.2,340.0,339.2,340.1,343.3,957.0,369.9
5,0,0.133,0.98,1,928.1,932.5,938.2,944.1,949.6,961.0,966.7,972.3,977.9,982.0,346.4,342.6,341.2,341.5,343.0,342.1,339.9,339.1,340.0,343.3,957.0,369.9
6,0,0.167,0.98,1,928.0,932.4,938.2,944.1,949.5,960.8,966.5,972.1,977.7,981.9,346.4,342.6,341.3,341.5,343.1,342.1,339.9,339.1,340.0,343.2,956.9,370.0
7,0,0.2,0.98,1,927.6,932.0,937.7,943.6,949.1,960.6,966.3,971.9,977.6,981.7,346.5,342.7,341.3,341.6,343.1,342.2,339.9,339.1,340.0,343.2,956.6,370.0
8,0,0.233,0.98,1,927.2,931.6,937.3,943.2,948.6,960.2,965.8,971.4,977.0,981.2,346.6,342.8,341.4,341.6,343.2,342.2,340.0,339.1,340.0,343.2,956.3,370.0
9,0,0.267,0.98,1,926.6,930.9,936.6,942.5,948.0,959.5,965.1,970.8,976.4,980.5,346.6,342.8,341.4,341.6,343.2,342.2,340.0,339.1,340.0,343.1,955.6,370.0
10,0,0.3,0.98,1,925.7,930.0,935.7,941.6,947.0,958.7,964.3,970.0,975.5,979.7,346.8,342.9,341.5,341.6,343.1,342.2,339.9,339.1,340.0,343.2,954.9,370.1
11,0,0.333,0.98,1,924.6,928.9,934.6,940.5,946.0,957.8,963.4,969.0,974.6,978.8,346.8,342.9,341.5,341.6,343.1,342.1,340.0,339.1,340.0,343.2,953.7,369.9
