frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1022.1,1026.1,1032.3,1038.8,1045.0,1058.1,1064.5,1071.0,1077.5,1082.1,260.7,256.1,254.4,255.0,257.2,256.0,252.9,251.6,252.4,256.1,1054.5,290.6
2,0,0.033,0.98,1,1022.4,1026.2,1032.4,1039.1,1045.3,1058.8,1065.1,1071.7,1078.2,1082.7,260.6,256.0,254.3,255.0,257.4,256.3,253.1,251.6,252.4,256.1,1055.0,291.0
3,0,0.067,0.98,1,1022.9,1026.8,1033.0,1039.6,1045.8,1059.4,1065.8,1072.4,1078.8,1083.3,260.4,255.8,254.2,254.9,257.3,256.2,253.0,251.6,252.3,256.0,1055.5,291.0
4,0,0.1,0.98,1,1023.6,1027.5,1033.7,1040.3,1046.5,1060.1,1066.5,1073.1,1079.5,1084.0,260.3,255.8,254.2,254.9,257.3,256.2,253.0,251.6,252.3,256.0,1056.2,291.2
5,0,0.133,0.98,1,1024.2,1028.0,1034.2,1040.7,1046.9,1060.9,1067.2,1073.7,1080.1,1084.5,260.1,255.7,254.1,254.8,257.2,256.1,252.9,251.5,252.1,255.8,1056.9,291.2
6,0,0.167,0.98,1,1024.8,1028.6,1034.8,1041.4,1047.6,1061.4,1067.7,1074.2,1080.6,1085.1,260.2,255.8,254.2,254.9,257.3,256.2,253.0,251.5,252.1,255.8,1057.5,291.3
7,0,0.2,0.98,1,1025.6,1029.5,1035.7,1042.3,1048.4,1062.3,1068.6,1075.1,1081.5,1086.0,260.0,255.6,254.1,254.9,257.2,256.1,252.9,251.4,252.0,255.6,1058.4,291.2
8,0,0.233,0.98,1,1026.1,1030.0,1036.2,1042.8,1049.0,1063.1,1069.4,1075.9,1082.3,1086.8,260.0,255.5,254.0,254.7,257.1,255.9,252.8,251.3,251.9,255.6,1059.1,291.2
9,0,0.267,0.98,1,1026.8,1030.7,1036.9,1043.5,1049.8,1063.9,1070.2,1076.8,1083.1,1087.7,260.0,255.5,253.9,254.6,257.0,255.9,252.7,251.2,251.9,255.6,1060.0,291.2
10,0,0.3,0.98,1,1027.8,1031.6,1037.8,1044.4,1050.6,1064.7,1071.0,1077.5,1083.8,1088.3,260.0,255.6,254.0,254.7,257.1,255.9,252.8,251.3,251.9,255.6,1060.8,291.1
11,0,0.333,0.98,1,1028.8,1032.8,1039.0,1045.5,1051.7,1065.8,1072.1,1078.6,1084.9,1089.3,260.1,255.7,254.2,254.9,257.2,256.0,252.9,251.4,252.1,255.8,1061.7,291.2
12,0,0.367,0.98,1,1029.6,1033.5,1039.7,1046.2,1052.3,1066.5,1072.8,1079.3,1085.5,1090.0,260.0,255.7,254.2,255.0,257.3,256.2,253.2,251.8,252.5,256.1,1062.2,291.3
13,0,0.4,0.98,1,1030.1,1034.2,1040.4,1047.0,1053.2,1067.2,1073.6,1080.1,1086.4,1090.9,259.9,255.6,254.2,255.0,257.4,256.4,253.3,251.8,252.6,256.2,1062.9,291.5
14,0,0.433,0.98,1,1030.8,1034.9,1041.3,1047.9,1054.1,1067.7,1074.1,1080.7,1087.1,1091.6,259.8,255.5,254.1,255.0,257.6,256.7,253.5,252.0,252.7,256.4,1063.5,291.6
15,0,0.467,0.98,1,1031.7,1035.7,1042.0,1048.6,1054.8,1068.4,1074.8,1081.4,1087.8,1092.2,259.8,255.5,254.1,255.0,257.6,256.7,253.5,252.1,252.8,256.5,1064.1,291.7
16,0,0.5,0.98,1,1032.2,1036.2,1042.5,1049.1,1055.3,1069.0,1075.4,1082.0,1088.4,1092.9,260.0,255.6,254.2,255.1,257.7,256.8,253.6,252.2,252.9,256.7,1064.7,291.7
17,0,0.533,0.98,1,1032.9,1036.9,1043.1,1049.8,1055.9,1069.6,1076.0,1082.7,1089.1,1093.5,259.9,255.5,254.1,255.0,257.6,256.8,253.7,252.2,253.0,256.8,1065.1,291.8
