frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,948.7,954.2,960.9,967.5,973.4,984.3,989.5,994.6,999.4,1002.3,348.8,345.2,344.3,345.5,348.0,348.4,346.7,346.3,347.6,351.4,978.5,377.0
2,0,0.033,0.98,1,949.6,955.2,961.9,968.4,974.4,985.7,990.8,995.7,1000.4,1003.3,348.9,345.4,344.5,345.7,348.1,348.5,346.9,346.6,347.8,351.4,979.8,376.7
3,0,0.067,0.98,1,950.9,956.5,963.2,969.7,975.6,986.9,992.0,996.9,1001.5,1004.4,348.7,345.4,344.5,345.7,348.1,348.5,346.9,346.5,347.8,351.4,980.9,376.8
4,0,0.1,0.98,1,951.7,957.4,964.0,970.5,976.5,987.8,992.8,997.7,1002.4,1005.2,348.8,345.4,344.6,345.7,348.1,348.5,346.9,346.6,347.9,351.5,981.9,376.8
5,0,0.133,0.98,1,952.7,958.4,965.0,971.6,977.5,988.8,993.8,998.7,1003.3,1006.1,348.8,345.4,344.6,345.7,348.1,348.6,347.0,346.6,347.9,351.5,982.9,376.7
6,0,0.167,0.98,1,953.7,959.4,965.9,972.4,978.3,989.6,994.6,999.4,1004.0,1006.8,348.9,345.5,344.7,345.9,348.2,348.7,347.2,346.9,348.1,351.7,983.6,376.8
7,0,0.2,0.98,1,954.2,959.9,966.5,973.1,979.0,990.3,995.3,1000.2,1004.8,1007.6,348.8,345.5,344.7,345.9,348.3,348.8,347.2,346.9,348.1,351.7,984.3,376.8
8,0,0.233,0.98,1,954.8,960.5,967.2,973.7,979.7,991.0,996.0,1000.8,1005.4,1008.2,348.9,345.6,344.8,346.0,348.4,348.9,347.3,347.0,348.2,351.8,984.9,376.9
9,0,0.267,0.98,1,955.3,961.0,967.7,974.2,980.1,991.4,996.5,1001.3,1005.9,1008.7,348.7,345.5,344.8,346.0,348.4,349.0,347.5,347.1,348.4,351.9,985.2,376.9
10,0,0.3,0.98,1,955.7,961.4,968.1,974.6,980.5,991.7,996.7,1001.6,1006.2,1009.0,348.8,345.5,344.8,346.0,348.4,349.0,347.5,347.2,348.5,352.0,985.5,376.9
11,0,0.333,0.98,1,955.8,961.6,968.2,974.8,980.7,991.9,997.0,1001.8,1006.5,1009.3,348.8,345.6,344.8,346.1,348.5,349.1,347.6,347.3,348.5,352.1,985.7,377.0
12,0,0.367,0.98,1,956.1,961.8,968.4,975.0,980.9,992.1,997.2,1002.1,1006.8,1009.6,348.8,345.6,344.9,346.1,348.6,349.2,347.7,347.4,348.6,352.2,985.8,377.1
13,0,0.4,0.98,1,956.6,962.3,968.8,975.2,981.0,992.4,997.4,1002.1,1006.6,1009.4,348.9,345.7,344.9,346.2,348.6,349.3,347.8,347.6,348.8,352.4,985.9,377.3
14,0,0.433,0.98,1,956.6,962.3,968.8,975.2,981.1,992.4,997.5,1002.2,1006.8,1009.5,348.9,345.7,344.9,346.2,348.6,349.3,347.9,347.6,348.9,352.5,985.9,377.4
15,0,0.467,0.98,1,956.2,962.0,968.6,975.1,981.0,992.3,997.3,1002.2,1006.8,1009.6,348.7,345.5,344.8,346.1,348.6,349.3,347.9,347.6,348.9,352.5,985.7,377.3
16,0,0.5,0.98,1,955.9,961.7,968.4,974.9,980.8,992.0,997.1,1002.1,1006.8,1009.6,348.5,345.3,344.7,346.1,348.6,349.3,347.9,347.6,348.8,352.4,985.4,377.3
17,0,0.533,0.98,1,955.6,961.5,968.2,974.7,980.5,991.8,996.9,1001.9,1006.5,1009.3,348.3,345.1,344.6,346.0,348.5,349.3,347.9,347.6,348.9,352.6,985.0,377.2
