frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1050.8,1055.1,1061.3,1067.6,1073.4,1086.8,1093.1,1099.5,1105.7,1110.1,305.2,301.3,300.3,301.3,303.8,303.5,300.9,300.0,301.0,304.8,1080.5,336.6
2,0,0.033,0.98,1,1050.2,1054.4,1060.5,1066.7,1072.5,1086.6,1092.9,1099.3,1105.5,1109.8,305.0,301.1,300.2,301.3,303.9,303.7,301.1,300.1,301.2,304.9,1080.0,336.9
3,0,0.067,0.98,1,1050.0,1054.3,1060.3,1066.6,1072.3,1086.3,1092.7,1099.1,1105.2,1109.5,304.8,301.0,300.0,301.2,303.9,303.8,301.2,300.2,301.2,305.0,1079.6,336.9
4,0,0.1,0.98,1,1049.8,1054.1,1060.2,1066.5,1072.3,1086.1,1092.5,1098.9,1105.1,1109.5,304.7,300.9,300.0,301.2,303.9,303.8,301.2,300.3,301.3,305.1,1079.4,336.9
5,0,0.133,0.98,1,1049.8,1054.2,1060.4,1066.7,1072.4,1085.9,1092.3,1098.8,1105.0,1109.4,304.8,301.0,300.2,301.4,304.1,304.0,301.4,300.4,301.5,305.3,1079.1,336.9
6,0,0.167,0.98,1,1049.4,1053.8,1059.9,1066.2,1072.0,1086.0,1092.4,1098.8,1105.0,1109.3,304.5,300.8,299.9,301.1,303.8,303.8,301.2,300.3,301.4,305.2,1078.9,337.0
7,0,0.2,0.98,1,1049.4,1053.7,1059.8,1066.1,1071.8,1085.7,1092.1,1098.5,1104.7,1109.0,304.4,300.7,299.8,301.1,303.8,303.8,301.2,300.3,301.5,305.3,1078.6,336.9
8,0,0.233,0.98,1,1049.4,1053.8,1059.9,1066.2,1071.9,1085.5,1091.9,1098.3,1104.5,1108.8,304.5,300.7,299.9,301.1,303.8,303.8,301.2,300.3,301.5,305.3,1078.6,336.9
9,0,0.267,0.98,1,1049.3,1053.6,1059.8,1066.1,1071.8,1085.6,1092.0,1098.4,1104.6,1108.9,304.4,300.7,299.9,301.1,303.8,303.8,301.2,300.3,301.4,305.2,1078.5,336.9
10,0,0.3,0.98,1,1049.2,1053.5,1059.6,1065.9,1071.6,1085.1,1091.5,1098.0,1104.2,1108.5,304.5,300.7,299.9,301.1,303.9,303.9,301.3,300.4,301.6,305.5,1078.1,336.8
11,0,0.333,0.98,1,1048.7,1053.0,1059.2,1065.5,1071.2,1085.1,1091.6,1098.0,1104.2,1108.5,304.2,300.5,299.7,300.9,303.7,303.7,301.2,300.3,301.4,305.2,1077.9,336.8
12,0,0.367,0.98,1,1048.4,1052.7,1058.8,1065.0,1070.7,1084.4,1090.8,1097.3,1103.5,1107.8,304.3,300.6,299.8,301.0,303.7,303.8,301.2,300.3,301.4,305.2,1077.5,336.9
13,0,0.4,0.98,1,1048.1,1052.4,1058.7,1065.0,1070.7,1084.0,1090.5,1097.1,1103.4,1107.8,304.4,300.6,299.8,301.1,304.0,304.0,301.4,300.4,301.5,305.4,1077.2,337.0
14,0,0.433,0.98,1,1047.8,1052.2,1058.4,1064.8,1070.5,1083.7,1090.2,1096.8,1103.2,1107.5,304.4,300.5,299.8,301.1,304.0,304.0,301.4,300.4,301.5,305.4,1076.9,337.0
15,0,0.467,0.98,1,1047.5,1051.8,1058.0,1064.4,1070.2,1083.5,1090.0,1096.6,1102.9,1107.3,304.5,300.7,299.8,301.1,304.0,304.0,301.3,300.3,301.5,305.3,1076.7,337.1
16,0,0.5,0.98,1,1047.3,1051.5,1057.7,1064.1,1069.9,1083.3,1089.8,1096.3,1102.6,1107.0,304.7,300.8,299.9,301.2,304.0,303.9,301.3,300.3,301.5,305.4,1076.5,337.2
17,0,0.533,0.98,1,1047.0,1051.2,1057.4,1063.8,1069.6,1083.2,1089.7,1096.2,1102.5,1106.8,304.7,300.9,300.0,301.3,304.1,304.0,301.4,300.4,301.5,305.4,1076.3,337.4
