frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,894.3,898.0,903.8,910.1,916.0,928.1,933.6,939.5,945.5,950.1,349.8,345.2,343.2,342.9,344.3,342.1,338.6,337.0,337.5,340.7,927.2,373.3
2,0,0.033,0.98,1,894.8,898.3,904.0,910.3,916.3,928.7,934.2,940.0,945.9,950.4,349.0,344.4,342.2,341.9,343.3,340.8,337.4,335.7,336.2,339.3,928.1,372.1
3,0,0.067,0.98,1,895.1,898.6,904.4,910.8,916.9,929.5,935.0,940.8,946.7,951.1,348.1,343.4,341.1,340.8,342.2,339.8,336.3,334.7,335.1,338.2,928.9,371.2
4,0,0.1,0.98,1,895.7,899.3,905.1,911.6,917.7,930.2,935.7,941.5,947.4,951.8,347.0,342.3,340.0,339.7,341.1,338.7,335.3,333.7,334.2,337.4,929.5,370.1
5,0,0.133,0.98,1,896.3,900.0,905.8,912.3,918.5,931.0,936.5,942.3,948.2,952.5,346.0,341.3,339.0,338.7,340.2,337.9,334.6,333.1,333.6,336.9,930.1,369.2
6,0,0.167,0.98,1,896.7,900.5,906.4,912.9,919.1,931.5,937.0,942.9,948.8,953.0,344.6,340.0,337.7,337.5,339.1,337.0,333.8,332.3,332.9,336.2,930.3,368.3
7,0,0.2,0.98,1,897.3,901.0,906.9,913.4,919.5,931.9,937.5,943.4,949.2,953.4,343.4,338.9,336.8,336.7,338.4,336.4,333.2,331.8,332.4,335.8,930.3,367.7
8,0,0.233,0.98,1,897.2,901.1,907.0,913.5,919.6,932.1,937.7,943.6,949.4,953.6,342.6,338.1,336.0,335.9,337.6,335.7,332.5,331.1,331.8,335.2,930.6,367.0
9,0,0.267,0.98,1,897.3,901.2,907.2,913.6,919.7,932.2,937.9,943.8,949.6,953.8,342.0,337.6,335.6,335.5,337.2,335.4,332.2,330.8,331.6,334.9,930.4,366.7
10,0,0.3,0.98,1,897.3,901.2,907.1,913.6,919.6,932.2,937.9,943.8,949.7,953.8,341.8,337.3,335.3,335.3,337.0,335.3,332.1,330.8,331.5,334.9,930.3,366.6
11,0,0.333,0.98,1,897.2,901.1,907.0,913.5,919.6,932.2,937.9,943.9,949.7,953.9,341.8,337.3,335.3,335.3,337.1,335.3,332.1,330.8,331.6,335.0,930.2,366.6
12,0,0.367,0.98,1,896.9,900.9,906.9,913.4,919.5,932.2,937.9,943.8,949.7,953.9,341.7,337.3,335.3,335.3,337.1,335.3,332.2,330.8,331.6,335.0,930.1,366.7
13,0,0.4,0.98,1,896.8,900.7,906.7,913.2,919.3,932.1,937.8,943.6,949.4,953.6,341.6,337.3,335.4,335.4,337.2,335.5,332.3,330.9,331.6,334.9,930.0,366.9
14,0,0.433,0.98,1,896.8,900.8,906.8,913.3,919.3,932.2,937.8,943.7,949.5,953.6,341.5,337.2,335.4,335.5,337.3,335.6,332.5,331.1,331.8,335.0,929.9,367.0
15,0,0.467,0.98,1,896.6,900.6,906.6,913.2,919.3,932.1,937.8,943.7,949.5,953.7,341.5,337.2,335.4,335.5,337.3,335.6,332.5,331.1,331.7,335.0,929.8,367.2
16,0,0.5,0.98,1,896.4,900.4,906.5,913.1,919.2,932.0,937.7,943.6,949.4,953.6,341.6,337.2,335.4,335.5,337.4,335.7,332.5,331.1,331.7,335.0,929.7,367.2
17,0,0.533,0.98,1,896.4,900.5,906.5,913.0,919.1,932.0,937.7,943.5,949.3,953.4,341.4,337.1,335.3,335.5,337.3,335.6,332.5,331.0,331.6,334.9,929.7,367.2
18,0,0.567,0.98,1,896.5,900.6,906.6,913.1,919.2,932.1,937.7,943.4,949.1,953.1,341.1,336.9,335.1,335.3,337.2,335.5,332.4,331.0,331.6,334.8,929.6,367.1
19,0,0.6,0.98,1,896.3,900.4,906.5,913.0,919.1,932.0,937.6,943.5,949.2,953.2,340.9,336.7,334.9,335.2,337.1,335.5,332.5,331.1,331.7,334.9,929.3,367.0
20,0,0.633,0.98,1,896.1,900.3,906.5,913.0,919.2,932.0,937.7,943.5,949.2,953.2,340.6,336.4,334.6,334.9,336.8,335.4,332.5,331.1,331.8,335.1,929.1,366.8
21,0,0.667,0.98,1,896.3,900.5,906.6,913.2,919.3,932.1,937.9,943.7,949.3,953.4,340.3,336.1,334.4,334.8,336.7,335.4,332.5,331.2,331.9,335.3,928.9,366.8
22,0,0.7,0.98,1,896.7,900.8,906.9,913.4,919.5,932.4,938.1,943.8,949.4,953.4,340.6,336.3,334.5,334.8,336.8,335.5,332.8,331.7,332.5,335.9,928.8,366.9
23,0,0.733,0.98,1,897.1,901.3,907.4,913.9,920.0,932.7,938.4,944.1,949.7,953.8,340.2,336.0,334.3,334.7,336.7,335.6,332.9,331.8,332.7,336.1,928.9,366.8
24,0,0.767,0.98,1,897.5,901.9,908.2,914.8,920.9,933.7,939.5,945.3,950.9,954.9,339.5,335.3,333.8,334.3,336.4,335.5,332.9,331.9,332.8,336.3,929.4,366.7
25,0,0.8,0.98,1,898.7,903.1,909.4,915.9,922.0,934.7,940.5,946.3,951.9,955.8,338.8,334.7,333.2,333.9,336.1,335.4,332.9,331.9,332.9,336.5,930.0,366.6
26,0,0.833,0.98,1,899.7,904.2,910.5,917.1,923.1,935.7,941.5,947.2,952.8,956.7,338.7,334.6,333.3,334.0,336.2,335.6,333.1,332.1,333.1,336.7,930.9,366.5
27,0,0.867,0.98,1,901.0,905.5,911.9,918.5,924.6,936.9,942.7,948.4,954.0,957.8,338.8,334.8,333.4,334.2,336.4,335.9,333.3,332.4,333.4,337.0,932.3,366.8
