frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1048.3,1053.0,1059.5,1066.3,1072.5,1085.0,1091.6,1098.3,1104.8,1109.4,299.6,295.4,294.0,294.6,296.7,295.9,293.3,292.4,293.5,297.2,1079.8,327.1
2,0,0.033,0.98,1,1049.3,1054.0,1060.4,1067.0,1073.2,1086.2,1092.8,1099.3,1105.6,1110.2,299.8,295.8,294.4,294.9,296.8,295.9,293.5,292.6,293.6,297.2,1080.7,326.9
3,0,0.067,0.98,1,1050.1,1054.8,1061.1,1067.7,1073.9,1086.9,1093.5,1099.9,1106.2,1110.8,299.7,295.7,294.4,294.9,296.8,295.9,293.5,292.6,293.6,297.1,1081.4,326.9
4,0,0.1,0.98,1,1050.7,1055.4,1061.8,1068.4,1074.6,1087.5,1094.0,1100.5,1106.8,1111.3,299.7,295.7,294.3,294.9,296.8,296.0,293.5,292.6,293.6,297.1,1082.0,326.9
5,0,0.133,0.98,1,1051.3,1056.0,1062.4,1069.0,1075.1,1088.1,1094.7,1101.0,1107.3,1111.9,299.5,295.6,294.3,294.8,296.7,295.9,293.5,292.6,293.6,297.0,1082.6,326.9
6,0,0.167,0.98,1,1051.7,1056.5,1062.8,1069.4,1075.6,1088.6,1095.2,1101.6,1107.9,1112.4,299.5,295.6,294.3,294.8,296.7,295.9,293.5,292.6,293.6,297.0,1083.0,326.9
7,0,0.2,0.98,1,1051.9,1056.7,1063.0,1069.7,1075.9,1088.8,1095.4,1101.8,1108.1,1112.6,299.5,295.6,294.2,294.8,296.7,296.0,293.5,292.6,293.6,297.1,1083.3,327.0
8,0,0.233,0.98,1,1052.0,1056.8,1063.2,1069.9,1076.1,1089.0,1095.6,1102.0,1108.3,1112.8,299.6,295.6,294.3,294.8,296.7,296.0,293.5,292.6,293.6,297.2,1083.5,327.0
9,0,0.267,0.98,1,1052.0,1056.8,1063.2,1069.9,1076.1,1089.0,1095.5,1101.9,1108.2,1112.7,299.7,295.7,294.4,294.9,296.8,296.0,293.6,292.7,293.7,297.2,1083.5,327.1
10,0,0.3,0.98,1,1052.0,1056.8,1063.2,1069.9,1076.1,1089.0,1095.5,1101.9,1108.2,1112.7,299.7,295.8,294.5,295.0,297.0,296.1,293.7,292.7,293.7,297.2,1083.5,327.2
11,0,0.333,0.98,1,1051.7,1056.5,1062.9,1069.5,1075.8,1088.7,1095.2,1101.5,1107.8,1112.3,299.9,295.9,294.6,295.1,297.0,296.2,293.7,292.7,293.7,297.2,1083.3,327.3
