frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.93,1,905.2,909.7,915.7,921.9,927.4,939.6,945.3,951.1,956.5,960.2,355.8,352.5,351.8,352.9,355.5,355.4,352.9,351.9,352.8,356.1,933.8,385.0
2,0,0.033,0.98,1,904.9,909.4,915.3,921.5,927.0,939.9,945.6,951.3,956.8,960.3,355.4,352.2,351.5,352.7,355.3,355.2,352.7,351.7,352.6,355.8,933.7,385.2
3,0,0.067,0.98,1,904.7,909.2,915.2,921.3,926.9,939.8,945.5,951.2,956.7,960.2,355.4,352.2,351.5,352.7,355.3,355.2,352.6,351.6,352.5,355.7,933.6,385.2
4,0,0.1,0.98,1,904.6,909.1,915.1,921.3,926.8,939.8,945.5,951.2,956.6,960.2,355.3,352.1,351.4,352.7,355.3,355.2,352.6,351.6,352.4,355.6,933.5,385.2
5,0,0.133,0.98,1,904.4,908.9,914.9,921.1,926.6,939.6,945.4,951.1,956.5,960.1,355.2,352.0,351.4,352.6,355.3,355.2,352.6,351.6,352.4,355.6,933.3,385.1
6,0,0.167,0.93,1,904.2,908.7,914.7,920.9,926.4,939.3,945.0,950.8,956.2,959.7,355.3,352.1,351.4,352.6,355.3,355.1,352.5,351.5,352.4,355.5,933.1,385.0
7,0,0.2,0.98,1,904.1,908.6,914.6,920.8,926.3,939.2,945.0,950.6,956.0,959.6,355.2,352.1,351.4,352.6,355.3,355.1,352.5,351.5,352.3,355.5,933.1,385.1
8,0,0.233,0.93,1,903.7,908.2,914.3,920.5,926.0,938.9,944.7,950.4,955.8,959.5,355.3,352.1,351.5,352.7,355.3,355.1,352.4,351.4,352.2,355.3,932.9,385.0
9,0,0.267,0.98,1,903.4,907.9,913.9,920.1,925.7,938.6,944.3,950.1,955.5,959.1,355.2,352.0,351.3,352.5,355.2,355.0,352.4,351.3,352.2,355.4,932.5,385.0
10,0,0.3,0.98,1,903.1,907.5,913.6,919.8,925.4,938.0,943.8,949.6,955.1,958.7,355.0,351.8,351.2,352.4,355.1,355.0,352.3,351.3,352.1,355.3,932.1,384.9
11,0,0.333,0.98,1,902.5,906.9,912.9,919.1,924.7,937.5,943.3,949.2,954.7,958.3,355.0,351.8,351.1,352.4,355.0,354.8,352.2,351.1,352.0,355.2,931.5,384.9
12,0,0.367,0.98,1,902.1,906.6,912.6,918.8,924.4,937.4,943.3,949.1,954.6,958.3,354.4,351.2,350.6,351.8,354.5,354.3,351.7,350.7,351.5,354.7,931.2,384.4
13,0,0.4,0.98,1,901.8,906.2,912.2,918.3,923.9,937.0,942.8,948.6,954.1,957.7,354.4,351.2,350.5,351.7,354.3,354.1,351.5,350.5,351.4,354.6,930.8,384.2
14,0,0.433,0.98,1,901.5,905.9,911.9,918.0,923.5,936.6,942.4,948.2,953.7,957.3,354.2,351.0,350.4,351.6,354.2,354.0,351.4,350.4,351.3,354.5,930.4,384.1
15,0,0.467,0.98,1,901.5,905.9,911.8,917.9,923.5,936.7,942.5,948.2,953.5,957.1,354.1,350.8,350.0,351.1,353.7,353.6,351.1,350.2,351.1,354.4,930.4,383.8
16,0,0.5,0.93,1,901.8,906.1,911.9,918.1,923.6,936.7,942.4,948.0,953.3,956.9,354.4,351.0,350.1,351.1,353.7,353.5,351.1,350.2,351.2,354.5,930.4,383.4
17,0,0.533,0.93,1,902.2,906.5,912.5,918.7,924.3,937.1,942.7,948.3,953.7,957.2,353.9,350.5,349.6,350.6,353.2,353.0,350.5,349.6,350.6,353.9,931.0,382.8
18,0,0.567,0.98,1,902.4,906.9,913.0,919.3,925.0,937.8,943.4,949.1,954.5,958.1,353.0,349.6,348.8,349.8,352.4,352.3,349.7,348.8,349.7,353.1,931.5,382.2
19,0,0.6,0.98,1,903.2,907.8,913.9,920.3,926.0,938.6,944.3,949.9,955.2,958.7,352.1,348.6,347.8,348.9,351.5,351.3,348.8,347.9,348.8,352.2,932.5,381.3
20,0,0.633,0.98,1,903.9,908.5,914.6,921.0,926.6,939.1,944.7,950.3,955.5,959.0,351.5,348.0,347.2,348.2,350.8,350.7,348.1,347.2,348.2,351.6,933.1,380.7
21,0,0.667,0.98,1,904.6,909.2,915.4,921.8,927.4,939.8,945.3,950.8,956.0,959.4,350.8,347.3,346.4,347.4,350.0,349.8,347.3,346.5,347.5,350.9,934.0,379.8
22,0,0.7,0.98,1,905.2,909.9,916.0,922.4,928.1,940.5,946.0,951.5,956.7,960.0,350.1,346.6,345.7,346.7,349.3,349.2,346.7,345.8,346.8,350.2,934.7,379.3
23,0,0.733,0.98,1,905.9,910.6,916.7,923.0,928.6,941.3,946.8,952.2,957.4,960.8,349.2,345.8,345.0,346.0,348.5,348.4,345.9,345.1,346.0,349.3,935.3,378.6
24,0,0.767,0.98,1,906.6,911.3,917.4,923.8,929.4,941.9,947.3,952.7,957.8,961.1,348.8,345.3,344.5,345.5,348.0,347.9,345.4,344.6,345.6,348.9,936.0,378.0
25,0,0.8,0.98,1,906.8,911.6,917.9,924.4,930.1,942.2,947.7,953.1,958.2,961.5,348.7,345.2,344.2,345.2,347.8,347.5,345.0,344.2,345.2,348.6,936.7,377.5
26,0,0.833,0.98,1,907.3,912.0,918.3,924.8,930.5,942.6,948.0,953.4,958.5,961.8,348.6,345.0,344.1,345.0,347.6,347.3,344.7,343.9,344.9,348.3,937.2,377.2
