frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1055.2,1059.3,1065.5,1072.2,1078.3,1091.1,1097.3,1103.7,1110.0,1114.4,309.6,305.1,303.5,304.1,306.2,305.1,301.9,300.6,301.4,305.2,1087.3,339.2
2,0,0.033,0.98,1,1053.9,1057.9,1064.1,1070.7,1076.8,1090.7,1096.9,1103.3,1109.5,1113.9,309.2,304.8,303.4,304.1,306.4,305.2,302.0,300.5,301.2,304.8,1086.6,339.9
3,0,0.067,0.98,1,1053.3,1057.3,1063.5,1070.1,1076.2,1090.2,1096.4,1102.8,1109.0,1113.5,309.3,305.0,303.5,304.2,306.6,305.4,302.2,300.6,301.2,304.7,1086.2,340.1
4,0,0.1,0.98,1,1052.9,1056.9,1063.2,1069.8,1075.9,1089.5,1095.7,1102.1,1108.4,1112.9,309.7,305.4,303.9,304.6,306.9,305.7,302.5,300.9,301.5,305.1,1085.7,340.3
5,0,0.133,0.98,1,1052.5,1056.4,1062.7,1069.3,1075.4,1089.1,1095.3,1101.8,1108.1,1112.7,309.8,305.4,304.0,304.7,307.1,305.9,302.6,301.1,301.7,305.3,1085.2,340.4
6,0,0.167,0.98,1,1052.0,1056.0,1062.2,1068.8,1074.9,1088.7,1094.9,1101.4,1107.7,1112.2,309.8,305.4,304.0,304.8,307.2,306.0,302.8,301.2,301.8,305.4,1084.7,340.5
7,0,0.2,0.98,1,1051.7,1055.6,1061.9,1068.5,1074.6,1088.2,1094.4,1100.9,1107.3,1111.7,309.6,305.3,303.8,304.6,307.0,305.9,302.7,301.1,301.7,305.4,1084.2,340.4
8,0,0.233,0.98,1,1051.4,1055.3,1061.5,1068.1,1074.2,1087.8,1094.1,1100.5,1106.8,1111.3,309.4,305.1,303.6,304.4,306.8,305.7,302.4,300.9,301.6,305.2,1083.8,340.1
9,0,0.267,0.98,1,1050.9,1054.9,1061.1,1067.7,1073.7,1087.4,1093.7,1100.1,1106.5,1111.0,309.1,304.8,303.4,304.2,306.6,305.5,302.3,300.7,301.4,304.9,1083.3,339.9
10,0,0.3,0.98,1,1050.6,1054.6,1060.8,1067.4,1073.4,1087.0,1093.2,1099.7,1106.0,1110.6,309.0,304.7,303.4,304.1,306.5,305.4,302.2,300.7,301.3,304.9,1082.8,339.9
11,0,0.333,0.98,1,1050.1,1054.2,1060.4,1066.9,1072.9,1086.6,1092.8,1099.3,1105.7,1110.3,308.8,304.5,303.2,304.0,306.4,305.3,302.1,300.6,301.2,304.7,1082.4,339.8
12,0,0.367,0.98,1,1049.8,1053.8,1060.0,1066.5,1072.5,1086.2,1092.4,1098.9,1105.3,1109.8,308.8,304.5,303.1,303.9,306.3,305.2,302.0,300.5,301.1,304.7,1082.1,339.6
13,0,0.4,0.98,1,1049.6,1053.6,1059.7,1066.2,1072.2,1085.9,1092.2,1098.6,1105.0,1109.5,308.6,304.3,303.0,303.8,306.2,305.2,302.0,300.5,301.1,304.7,1081.6,339.7
14,0,0.433,0.98,1,1049.3,1053.3,1059.4,1065.9,1071.9,1085.5,1091.8,1098.4,1104.7,1109.3,308.6,304.3,303.0,303.8,306.2,305.2,302.0,300.5,301.2,304.8,1081.3,339.7
15,0,0.467,0.98,1,1049.0,1053.0,1059.2,1065.7,1071.7,1085.3,1091.6,1098.1,1104.5,1109.0,308.5,304.3,303.0,303.8,306.2,305.2,302.0,300.5,301.1,304.7,1081.1,339.7
16,0,0.5,0.98,1,1048.6,1052.6,1058.8,1065.2,1071.2,1085.0,1091.3,1097.9,1104.3,1108.9,308.3,304.1,302.9,303.7,306.2,305.2,302.0,300.4,301.1,304.6,1080.6,339.7
17,0,0.533,0.98,1,1048.3,1052.3,1058.5,1064.9,1070.9,1084.7,1091.0,1097.6,1104.0,1108.6,308.2,304.0,302.8,303.7,306.2,305.2,302.0,300.5,301.1,304.7,1080.2,339.7
